Accelerometer-Avg__1,Accelerometer-Avg__2,Accelerometer-Avg__3,Accelerometer-Avg_Total,Accelerometer-Deviation__1,Accelerometer-Deviation__2,Accelerometer-Deviation__3,Accelerometer-Deviation_Total,Accelerometer-Skewness__1,Accelerometer-Skewness__2,Accelerometer-Skewness__3,Accelerometer-Skewness_Total,Accelerometer-Kurtosis__1,Accelerometer-Kurtosis__2,Accelerometer-Kurtosis__3,Accelerometer-Kurtosis_Total,Accelerometer-Zero__1,Accelerometer-Zero__2,Accelerometer-Zero__3,Accelerometer-Zero_Total,Accelerometer-Correlation__0__1,Accelerometer-Correlation__0__2,Accelerometer-Correlation__1__2,Accelerometer-Correlation__0__Total,Accelerometer-Correlation__1__Total,Accelerometer-Correlation__2__Total,Accelerometer-Dc__1,Accelerometer-Dc__2,Accelerometer-Dc__3,Accelerometer-Energy__1,Accelerometer-Energy__2,Accelerometer-Energy__3,Accelerometer-Entropy__1,Accelerometer-Entropy__2,Accelerometer-Entropy__3,Gyroscope-Avg__1,Gyroscope-Avg__2,Gyroscope-Avg__3,Gyroscope-Avg_Total,Gyroscope-Deviation__1,Gyroscope-Deviation__2,Gyroscope-Deviation__3,Gyroscope-Deviation_Total,Gyroscope-Skewness__1,Gyroscope-Skewness__2,Gyroscope-Skewness__3,Gyroscope-Skewness_Total,Gyroscope-Kurtosis__1,Gyroscope-Kurtosis__2,Gyroscope-Kurtosis__3,Gyroscope-Kurtosis_Total,Gyroscope-Zero__1,Gyroscope-Zero__2,Gyroscope-Zero__3,Gyroscope-Zero_Total,Gyroscope-Correlation__0__1,Gyroscope-Correlation__0__2,Gyroscope-Correlation__1__2,Gyroscope-Correlation__0__Total,Gyroscope-Correlation__1__Total,Gyroscope-Correlation__2__Total,Gyroscope-Dc__1,Gyroscope-Dc__2,Gyroscope-Dc__3,Gyroscope-Energy__1,Gyroscope-Energy__2,Gyroscope-Energy__3,Gyroscope-Entropy__1,Gyroscope-Entropy__2,Gyroscope-Entropy__3,Magnetometer-Avg__1,Magnetometer-Avg__2,Magnetometer-Avg__3,Magnetometer-Avg_Total,Magnetometer-Deviation__1,Magnetometer-Deviation__2,Magnetometer-Deviation__3,Magnetometer-Deviation_Total,Magnetometer-Skewness__1,Magnetometer-Skewness__2,Magnetometer-Skewness__3,Magnetometer-Skewness_Total,Magnetometer-Kurtosis__1,Magnetometer-Kurtosis__2,Magnetometer-Kurtosis__3,Magnetometer-Kurtosis_Total,Magnetometer-Zero__1,Magnetometer-Zero__2,Magnetometer-Zero__3,Magnetometer-Zero_Total,Magnetometer-Correlation__0__1,Magnetometer-Correlation__0__2,Magnetometer-Correlation__1__2,Magnetometer-Correlation__0__Total,Magnetometer-Correlation__1__Total,Magnetometer-Correlation__2__Total,Magnetometer-Dc__1,Magnetometer-Dc__2,Magnetometer-Dc__3,Magnetometer-Energy__1,Magnetometer-Energy__2,Magnetometer-Energy__3,Magnetometer-Entropy__1,Magnetometer-Entropy__2,Magnetometer-Entropy__3,action,participant
-0.994275,0.185866,0.047678,-0.253577,0.100299,0.085007,0.091019,0.092108,0.058696,-0.205776,0.472515,0.108479,1.326071,-0.418109,-0.217763,0.230067,0.000000,0.008955,0.029851,0.012935,0.377621,0.425458,0.372985,1.857859,1.702676,1.795694,333.141525,12.548812,2.072999,334.545062,13.993701,3.536810,-246346.965455,-14.603732,-3.574549,-0.994275,0.185866,0.047678,-0.253577,0.100299,0.085007,0.091019,0.092108,0.058696,-0.205776,0.472515,0.108479,1.326071,-0.418109,-0.217763,0.230067,0.000000,0.008955,0.029851,0.012935,0.377621,0.425458,0.372985,1.857859,1.702676,1.795694,333.141525,12.548812,2.072999,334.545062,13.993701,3.536810,-246346.965455,-14.603732,-3.574549,-0.994275,0.185866,0.047678,-0.253577,0.100299,0.085007,0.091019,0.092108,0.058696,-0.205776,0.472515,0.108479,1.326071,-0.418109,-0.217763,0.230067,0.000000,0.008955,0.029851,0.012935,0.377621,0.425458,0.372985,1.857859,1.702676,1.795694,333.141525,12.548812,2.072999,334.545062,13.993701,3.536810,-246346.965455,-14.603732,-3.574549,ExoFente,A
-0.994036,0.174050,0.040408,-0.259859,0.099669,0.088510,0.089067,0.092415,-0.915703,-0.391654,-0.102900,-0.470086,3.276386,2.482668,0.201089,1.986714,0.000000,0.017751,0.035503,0.017751,0.130799,0.312501,0.574578,1.504941,1.652568,1.851092,335.795215,11.818552,1.646729,337.337710,12.887129,3.233202,-172160.452340,-13.397961,-3.264428,-0.994036,0.174050,0.040408,-0.259859,0.099669,0.088510,0.089067,0.092415,-0.915703,-0.391654,-0.102900,-0.470086,3.276386,2.482668,0.201089,1.986714,0.000000,0.017751,0.035503,0.017751,0.130799,0.312501,0.574578,1.504941,1.652568,1.851092,335.795215,11.818552,1.646729,337.337710,12.887129,3.233202,-172160.452340,-13.397961,-3.264428,-0.994036,0.174050,0.040408,-0.259859,0.099669,0.088510,0.089067,0.092415,-0.915703,-0.391654,-0.102900,-0.470086,3.276386,2.482668,0.201089,1.986714,0.000000,0.017751,0.035503,0.017751,0.130799,0.312501,0.574578,1.504941,1.652568,1.851092,335.795215,11.818552,1.646729,337.337710,12.887129,3.233202,-172160.452340,-13.397961,-3.264428,ExoFente,A
-0.993673,0.151953,0.043044,-0.266225,0.108454,0.109979,0.095170,0.104534,0.204756,0.036784,-0.172072,0.023156,2.789282,-0.999815,0.431310,0.740259,0.000000,0.023392,0.032164,0.018519,0.245122,0.433676,0.718060,1.690212,1.960132,2.115817,339.832011,10.235921,2.655498,341.708384,12.033294,3.731283,-400747.103478,-12.472127,-3.772441,-0.993673,0.151953,0.043044,-0.266225,0.108454,0.109979,0.095170,0.104534,0.204756,0.036784,-0.172072,0.023156,2.789282,-0.999815,0.431310,0.740259,0.000000,0.023392,0.032164,0.018519,0.245122,0.433676,0.718060,1.690212,1.960132,2.115817,339.832011,10.235921,2.655498,341.708384,12.033294,3.731283,-400747.103478,-12.472127,-3.772441,-0.993673,0.151953,0.043044,-0.266225,0.108454,0.109979,0.095170,0.104534,0.204756,0.036784,-0.172072,0.023156,2.789282,-0.999815,0.431310,0.740259,0.000000,0.023392,0.032164,0.018519,0.245122,0.433676,0.718060,1.690212,1.960132,2.115817,339.832011,10.235921,2.655498,341.708384,12.033294,3.731283,-400747.103478,-12.472127,-3.772441,ExoFente,A
-0.996490,0.151291,0.032240,-0.270986,0.083841,0.090525,0.063493,0.079287,-0.039301,0.302015,-0.141946,0.040256,0.010357,-0.817855,0.342617,-0.154960,0.000000,0.011869,0.044510,0.018793,0.418179,0.381136,0.422031,1.840117,1.921913,1.685692,335.850773,9.379766,1.202245,337.007047,10.475207,1.708879,16116272.857801,-10.811261,-1.717589,-0.996490,0.151291,0.032240,-0.270986,0.083841,0.090525,0.063493,0.079287,-0.039301,0.302015,-0.141946,0.040256,0.010357,-0.817855,0.342617,-0.154960,0.000000,0.011869,0.044510,0.018793,0.418179,0.381136,0.422031,1.840117,1.921913,1.685692,335.850773,9.379766,1.202245,337.007047,10.475207,1.708879,16116272.857801,-10.811261,-1.717589,-0.996490,0.151291,0.032240,-0.270986,0.083841,0.090525,0.063493,0.079287,-0.039301,0.302015,-0.141946,0.040256,0.010357,-0.817855,0.342617,-0.154960,0.000000,0.011869,0.044510,0.018793,0.418179,0.381136,0.422031,1.840117,1.921913,1.685692,335.850773,9.379766,1.202245,337.007047,10.475207,1.708879,16116272.857801,-10.811261,-1.717589,ExoFente,A
-0.991473,0.179601,0.038659,-0.257738,0.087668,0.066254,0.075776,0.076566,0.365856,0.127109,0.283344,0.258770,0.846543,-0.191768,0.573138,0.409304,0.000000,0.006098,0.024390,0.010163,0.201535,0.412905,0.187574,1.728037,1.281710,1.624772,323.415141,11.366688,0.844023,324.950763,12.019861,2.373580,-34954.268974,-12.477096,-2.390882,-0.991473,0.179601,0.038659,-0.257738,0.087668,0.066254,0.075776,0.076566,0.365856,0.127109,0.283344,0.258770,0.846543,-0.191768,0.573138,0.409304,0.000000,0.006098,0.024390,0.010163,0.201535,0.412905,0.187574,1.728037,1.281710,1.624772,323.415141,11.366688,0.844023,324.950763,12.019861,2.373580,-34954.268974,-12.477096,-2.390882,-0.991473,0.179601,0.038659,-0.257738,0.087668,0.066254,0.075776,0.076566,0.365856,0.127109,0.283344,0.258770,0.846543,-0.191768,0.573138,0.409304,0.000000,0.006098,0.024390,0.010163,0.201535,0.412905,0.187574,1.728037,1.281710,1.624772,323.415141,11.366688,0.844023,324.950763,12.019861,2.373580,-34954.268974,-12.477096,-2.390882,ExoFente,A
-0.977302,0.240402,0.063512,-0.224463,0.089797,0.088738,0.055934,0.078156,0.119452,-0.043599,-0.235529,-0.053226,2.134765,0.601297,-0.167815,0.856082,0.000000,0.005917,0.026627,0.010848,0.235961,0.390537,0.539704,1.696343,1.792747,1.777146,324.063398,20.887434,1.940254,325.555606,22.195714,2.420877,-8842.358642,-23.755698,-2.438341,-0.977302,0.240402,0.063512,-0.224463,0.089797,0.088738,0.055934,0.078156,0.119452,-0.043599,-0.235529,-0.053226,2.134765,0.601297,-0.167815,0.856082,0.000000,0.005917,0.026627,0.010848,0.235961,0.390537,0.539704,1.696343,1.792747,1.777146,324.063398,20.887434,1.940254,325.555606,22.195714,2.420877,-8842.358642,-23.755698,-2.438341,-0.977302,0.240402,0.063512,-0.224463,0.089797,0.088738,0.055934,0.078156,0.119452,-0.043599,-0.235529,-0.053226,2.134765,0.601297,-0.167815,0.856082,0.000000,0.005917,0.026627,0.010848,0.235961,0.390537,0.539704,1.696343,1.792747,1.777146,324.063398,20.887434,1.940254,325.555606,22.195714,2.420877,-8842.358642,-23.755698,-2.438341,ExoFente,A
-0.984748,0.212709,0.060733,-0.237102,0.079000,0.069182,0.076718,0.074967,-0.418847,-0.201950,0.331044,-0.096584,0.803656,1.881250,0.757524,1.147477,0.000000,0.005935,0.014837,0.006924,0.209977,0.141992,0.477668,1.392885,1.632937,1.613803,328.183366,15.868854,2.383103,328.901622,16.860567,3.226495,-13686.672395,-17.748551,-3.257685,-0.984748,0.212709,0.060733,-0.237102,0.079000,0.069182,0.076718,0.074967,-0.418847,-0.201950,0.331044,-0.096584,0.803656,1.881250,0.757524,1.147477,0.000000,0.005935,0.014837,0.006924,0.209977,0.141992,0.477668,1.392885,1.632937,1.613803,328.183366,15.868854,2.383103,328.901622,16.860567,3.226495,-13686.672395,-17.748551,-3.257685,-0.984748,0.212709,0.060733,-0.237102,0.079000,0.069182,0.076718,0.074967,-0.418847,-0.201950,0.331044,-0.096584,0.803656,1.881250,0.757524,1.147477,0.000000,0.005935,0.014837,0.006924,0.209977,0.141992,0.477668,1.392885,1.632937,1.613803,328.183366,15.868854,2.383103,328.901622,16.860567,3.226495,-13686.672395,-17.748551,-3.257685,ExoFente,A
-0.985736,0.216380,0.040152,-0.243068,0.089318,0.107373,0.074580,0.090424,-0.486222,-0.997824,0.061730,-0.474105,2.686764,2.372793,-0.919804,1.379918,0.000000,0.018237,0.048632,0.022290,0.358514,0.203673,0.640487,1.581476,2.069838,1.786506,321.281794,18.592160,1.777750,322.305625,19.196927,2.360340,-15839.947811,-20.386463,-2.377396,-0.985736,0.216380,0.040152,-0.243068,0.089318,0.107373,0.074580,0.090424,-0.486222,-0.997824,0.061730,-0.474105,2.686764,2.372793,-0.919804,1.379918,0.000000,0.018237,0.048632,0.022290,0.358514,0.203673,0.640487,1.581476,2.069838,1.786506,321.281794,18.592160,1.777750,322.305625,19.196927,2.360340,-15839.947811,-20.386463,-2.377396,-0.985736,0.216380,0.040152,-0.243068,0.089318,0.107373,0.074580,0.090424,-0.486222,-0.997824,0.061730,-0.474105,2.686764,2.372793,-0.919804,1.379918,0.000000,0.018237,0.048632,0.022290,0.358514,0.203673,0.640487,1.581476,2.069838,1.786506,321.281794,18.592160,1.777750,322.305625,19.196927,2.360340,-15839.947811,-20.386463,-2.377396,ExoFente,A
-0.990469,0.194290,0.084185,-0.237331,0.089556,0.093892,0.089570,0.091006,0.331535,-0.295168,0.543634,0.193334,2.005726,0.709007,-0.146880,0.855951,0.000000,0.017595,0.032258,0.016618,-0.045662,0.129380,0.447985,1.064293,1.427697,1.573732,335.788713,14.756740,3.505698,337.265888,15.878501,5.152471,-30799.201472,-16.653986,-5.231519,-0.990469,0.194290,0.084185,-0.237331,0.089556,0.093892,0.089570,0.091006,0.331535,-0.295168,0.543634,0.193334,2.005726,0.709007,-0.146880,0.855951,0.000000,0.017595,0.032258,0.016618,-0.045662,0.129380,0.447985,1.064293,1.427697,1.573732,335.788713,14.756740,3.505698,337.265888,15.878501,5.152471,-30799.201472,-16.653986,-5.231519,-0.990469,0.194290,0.084185,-0.237331,0.089556,0.093892,0.089570,0.091006,0.331535,-0.295168,0.543634,0.193334,2.005726,0.709007,-0.146880,0.855951,0.000000,0.017595,0.032258,0.016618,-0.045662,0.129380,0.447985,1.064293,1.427697,1.573732,335.788713,14.756740,3.505698,337.265888,15.878501,5.152471,-30799.201472,-16.653986,-5.231519,ExoFente,A
-0.989775,0.205281,0.062177,-0.240772,0.076232,0.080607,0.071011,0.075950,0.318339,-1.333610,-0.427250,-0.480840,3.336729,3.011177,2.074321,2.807409,0.000000,0.005988,0.014970,0.006986,0.094853,0.162963,0.594758,1.256749,1.712602,1.729762,328.007633,15.117971,2.181110,329.145899,16.245074,2.975421,-22647.804458,-17.075596,-3.002166,-0.989775,0.205281,0.062177,-0.240772,0.076232,0.080607,0.071011,0.075950,0.318339,-1.333610,-0.427250,-0.480840,3.336729,3.011177,2.074321,2.807409,0.000000,0.005988,0.014970,0.006986,0.094853,0.162963,0.594758,1.256749,1.712602,1.729762,328.007633,15.117971,2.181110,329.145899,16.245074,2.975421,-22647.804458,-17.075596,-3.002166,-0.989775,0.205281,0.062177,-0.240772,0.076232,0.080607,0.071011,0.075950,0.318339,-1.333610,-0.427250,-0.480840,3.336729,3.011177,2.074321,2.807409,0.000000,0.005988,0.014970,0.006986,0.094853,0.162963,0.594758,1.256749,1.712602,1.729762,328.007633,15.117971,2.181110,329.145899,16.245074,2.975421,-22647.804458,-17.075596,-3.002166,ExoFente,A
