ax,ay,az,gx,gy,gz,mx,my,mz
-1.06,0.373,0.065,-12.74,2.24,16.17,-0.231,-0.207,-0.848
-1.071,0.368,0.061,-13.79,2.52,11.34,-0.229,-0.204,-0.853
-0.964,0.33,0.078,-25.97,2.8,-13.44,-0.229,-0.2,-0.855
-0.916,0.357,0.077,-23.8,0.56,-25.62,-0.235,-0.204,-0.848
-0.91,0.366,0.077,-15.89,-1.61,-28.56,-0.229,-0.204,-0.852
-0.924,0.371,0.079,-3.85,-4.55,-29.68,-0.228,-0.21,-0.859
-0.951,0.365,0.08,9.94,-7.42,-29.47,-0.227,-0.213,-0.847
-0.996,0.335,0.081,27.16,-9.38,-27.65,-0.227,-0.219,-0.849
-1.015,0.31,0.084,34.16,-9.87,-26.32,-0.223,-0.222,-0.855
-1.024,0.288,0.087,36.26,-9.52,-25.34,-0.225,-0.231,-0.849
-1.031,0.274,0.086,34.58,-8.96,-25.34,-0.222,-0.233,-0.858
-1.044,0.265,0.083,31.36,-9.38,-26.11,-0.225,-0.242,-0.854
-1.059,0.262,0.092,24.92,-8.75,-27.93,-0.221,-0.242,-0.847
-1.054,0.26,0.106,22.54,-6.93,-28.98,-0.217,-0.247,-0.848
-1.033,0.259,0.111,20.79,-5.6,-29.82,-0.219,-0.252,-0.844
-1.009,0.25,0.108,20.79,-4.97,-30.87,-0.216,-0.257,-0.853
-0.998,0.238,0.099,20.72,-4.27,-31.99,-0.213,-0.265,-0.848
-0.995,0.224,0.091,20.02,-4.06,-32.76,-0.216,-0.266,-0.849
-0.992,0.219,0.082,18.41,-3.15,-32.62,-0.211,-0.275,-0.855
-0.977,0.209,0.09,18.06,-1.4,-31.29,-0.207,-0.281,-0.856
-0.979,0.197,0.11,17.64,-0.35,-27.72,-0.207,-0.287,-0.856
-0.981,0.189,0.122,14.98,1.61,-23.87,-0.207,-0.288,-0.859
-0.975,0.185,0.135,11.9,4.62,-20.93,-0.204,-0.284,-0.859
-0.954,0.171,0.128,7.98,11.2,-15.96,-0.206,-0.292,-0.861
-0.908,0.159,0.103,-2.66,15.68,-13.3,-0.206,-0.294,-0.859
-0.868,0.155,0.099,-11.48,18.69,-11.83,-0.205,-0.293,-0.865
-0.832,0.164,0.11,-19.67,20.79,-10.15,-0.204,-0.296,-0.868
-0.809,0.186,0.123,-24.22,21.35,-8.33,-0.209,-0.298,-0.872
-0.806,0.212,0.131,-23.52,20.72,-6.02,-0.213,-0.301,-0.873
-0.835,0.221,0.123,-19.81,19.32,-4.27,-0.206,-0.294,-0.87
-0.907,0.234,0.098,-13.09,12.6,1.82,-0.205,-0.295,-0.872
-1.095,0.251,0.11,-8.75,7.84,6.58,-0.21,-0.296,-0.871
-1.214,0.26,0.138,-3.99,6.44,11.9,-0.213,-0.292,-0.874
-1.263,0.271,0.177,2.52,9.17,17.57,-0.215,-0.291,-0.876
-1.256,0.261,0.228,4.41,14.35,21.0,-0.216,-0.289,-0.878
-1.21,0.238,0.269,1.68,16.24,22.61,-0.221,-0.283,-0.879
-1.085,0.201,0.28,-6.93,16.24,21.07,-0.22,-0.282,-0.88
-0.978,0.195,0.255,-14.21,15.96,17.92,-0.224,-0.279,-0.881
-0.874,0.203,0.233,-20.16,15.82,14.56,-0.223,-0.276,-0.884
-0.791,0.198,0.215,-23.52,16.03,11.48,-0.223,-0.269,-0.885
-0.733,0.194,0.191,-24.29,16.31,11.83,-0.22,-0.274,-0.886
-0.703,0.191,0.153,-22.96,15.19,17.57,-0.223,-0.271,-0.888
-0.687,0.182,0.112,-23.38,14.98,24.01,-0.226,-0.268,-0.892
-0.688,0.188,0.085,-26.39,15.54,30.1,-0.225,-0.263,-0.891
-0.701,0.189,0.06,-28.77,13.72,36.89,-0.234,-0.25,-0.898
