ax,ay,az,gx,gy,gz,mx,my,mz
-0.969,0.209,0.098,9.03,-6.09,-1.96,-0.18,-0.377,-0.955
-0.932,0.206,0.086,7.21,-4.13,-1.96,-0.178,-0.382,-0.956
-0.921,0.206,0.077,5.18,-3.36,-1.82,-0.184,-0.381,-0.956
-0.933,0.208,0.076,3.36,-2.94,-0.84,-0.174,-0.377,-0.956
-0.941,0.203,0.064,1.96,1.19,2.52,-0.178,-0.381,-0.955
-0.935,0.192,0.057,0.7,4.06,5.11,-0.18,-0.38,-0.958
-0.918,0.18,0.047,-2.8,6.93,7.28,-0.177,-0.375,-0.961
-0.902,0.178,0.038,-8.05,9.31,8.61,-0.181,-0.377,-0.957
-0.908,0.188,0.037,-15.05,10.01,9.52,-0.181,-0.376,-0.955
-0.957,0.203,0.041,-25.34,9.31,10.85,-0.187,-0.379,-0.96
-1.078,0.213,0.019,-31.29,9.38,13.16,-0.185,-0.368,-0.956
-1.149,0.217,0.001,-38.57,10.92,15.75,-0.184,-0.374,-0.952
-1.161,0.22,0.005,-47.18,14.14,16.8,-0.187,-0.368,-0.949
-1.102,0.226,0.029,-57.12,18.62,16.1,-0.191,-0.368,-0.946
-1.017,0.237,0.029,-68.53,17.5,9.24,-0.19,-0.365,-0.948
-0.938,0.27,0.065,-70.0,11.83,1.75,-0.189,-0.366,-0.947
-0.908,0.283,0.094,-64.4,6.51,-5.04,-0.187,-0.361,-0.94
-0.888,0.298,0.117,-52.36,1.33,-9.45,-0.184,-0.363,-0.932
-0.88,0.313,0.132,-36.12,-3.78,-13.3,-0.189,-0.364,-0.929
-0.904,0.307,0.137,-6.58,-12.46,-14.21,-0.19,-0.365,-0.929
-0.994,0.277,0.154,11.55,-16.45,-9.45,-0.188,-0.364,-0.927
-1.058,0.245,0.185,25.62,-16.03,-4.48,-0.186,-0.37,-0.93
-1.094,0.223,0.229,36.33,-10.57,1.05,-0.185,-0.371,-0.935
-1.086,0.201,0.251,42.63,-2.38,6.72,-0.184,-0.368,-0.932
-1.042,0.166,0.243,44.17,8.75,10.43,-0.191,-0.369,-0.94
-0.971,0.1,0.191,31.22,24.29,10.57,-0.187,-0.366,-0.94
-0.89,-0.004,0.13,11.27,30.03,7.35,-0.186,-0.368,-0.954
-0.881,-0.035,0.131,-17.78,32.9,1.47,-0.186,-0.364,-0.956
-0.886,-0.027,0.154,-54.18,36.68,-6.09,-0.189,-0.364,-0.947
-0.86,0.03,0.135,-87.92,42.42,-14.7,-0.187,-0.366,-0.952
-0.835,0.084,0.148,-115.01,46.97,-22.05,-0.188,-0.37,-0.951
-0.829,0.115,0.134,-136.22,45.08,-25.55,-0.183,-0.368,-0.938
-0.858,0.206,0.136,-137.55,40.32,-25.48,-0.186,-0.369,-0.935
-0.843,0.236,0.119,-129.43,41.02,-22.61,-0.184,-0.369,-0.928
-0.784,0.25,0.063,-117.04,41.72,-17.08,-0.181,-0.368,-0.929
-0.74,0.258,0.022,-102.06,36.47,-10.29,-0.185,-0.371,-0.925
-0.768,0.28,0.026,-81.06,21.42,-0.35,-0.181,-0.369,-0.924
-0.919,0.338,0.075,-67.48,13.72,6.02,-0.186,-0.368,-0.918
-0.98,0.351,0.095,-55.02,11.48,11.83,-0.185,-0.365,-0.918
-0.962,0.343,0.082,-45.08,11.13,16.17,-0.188,-0.362,-0.913
-0.93,0.337,0.079,-38.99,6.86,18.48,-0.187,-0.359,-0.918
-0.93,0.345,0.12,-34.23,-0.28,19.81,-0.183,-0.354,-0.91
-0.938,0.371,0.167,-28.35,-4.41,20.3,-0.188,-0.353,-0.909
-0.928,0.383,0.183,-15.61,-6.16,18.27,-0.191,-0.35,-0.909
-0.902,0.367,0.166,-6.3,-7.14,16.59,-0.19,-0.346,-0.913
-0.921,0.356,0.152,0.07,-10.43,15.82,-0.188,-0.347,-0.907
-0.975,0.357,0.152,4.41,-13.58,16.1,-0.188,-0.342,-0.901
-1.044,0.371,0.157,8.4,-13.86,17.43,-0.192,-0.345,-0.902
-1.103,0.384,0.188,13.72,-11.55,19.53,-0.195,-0.338,-0.906
-1.122,0.383,0.226,21.07,-7.28,21.77,-0.195,-0.336,-0.912
-1.076,0.341,0.262,30.45,-1.75,20.79,-0.192,-0.327,-0.91
-1.071,0.309,0.283,31.57,-2.24,16.52,-0.191,-0.33,-0.911
-1.123,0.278,0.38,29.96,-3.71,11.9,-0.196,-0.331,-0.913
-1.2,0.256,0.552,29.19,-0.7,8.89,-0.2,-0.331,-0.917
-1.263,0.226,0.628,33.67,8.54,6.16,-0.2,-0.326,-0.911
-1.411,0.169,0.76,45.85,15.33,5.25,-0.196,-0.331,-0.924
-1.665,-0.084,1.001,55.44,33.04,12.6,-0.195,-0.334,-0.933
-1.633,-0.248,1.139,44.73,59.85,25.55,-0.203,-0.331,-0.945
-1.539,-0.311,1.298,28.0,84.419,34.72,-0.203,-0.327,-0.946
-1.581,-0.359,1.49,10.99,94.919,42.0,-0.203,-0.324,-0.956
-1.699,-0.402,1.563,2.31,109.83,57.19,-0.212,-0.316,-0.976
-1.769,-0.374,1.483,-1.33,158.83,92.96,-0.213,-0.309,-0.992
-1.9,-0.208,1.36,-26.39,187.67,106.82,-0.215,-0.294,-1.019
-1.941,-0.037,1.34,-51.1,219.24,107.1,-0.223,-0.281,-1.034
-1.897,0.252,1.176,-63.49,237.72,105.42,-0.22,-0.265,-1.073
-1.948,0.545,0.883,-53.83,231.98,97.37,-0.224,-0.263,-1.091
-1.943,0.682,0.631,-0.28,235.13,92.679,-0.217,-0.253,-1.108
-1.482,0.632,0.164,38.43,236.74,100.73,-0.205,-0.24,-1.159
-1.271,0.559,0.021,55.929,224.56,105.49,-0.199,-0.233,-1.178
-1.174,0.554,-0.012,49.909,210.7,98.77,-0.178,-0.213,-1.208
-1.033,0.582,-0.095,38.08,203.49,82.95,-0.172,-0.205,-1.222
-0.837,0.618,-0.206,27.93,198.87,68.74,-0.16,-0.202,-1.24
-0.645,0.537,-0.329,21.56,192.64,52.78,-0.138,-0.192,-1.262
-0.476,0.423,-0.451,18.2,166.6,24.85,-0.122,-0.187,-1.281
-0.274,0.262,-0.464,-8.75,148.33,2.66,-0.104,-0.188,-1.298
-0.158,0.207,-0.411,-22.26,124.32,-16.03,-0.092,-0.196,-1.304
-0.09,0.162,-0.366,-23.87,97.58,-30.31,-0.078,-0.197,-1.308
-0.048,0.096,-0.284,-11.34,66.08,-37.31,-0.069,-0.203,-1.322
-0.039,0.049,-0.147,-0.49,40.6,-41.37,-0.064,-0.206,-1.327
-0.04,0.02,-0.076,-3.08,22.12,-66.99,-0.052,-0.21,-1.327
-0.04,0.019,0.007,-25.41,-1.26,-64.75,-0.055,-0.219,-1.327
-0.085,-0.064,0.079,-30.94,-22.33,-69.16,-0.052,-0.226,-1.323
-0.142,-0.091,0.184,-23.38,-39.9,-61.67,-0.051,-0.234,-1.318
-0.2,-0.082,0.345,-18.34,-52.71,-54.95,-0.053,-0.238,-1.322
-0.275,-0.079,0.498,-18.34,-62.86,-52.64,-0.065,-0.249,-1.314
-0.336,-0.041,0.532,-25.27,-68.11,-52.22,-0.063,-0.253,-1.306
-0.413,-0.012,0.6,-36.61,-80.57,-56.42,-0.075,-0.261,-1.294
-0.496,-0.052,0.675,-32.41,-88.27,-52.71,-0.082,-0.269,-1.291
-0.559,-0.083,0.698,-25.9,-89.67,-42.28,-0.086,-0.276,-1.281
-0.615,-0.069,0.688,-29.54,-90.3,-32.34,-0.098,-0.284,-1.271
-0.68,-0.059,0.795,-37.03,-92.26,-27.72,-0.096,-0.288,-1.266
-0.692,-0.017,0.773,-47.95,-91.42,-27.3,-0.111,-0.291,-1.252
-0.652,0.017,0.695,-50.96,-92.05,-26.46,-0.115,-0.3,-1.245
-0.645,0.043,0.715,-51.03,-97.44,-21.56,-0.13,-0.302,-1.224
-0.734,0.069,0.843,-43.26,-104.09,-14.07,-0.132,-0.304,-1.227
-0.853,0.083,0.974,-31.15,-106.12,-5.32,-0.175,-0.313,-1.202
-0.907,0.094,0.989,-3.71,-100.94,5.88,-0.147,-0.312,-1.199
-0.839,0.031,0.918,8.05,-96.32,10.22,-0.152,-0.309,-1.189
-0.781,-0.022,0.873,13.51,-91.91,13.16,-0.163,-0.307,-1.176
-0.791,-0.042,0.963,13.86,-89.39,17.36,-0.165,-0.305,-1.173
-0.822,-0.049,0.962,14.98,-83.72,22.05,-0.174,-0.297,-1.156
-0.85,-0.067,0.985,16.24,-80.15,27.3,-0.179,-0.299,-1.151
-0.882,-0.076,1.032,20.37,-73.22,36.33,-0.184,-0.295,-1.142
-0.862,-0.172,1.082,31.64,-65.59,43.19,-0.188,-0.28,-1.136
-0.857,-0.257,1.119,38.57,-59.64,56.56,-0.197,-0.275,-1.138
-0.902,-0.284,1.164,38.22,-50.12,70.49,-0.2,-0.262,-1.121
-0.943,-0.289,1.182,28.98,-40.67,78.75,-0.206,-0.256,-1.123
-0.958,-0.268,1.205,3.99,-27.09,83.02,-0.215,-0.24,-1.118
-0.966,-0.179,1.173,-8.33,-18.48,82.32,-0.216,-0.228,-1.116
-0.97,-0.12,1.138,-12.39,-10.01,83.51,-0.219,-0.217,-1.117
-0.974,-0.08,1.133,-11.9,-2.38,84.21,-0.218,-0.212,-1.113
-0.988,-0.034,1.094,-8.19,6.86,84.28,-0.223,-0.208,-1.116
-1.025,-0.035,1.042,-6.3,15.82,84.7,-0.222,-0.191,-1.121
-1.037,-0.036,0.917,-10.85,32.9,84.84,-0.226,-0.185,-1.128
-0.958,-0.057,0.878,-22.89,42.42,78.54,-0.222,-0.174,-1.131
-0.905,-0.045,0.875,-41.3,51.31,69.72,-0.224,-0.169,-1.132
-0.871,-0.005,0.867,-58.87,58.59,60.27,-0.219,-0.161,-1.144
-0.853,0.064,0.866,-69.86,64.12,52.01,-0.215,-0.16,-1.148
-0.839,0.143,0.821,-69.72,69.23,38.64,-0.215,-0.159,-1.15
-0.763,0.158,0.808,-52.57,71.05,32.27,-0.208,-0.157,-1.161
-0.709,0.137,0.806,-30.03,70.139,30.38,-0.204,-0.155,-1.168
-0.682,0.117,0.792,-12.74,70.28,28.49,-0.201,-0.158,-1.183
-0.657,0.104,0.771,-3.85,70.629,24.43,-0.194,-0.155,-1.181
-0.635,0.106,0.762,-0.56,68.53,0.63,-0.188,-0.152,-1.208
-0.595,0.108,0.754,3.43,65.24,9.45,-0.185,-0.147,-1.209
-0.561,0.094,0.709,6.23,63.629,3.15,-0.182,-0.153,-1.211
-0.516,0.079,0.669,5.46,62.159,-3.99,-0.174,-0.151,-1.231
-0.474,0.051,0.632,1.05,59.639,-12.53,-0.173,-0.152,-1.226
-0.451,0.031,0.614,-3.92,54.95,-23.8,-0.163,-0.155,-1.235
-0.425,-0.006,0.563,-8.05,50.82,-30.45,-0.161,-0.16,-1.242
-0.4,-0.012,0.507,-8.96,45.01,-35.56,-0.153,-0.167,-1.248
-0.369,-0.015,0.46,-8.19,37.24,-40.25,-0.15,-0.168,-1.253
-0.352,0.008,0.425,-4.97,29.05,-42.63,-0.145,-0.175,-1.251
-0.348,0.008,0.402,0.28,20.86,-43.82,-0.145,-0.179,-1.255
-0.386,-0.083,0.387,12.74,6.3,-42.07,-0.139,-0.181,-1.258
-0.413,-0.132,0.375,14.14,-3.08,-39.06,-0.142,-0.188,-1.261
-0.436,-0.141,0.363,9.66,-13.16,-38.5,-0.142,-0.184,-1.257
-0.46,-0.118,0.392,2.73,-23.66,-40.88,-0.147,-0.193,-1.256
-0.496,-0.133,0.47,1.05,-33.95,-44.17,-0.146,-0.198,-1.249
-0.52,-0.178,0.507,5.95,-41.23,-43.68,-0.145,-0.2,-1.254
-0.535,-0.174,0.525,8.96,-47.46,-41.09,-0.155,-0.201,-1.247
