ax,ay,az,gx,gy,gz,mx,my,mz
-0.752,0.723,0.156,-140.77,-4.97,7.84,-0.042,-0.472,-0.861
-0.692,0.722,0.047,-190.19,-0.56,5.18,-0.044,-0.468,-0.844
-0.559,0.675,-0.103,-236.53,-0.98,-0.98,-0.044,-0.462,-0.837
-0.563,0.928,-0.158,-258.93,0.21,4.55,-0.047,-0.438,-0.794
-0.39,0.905,-0.223,-280.28,-1.33,-51.17,-0.051,-0.429,-0.78
-0.575,1.035,-0.123,-271.04,11.69,-71.47,-0.042,-0.408,-0.748
-0.487,1.051,-0.157,-209.65,14.77,-84.49,-0.038,-0.402,-0.737
-0.42,1.157,-0.179,-136.571,8.54,-76.51,-0.031,-0.396,-0.724
-0.459,1.193,-0.161,-67.13,7.0,-75.46,-0.022,-0.398,-0.709
-0.573,0.956,-0.292,-30.66,30.52,-87.36,-0.019,-0.4,-0.714
-0.503,1.188,-0.287,-26.53,26.95,-61.32,-0.014,-0.407,-0.712
-0.606,1.118,-0.242,1.4,25.55,-61.95,-0.014,-0.41,-0.706
-0.587,1.233,-0.254,13.3,25.2,-42.28,-0.009,-0.414,-0.707
-0.595,1.123,-0.246,34.02,27.65,-39.55,-0.008,-0.422,-0.714
-0.639,1.056,-0.202,37.59,29.19,-39.62,-0.008,-0.416,-0.719
-0.647,1.163,-0.202,38.57,31.15,-49.98,-0.003,-0.433,-0.718
-0.669,1.153,-0.212,50.12,31.15,-55.16,0.001,-0.436,-0.717
-0.679,1.1,-0.192,64.12,35.07,-40.88,0.011,-0.45,-0.733
-0.696,1.074,-0.153,71.61,37.24,-43.33,0.01,-0.457,-0.738
-0.76,1.016,-0.081,82.53,40.46,-48.86,0.014,-0.472,-0.748
-0.831,0.951,-0.114,93.169,52.639,-40.88,0.017,-0.479,-0.764
-0.822,0.976,-0.156,101.08,57.54,-31.15,0.017,-0.486,-0.774
-0.774,0.964,-0.062,108.71,53.69,-37.59,0.018,-0.498,-0.798
-0.79,0.944,-0.062,117.11,55.37,-34.16,0.019,-0.501,-0.805
-0.809,0.952,-0.085,105.63,60.899,-29.89,0.028,-0.514,-0.826
-0.812,0.976,-0.063,86.8,64.61,-27.93,0.026,-0.516,-0.841
-0.787,0.981,-0.107,72.1,66.22,-30.03,0.031,-0.521,-0.843
-0.762,0.956,-0.122,46.83,62.79,-40.46,0.037,-0.53,-0.85
-0.755,0.982,-0.054,31.78,57.05,-47.81,0.04,-0.532,-0.852
-0.763,0.855,-0.087,53.06,55.159,-50.89,0.047,-0.535,-0.873
-0.763,0.796,-0.107,65.45,50.82,-47.95,0.049,-0.54,-0.874
-0.791,0.78,-0.044,56.7,41.93,-56.7,0.06,-0.547,-0.892
-0.813,0.8,0.03,48.37,34.16,-61.53,0.065,-0.552,-0.895
-0.762,0.83,0.034,47.25,19.6,-64.4,0.07,-0.554,-0.9
-0.687,0.749,0.025,40.74,20.44,-66.01,0.084,-0.559,-0.911
-0.612,0.742,-0.073,28.56,29.89,-64.75,0.087,-0.561,-0.905
-0.53,0.817,-0.074,8.12,32.13,-67.48,0.103,-0.568,-0.917
-0.5,0.848,0.031,-9.1,26.39,-75.46,0.105,-0.568,-0.911
-0.492,0.867,0.047,-6.37,22.96,-73.57,0.125,-0.572,-0.912
-0.437,0.86,0.025,16.87,20.79,-63.7,0.126,-0.569,-0.921
-0.412,0.843,0.013,28.77,16.03,-61.11,0.133,-0.575,-0.92
-0.402,0.796,0.029,34.72,12.6,-61.11,0.146,-0.576,-0.925
-0.38,0.779,0.072,40.6,10.36,-57.61,0.154,-0.575,-0.931
-0.35,0.763,0.1,44.73,9.66,-53.13,0.163,-0.579,-0.938
-0.331,0.757,0.134,44.8,8.75,-49.77,0.174,-0.58,-0.944
-0.324,0.766,0.146,38.57,6.44,-47.11,0.175,-0.579,-0.952
-0.291,0.776,0.184,36.33,4.97,-45.36,0.186,-0.582,-0.956
-0.262,0.784,0.216,39.97,4.2,-42.07,0.191,-0.587,-0.957
-0.25,0.778,0.234,45.78,2.73,-37.1,0.19,-0.585,-0.96
-0.254,0.757,0.239,47.74,1.61,-29.61,0.195,-0.583,-0.968
-0.238,0.755,0.249,35.49,1.61,-24.92,0.205,-0.581,-0.973
-0.198,0.761,0.253,25.55,3.01,-21.49,0.208,-0.581,-0.979
