ax,ay,az,gx,gy,gz,mx,my,mz
-0.955,0.274,0.069,4.83,-2.66,-0.91,-0.184,-0.344,-0.881
-0.951,0.279,0.07,5.81,-3.22,-0.28,-0.181,-0.345,-0.884
-0.949,0.282,0.071,7.56,-3.85,0.63,-0.185,-0.345,-0.881
-0.947,0.285,0.074,8.82,-4.62,1.54,-0.187,-0.347,-0.882
-0.944,0.289,0.077,10.43,-4.97,2.66,-0.183,-0.344,-0.877
-0.942,0.302,0.076,11.13,-5.95,3.43,-0.182,-0.343,-0.886
-0.947,0.304,0.08,-3.43,-7.0,0.77,-0.181,-0.348,-0.883
-0.943,0.327,0.058,-30.31,-10.22,-5.04,-0.184,-0.347,-0.882
-0.954,0.514,0.181,-33.18,-22.4,-8.89,-0.185,-0.345,-0.877
-0.974,0.731,0.343,-11.06,-29.33,-3.85,-0.181,-0.343,-0.879
-0.921,0.873,0.394,34.37,-20.79,4.34,-0.183,-0.343,-0.879
-0.818,0.823,0.239,106.33,-18.41,1.61,-0.183,-0.345,-0.879
-0.873,0.68,0.22,123.48,-25.06,-5.25,-0.177,-0.353,-0.884
-0.955,0.676,0.387,95.2,-10.71,-19.67,-0.18,-0.36,-0.895
-0.884,0.767,0.406,47.18,13.09,-35.21,-0.175,-0.363,-0.899
-0.787,0.967,0.385,7.0,22.68,-47.11,-0.171,-0.363,-0.903
-0.752,1.107,0.345,-5.04,19.95,-61.18,-0.17,-0.377,-0.903
-0.875,1.228,0.326,20.3,15.33,-83.02,-0.165,-0.385,-0.909
-0.965,1.225,0.268,48.58,17.08,-97.23,-0.153,-0.401,-0.924
-1.017,1.127,0.234,70.21,19.74,-110.18,-0.152,-0.409,-0.927
-1.04,0.984,0.182,79.87,23.17,-119.98,-0.136,-0.435,-0.941
-1.079,0.858,0.111,78.679,24.92,-126.91,-0.126,-0.447,-0.945
-1.137,0.739,0.052,68.32,26.81,-138.81,-0.114,-0.457,-0.952
-1.151,0.615,0.038,39.62,35.98,-148.05,-0.1,-0.475,-0.962
-1.032,0.493,0.074,13.79,42.07,-158.2,-0.088,-0.484,-0.97
-0.927,0.442,0.069,-7.84,41.16,-172.2,-0.06,-0.499,-0.977
-0.862,0.425,0.117,-23.66,35.77,-186.55,-0.044,-0.515,-0.973
-0.852,0.438,0.167,-33.32,32.62,-197.89,-0.032,-0.531,-0.973
-0.875,0.484,0.18,-35.21,32.2,-205.59,0.007,-0.542,-0.969
-0.928,0.585,0.158,-4.83,36.19,-210.63,0.025,-0.549,-0.967
-1.017,0.769,0.085,7.28,41.02,-212.17,0.067,-0.565,-0.969
-1.03,0.81,0.039,37.03,42.14,-213.29,0.084,-0.57,-0.974
-1.008,0.693,0.013,73.08,39.76,-212.17,0.12,-0.574,-0.987
-1.174,0.548,0.352,101.08,46.13,-201.88,0.146,-0.574,-1.0
-1.187,0.254,0.634,21.42,114.1,-198.66,0.186,-0.58,-1.008
-0.65,0.499,0.646,-26.46,81.83,-223.58,0.203,-0.572,-1.005
-0.576,0.843,0.505,-52.22,80.5,-266.14,0.228,-0.577,-0.999
-0.481,1.09,0.236,-31.15,79.169,-288.12,0.281,-0.568,-0.993
-0.422,1.314,0.048,25.2,68.25,-284.48,0.306,-0.563,-0.996
-0.381,1.397,-0.021,90.23,55.72,-273.28,0.359,-0.544,-1.007
-0.331,1.321,-0.135,143.01,41.86,-250.74,0.379,-0.532,-1.022
-0.247,0.956,-0.127,175.49,35.07,-244.72,0.4,-0.522,-1.03
-0.133,0.739,-0.14,186.13,19.74,-238.7,0.443,-0.494,-1.054
-0.058,0.603,-0.128,195.51,12.18,-232.96,0.459,-0.472,-1.067
-0.018,0.485,-0.126,194.53,14.14,-227.01,0.491,-0.434,-1.089
-0.021,0.416,0.036,186.13,11.76,-220.01,0.509,-0.412,-1.098
0.083,0.393,0.138,158.76,4.48,-213.92,0.527,-0.37,-1.111
0.21,0.305,0.193,152.67,-4.69,-204.821,0.536,-0.349,-1.119
0.269,0.254,0.292,145.95,-11.41,-190.75,0.548,-0.311,-1.135
0.362,0.233,0.432,139.37,-10.78,-178.78,0.55,-0.287,-1.132
0.433,0.114,0.538,132.65,-11.62,-171.92,0.554,-0.268,-1.145
0.474,0.035,0.648,133.14,-6.58,-156.38,0.56,-0.228,-1.146
0.536,-0.038,0.651,139.09,-4.76,-144.13,0.564,-0.208,-1.145
0.591,-0.098,0.652,139.23,-4.34,-130.34,0.564,-0.178,-1.15
0.668,-0.205,0.643,122.99,-5.6,-120.47,0.563,-0.155,-1.141
0.731,-0.321,0.633,101.01,-8.68,-110.67,0.562,-0.127,-1.144
0.72,-0.41,0.675,70.49,-14.42,-93.8,0.562,-0.117,-1.15
0.693,-0.412,0.733,53.76,-18.97,-83.86,0.555,-0.097,-1.152
0.708,-0.406,0.787,42.56,-22.54,-76.72,0.549,-0.086,-1.146
0.722,-0.442,0.858,35.84,-27.3,-70.35,0.544,-0.081,-1.156
0.73,-0.435,0.847,30.38,-27.86,-60.2,0.542,-0.068,-1.148
0.752,-0.394,0.726,19.74,-28.56,-48.65,0.538,-0.061,-1.154
0.762,-0.411,0.7,14.14,-33.88,-44.52,0.536,-0.056,-1.157
0.702,-0.463,0.799,12.81,-42.14,-40.88,0.529,-0.049,-1.159
0.634,-0.452,0.891,14.21,-44.59,-34.37,0.527,-0.041,-1.168
0.614,-0.391,0.948,17.92,-42.42,-30.38,0.524,-0.034,-1.169
0.613,-0.344,0.961,27.02,-35.28,-24.64,0.524,-0.03,-1.17
0.612,-0.36,0.912,48.3,-29.61,-19.95,0.518,-0.02,-1.17
0.599,-0.444,0.864,53.899,-25.41,-15.82,0.519,-0.021,-1.172
0.566,-0.521,0.843,47.46,-21.14,-10.99,0.512,-0.016,-1.178
0.532,-0.555,0.836,29.96,-15.12,-7.07,0.511,-0.017,-1.179
0.519,-0.518,0.833,0.98,-5.81,-5.32,0.509,-0.009,-1.174
0.528,-0.413,0.8,-10.71,-2.03,-5.95,0.511,-0.011,-1.176
0.537,-0.374,0.782,-13.86,-1.19,-5.39,0.509,-0.01,-1.176
0.53,-0.364,0.774,-10.01,-1.47,-4.62,0.507,-0.008,-1.175
0.528,-0.361,0.766,-6.44,-2.38,-3.43,0.507,-0.012,-1.175
0.522,-0.371,0.765,-3.99,-3.5,-2.52,0.51,-0.01,-1.178
0.499,-0.372,0.777,-4.2,-4.76,-2.59,0.511,-0.009,-1.182
0.491,-0.361,0.777,-4.48,-4.76,-2.52,0.513,-0.01,-1.178
0.487,-0.348,0.763,-3.57,-5.18,-2.03,0.509,-0.014,-1.18
0.485,-0.335,0.743,-1.75,-6.02,-0.91,0.511,-0.011,-1.178
0.481,-0.346,0.756,-1.26,-8.12,-0.91,0.51,-0.013,-1.182
0.474,-0.351,0.776,-1.75,-8.33,-0.42,0.508,-0.012,-1.185
0.474,-0.34,0.787,-3.01,-7.98,0.35,0.507,-0.009,-1.185
0.477,-0.332,0.782,-3.08,-7.42,0.84,0.505,-0.012,-1.181
0.484,-0.328,0.772,-1.19,-7.14,1.61,0.508,-0.012,-1.181
0.491,-0.33,0.773,0.0,-6.86,3.08,0.506,-0.017,-1.178
0.492,-0.329,0.77,0.07,-6.65,3.29,0.508,-0.014,-1.181
0.486,-0.325,0.776,-1.75,-6.65,3.43,0.506,-0.016,-1.18
0.491,-0.32,0.789,-4.76,-6.02,2.52,0.507,-0.015,-1.183
0.492,-0.316,0.802,-7.14,-5.25,1.4,0.505,-0.014,-1.18
0.493,-0.31,0.804,-7.91,-3.85,0.21,0.51,-0.018,-1.184
0.499,-0.313,0.793,-7.56,-3.43,-0.91,0.507,-0.017,-1.185
0.509,-0.319,0.782,-7.84,-2.87,-1.12,0.503,-0.018,-1.185
0.515,-0.325,0.777,-10.85,-2.87,-1.75,0.507,-0.018,-1.192
0.522,-0.321,0.762,-15.96,-1.75,-1.33,0.507,-0.02,-1.189
0.532,-0.315,0.756,-23.8,-0.7,-1.89,0.505,-0.014,-1.185
0.526,-0.325,0.774,-33.04,2.17,-2.24,0.502,-0.019,-1.192
0.501,-0.326,0.819,-42.42,2.38,-2.31,0.507,-0.025,-1.193
0.488,-0.3,0.851,-42.35,2.73,-0.91,0.509,-0.028,-1.198
0.491,-0.272,0.844,-36.19,3.15,0.49,0.51,-0.035,-1.198
0.495,-0.251,0.834,-27.44,3.29,1.75,0.511,-0.036,-1.196
0.496,-0.243,0.827,-19.74,3.5,2.59,0.512,-0.041,-1.197
0.497,-0.248,0.827,-13.51,3.36,2.31,0.514,-0.041,-1.193
0.495,-0.261,0.832,-7.77,2.66,1.26,0.512,-0.04,-1.194
0.495,-0.273,0.825,-5.67,2.94,1.26,0.513,-0.038,-1.192
0.499,-0.263,0.816,-4.55,2.52,1.33,0.518,-0.042,-1.188
0.496,-0.262,0.811,-4.48,1.89,1.05,0.512,-0.039,-1.192
0.49,-0.252,0.805,-3.64,1.05,1.96,0.51,-0.041,-1.192
0.499,-0.248,0.793,-3.99,-0.42,2.87,0.514,-0.04,-1.194
0.507,-0.248,0.79,-4.55,-1.26,3.78,0.512,-0.044,-1.188
0.503,-0.248,0.79,-5.39,-1.89,4.06,0.515,-0.046,-1.2
0.505,-0.244,0.788,-6.72,-2.52,4.55,0.514,-0.043,-1.193
0.508,-0.238,0.795,-7.07,-3.29,4.69,0.514,-0.045,-1.192
0.513,-0.232,0.796,-7.7,-4.48,4.62,0.513,-0.046,-1.194
0.516,-0.23,0.797,-7.98,-5.18,4.27,0.513,-0.047,-1.193
0.518,-0.229,0.799,-8.68,-5.88,4.06,0.517,-0.05,-1.197
0.52,-0.229,0.808,-9.52,-6.51,4.2,0.514,-0.051,-1.198
0.526,-0.224,0.809,-8.75,-6.65,4.62,0.513,-0.05,-1.192
0.524,-0.22,0.819,-7.35,-7.35,4.41,0.509,-0.057,-1.193
0.52,-0.216,0.819,-5.74,-7.21,4.69,0.512,-0.058,-1.199
0.515,-0.211,0.819,-4.48,-6.51,5.18,0.512,-0.057,-1.205
0.511,-0.209,0.818,-4.9,-5.74,4.83,0.512,-0.056,-1.201
0.51,-0.205,0.823,-5.67,-4.97,4.69,0.515,-0.056,-1.199
0.504,-0.196,0.828,-6.23,-4.13,5.11,0.516,-0.055,-1.204
0.499,-0.189,0.825,-5.74,-3.5,5.04,0.511,-0.06,-1.201
0.503,-0.188,0.824,-4.34,-3.08,4.9,0.51,-0.061,-1.2
0.505,-0.193,0.826,-3.64,-2.31,4.69,0.515,-0.066,-1.197
0.51,-0.184,0.825,-4.34,-1.96,4.69,0.513,-0.065,-1.203
0.514,-0.177,0.826,-4.48,-2.03,4.41,0.51,-0.064,-1.198
