ax,ay,az,gx,gy,gz,mx,my,mz
-0.962,1.16,0.169,12.39,-41.51,-177.03,0.325,-0.521,-1.002
-0.89,0.99,0.151,-36.4,-44.03,-151.13,0.336,-0.514,-1.001
-0.783,0.84,0.159,-62.86,-46.9,-121.8,0.358,-0.508,-0.996
-0.649,0.675,0.187,-63.35,-49.7,-98.63,0.368,-0.502,-0.993
-0.53,0.509,0.193,-50.19,-49.42,-80.71,0.386,-0.498,-0.988
-0.436,0.3,0.185,-32.34,-46.9,-65.31,0.39,-0.499,-0.981
-0.366,0.123,0.184,-17.01,-41.58,-45.29,0.4,-0.495,-0.977
-0.326,-0.063,0.167,-9.38,-32.13,-23.17,0.404,-0.491,-0.984
-0.331,-0.228,0.086,-4.06,-26.32,-11.06,0.409,-0.495,-0.981
-0.354,-0.404,-0.023,-14.84,-19.32,9.59,0.411,-0.492,-0.983
-0.387,-0.588,-0.061,-37.17,-3.43,38.15,0.414,-0.496,-0.98
-0.06,1.953,-0.498,-27.23,240.94,-85.82,0.272,-0.453,-0.667
0.086,1.396,-0.329,123.62,243.81,-92.61,0.251,-0.459,-0.657
0.183,0.82,-0.255,199.78,233.94,-65.73,0.241,-0.481,-0.673
0.268,-0.074,-0.056,107.03,194.53,3.22,0.217,-0.517,-0.68
0.161,0.026,0.103,-97.58,131.88,-1.61,0.186,-0.532,-0.627
0.063,0.251,0.203,-123.2,130.13,-9.87,0.183,-0.534,-0.604
-0.232,0.856,-0.184,77.629,148.05,-62.58,0.305,-0.545,-0.519
-0.001,0.856,-0.151,149.52,169.96,-60.06,0.302,-0.584,-0.581
0.315,0.854,-0.171,156.45,194.74,-67.97,0.29,-0.601,-0.606
0.668,0.817,-0.382,91.909,165.41,-42.28,0.276,-0.615,-0.626
0.43,2.276,0.387,-126.77,-48.02,1.82,0.252,-0.463,-0.669
0.455,2.226,0.063,-12.95,-25.69,8.89,0.238,-0.456,-0.686
0.24,0.926,0.074,82.04,-101.15,-35.91,0.227,-0.486,-0.743
-0.045,0.598,0.136,83.02,-101.92,-36.33,0.236,-0.496,-0.765
-0.126,0.521,0.02,95.129,-91.14,-29.82,0.238,-0.502,-0.781
-0.198,0.416,-0.091,104.37,-86.52,-23.59,0.245,-0.512,-0.794
-0.292,0.263,-0.185,123.34,-87.57,-10.08,0.251,-0.518,-0.813
-0.487,0.006,-0.22,133.0,-84.84,19.32,0.253,-0.528,-0.837
-0.634,-0.048,-0.156,151.9,-73.64,40.53,0.244,-0.532,-0.855
-0.791,-0.185,-0.098,136.78,-46.55,29.47,0.243,-0.536,-0.864
-0.873,-0.306,-0.057,97.16,-4.34,18.83,0.234,-0.541,-0.873
-0.713,-0.276,0.045,-9.73,68.53,30.38,0.231,-0.547,-0.879
-0.425,-0.052,-0.138,-98.14,114.66,49.7,0.221,-0.547,-0.862
-0.193,0.174,-0.296,-161.21,144.62,75.32,0.213,-0.545,-0.846
-0.022,0.351,-0.428,-208.321,143.92,121.87,0.182,-0.53,-0.811
0.022,0.738,-0.442,-217.49,102.83,211.75,0.164,-0.526,-0.797
-0.955,2.778,0.855,-279.23,34.93,206.15,0.117,-0.498,-0.76
-2.227,3.731,-0.023,-294.84,142.03,138.74,0.097,-0.472,-0.737
-1.699,3.85,-0.796,-193.76,179.2,111.23,0.079,-0.459,-0.724
-0.432,3.997,-0.45,-21.21,95.899,78.889,0.055,-0.445,-0.724
-0.288,3.094,-0.232,82.32,75.32,-1.12,0.049,-0.449,-0.739
-0.286,1.896,-0.176,58.24,84.98,5.6,0.042,-0.461,-0.751
-0.079,1.467,-0.174,84.909,113.54,6.93,0.034,-0.468,-0.762
0.126,1.004,-0.21,117.95,133.0,11.06,0.024,-0.475,-0.785
0.321,0.609,-0.141,134.96,143.36,-1.19,0.018,-0.478,-0.797
0.468,0.331,-0.112,109.69,149.66,-25.97,0.014,-0.49,-0.826
0.594,-0.034,-0.195,32.76,143.43,-26.88,0.01,-0.492,-0.834
0.583,-0.101,-0.172,-23.94,114.31,-18.34,0.012,-0.492,-0.842
0.523,-0.054,-0.112,-68.88,85.679,-11.06,0.011,-0.489,-0.838
0.469,-0.035,-0.071,-80.57,61.81,-3.92,0.013,-0.486,-0.837
0.437,-0.01,-0.027,-69.02,39.62,5.6,0.008,-0.482,-0.836
0.402,0.087,0.041,-46.83,16.03,14.63,0.004,-0.476,-0.827
0.337,0.27,0.087,8.75,-10.78,14.91,-0.006,-0.478,-0.834
0.294,0.346,0.064,44.24,-22.54,4.55,-0.004,-0.483,-0.834
0.266,0.458,0.021,65.59,-35.28,-7.0,-0.006,-0.485,-0.833
0.26,0.602,-0.047,67.27,-49.35,-20.72,0.001,-0.497,-0.843
0.32,0.834,-0.154,52.429,-65.31,-44.73,0.002,-0.492,-0.842
0.676,1.453,-0.329,-2.73,-90.65,-47.32,0.01,-0.503,-0.838
