ax,ay,az,gx,gy,gz,mx,my,mz
-0.122,0.305,0.942,-1.82,-2.38,0.28,0.081,-0.338,-1.237
-0.12,0.313,0.938,-1.96,-2.66,-0.21,0.083,-0.338,-1.233
-0.122,0.316,0.936,-1.26,-3.08,-0.49,0.078,-0.339,-1.233
-0.125,0.314,0.939,-0.49,-3.36,-0.91,0.081,-0.342,-1.235
-0.125,0.309,0.942,0.0,-3.5,-1.12,0.085,-0.345,-1.236
-0.126,0.3,0.945,0.42,-3.43,-1.33,0.084,-0.343,-1.236
-0.126,0.293,0.948,-0.7,-3.15,-1.4,0.087,-0.348,-1.236
-0.129,0.295,0.947,-1.47,-2.94,-1.19,0.084,-0.342,-1.233
-0.129,0.301,0.944,-1.96,-2.73,-0.91,0.083,-0.343,-1.237
-0.127,0.309,0.939,-1.89,-2.66,-0.56,0.079,-0.345,-1.231
-0.126,0.315,0.936,-0.91,-2.73,0.0,0.083,-0.341,-1.23
-0.124,0.317,0.938,0.56,-3.01,0.0,0.083,-0.347,-1.228
-0.123,0.316,0.941,1.26,-3.08,-0.14,0.087,-0.34,-1.231
-0.122,0.312,0.939,1.4,-3.36,-0.35,0.082,-0.346,-1.231
-0.122,0.304,0.943,1.61,-3.64,-0.42,0.084,-0.342,-1.232
-0.126,0.303,0.943,1.47,-3.36,-0.35,0.085,-0.347,-1.233
-0.126,0.301,0.946,1.4,-3.5,-0.56,0.077,-0.344,-1.228
-0.126,0.3,0.946,1.26,-3.01,-0.14,0.083,-0.34,-1.235
-0.124,0.299,0.944,0.77,-3.08,-0.07,0.083,-0.342,-1.227
-0.122,0.3,0.944,0.56,-3.15,0.0,0.077,-0.345,-1.236
-0.121,0.299,0.945,0.49,-2.94,-0.07,0.083,-0.344,-1.236
-0.122,0.297,0.946,-0.21,-2.94,-0.35,0.081,-0.34,-1.236
-0.124,0.298,0.943,-1.26,-2.94,-0.56,0.079,-0.343,-1.234
-0.123,0.305,0.939,-2.24,-2.87,-0.7,0.083,-0.344,-1.233
-0.125,0.313,0.939,-1.96,-3.08,-1.05,0.084,-0.341,-1.228
-0.127,0.312,0.94,-1.4,-3.43,-1.33,0.08,-0.343,-1.231
-0.128,0.317,0.941,-1.05,-3.15,-1.19,0.083,-0.345,-1.234
-0.13,0.322,0.937,-0.21,-3.01,-0.77,0.087,-0.343,-1.236
-0.129,0.319,0.937,1.47,-3.08,-0.77,0.084,-0.346,-1.231
-0.123,0.294,0.948,2.8,-3.57,-1.05,0.086,-0.34,-1.232
-0.125,0.289,0.95,1.68,-3.43,-0.63,0.084,-0.342,-1.23
-0.129,0.294,0.949,0.14,-2.73,-0.14,0.084,-0.338,-1.237
-0.123,0.301,0.942,-0.49,-2.52,0.28,0.083,-0.343,-1.234
-0.116,0.308,0.94,-0.84,-2.73,-0.35,0.083,-0.342,-1.237
-0.12,0.3,0.945,-0.63,-2.73,-0.49,0.082,-0.343,-1.236
-0.127,0.308,0.947,-1.61,-2.66,-0.21,0.081,-0.346,-1.227
-0.136,0.313,0.947,-1.19,-2.59,-0.07,0.085,-0.347,-1.229
-0.147,0.301,0.958,0.49,-2.45,0.42,0.088,-0.343,-1.232
-0.14,0.294,0.946,1.33,-1.68,2.03,0.088,-0.343,-1.225
-0.133,0.292,0.93,3.01,-1.33,4.13,0.082,-0.344,-1.226
-0.125,0.294,0.933,3.5,-1.47,4.27,0.08,-0.345,-1.235
-0.104,0.31,0.934,2.38,-2.31,3.15,0.077,-0.341,-1.233
-0.099,0.311,0.94,0.7,-2.94,1.19,0.078,-0.34,-1.236
-0.096,0.308,0.942,-1.89,-3.08,-1.19,0.084,-0.339,-1.234
-0.1,0.304,0.946,-4.76,-3.78,-3.85,0.083,-0.339,-1.233
-0.113,0.297,0.961,-7.56,-3.78,-5.32,0.08,-0.337,-1.225
-0.133,0.285,0.965,-10.78,-3.08,-6.02,0.083,-0.34,-1.232
-0.147,0.293,0.954,-14.0,-1.96,-5.18,0.083,-0.348,-1.228
-0.156,0.32,0.941,-14.28,-0.91,-3.71,0.083,-0.346,-1.232
-0.154,0.343,0.93,-10.71,-0.28,-1.75,0.086,-0.342,-1.234
-0.146,0.356,0.919,-4.76,-0.42,0.42,0.083,-0.348,-1.226
-0.137,0.355,0.918,0.49,-1.12,1.96,0.089,-0.348,-1.231
-0.12,0.337,0.921,6.44,-2.31,2.94,0.087,-0.348,-1.233
-0.105,0.322,0.932,7.28,-3.01,2.66,0.084,-0.345,-1.233
-0.098,0.308,0.94,6.44,-3.43,1.89,0.083,-0.343,-1.227
-0.106,0.288,0.96,-2.8,-2.87,-0.98,0.088,-0.344,-1.221
-0.118,0.29,0.95,-6.86,-1.82,-1.19,0.088,-0.348,-1.224
-0.124,0.305,0.946,-10.5,-1.33,-0.7,0.089,-0.346,-1.229
-0.125,0.323,0.928,-12.04,-1.05,-0.42,0.089,-0.345,-1.227
-0.126,0.357,0.918,-9.94,-1.61,-0.49,0.084,-0.35,-1.226
-0.123,0.376,0.912,-6.72,-2.03,-0.35,0.084,-0.348,-1.223
-0.113,0.366,0.913,2.66,-3.71,-0.42,0.089,-0.349,-1.232
-0.107,0.344,0.924,5.46,-4.69,-0.84,0.089,-0.35,-1.224
-0.108,0.314,0.935,5.88,-5.46,-1.61,0.087,-0.347,-1.225
-0.111,0.303,0.945,4.83,-5.25,-1.33,0.08,-0.343,-1.228
-0.121,0.289,0.95,3.5,-4.83,-1.05,0.084,-0.345,-1.228
-0.126,0.294,0.951,0.56,-3.64,-0.42,0.09,-0.346,-1.232
-0.136,0.326,0.949,-1.54,-2.94,-0.42,0.088,-0.347,-1.233
-0.137,0.337,0.942,-1.68,-2.73,-0.07,0.089,-0.348,-1.234
-0.132,0.347,0.926,-1.05,-2.17,0.28,0.083,-0.351,-1.225
-0.123,0.345,0.912,2.1,-2.38,0.77,0.086,-0.349,-1.231
-0.111,0.347,0.909,5.95,-3.43,1.12,0.083,-0.349,-1.235
-0.103,0.355,0.911,11.76,-5.25,0.28,0.084,-0.351,-1.234
-0.111,0.344,0.926,15.68,-5.95,-0.56,0.086,-0.344,-1.227
-0.118,0.319,0.944,17.57,-6.44,-1.26,0.086,-0.346,-1.234
-0.122,0.296,0.967,14.56,-6.16,-2.1,0.085,-0.341,-1.233
-0.128,0.273,0.967,9.03,-5.18,-2.87,0.087,-0.341,-1.234
-0.131,0.262,0.96,1.33,-3.5,-3.08,0.089,-0.345,-1.237
-0.13,0.269,0.953,-1.26,-2.87,-2.45,0.091,-0.343,-1.23
-0.124,0.282,0.95,-2.8,-2.52,-1.82,0.083,-0.345,-1.23
-0.119,0.3,0.946,-4.34,-2.1,-1.47,0.082,-0.342,-1.228
-0.117,0.32,0.937,-5.6,-2.38,-1.75,0.086,-0.347,-1.229
-0.123,0.342,0.931,-5.39,-2.59,-2.45,0.089,-0.343,-1.227
-0.125,0.344,0.927,-3.5,-2.94,-3.15,0.087,-0.349,-1.229
-0.129,0.336,0.93,-0.7,-3.5,-2.94,0.088,-0.344,-1.232
-0.13,0.327,0.937,1.33,-3.71,-2.38,0.089,-0.347,-1.227
-0.13,0.314,0.941,2.66,-3.71,-1.75,0.088,-0.343,-1.231
-0.133,0.305,0.944,3.64,-3.22,-0.14,0.085,-0.346,-1.235
-0.128,0.3,0.943,3.29,-3.01,0.42,0.082,-0.34,-1.229
-0.125,0.3,0.943,3.36,-2.8,1.26,0.084,-0.344,-1.236
-0.124,0.3,0.946,3.71,-2.87,1.89,0.082,-0.343,-1.232
-0.122,0.296,0.945,3.36,-2.66,2.03,0.081,-0.339,-1.232
-0.12,0.295,0.946,2.38,-2.59,2.17,0.082,-0.342,-1.235
-0.121,0.295,0.947,0.63,-2.31,1.75,0.081,-0.341,-1.233
-0.123,0.298,0.946,-0.21,-2.38,1.33,0.082,-0.341,-1.232
-0.127,0.307,0.945,-0.42,-2.1,1.4,0.082,-0.34,-1.229
-0.129,0.312,0.941,0.07,-2.38,1.47,0.088,-0.345,-1.229
-0.126,0.312,0.938,0.91,-2.24,1.33,0.086,-0.342,-1.233
-0.12,0.31,0.941,1.12,-2.66,0.28,0.087,-0.342,-1.235
-0.118,0.315,0.941,0.35,-2.73,-0.28,0.082,-0.345,-1.23
-0.12,0.315,0.939,0.63,-2.66,-0.56,0.084,-0.346,-1.236
-0.121,0.308,0.943,1.12,-2.8,-0.77,0.087,-0.338,-1.23
-0.122,0.303,0.945,0.84,-2.73,-0.98,0.09,-0.342,-1.238
-0.122,0.298,0.944,0.84,-2.73,-0.84,0.086,-0.338,-1.236
-0.12,0.297,0.945,0.21,-2.45,-0.35,0.082,-0.338,-1.229
-0.12,0.296,0.944,-0.28,-2.59,-0.28,0.086,-0.339,-1.233
-0.119,0.299,0.943,-1.19,-2.59,-0.49,0.083,-0.336,-1.236
-0.118,0.305,0.941,-2.03,-2.52,-0.63,0.084,-0.338,-1.232
-0.116,0.313,0.94,-2.45,-2.59,-0.84,0.08,-0.341,-1.23
-0.115,0.318,0.938,-2.52,-2.38,-1.05,0.082,-0.335,-1.227
-0.115,0.317,0.937,-2.17,-2.87,-1.54,0.082,-0.342,-1.232
-0.114,0.313,0.937,-2.52,-2.94,-1.96,0.082,-0.341,-1.23
