ax,ay,az,gx,gy,gz,mx,my,mz
-1.0,0.191,0.089,17.29,-5.88,3.15,-0.195,-0.326,-0.903
-0.987,0.187,0.084,17.15,-7.21,4.41,-0.192,-0.326,-0.904
-0.997,0.179,0.097,15.75,-8.26,4.9,-0.196,-0.328,-0.904
-0.989,0.17,0.099,11.62,-5.67,4.48,-0.192,-0.329,-0.903
-0.967,0.169,0.087,6.79,-3.78,4.13,-0.191,-0.325,-0.904
-0.957,0.174,0.087,3.08,-4.34,3.22,-0.198,-0.323,-0.909
-0.959,0.183,0.088,-17.71,-6.16,1.4,-0.197,-0.32,-0.903
-0.993,0.198,0.076,-1.26,-6.58,0.49,-0.197,-0.319,-0.908
-1.003,0.205,0.077,0.07,-7.0,0.35,-0.194,-0.324,-0.905
-0.991,0.207,0.067,3.08,-5.39,0.91,-0.194,-0.325,-0.909
-0.974,0.202,0.053,5.95,-4.83,1.19,-0.194,-0.323,-0.908
-0.973,0.189,0.056,7.0,-6.37,0.7,-0.198,-0.325,-0.911
-0.981,0.176,0.072,5.18,-6.16,-0.49,-0.196,-0.327,-0.906
-0.976,0.173,0.085,3.08,-4.97,-0.91,-0.194,-0.324,-0.91
-0.967,0.172,0.097,2.03,-4.06,-0.77,-0.196,-0.324,-0.902
-0.966,0.168,0.104,1.96,-3.29,-0.63,-0.2,-0.322,-0.906
-0.976,0.161,0.091,1.05,-3.64,-0.56,-0.194,-0.319,-0.902
-0.996,0.155,0.087,-2.1,-3.43,-0.35,-0.195,-0.32,-0.902
-0.994,0.165,0.087,-5.18,-2.38,0.07,-0.194,-0.326,-0.904
-0.977,0.179,0.082,-7.0,-1.75,0.35,-0.192,-0.322,-0.905
-0.962,0.193,0.077,-6.79,-2.52,0.14,-0.196,-0.322,-0.901
-0.961,0.198,0.066,-5.04,-3.57,0.14,-0.195,-0.322,-0.906
-0.977,0.194,0.061,-2.31,-5.04,0.28,-0.195,-0.325,-0.907
-0.996,0.187,0.074,-0.21,-5.6,1.26,-0.195,-0.323,-0.9
-0.999,0.181,0.086,0.49,-5.04,2.03,-0.195,-0.32,-0.903
-0.987,0.179,0.09,1.61,-4.69,3.08,-0.196,-0.321,-0.905
-0.977,0.171,0.081,2.87,-4.83,3.64,-0.196,-0.317,-0.903
-0.976,0.162,0.076,4.13,-5.88,4.41,-0.195,-0.315,-0.904
-0.985,0.15,0.057,4.34,-7.42,4.97,-0.197,-0.318,-0.899
-1.017,0.148,0.05,3.36,-11.27,6.93,-0.195,-0.315,-0.901
-1.019,0.151,0.055,3.36,-12.39,8.82,-0.199,-0.314,-0.897
-1.013,0.151,0.039,4.83,-12.81,11.13,-0.196,-0.321,-0.898
-1.019,0.131,0.019,7.98,-15.75,13.37,-0.198,-0.316,-0.903
-1.026,0.092,0.008,10.36,-18.27,16.66,-0.202,-0.313,-0.898
-1.028,0.058,0.003,8.96,-18.27,20.16,-0.198,-0.312,-0.899
