ax,ay,az,gx,gy,gz,mx,my,mz
-0.232,0.546,0.988,81.06,-45.29,-18.06,0.132,-0.328,-0.948
-0.295,0.352,1.025,79.31,-43.75,-12.74,0.129,-0.332,-0.96
-0.228,0.207,0.902,76.929,-28.07,-9.66,0.125,-0.333,-0.963
-0.234,0.242,0.854,44.17,-22.89,-20.65,0.117,-0.336,-0.978
-0.19,0.22,0.754,0.98,-21.28,-34.16,0.119,-0.34,-0.978
-0.194,0.234,0.703,-31.64,-34.16,-30.73,0.116,-0.349,-0.986
-0.242,0.323,0.71,-45.78,-56.63,-16.94,0.113,-0.355,-0.985
-0.361,0.521,0.803,-47.46,-82.18,-12.18,0.107,-0.358,-0.978
-0.432,0.573,0.831,-43.19,-90.23,-19.95,0.103,-0.358,-0.974
-0.483,0.587,0.818,-28.7,-89.46,-19.95,0.105,-0.363,-0.962
-0.48,0.545,0.766,-9.94,-83.16,-10.22,0.098,-0.366,-0.959
-0.443,0.494,0.717,4.27,-84.98,1.12,0.098,-0.37,-0.969
-0.421,0.462,0.665,9.73,-96.88,8.68,0.091,-0.367,-0.966
-0.45,0.423,0.469,-2.38,-106.89,7.35,0.083,-0.369,-0.964
-0.557,0.423,0.472,-23.59,-110.88,7.56,0.081,-0.369,-0.95
-0.774,0.485,0.579,-50.89,-94.5,11.48,0.08,-0.367,-0.936
-0.909,0.678,0.577,-83.37,-67.06,18.2,0.088,-0.362,-0.929
-0.756,0.894,0.888,-75.6,-105.49,9.94,0.096,-0.357,-0.907
-0.237,0.969,0.953,38.64,-143.78,7.56,0.103,-0.352,-0.899
0.001,0.43,0.771,141.05,-167.02,28.7,0.106,-0.344,-0.916
-0.307,0.067,0.617,203.0,-182.0,73.149,0.096,-0.337,-0.928
-0.74,-0.097,0.574,157.57,-157.01,76.159,0.092,-0.33,-0.935
-0.88,-0.239,0.523,44.94,-116.34,58.87,0.08,-0.316,-0.922
-0.892,-0.011,0.547,-61.32,-96.81,59.29,0.076,-0.317,-0.916
-0.888,0.284,0.588,-141.33,-89.74,49.56,0.073,-0.309,-0.89
-0.932,0.388,0.557,-134.26,-99.47,65.73,0.076,-0.311,-0.885
-0.957,0.305,0.48,-125.37,-104.79,84.07,0.076,-0.312,-0.862
-0.969,0.211,0.419,-131.321,-101.71,97.16,0.07,-0.306,-0.852
-0.931,0.223,0.322,-153.44,-93.52,107.03,0.065,-0.308,-0.846
-0.896,0.314,0.263,-178.71,-82.6,111.58,0.069,-0.303,-0.82
-0.794,0.417,0.129,-162.61,-66.08,110.46,0.067,-0.298,-0.807
-0.862,0.448,0.169,-140.14,-54.88,114.17,0.065,-0.291,-0.791
-0.845,0.536,0.253,-116.62,-49.14,106.05,0.066,-0.285,-0.786
-0.848,0.647,0.413,-99.05,-45.15,96.879,0.062,-0.276,-0.776
-0.864,0.522,0.341,-60.13,-44.45,89.81,0.059,-0.268,-0.771
-1.006,0.172,0.236,-26.67,-51.31,88.899,0.057,-0.26,-0.758
-1.09,-0.006,0.136,-54.95,-51.1,82.11,0.051,-0.246,-0.747
-1.164,-0.167,0.052,-85.61,-49.42,81.69,0.046,-0.236,-0.751
-1.111,-0.131,0.119,-119.7,-45.08,81.06,0.042,-0.223,-0.744
-1.095,-0.211,0.154,-143.15,-44.8,72.169,0.033,-0.218,-0.741
-0.957,-0.218,0.147,-179.06,-40.53,71.399,0.034,-0.206,-0.727
-0.934,0.125,0.142,-157.85,-46.83,85.19,0.033,-0.201,-0.724
-1.026,0.642,0.018,-81.83,-48.37,90.72,0.029,-0.198,-0.719
-1.088,0.739,0.041,-4.97,-54.88,106.89,0.024,-0.189,-0.714
-1.084,0.695,0.054,45.22,-66.29,112.35,0.017,-0.186,-0.714
-1.104,0.516,0.206,76.79,-92.75,107.03,0.013,-0.177,-0.718
-1.262,0.416,0.376,104.09,-102.06,101.43,0.008,-0.173,-0.723
-1.371,0.227,0.399,123.34,-100.52,100.94,-0.008,-0.167,-0.725
-1.473,0.061,0.094,110.95,-107.73,98.49,-0.039,-0.16,-0.738
-1.431,-0.056,-0.095,105.07,-119.77,81.129,-0.049,-0.158,-0.739
-1.524,-0.087,-0.161,121.45,-140.56,45.15,-0.073,-0.16,-0.753
-1.676,-0.267,-0.195,114.31,-108.15,-6.44,-0.084,-0.169,-0.746
-1.697,-0.499,-0.214,86.45,-22.68,-23.73,-0.105,-0.182,-0.763
-1.445,-0.391,-0.192,37.52,74.97,-4.97,-0.116,-0.188,-0.775
-1.111,-0.277,-0.122,4.69,94.57,-28.56,-0.128,-0.194,-0.784
-1.066,-0.177,-0.028,-20.3,110.11,-57.75,-0.149,-0.201,-0.812
-1.052,-0.067,-0.013,-32.06,120.96,-71.26,-0.162,-0.21,-0.819
-1.023,-0.023,-0.043,-26.6,116.06,-75.95,-0.175,-0.226,-0.842
-0.992,-0.015,-0.059,-6.65,101.43,-71.47,-0.183,-0.233,-0.857
-0.922,-0.063,-0.056,20.51,76.72,-51.87,-0.185,-0.236,-0.86
-0.799,-0.088,-0.004,21.07,62.72,-40.88,-0.194,-0.243,-0.88
-0.749,-0.083,-0.002,2.87,47.04,-38.01,-0.198,-0.25,-0.885
