ax,ay,az,gx,gy,gz,mx,my,mz
-0.148,0.143,1.015,1.68,-7.91,-1.68,0.271,-0.275,-1.353
-0.156,0.131,1.021,1.12,-7.49,-0.98,0.268,-0.272,-1.352
-0.159,0.127,1.018,-0.49,-6.02,-0.63,0.266,-0.281,-1.349
-0.161,0.127,1.016,-1.89,-5.11,-0.84,0.269,-0.28,-1.355
-0.159,0.134,1.015,-4.41,-3.78,-1.19,0.269,-0.28,-1.349
-0.154,0.14,1.005,-6.79,-3.08,-1.61,0.27,-0.281,-1.351
-0.152,0.15,1.012,-8.19,-2.87,-1.75,0.274,-0.282,-1.355
-0.156,0.159,1.004,-8.61,-2.38,-1.54,0.268,-0.284,-1.354
-0.157,0.17,0.991,-8.05,-2.1,-1.26,0.271,-0.287,-1.347
-0.155,0.174,0.989,-6.09,-2.66,-0.77,0.271,-0.285,-1.351
-0.152,0.176,0.986,-1.68,-2.73,-1.47,0.27,-0.287,-1.356
-0.154,0.17,0.979,0.63,-2.03,-1.89,0.271,-0.286,-1.36
-0.15,0.16,0.974,2.17,-1.96,-1.47,0.266,-0.283,-1.355
-0.145,0.154,0.973,2.1,-1.96,-1.47,0.268,-0.288,-1.355
-0.152,0.157,0.978,0.07,-2.17,-1.61,0.267,-0.281,-1.354
-0.16,0.17,0.975,-1.33,-0.7,-1.26,0.268,-0.287,-1.354
-0.162,0.187,0.976,-0.42,-0.14,-1.75,0.271,-0.287,-1.354
-0.164,0.184,0.98,0.35,0.07,-2.31,0.276,-0.288,-1.352
-0.171,0.193,1.005,1.12,0.7,-2.8,0.27,-0.285,-1.356
-0.194,0.226,1.051,0.07,3.85,-4.2,0.27,-0.284,-1.349
-0.225,0.273,1.079,-2.1,9.24,-6.51,0.269,-0.282,-1.353
-0.242,0.305,1.082,-1.82,17.5,-13.09,0.273,-0.285,-1.351
-0.221,0.271,1.07,-0.07,20.79,-17.57,0.276,-0.285,-1.35
-0.182,0.21,1.06,-2.66,23.17,-21.77,0.276,-0.287,-1.347
-0.167,0.176,1.114,-11.62,25.97,-25.34,0.286,-0.284,-1.344
-0.166,0.156,1.129,-30.59,32.83,-29.12,0.291,-0.286,-1.341
-0.148,0.134,1.095,-52.08,39.55,-31.99,0.306,-0.296,-1.344
-0.134,0.054,1.101,-88.9,44.24,-32.41,0.306,-0.309,-1.336
