ax,ay,az,gx,gy,gz,mx,my,mz
-0.968,0.34,0.072,68.46,19.25,-49.77,-0.1,-0.306,-0.93
-0.975,0.303,0.05,76.02,22.68,-48.65,-0.089,-0.3,-0.937
-0.956,0.276,0.045,75.25,24.71,-49.49,-0.084,-0.3,-0.94
-0.96,0.257,0.039,68.46,24.71,-54.6,-0.086,-0.298,-0.942
-0.993,0.249,0.041,57.05,24.78,-61.95,-0.084,-0.299,-0.95
-1.036,0.248,0.001,27.72,26.46,-81.55,-0.084,-0.304,-0.953
-1.019,0.247,-0.02,19.46,26.39,-87.92,-0.086,-0.311,-0.951
-0.997,0.241,-0.04,13.51,25.41,-94.08,-0.089,-0.318,-0.954
-0.97,0.238,-0.054,9.03,23.94,-100.03,-0.085,-0.323,-0.954
-0.929,0.229,-0.059,6.09,21.56,-105.84,-0.088,-0.333,-0.963
-0.883,0.213,-0.06,4.27,16.73,-112.7,-0.084,-0.34,-0.962
-0.853,0.195,-0.062,3.85,12.39,-115.57,-0.085,-0.348,-0.971
-0.891,0.199,-0.067,1.54,8.12,-117.18,-0.077,-0.357,-0.973
-0.963,0.206,-0.076,-2.94,5.39,-117.04,-0.075,-0.364,-0.978
-1.056,0.198,-0.089,-7.21,2.94,-114.03,-0.066,-0.379,-0.983
-1.169,0.183,-0.073,-10.92,-0.56,-107.1,-0.064,-0.389,-0.98
-1.316,0.179,-0.008,-17.22,-5.46,-90.23,-0.06,-0.399,-0.978
-1.376,0.201,0.035,-19.11,-10.29,-75.81,-0.057,-0.397,-0.975
-1.434,0.213,0.007,-16.52,-16.03,-58.17,-0.055,-0.404,-0.973
-1.503,0.198,-0.026,-11.69,-22.26,-36.4,-0.053,-0.411,-0.97
-1.507,0.19,-0.034,-8.68,-28.28,-14.0,-0.056,-0.407,-0.966
-1.419,0.206,0.034,-8.19,-33.25,3.57,-0.056,-0.402,-0.968
-1.195,0.26,0.133,-1.26,-42.07,23.66,-0.058,-0.407,-0.972
-1.034,0.288,0.18,13.09,-50.12,33.32,-0.062,-0.407,-0.967
-0.921,0.319,0.247,36.19,-57.47,38.08,-0.068,-0.411,-0.96
-0.896,0.349,0.394,63.07,-63.07,37.94,-0.069,-0.398,-0.963
-0.933,0.351,0.451,89.46,-63.35,32.06,-0.071,-0.399,-0.968
-0.979,0.178,0.319,105.49,-49.84,17.08,-0.072,-0.398,-0.969
-0.981,0.053,0.252,95.27,-29.54,10.15,-0.075,-0.396,-0.98
-0.949,-0.058,0.215,62.3,-3.5,5.67,-0.075,-0.405,-0.986
-0.901,-0.107,0.179,15.68,18.55,5.32,-0.072,-0.402,-0.992
-0.887,-0.073,0.157,-31.22,30.59,7.91,-0.071,-0.403,-0.991
-0.891,0.034,0.179,-81.41,41.58,16.59,-0.082,-0.398,-0.977
-0.869,0.107,0.237,-98.77,48.72,25.69,-0.086,-0.397,-0.978
-0.836,0.156,0.308,-105.63,53.62,34.51,-0.082,-0.399,-0.977
-0.797,0.167,0.317,-107.8,56.07,41.02,-0.087,-0.396,-0.972
-0.754,0.155,0.253,-109.13,58.1,44.45,-0.089,-0.389,-0.969
-0.723,0.139,0.174,-112.21,59.71,47.18,-0.092,-0.387,-0.963
-0.708,0.148,0.121,-120.12,60.69,53.06,-0.098,-0.386,-0.965
-0.705,0.215,0.08,-125.86,60.83,56.629,-0.097,-0.379,-0.955
