ax,ay,az,gx,gy,gz,mx,my,mz
-0.912,0.407,0.071,-0.21,-2.87,0.7,-0.193,-0.247,-0.795
-0.912,0.411,0.07,0.21,-3.22,0.7,-0.194,-0.249,-0.795
-0.913,0.409,0.069,0.7,-3.57,0.98,-0.195,-0.248,-0.795
-0.913,0.406,0.07,0.63,-3.85,1.05,-0.196,-0.244,-0.798
-0.914,0.406,0.071,0.35,-3.92,1.12,-0.198,-0.247,-0.801
-0.919,0.409,0.073,-0.07,-4.2,0.98,-0.194,-0.248,-0.797
-0.919,0.409,0.073,-0.14,-4.41,1.05,-0.196,-0.249,-0.802
-0.918,0.409,0.074,-0.28,-4.41,1.05,-0.197,-0.251,-0.802
-0.914,0.409,0.075,-0.35,-4.69,1.12,-0.199,-0.251,-0.794
-0.912,0.405,0.078,-0.35,-4.9,0.98,-0.196,-0.247,-0.805
-0.917,0.406,0.082,-0.21,-5.18,1.19,-0.198,-0.251,-0.79
-0.916,0.405,0.084,0.07,-5.18,1.54,-0.198,-0.248,-0.791
-0.913,0.405,0.082,0.35,-5.18,1.82,-0.2,-0.251,-0.794
-0.915,0.406,0.083,0.28,-5.32,2.03,-0.195,-0.244,-0.796
-0.918,0.407,0.093,0.49,-5.46,2.1,-0.2,-0.246,-0.796
-0.91,0.4,0.09,0.42,-5.25,1.82,-0.196,-0.245,-0.792
-0.917,0.401,0.087,-0.98,-5.39,1.54,-0.195,-0.239,-0.798
-0.917,0.404,0.1,-1.47,-5.04,1.82,-0.193,-0.242,-0.796
-0.901,0.402,0.097,-1.26,-4.62,2.1,-0.197,-0.243,-0.8
-0.894,0.395,0.098,-1.05,-4.55,1.96,-0.199,-0.244,-0.794
-0.891,0.393,0.107,-1.82,-4.76,1.96,-0.194,-0.244,-0.797
-0.895,0.398,0.118,-2.73,-4.41,2.03,-0.194,-0.245,-0.797
-0.919,0.415,0.13,-3.22,-3.85,3.36,-0.195,-0.242,-0.788
-0.928,0.425,0.135,-3.08,-3.15,3.92,-0.196,-0.242,-0.787
-0.925,0.43,0.137,-3.15,-2.52,3.85,-0.198,-0.237,-0.79
-0.92,0.44,0.137,-3.85,-2.1,2.66,-0.195,-0.236,-0.788
-0.912,0.44,0.138,-4.41,-1.89,0.7,-0.203,-0.239,-0.785
-0.903,0.435,0.143,-3.85,-2.24,-0.91,-0.199,-0.234,-0.786
-0.897,0.429,0.146,-2.38,-2.45,-1.96,-0.197,-0.236,-0.791
-0.89,0.426,0.158,-0.84,-2.73,-1.96,-0.199,-0.232,-0.786
-0.849,0.412,0.158,0.77,-2.59,-1.26,-0.203,-0.233,-0.779
-0.817,0.399,0.151,3.43,-3.01,-0.91,-0.202,-0.231,-0.775
-0.801,0.395,0.144,5.74,-3.43,-0.84,-0.202,-0.232,-0.774
-0.829,0.402,0.132,8.68,-3.99,0.0,-0.203,-0.231,-0.779
-0.899,0.418,0.138,13.51,-5.11,3.36,-0.205,-0.228,-0.776
-0.951,0.422,0.137,17.78,-3.29,8.12,-0.202,-0.229,-0.774
-0.957,0.408,0.117,17.78,-0.84,12.11,-0.208,-0.223,-0.768
-0.938,0.417,0.076,7.98,2.73,12.53,-0.2,-0.224,-0.761
-0.904,0.439,0.06,1.12,2.94,9.45,-0.206,-0.217,-0.763
-0.915,0.464,0.057,-1.26,2.03,6.44,-0.205,-0.216,-0.76
-0.922,0.473,0.059,-0.49,1.4,5.18,-0.206,-0.212,-0.753
-0.913,0.467,0.054,1.61,1.4,5.67,-0.206,-0.209,-0.753
-0.916,0.453,0.049,2.03,2.03,6.86,-0.21,-0.202,-0.737
-0.919,0.432,0.049,-4.34,3.43,7.56,-0.215,-0.202,-0.736
-0.862,0.43,0.041,-12.39,4.76,6.72,-0.217,-0.198,-0.739
-0.835,0.457,0.054,-19.81,3.85,5.25,-0.223,-0.189,-0.72
-0.811,0.47,0.057,-22.19,2.8,3.57,-0.223,-0.19,-0.718
-0.788,0.469,0.057,-21.28,1.75,2.52,-0.223,-0.182,-0.701
-0.771,0.469,0.062,-18.83,0.7,2.73,-0.225,-0.181,-0.688
-0.763,0.463,0.07,-15.19,-0.91,4.27,-0.229,-0.179,-0.68
-0.752,0.447,0.071,-10.08,-1.61,6.3,-0.222,-0.176,-0.654
-0.749,0.439,0.072,-8.47,-2.45,8.19,-0.224,-0.172,-0.644
-0.754,0.445,0.065,-8.75,-3.01,9.38,-0.215,-0.178,-0.6
-0.776,0.459,0.07,-9.73,-3.92,10.92,-0.209,-0.18,-0.58
-0.781,0.469,0.076,-10.01,-4.06,12.25,-0.197,-0.184,-0.555
-0.778,0.465,0.068,-10.64,-3.85,12.88,-0.166,-0.206,-0.514
