ax,ay,az,gx,gy,gz,mx,my,mz
-0.907,0.409,0.145,-0.42,-5.11,1.19,-0.121,-0.427,-0.919
-0.907,0.409,0.146,0.49,-5.39,1.47,-0.125,-0.425,-0.917
-0.908,0.411,0.147,0.91,-5.25,1.61,-0.119,-0.426,-0.92
-0.909,0.414,0.148,0.98,-5.25,1.33,-0.122,-0.426,-0.917
-0.906,0.418,0.147,0.84,-4.69,1.47,-0.12,-0.424,-0.918
-0.907,0.421,0.147,0.91,-4.9,0.77,-0.118,-0.425,-0.919
-0.91,0.423,0.149,1.19,-4.41,0.35,-0.125,-0.421,-0.917
-0.914,0.426,0.146,1.26,-3.92,0.07,-0.121,-0.426,-0.92
-0.917,0.429,0.145,1.19,-3.78,-0.35,-0.12,-0.422,-0.912
-0.912,0.429,0.141,1.19,-3.22,-0.7,-0.124,-0.426,-0.918
-0.909,0.428,0.139,1.12,-3.15,-1.47,-0.126,-0.424,-0.914
-0.907,0.427,0.136,1.12,-2.87,-1.89,-0.124,-0.426,-0.919
-0.909,0.425,0.135,1.26,-3.01,-2.52,-0.123,-0.425,-0.915
-0.91,0.424,0.133,1.4,-2.94,-2.8,-0.118,-0.43,-0.917
-0.914,0.421,0.131,1.82,-2.8,-2.8,-0.12,-0.427,-0.919
-0.912,0.416,0.13,2.17,-2.73,-3.01,-0.121,-0.421,-0.917
-0.91,0.412,0.129,1.61,-2.8,-3.36,-0.118,-0.431,-0.919
-0.91,0.408,0.127,1.12,-2.66,-3.99,-0.121,-0.428,-0.922
-0.912,0.405,0.128,0.91,-2.87,-4.2,-0.122,-0.428,-0.915
-0.91,0.401,0.125,0.77,-3.08,-4.06,-0.12,-0.428,-0.922
-0.91,0.395,0.124,0.84,-3.15,-3.78,-0.118,-0.427,-0.916
-0.912,0.391,0.122,0.63,-3.64,-3.15,-0.113,-0.425,-0.915
-0.91,0.387,0.125,0.42,-3.85,-2.59,-0.115,-0.431,-0.913
-0.903,0.382,0.121,-0.42,-4.06,-2.59,-0.121,-0.43,-0.91
-0.905,0.377,0.116,-1.12,-4.62,-2.66,-0.119,-0.429,-0.909
-0.918,0.38,0.118,-1.75,-5.18,-2.31,-0.118,-0.427,-0.917
-0.923,0.383,0.121,-1.96,-5.74,-1.47,-0.118,-0.425,-0.92
-0.918,0.382,0.119,-1.54,-6.16,-0.7,-0.12,-0.431,-0.912
-0.904,0.376,0.12,-1.19,-7.28,-0.42,-0.119,-0.431,-0.915
-0.906,0.389,0.127,-1.05,-8.4,-1.12,-0.116,-0.433,-0.915
-0.911,0.382,0.125,0.63,-8.68,-1.33,-0.119,-0.432,-0.914
-0.918,0.375,0.136,1.89,-8.82,-0.98,-0.118,-0.423,-0.911
-0.927,0.367,0.142,1.96,-8.61,-0.63,-0.119,-0.427,-0.907
-0.931,0.36,0.143,1.33,-8.05,0.35,-0.118,-0.428,-0.911
-0.931,0.363,0.141,-0.7,-7.21,0.91,-0.118,-0.426,-0.91
-0.926,0.369,0.14,-1.82,-5.53,3.29,-0.117,-0.425,-0.909
-0.927,0.378,0.135,-1.82,-5.11,5.25,-0.11,-0.424,-0.911
-0.957,0.394,0.125,-0.98,-4.83,8.4,-0.116,-0.423,-0.912
-0.962,0.402,0.11,-0.91,-4.34,11.2,-0.114,-0.421,-0.907
-0.938,0.407,0.096,-1.75,-4.13,13.3,-0.12,-0.422,-0.909
-0.901,0.42,0.091,-2.73,-4.76,13.58,-0.121,-0.421,-0.908
-0.872,0.439,0.085,-1.82,-6.3,12.32,-0.123,-0.42,-0.908
-0.868,0.452,0.088,1.96,-8.54,10.57,-0.125,-0.422,-0.905
-0.906,0.436,0.101,9.66,-10.36,10.57,-0.12,-0.416,-0.91
-0.924,0.419,0.111,11.27,-9.66,11.62,-0.125,-0.418,-0.911
-0.928,0.412,0.11,8.4,-7.7,12.11,-0.13,-0.418,-0.912
-0.917,0.414,0.102,3.29,-5.67,11.27,-0.128,-0.416,-0.91
-0.903,0.429,0.093,-2.17,-3.99,8.75,-0.125,-0.416,-0.906
-0.89,0.45,0.093,-5.25,-3.36,5.6,-0.133,-0.415,-0.91
-0.878,0.453,0.086,-4.62,-3.08,2.59,-0.13,-0.414,-0.91
-0.875,0.44,0.084,-1.4,-3.36,0.28,-0.126,-0.412,-0.914
-0.884,0.411,0.083,-0.42,-3.15,-0.42,-0.128,-0.409,-0.907
-0.885,0.403,0.081,-1.33,-2.87,-0.21,-0.127,-0.414,-0.903
-0.89,0.401,0.079,-2.87,-2.45,-0.21,-0.128,-0.414,-0.911
-0.887,0.402,0.081,-4.48,-1.82,-0.77,-0.129,-0.418,-0.91
-0.873,0.405,0.084,-6.16,-1.54,-1.68,-0.129,-0.417,-0.904
-0.858,0.404,0.086,-6.3,-1.26,-3.43,-0.127,-0.42,-0.905
-0.854,0.405,0.094,-5.6,-0.91,-4.97,-0.131,-0.417,-0.903
-0.857,0.391,0.103,-4.55,-0.28,-6.23,-0.127,-0.416,-0.901
-0.859,0.375,0.102,-4.34,1.33,-8.05,-0.128,-0.417,-0.908
-0.885,0.363,0.109,-6.58,3.15,-8.82,-0.126,-0.41,-0.906
-0.893,0.363,0.107,-8.89,5.25,-8.89,-0.125,-0.418,-0.9
-0.867,0.355,0.099,-11.27,7.07,-9.1,-0.125,-0.42,-0.902
-0.837,0.356,0.09,-14.56,8.19,-10.85,-0.13,-0.419,-0.905
