ax,ay,az,gx,gy,gz,mx,my,mz
-0.063,0.357,0.934,1.68,-2.24,-0.14,0.135,-0.369,-1.205
-0.063,0.355,0.935,1.4,-1.89,-0.07,0.134,-0.369,-1.201
-0.059,0.363,0.929,1.12,-1.68,-0.56,0.134,-0.366,-1.204
-0.052,0.38,0.924,1.75,-1.96,-1.47,0.13,-0.364,-1.201
-0.055,0.382,0.932,4.48,-2.1,-2.31,0.134,-0.365,-1.2
-0.059,0.375,0.942,7.21,-1.61,-2.8,0.134,-0.368,-1.205
-0.07,0.364,0.967,9.1,-1.12,-3.08,0.133,-0.368,-1.201
-0.072,0.368,0.97,9.45,0.84,-3.78,0.137,-0.364,-1.212
-0.065,0.371,0.969,7.56,2.59,-4.83,0.138,-0.368,-1.205
-0.053,0.354,0.958,9.03,3.78,-7.49,0.144,-0.365,-1.209
-0.032,0.31,0.98,9.52,3.64,-8.68,0.14,-0.359,-1.205
-0.025,0.285,0.984,5.67,4.83,-7.7,0.138,-0.356,-1.211
-0.021,0.278,1.015,0.0,5.88,-6.86,0.145,-0.359,-1.214
0.017,0.255,1.049,-8.05,9.24,-7.98,0.148,-0.36,-1.208
0.045,0.273,1.089,-24.71,15.68,-12.53,0.148,-0.362,-1.209
0.083,0.312,1.086,-45.01,20.37,-18.13,0.159,-0.37,-1.203
0.178,0.317,1.093,-51.87,21.49,-24.71,0.162,-0.374,-1.21
0.255,0.325,1.093,-65.8,20.51,-31.99,0.165,-0.38,-1.203
0.259,0.356,1.075,-86.17,20.02,-44.94,0.182,-0.397,-1.194
0.449,0.434,1.119,-111.65,23.52,-50.19,0.189,-0.406,-1.189
0.542,0.707,1.045,-88.2,22.4,-28.7,0.206,-0.422,-1.19
0.439,0.686,1.029,-48.44,17.08,-42.63,0.21,-0.421,-1.189
0.475,0.606,0.989,-9.03,14.0,-43.82,0.218,-0.432,-1.192
0.502,0.569,0.975,11.9,13.93,-45.22,0.234,-0.438,-1.201
0.482,0.496,0.999,21.7,15.47,-47.88,0.245,-0.436,-1.204
0.461,0.439,1.014,8.05,20.72,-49.28,0.264,-0.435,-1.206
0.463,0.497,0.946,-15.89,26.46,-53.27,0.27,-0.438,-1.21
0.488,0.574,0.875,-27.86,27.23,-57.33,0.284,-0.437,-1.205
0.514,0.577,0.844,-24.78,24.71,-59.29,0.299,-0.442,-1.211
0.508,0.533,0.817,-27.51,21.35,-62.23,0.309,-0.445,-1.205
0.458,0.423,0.784,-51.59,18.9,-63.0,0.327,-0.454,-1.208
0.431,0.453,0.748,-70.21,17.99,-60.9,0.337,-0.459,-1.206
