ax,ay,az,gx,gy,gz,mx,my,mz
-0.889,0.443,0.166,0.77,-3.85,0.42,-0.143,-0.424,-0.925
-0.891,0.442,0.168,0.98,-3.92,0.35,-0.141,-0.425,-0.927
-0.892,0.439,0.171,1.12,-4.13,0.35,-0.141,-0.426,-0.921
-0.886,0.434,0.166,0.56,-3.36,0.14,-0.14,-0.427,-0.923
-0.889,0.434,0.162,-0.49,-3.71,-0.07,-0.14,-0.43,-0.924
-0.89,0.442,0.17,-0.91,-3.64,0.28,-0.144,-0.425,-0.918
-0.883,0.444,0.168,-0.42,-4.13,0.63,-0.142,-0.428,-0.92
-0.886,0.439,0.167,0.21,-4.34,0.49,-0.147,-0.428,-0.919
-0.889,0.438,0.171,0.63,-4.55,0.77,-0.139,-0.423,-0.921
-0.888,0.437,0.173,0.14,-4.13,0.56,-0.143,-0.421,-0.922
-0.887,0.437,0.171,0.07,-3.85,0.7,-0.142,-0.424,-0.926
-0.889,0.44,0.173,0.0,-4.06,0.63,-0.145,-0.427,-0.92
-0.891,0.438,0.171,-0.21,-3.64,0.49,-0.141,-0.425,-0.924
-0.892,0.439,0.167,-0.56,-3.5,0.49,-0.138,-0.423,-0.921
-0.895,0.44,0.165,-0.56,-3.43,0.21,-0.144,-0.424,-0.918
-0.895,0.441,0.167,-0.63,-3.29,0.35,-0.14,-0.421,-0.917
-0.892,0.439,0.167,-0.63,-3.08,0.42,-0.143,-0.423,-0.916
-0.887,0.436,0.163,-0.49,-3.29,0.42,-0.14,-0.423,-0.917
-0.89,0.436,0.16,-0.7,-3.78,0.42,-0.146,-0.422,-0.924
-0.891,0.437,0.164,-0.98,-3.64,0.56,-0.144,-0.424,-0.923
-0.888,0.437,0.162,-0.84,-3.57,0.7,-0.142,-0.422,-0.922
-0.89,0.434,0.159,-0.56,-3.78,0.63,-0.145,-0.421,-0.925
-0.892,0.433,0.159,-0.63,-4.06,0.98,-0.14,-0.427,-0.921
-0.893,0.434,0.161,-1.12,-3.92,0.91,-0.145,-0.424,-0.923
-0.892,0.439,0.16,-0.91,-4.2,1.54,-0.143,-0.424,-0.923
-0.894,0.439,0.16,-0.42,-4.48,1.75,-0.148,-0.424,-0.92
-0.894,0.438,0.159,0.14,-4.69,1.89,-0.146,-0.42,-0.92
-0.895,0.437,0.16,0.0,-4.62,1.75,-0.142,-0.424,-0.922
-0.895,0.438,0.161,0.07,-4.83,1.54,-0.146,-0.422,-0.919
