ax,ay,az,gx,gy,gz,mx,my,mz
-0.363,-0.187,-0.014,-10.57,-116.76,-16.45,0.055,-0.537,-1.011
-0.348,-0.312,0.055,-5.88,-113.89,-8.26,0.052,-0.534,-1.011
-0.298,-0.433,0.157,-10.36,-108.78,6.3,0.052,-0.535,-1.006
-0.251,-0.459,0.199,-17.22,-103.11,31.29,0.052,-0.538,-1.0
-0.238,-0.4,0.204,-33.18,-98.91,66.85,0.044,-0.533,-0.994
-0.297,-0.067,0.24,-68.39,-97.65,108.15,0.034,-0.531,-0.973
-0.468,0.696,0.342,-109.83,-92.68,141.54,0.008,-0.526,-0.961
-0.802,1.928,0.469,-106.96,-74.2,201.67,-0.008,-0.514,-0.948
-1.195,3.419,0.397,-12.04,-26.25,231.14,-0.045,-0.49,-0.95
-1.108,3.879,0.536,213.29,-20.93,206.92,-0.067,-0.478,-0.959
-1.143,3.071,0.763,395.08,-36.12,142.1,-0.086,-0.456,-1.016
-1.111,1.695,0.807,506.03,-54.11,120.12,-0.094,-0.448,-1.046
-0.923,0.481,1.073,428.33,-76.44,133.56,-0.104,-0.43,-1.072
-0.799,0.016,1.298,195.23,-50.75,134.4,-0.12,-0.4,-1.093
-0.625,0.202,1.126,-55.65,1.61,84.7,-0.125,-0.398,-1.095
-0.468,0.537,0.83,-233.17,33.81,33.46,-0.129,-0.397,-1.07
-0.193,0.937,0.394,-314.72,51.52,38.15,-0.133,-0.405,-1.055
0.116,0.998,0.236,-276.99,41.37,47.6,-0.135,-0.402,-1.039
0.316,1.028,0.205,-206.29,20.02,56.28,-0.136,-0.405,-1.014
0.421,0.909,0.199,-135.94,11.55,45.08,-0.142,-0.402,-1.007
0.58,0.63,0.127,-81.41,7.63,30.59,-0.148,-0.399,-0.998
0.735,0.569,0.145,-55.93,-2.24,23.94,-0.146,-0.394,-0.996
0.852,0.564,0.105,-35.35,-14.21,-13.86,-0.15,-0.395,-0.997
0.851,0.435,0.032,6.02,-43.26,-38.71,-0.139,-0.4,-0.99
0.641,0.331,-0.041,12.04,-64.47,-62.16,-0.139,-0.402,-0.981
0.522,0.329,-0.084,9.1,-81.76,-88.9,-0.136,-0.414,-0.973
0.426,0.444,-0.08,7.7,-99.96,-108.08,-0.129,-0.425,-0.971
0.323,0.826,-0.031,9.03,-120.61,-118.65,-0.118,-0.428,-0.961
0.177,1.461,0.07,14.35,-137.76,-132.16,-0.109,-0.445,-0.946
-0.099,2.338,0.301,90.51,-140.35,-118.72,-0.098,-0.452,-0.945
-0.681,3.071,0.47,145.25,-117.39,-100.59,-0.086,-0.457,-0.946
-0.928,3.324,0.612,190.12,-79.94,-129.571,-0.081,-0.466,-0.955
-1.127,2.886,0.571,257.6,-56.49,-154.0,-0.069,-0.48,-0.982
-1.219,2.113,0.57,283.92,-46.69,-156.8,-0.048,-0.494,-1.0
-1.159,1.334,0.547,233.45,-29.47,-153.51,-0.028,-0.505,-1.013
-1.064,1.016,0.537,114.8,17.64,-157.08,-0.005,-0.528,-1.029
-0.761,1.009,0.374,-65.45,35.28,-163.38,0.012,-0.54,-1.026
-0.544,1.009,0.271,-119.7,29.68,-150.5,0.029,-0.55,-1.021
-0.442,0.941,0.245,-126.49,6.72,-133.77,0.064,-0.569,-0.993
-0.441,0.802,0.235,-107.38,-16.52,-119.42,0.08,-0.575,-0.982
-0.459,0.571,0.196,-84.35,-32.27,-107.31,0.108,-0.581,-0.967
-0.468,0.313,0.152,-80.08,-39.9,-97.16,0.121,-0.581,-0.965
-0.47,0.131,0.099,-98.63,-40.6,-88.69,0.134,-0.582,-0.96
-0.431,0.094,0.047,-143.29,-38.22,-83.51,0.156,-0.576,-0.939
-0.386,0.126,0.027,-158.76,-38.85,-82.67,0.16,-0.576,-0.93
-0.355,0.125,0.021,-156.24,-41.44,-76.37,0.175,-0.57,-0.91
-0.359,0.118,0.006,-140.84,-45.57,-65.73,0.184,-0.566,-0.887
-0.397,0.117,0.002,-117.11,-50.26,-56.84,0.184,-0.564,-0.874
-0.445,0.119,0.032,-88.13,-51.73,-48.23,0.186,-0.557,-0.872
-0.494,0.149,0.156,-54.25,-47.88,-32.27,0.189,-0.558,-0.871
-0.526,0.19,0.213,-13.93,-29.05,-14.56,0.194,-0.562,-0.86
-0.631,0.359,0.171,1.05,-15.82,16.03,0.196,-0.555,-0.863
-0.657,0.698,0.176,16.73,0.56,58.379,0.183,-0.56,-0.866
-0.654,1.435,0.092,43.12,25.97,108.92,0.175,-0.557,-0.867
-0.715,2.276,0.095,84.909,42.21,150.5,0.156,-0.556,-0.877
-0.675,2.524,0.141,147.28,49.84,168.84,0.125,-0.561,-0.905
-0.46,2.376,0.349,256.55,44.66,173.81,0.107,-0.559,-0.929
-0.443,2.117,0.768,317.52,19.25,172.9,0.081,-0.554,-0.988
-0.526,1.388,1.16,297.15,5.74,172.97,0.062,-0.546,-1.013
-0.583,0.848,1.405,154.28,6.16,165.41,0.046,-0.539,-1.035
-0.475,0.726,1.184,-63.91,44.73,132.51,0.023,-0.537,-1.028
-0.207,0.817,0.697,-262.64,90.51,93.73,0.014,-0.531,-1.007
