ax,ay,az,gx,gy,gz,mx,my,mz
-0.012,0.543,0.832,-0.28,-2.8,-0.35,0.134,-0.367,-1.131
-0.014,0.543,0.83,-0.28,-2.87,-0.42,0.137,-0.365,-1.133
-0.017,0.544,0.833,-0.14,-3.01,-0.49,0.134,-0.361,-1.13
-0.013,0.541,0.833,-0.07,-2.66,-0.35,0.133,-0.364,-1.127
-0.012,0.541,0.83,-0.28,-2.52,-0.14,0.133,-0.369,-1.128
-0.013,0.544,0.83,-0.56,-2.73,0.0,0.132,-0.366,-1.132
-0.012,0.544,0.828,-0.21,-2.73,0.07,0.135,-0.368,-1.126
-0.012,0.54,0.834,-0.21,-3.01,0.0,0.135,-0.366,-1.127
-0.014,0.543,0.833,-0.7,-2.87,0.07,0.13,-0.364,-1.138
-0.013,0.546,0.832,-0.91,-2.87,-0.14,0.13,-0.366,-1.134
-0.014,0.546,0.831,-0.56,-2.8,-0.07,0.136,-0.369,-1.136
-0.013,0.543,0.829,-0.28,-2.59,-0.21,0.131,-0.365,-1.131
-0.012,0.543,0.827,-0.7,-2.66,0.21,0.133,-0.37,-1.135
-0.012,0.542,0.828,-0.35,-2.94,0.21,0.133,-0.366,-1.126
-0.012,0.539,0.826,-0.63,-2.8,0.7,0.133,-0.366,-1.128
-0.01,0.54,0.825,-0.91,-2.94,0.91,0.133,-0.365,-1.13
-0.009,0.544,0.826,-1.05,-3.15,1.05,0.134,-0.363,-1.134
-0.01,0.549,0.828,-0.84,-3.22,0.84,0.134,-0.362,-1.137
-0.013,0.551,0.832,-0.63,-3.15,0.42,0.137,-0.367,-1.126
-0.015,0.55,0.834,-0.28,-3.08,-0.21,0.133,-0.369,-1.128
-0.015,0.545,0.831,-0.35,-3.08,-0.7,0.134,-0.365,-1.127
-0.016,0.543,0.83,-0.49,-3.08,-0.98,0.132,-0.365,-1.124
-0.018,0.543,0.83,-0.91,-3.08,-0.56,0.138,-0.365,-1.125
-0.019,0.545,0.83,-0.91,-3.08,-0.56,0.133,-0.367,-1.126
-0.021,0.55,0.83,-1.12,-2.8,-0.35,0.131,-0.368,-1.126
-0.022,0.553,0.828,-0.63,-2.73,-0.07,0.132,-0.369,-1.121
-0.022,0.554,0.827,-0.28,-2.59,0.0,0.13,-0.366,-1.129
-0.021,0.553,0.827,0.28,-2.38,0.21,0.131,-0.366,-1.128
-0.018,0.55,0.829,0.98,-2.45,-0.35,0.135,-0.366,-1.132
-0.019,0.545,0.831,1.12,-2.73,-0.56,0.13,-0.369,-1.13
-0.018,0.542,0.831,1.05,-2.8,-0.42,0.134,-0.37,-1.131
-0.017,0.54,0.832,0.63,-2.66,-0.42,0.132,-0.368,-1.127
-0.017,0.542,0.831,0.21,-2.45,-0.21,0.13,-0.369,-1.134
-0.016,0.547,0.829,0.0,-2.52,-0.21,0.133,-0.373,-1.131
-0.015,0.549,0.829,0.35,-2.31,-0.14,0.132,-0.373,-1.135
-0.014,0.545,0.829,0.56,-2.59,-0.42,0.138,-0.366,-1.132
-0.015,0.543,0.828,0.35,-2.59,-0.56,0.132,-0.368,-1.134
-0.016,0.545,0.831,0.42,-2.73,-0.77,0.135,-0.371,-1.131
-0.012,0.543,0.832,0.28,-2.59,-0.98,0.134,-0.37,-1.134
-0.012,0.545,0.829,0.0,-2.45,-0.84,0.136,-0.367,-1.128
-0.013,0.547,0.827,-0.42,-2.52,-0.91,0.134,-0.367,-1.138
-0.014,0.549,0.824,-0.28,-2.52,-0.77,0.13,-0.37,-1.131
-0.014,0.547,0.824,0.35,-2.52,-0.98,0.132,-0.366,-1.128
-0.016,0.548,0.831,0.14,-2.8,-0.7,0.136,-0.372,-1.127
-0.018,0.548,0.832,0.42,-2.52,-0.77,0.133,-0.363,-1.124
-0.019,0.546,0.832,0.7,-2.59,-0.49,0.135,-0.365,-1.133
-0.018,0.544,0.832,0.77,-2.52,-0.63,0.134,-0.371,-1.13
-0.016,0.545,0.83,0.84,-2.45,-0.42,0.133,-0.37,-1.137
-0.015,0.546,0.831,0.98,-2.31,-0.28,0.129,-0.368,-1.134
-0.016,0.543,0.831,0.91,-2.52,-0.21,0.137,-0.369,-1.141
-0.015,0.539,0.829,0.49,-2.17,0.0,0.136,-0.369,-1.134
-0.01,0.543,0.829,0.14,-2.24,-0.07,0.131,-0.371,-1.132
-0.01,0.544,0.828,0.28,-2.45,-0.28,0.133,-0.366,-1.127
-0.011,0.546,0.829,0.14,-2.66,-0.28,0.135,-0.366,-1.131
-0.011,0.546,0.831,0.49,-2.66,-0.56,0.128,-0.368,-1.139
-0.011,0.545,0.831,0.49,-2.73,-0.77,0.133,-0.367,-1.132
-0.012,0.541,0.832,0.49,-2.8,-0.98,0.132,-0.368,-1.136
-0.014,0.539,0.832,0.35,-2.73,-1.05,0.134,-0.37,-1.133
-0.015,0.54,0.832,0.07,-2.59,-0.98,0.134,-0.366,-1.135
-0.015,0.544,0.831,-0.35,-2.66,-0.77,0.133,-0.364,-1.133
-0.013,0.546,0.829,-0.14,-2.8,-0.7,0.132,-0.365,-1.13
-0.014,0.546,0.829,-0.07,-2.73,-0.63,0.14,-0.366,-1.131
-0.013,0.545,0.829,0.21,-2.66,-0.49,0.134,-0.367,-1.133
-0.013,0.546,0.83,0.14,-2.52,-0.56,0.136,-0.371,-1.131
-0.013,0.544,0.831,0.42,-2.66,-0.63,0.135,-0.366,-1.132
-0.013,0.543,0.83,0.49,-2.73,-0.56,0.133,-0.371,-1.132
-0.011,0.542,0.83,0.28,-2.66,-0.56,0.134,-0.367,-1.132
-0.012,0.542,0.831,0.35,-2.73,-0.28,0.137,-0.369,-1.132
-0.011,0.543,0.831,0.21,-2.87,-0.49,0.139,-0.364,-1.129
-0.011,0.544,0.831,0.28,-2.66,-0.35,0.136,-0.365,-1.138
-0.012,0.544,0.829,0.14,-2.59,-0.35,0.135,-0.366,-1.129
-0.013,0.546,0.831,0.35,-2.59,-0.42,0.138,-0.365,-1.128
-0.015,0.546,0.832,0.7,-2.73,-0.56,0.134,-0.365,-1.129
-0.014,0.541,0.833,0.77,-2.8,-0.7,0.131,-0.362,-1.131
-0.013,0.54,0.831,0.56,-2.45,-0.42,0.133,-0.369,-1.131
-0.013,0.545,0.83,0.07,-2.52,-0.28,0.137,-0.365,-1.137
-0.011,0.544,0.831,0.28,-2.59,-0.35,0.136,-0.365,-1.139
-0.013,0.538,0.834,0.42,-2.8,-0.49,0.134,-0.362,-1.134
-0.015,0.542,0.834,-0.49,-2.66,-0.56,0.14,-0.364,-1.129
-0.012,0.544,0.831,-0.35,-2.66,-0.28,0.139,-0.368,-1.13
-0.013,0.543,0.829,0.14,-2.59,-0.42,0.132,-0.368,-1.132
-0.012,0.544,0.829,0.28,-2.73,-0.35,0.133,-0.372,-1.13
-0.013,0.543,0.83,0.49,-2.73,0.0,0.133,-0.366,-1.126
-0.014,0.542,0.831,0.91,-2.59,0.07,0.138,-0.367,-1.134
-0.015,0.54,0.833,0.77,-2.73,0.21,0.137,-0.365,-1.132
-0.011,0.54,0.832,0.77,-2.66,0.28,0.132,-0.367,-1.134
-0.01,0.542,0.833,0.35,-2.59,0.0,0.139,-0.364,-1.13
-0.009,0.54,0.832,0.49,-2.66,-0.07,0.133,-0.365,-1.129
-0.011,0.542,0.831,0.42,-2.73,-0.14,0.138,-0.366,-1.129
-0.01,0.543,0.831,0.35,-2.66,-0.49,0.135,-0.368,-1.13
-0.011,0.541,0.833,0.49,-2.87,-0.77,0.136,-0.365,-1.133
-0.012,0.539,0.832,0.35,-2.73,-0.63,0.133,-0.362,-1.138
-0.012,0.539,0.832,0.21,-2.87,-0.7,0.135,-0.366,-1.131
-0.014,0.54,0.832,17.85,-2.73,-0.49,0.134,-0.367,-1.135
-0.013,0.542,0.832,0.07,-2.8,-0.49,0.144,-0.366,-1.13
-0.015,0.543,0.832,0.0,-2.66,-0.28,0.138,-0.361,-1.129
-0.015,0.544,0.832,0.28,-2.73,-0.28,0.135,-0.36,-1.127
-0.014,0.542,0.832,0.49,-2.8,-0.14,0.134,-0.365,-1.127
-0.012,0.54,0.832,0.56,-2.66,-0.14,0.135,-0.364,-1.125
