ax,ay,az,gx,gy,gz,mx,my,mz
-0.907,0.387,0.214,-0.42,-2.24,-0.21,-0.145,-0.407,-0.968
-0.903,0.388,0.216,-0.21,-2.1,-0.35,-0.147,-0.408,-0.97
-0.9,0.386,0.209,-0.49,-1.96,-0.56,-0.144,-0.403,-0.972
-0.908,0.386,0.208,-0.98,-2.31,-1.19,-0.15,-0.4,-0.974
-0.901,0.387,0.214,-0.98,-2.24,-0.56,-0.148,-0.41,-0.97
-0.897,0.387,0.221,-1.05,-2.38,-0.7,-0.151,-0.407,-0.965
-0.906,0.387,0.224,-1.61,-2.31,-0.91,-0.147,-0.407,-0.968
-0.902,0.391,0.222,-2.03,-2.45,-1.12,-0.153,-0.403,-0.96
-0.893,0.395,0.225,-1.4,-2.03,-0.63,-0.152,-0.408,-0.968
-0.896,0.397,0.227,-0.14,-2.8,-0.56,-0.153,-0.409,-0.974
-0.903,0.39,0.23,0.49,-2.59,-0.84,-0.142,-0.404,-0.971
-0.907,0.392,0.231,0.21,-2.38,-1.12,-0.147,-0.406,-0.967
-0.904,0.396,0.223,0.28,-1.96,-1.47,-0.147,-0.405,-0.966
-0.9,0.395,0.213,1.47,-2.52,-1.61,-0.145,-0.408,-0.964
-0.913,0.387,0.219,1.82,-2.59,-1.4,-0.144,-0.402,-0.965
-0.923,0.388,0.223,1.33,-2.94,-1.05,-0.144,-0.405,-0.972
-0.916,0.387,0.227,0.49,-2.24,-1.19,-0.147,-0.406,-0.967
-0.897,0.37,0.221,0.21,-1.89,-1.54,-0.14,-0.406,-0.962
-0.936,0.372,0.216,0.07,-1.75,-3.5,-0.146,-0.407,-0.971
-0.958,0.319,0.212,-4.41,1.82,-4.13,-0.143,-0.411,-0.967
-0.902,0.288,0.2,-8.05,5.67,-1.68,-0.142,-0.406,-0.971
-0.876,0.265,0.168,-7.21,5.11,-0.63,-0.148,-0.406,-0.966
-0.869,0.255,0.161,-3.36,3.08,4.76,-0.144,-0.405,-0.968
-0.842,0.235,0.157,2.1,1.33,10.22,-0.144,-0.406,-0.963
-0.828,0.182,0.128,10.78,-1.75,14.63,-0.147,-0.406,-0.968
-0.807,0.111,0.096,17.71,-4.55,19.46,-0.15,-0.406,-0.968
-0.778,0.07,0.067,18.62,-7.49,27.02,-0.151,-0.403,-0.972
-0.761,0.046,0.054,16.94,-14.42,33.04,-0.157,-0.4,-0.969
-0.771,0.047,0.035,19.32,-18.41,37.59,-0.16,-0.397,-0.975
-0.779,0.049,0.001,25.41,-21.84,42.98,-0.161,-0.389,-0.973
-0.762,0.022,-0.041,30.73,-24.99,46.97,-0.164,-0.387,-0.97
-0.746,-0.01,-0.085,34.44,-28.77,51.379,-0.164,-0.381,-0.974
-0.744,-0.032,-0.128,36.96,-33.32,55.86,-0.169,-0.378,-0.972
-0.774,-0.023,-0.147,35.7,-38.92,58.73,-0.176,-0.372,-0.964
-0.829,0.019,-0.15,33.67,-43.68,59.22,-0.176,-0.361,-0.962
-0.894,0.064,-0.149,34.93,-49.28,58.24,-0.185,-0.352,-0.963
-1.007,0.108,-0.121,40.32,-51.31,55.929,-0.187,-0.349,-0.959
-1.024,0.127,-0.141,47.53,-52.15,49.28,-0.19,-0.342,-0.959
-1.037,0.16,-0.141,56.0,-54.46,39.83,-0.192,-0.331,-0.957
-1.08,0.183,-0.139,64.82,-56.07,30.52,-0.194,-0.33,-0.941
-1.127,0.176,-0.143,75.11,-60.13,20.51,-0.194,-0.324,-0.937
-1.168,0.133,-0.101,79.59,-62.44,12.88,-0.19,-0.325,-0.937
-1.221,0.138,-0.012,78.26,-60.27,1.47,-0.189,-0.322,-0.929
-1.187,0.23,0.057,74.83,-50.4,-0.91,-0.181,-0.315,-0.922
-1.135,0.18,0.082,77.77,-47.25,-2.94,-0.183,-0.314,-0.917
-1.155,0.125,0.132,70.49,-43.33,-5.18,-0.176,-0.311,-0.909
-1.156,0.181,0.193,49.629,-30.52,-10.78,-0.171,-0.312,-0.911
-1.108,0.285,0.284,33.81,-18.9,-10.29,-0.163,-0.311,-0.9
-1.059,0.291,0.319,30.45,-6.79,-9.45,-0.148,-0.312,-0.889
-0.968,0.225,0.303,27.23,1.12,-5.88,-0.139,-0.31,-0.88
-0.895,0.168,0.244,10.29,8.82,-4.76,-0.127,-0.312,-0.873
-0.828,0.175,0.117,-7.35,17.78,-7.56,-0.099,-0.305,-0.848
-1.831,0.292,3.149,-93.45,84.49,-32.48,-0.075,-0.316,-0.833
-1.738,0.858,1.412,-306.81,199.43,-88.9,-0.051,-0.315,-0.803
-1.086,2.477,-0.017,-153.58,172.13,-121.38,-0.05,-0.325,-0.813
-0.885,0.696,-0.55,131.18,139.09,-130.69,-0.045,-0.328,-0.817
-1.304,-1.019,-0.472,269.01,115.29,-30.8,-0.036,-0.339,-0.849
-0.962,-1.048,1.106,112.14,105.35,-35.7,-0.026,-0.349,-0.856
-0.853,0.523,0.55,-201.25,125.02,-98.28,-0.014,-0.357,-0.847
-0.652,0.658,0.385,-63.14,134.96,-127.33,-0.003,-0.365,-0.844
-0.883,0.378,0.336,7.98,146.44,-109.76,0.0,-0.374,-0.851
-0.834,0.657,0.249,-24.71,149.38,-125.16,0.021,-0.388,-0.858
-0.847,0.562,0.594,-37.1,162.54,-149.73,0.027,-0.394,-0.858
-0.871,0.417,0.499,-20.09,178.43,-143.99,0.045,-0.404,-0.866
-0.953,0.509,0.321,-44.59,182.42,-135.73,0.053,-0.407,-0.866
-0.746,0.999,0.394,-77.14,169.68,-138.11,0.062,-0.413,-0.863
-0.518,1.094,0.561,-10.22,148.68,-114.38,0.085,-0.421,-0.871
-0.404,0.701,0.679,70.84,132.65,-76.3,0.097,-0.419,-0.876
-0.27,0.4,0.639,80.22,121.73,-76.09,0.105,-0.42,-0.89
-0.273,0.513,0.615,61.25,115.92,-89.04,0.117,-0.417,-0.902
-0.338,0.522,0.645,62.44,107.03,-97.3,0.131,-0.416,-0.903
-0.427,0.496,0.693,68.179,104.16,-99.54,0.147,-0.412,-0.913
-0.482,0.456,0.752,64.19,105.14,-96.74,0.154,-0.412,-0.919
-0.416,0.456,0.719,57.96,112.07,-84.84,0.168,-0.411,-0.917
-0.295,0.633,0.766,41.58,120.33,-79.03,0.181,-0.413,-0.917
-0.221,0.615,0.816,42.63,119.98,-77.56,0.191,-0.411,-0.92
-0.132,0.524,0.812,45.29,118.3,-71.82,0.212,-0.405,-0.925
-0.069,0.484,0.864,36.96,115.5,-61.6,0.222,-0.405,-0.919
-0.125,0.513,0.921,42.98,105.84,-45.01,0.234,-0.396,-0.921
0.373,0.448,1.054,52.99,126.35,-21.0,0.24,-0.398,-0.92
0.505,0.55,0.881,52.71,92.47,28.56,0.245,-0.401,-0.924
0.073,0.416,0.884,54.25,58.73,26.53,0.248,-0.395,-0.939
-0.015,0.286,0.979,39.27,33.04,41.16,0.247,-0.392,-0.941
0.167,0.306,0.742,6.09,30.8,41.37,0.241,-0.392,-0.946
0.172,0.276,0.799,-3.36,0.21,15.61,0.239,-0.393,-0.948
0.104,0.31,0.786,-21.35,-6.65,4.9,0.245,-0.395,-0.944
-0.028,0.449,0.846,-42.91,-17.85,-2.45,0.236,-0.403,-0.94
-0.05,0.626,0.908,-50.89,-22.82,-3.99,0.24,-0.402,-0.939
0.014,0.721,0.818,-38.64,-19.32,-16.87,0.236,-0.403,-0.931
