ax,ay,az,gx,gy,gz,mx,my,mz
0.031,0.539,0.831,1.96,-3.01,0.84,0.21,-0.369,-0.922
0.029,0.54,0.833,2.31,-3.36,0.56,0.212,-0.368,-0.918
0.026,0.528,0.835,1.89,-3.15,0.49,0.209,-0.368,-0.922
0.025,0.535,0.836,1.05,-3.22,0.28,0.212,-0.361,-0.921
0.027,0.534,0.835,0.91,-2.94,0.07,0.209,-0.364,-0.918
0.026,0.532,0.836,0.77,-2.87,0.07,0.209,-0.364,-0.924
0.027,0.532,0.834,0.56,-2.66,-0.07,0.209,-0.363,-0.923
0.026,0.536,0.833,-0.07,-2.45,-0.28,0.211,-0.364,-0.921
0.027,0.535,0.835,0.35,-2.52,-0.35,0.208,-0.363,-0.927
0.029,0.532,0.835,-0.14,-2.38,-0.35,0.212,-0.364,-0.922
0.029,0.536,0.832,-0.42,-2.31,-0.14,0.212,-0.362,-0.923
0.028,0.544,0.832,-0.28,-2.59,-0.21,0.216,-0.363,-0.921
0.027,0.542,0.832,0.42,-2.66,-0.49,0.212,-0.362,-0.92
0.031,0.542,0.827,1.33,-2.59,-1.12,0.215,-0.363,-0.923
0.022,0.556,0.839,2.66,-2.94,-0.7,0.21,-0.361,-0.925
0.006,0.56,0.848,5.67,-2.66,-0.7,0.209,-0.365,-0.928
-0.005,0.552,0.842,8.75,-2.73,-0.49,0.213,-0.363,-0.922
0.029,0.57,0.874,15.75,-2.66,-2.1,0.214,-0.363,-0.928
0.049,0.628,0.889,26.39,-7.14,-5.11,0.214,-0.361,-0.93
0.072,0.62,0.92,49.28,-10.57,-9.94,0.215,-0.362,-0.934
0.103,0.412,0.778,57.54,-16.45,-24.08,0.214,-0.359,-0.942
0.127,0.443,0.879,52.22,-26.81,-31.43,0.219,-0.359,-0.954
0.052,0.408,0.862,30.73,-35.49,-43.47,0.216,-0.356,-0.952
0.116,0.47,0.803,29.19,-40.67,-38.15,0.223,-0.358,-0.963
0.127,0.426,0.751,69.649,-57.05,-25.83,0.221,-0.352,-0.97
0.051,0.322,0.932,78.399,-80.01,-19.18,0.217,-0.355,-0.976
0.02,0.324,1.029,56.84,-87.57,-13.58,0.214,-0.348,-0.984
0.063,0.287,0.99,39.97,-97.72,-8.75,0.211,-0.349,-0.992
0.099,0.157,1.007,15.47,-109.69,-9.66,0.207,-0.36,-1.004
0.083,0.073,1.033,-25.13,-119.63,-5.11,0.203,-0.359,-1.004
0.028,0.144,0.976,-85.12,-127.4,2.38,0.198,-0.372,-0.997
-0.08,0.366,0.837,-175.7,-139.72,3.22,0.183,-0.382,-0.996
-0.127,0.613,0.735,-186.9,-148.12,9.17,0.175,-0.39,-0.989
-0.166,0.814,0.699,-158.9,-160.93,19.88,0.157,-0.401,-0.975
-0.222,0.852,0.681,-103.88,-173.39,35.7,0.149,-0.41,-0.979
-0.299,0.742,0.644,-55.65,-183.4,51.59,0.135,-0.413,-0.969
-0.387,0.681,0.564,-29.68,-187.46,58.31,0.118,-0.41,-0.971
-0.463,0.631,0.506,-28.56,-191.38,56.139,0.106,-0.413,-0.976
-0.521,0.603,0.371,-26.74,-197.26,59.22,0.09,-0.408,-0.967
-0.632,0.589,0.32,-21.0,-200.27,63.35,0.079,-0.41,-0.962
-0.746,0.501,0.37,-8.05,-199.01,69.09,0.062,-0.404,-0.942
-0.859,0.389,0.447,1.82,-187.11,77.139,0.05,-0.4,-0.937
-0.876,0.329,0.464,-10.15,-169.19,82.04,0.046,-0.398,-0.933
-0.791,0.353,0.511,-34.65,-155.26,85.889,0.034,-0.392,-0.916
-0.702,0.447,0.321,-61.11,-141.75,88.48,0.029,-0.39,-0.901
-0.783,0.63,0.348,-54.18,-130.9,92.399,0.024,-0.383,-0.877
-0.823,0.649,0.28,-57.82,-126.98,81.69,0.018,-0.38,-0.866
-0.833,0.692,0.245,-47.04,-127.33,86.1,0.019,-0.375,-0.862
