ax,ay,az,gx,gy,gz,mx,my,mz
-0.06,-0.075,0.997,0.56,-2.24,0.07,0.237,-0.263,-1.365
-0.064,-0.068,0.995,-0.07,-1.89,0.07,0.236,-0.257,-1.365
-0.063,-0.068,0.995,0.07,-1.89,-0.21,0.241,-0.256,-1.368
-0.059,-0.075,0.995,-0.21,-1.96,-0.07,0.238,-0.257,-1.365
-0.063,-0.074,0.993,-0.56,-1.96,-0.21,0.241,-0.26,-1.361
-0.059,-0.066,0.989,-0.35,-2.1,0.14,0.24,-0.261,-1.362
-0.056,-0.067,0.988,0.28,-2.66,0.21,0.235,-0.254,-1.363
-0.055,-0.071,0.987,0.56,-2.59,0.28,0.238,-0.259,-1.363
-0.059,-0.072,0.99,-0.07,-2.94,0.28,0.238,-0.256,-1.364
-0.064,-0.063,0.992,-0.49,-2.94,0.14,0.233,-0.263,-1.365
-0.061,-0.062,0.998,0.07,-2.94,-0.07,0.236,-0.26,-1.367
-0.068,-0.058,0.999,0.35,-3.08,-0.49,0.234,-0.261,-1.364
-0.065,-0.057,0.998,0.56,-2.8,-0.84,0.235,-0.255,-1.372
-0.062,-0.06,0.995,1.19,-2.8,-0.91,0.235,-0.26,-1.364
-0.061,-0.072,0.996,0.98,-2.73,-1.26,0.233,-0.262,-1.365
-0.056,-0.074,0.997,0.28,-2.45,-1.19,0.232,-0.257,-1.365
-0.058,-0.077,0.996,0.63,-2.66,-0.49,0.236,-0.263,-1.37
-0.061,-0.076,0.995,0.49,-2.66,-0.14,0.234,-0.26,-1.366
-0.067,-0.068,0.999,-0.91,-2.1,-0.21,0.232,-0.26,-1.37
-0.061,-0.061,0.996,-0.77,-2.17,-0.7,0.234,-0.258,-1.372
-0.057,-0.062,0.995,0.21,-2.38,-0.84,0.23,-0.262,-1.37
-0.06,-0.076,0.993,1.89,-2.59,-0.77,0.237,-0.258,-1.372
-0.064,-0.078,1.0,1.61,-2.73,-0.21,0.236,-0.262,-1.37
-0.053,-0.069,0.996,1.68,-2.31,-0.07,0.236,-0.259,-1.364
-0.057,-0.046,0.991,4.76,-3.22,-0.21,0.233,-0.254,-1.372
-0.069,-0.034,1.0,9.73,-4.06,-0.42,0.233,-0.253,-1.365
-0.071,-0.031,1.004,18.13,-4.55,-0.7,0.23,-0.252,-1.366
-0.061,-0.05,0.991,26.53,-3.78,-1.05,0.238,-0.247,-1.368
-0.064,-0.074,0.992,33.88,-5.18,-0.91,0.232,-0.24,-1.366
-0.07,-0.092,0.997,36.61,-5.04,-0.91,0.233,-0.236,-1.372
-0.06,-0.108,0.989,36.75,-5.46,-1.12,0.234,-0.236,-1.374
-0.06,-0.14,0.985,35.91,-5.46,-1.12,0.233,-0.23,-1.369
-0.063,-0.171,0.985,33.39,-5.04,-1.89,0.234,-0.226,-1.369
-0.065,-0.193,0.985,28.14,-4.27,-1.19,0.232,-0.224,-1.372
-0.068,-0.205,0.989,20.51,-3.43,-0.63,0.231,-0.223,-1.372
-0.071,-0.235,0.977,11.06,-2.73,-0.42,0.23,-0.216,-1.37
-0.068,-0.27,0.972,-2.31,-1.4,0.42,0.233,-0.218,-1.372
