ax,ay,az,gx,gy,gz,mx,my,mz
-1.046,0.401,0.183,-24.71,-20.51,61.81,-0.029,-0.413,-1.079
-0.976,0.437,0.216,-22.82,-23.03,70.07,-0.038,-0.41,-1.074
-0.886,0.454,0.235,-12.39,-26.88,75.11,-0.04,-0.403,-1.072
-0.771,0.45,0.254,-3.64,-31.71,75.95,-0.053,-0.398,-1.071
-0.766,0.456,0.263,6.51,-36.89,74.48,-0.06,-0.394,-1.063
-0.813,0.464,0.274,18.06,-41.44,71.889,-0.072,-0.383,-1.065
-0.857,0.464,0.275,28.84,-42.84,69.929,-0.078,-0.382,-1.06
-0.875,0.456,0.262,37.03,-41.86,66.99,-0.08,-0.375,-1.06
-0.9,0.443,0.247,40.95,-40.81,62.72,-0.094,-0.37,-1.06
-0.95,0.429,0.235,41.23,-39.48,56.0,-0.095,-0.36,-1.061
-1.009,0.413,0.249,32.97,-35.42,52.22,-0.099,-0.359,-1.068
-0.983,0.418,0.255,20.65,-29.47,47.11,-0.107,-0.354,-1.065
-0.911,0.438,0.239,6.72,-24.01,40.32,-0.111,-0.35,-1.067
-0.836,0.465,0.207,-3.64,-21.0,31.92,-0.114,-0.347,-1.059
-0.783,0.473,0.179,-8.96,-20.3,23.38,-0.118,-0.346,-1.054
-0.764,0.478,0.161,-10.64,-21.98,15.54,-0.118,-0.348,-1.056
-0.771,0.495,0.155,-10.15,-23.94,9.1,-0.12,-0.344,-1.044
-0.798,0.532,0.153,-3.08,-25.97,5.11,-0.12,-0.341,-1.053
-0.814,0.547,0.151,6.02,-26.88,4.13,-0.122,-0.342,-1.046
-0.82,0.551,0.139,16.73,-27.02,3.36,-0.126,-0.338,-1.047
-0.823,0.553,0.136,28.0,-28.56,2.45,-0.13,-0.339,-1.041
-0.829,0.539,0.143,38.43,-29.68,1.54,-0.131,-0.341,-1.042
-0.845,0.515,0.162,45.15,-31.08,-0.7,-0.126,-0.339,-1.045
-0.855,0.51,0.172,48.09,-30.73,-5.6,-0.13,-0.339,-1.046
-0.854,0.513,0.175,49.419,-29.75,-10.5,-0.131,-0.339,-1.048
-0.858,0.504,0.177,52.429,-28.28,-16.24,-0.135,-0.346,-1.046
-0.858,0.487,0.175,55.3,-25.97,-22.05,-0.138,-0.343,-1.045
-0.857,0.461,0.172,56.56,-23.31,-27.58,-0.133,-0.342,-1.048
-0.865,0.435,0.167,55.3,-20.72,-34.65,-0.132,-0.346,-1.053
-0.908,0.413,0.174,49.28,-17.57,-37.66,-0.132,-0.348,-1.053
-0.934,0.416,0.174,44.73,-14.7,-39.13,-0.125,-0.353,-1.06
-0.955,0.421,0.158,41.3,-12.04,-39.2,-0.13,-0.357,-1.052
-0.99,0.427,0.14,39.41,-10.99,-37.87,-0.125,-0.354,-1.059
-1.055,0.432,0.122,38.5,-10.85,-35.56,-0.128,-0.356,-1.062
-0.932,0.51,0.05,32.76,-13.93,-24.08,-0.125,-0.369,-1.071
-0.885,0.501,0.033,44.03,-20.79,-27.51,-0.12,-0.373,-1.074
-0.888,0.502,0.032,57.54,-27.51,-27.86,-0.121,-0.373,-1.081
-0.918,0.502,0.039,83.929,-33.95,-21.14,-0.124,-0.366,-1.079
-0.948,0.514,0.067,101.36,-34.44,-14.07,-0.12,-0.368,-1.08
-0.917,0.52,0.081,116.13,-32.2,-9.1,-0.118,-0.366,-1.096
-0.889,0.476,0.08,126.14,-28.98,-7.35,-0.119,-0.357,-1.096
-0.895,0.447,0.056,130.13,-25.55,-8.4,-0.12,-0.357,-1.107
-0.95,0.417,0.045,128.45,-21.98,-11.06,-0.123,-0.355,-1.112
-1.029,0.395,0.054,122.08,-17.08,-11.9,-0.119,-0.354,-1.112
-1.051,0.371,0.074,99.75,-3.71,-13.79,-0.12,-0.342,-1.129
-0.993,0.363,0.061,76.86,5.53,-19.25,-0.121,-0.343,-1.137
-0.942,0.354,0.04,52.08,11.62,-28.84,-0.111,-0.345,-1.137
-0.906,0.345,0.021,31.22,16.31,-44.94,-0.112,-0.347,-1.142
-0.878,0.359,0.01,10.64,16.66,-54.11,-0.107,-0.358,-1.144
