ax,ay,az,gx,gy,gz,mx,my,mz
-0.926,0.375,-0.031,-1.26,-4.27,1.26,-0.2,-0.272,-0.798
-0.929,0.375,-0.028,-1.68,-3.71,1.12,-0.204,-0.27,-0.793
-0.934,0.376,-0.03,-1.96,-3.64,1.19,-0.205,-0.27,-0.76
-0.94,0.379,-0.023,-2.45,-3.15,0.42,-0.202,-0.273,-0.794
-0.954,0.378,-0.01,-3.08,-2.87,0.0,-0.201,-0.269,-0.796
-0.987,0.377,0.0,-6.44,-1.26,-1.26,-0.201,-0.268,-0.789
-0.975,0.382,0.003,-11.06,1.12,-2.17,-0.201,-0.269,-0.792
-0.956,0.4,0.007,-15.26,3.57,-3.78,-0.202,-0.271,-0.793
-0.944,0.411,0.004,-15.68,4.62,-4.97,-0.201,-0.267,-0.793
-0.925,0.411,0.003,-13.58,5.32,-6.3,-0.2,-0.268,-0.795
-0.893,0.403,0.004,-11.97,4.76,-9.03,-0.203,-0.269,-0.795
-0.878,0.398,0.009,-10.36,3.29,-13.23,-0.2,-0.27,-0.798
-0.831,0.371,0.013,-9.87,2.24,-15.33,-0.198,-0.27,-0.799
-0.772,0.353,0.014,-10.01,1.19,-16.87,-0.197,-0.273,-0.803
-0.718,0.34,0.003,-8.75,-1.33,-18.69,-0.2,-0.277,-0.801
-0.709,0.336,-0.032,-5.81,-4.27,-19.11,-0.198,-0.28,-0.801
-0.784,0.349,-0.056,2.31,-9.66,-14.98,-0.199,-0.278,-0.797
-0.917,0.361,-0.043,8.54,-10.78,-8.47,-0.195,-0.281,-0.802
-0.971,0.383,-0.03,11.97,-9.24,-2.45,-0.194,-0.28,-0.803
-1.015,0.432,-0.045,14.49,-5.95,4.76,-0.196,-0.279,-0.801
-1.074,0.458,-0.057,18.27,-3.22,12.11,-0.197,-0.281,-0.799
-1.124,0.455,-0.055,20.44,0.91,18.55,-0.195,-0.28,-0.803
-1.062,0.429,-0.061,9.45,8.26,21.42,-0.197,-0.277,-0.802
-0.952,0.421,-0.07,-6.02,9.66,16.1,-0.198,-0.275,-0.803
-0.848,0.434,-0.077,-23.52,7.0,6.72,-0.197,-0.278,-0.807
-0.791,0.453,-0.077,-29.75,0.84,-2.17,-0.2,-0.273,-0.808
-0.791,0.499,-0.071,-22.82,-5.67,-5.04,-0.2,-0.273,-0.799
-0.819,0.474,-0.047,3.29,-12.95,-4.2,-0.201,-0.277,-0.807
-0.836,0.43,-0.032,17.08,-13.02,0.42,-0.201,-0.274,-0.801
-0.858,0.39,-0.018,19.04,-9.73,4.27,-0.201,-0.275,-0.804
-0.879,0.379,-0.011,10.01,-4.06,8.12,-0.202,-0.274,-0.807
-0.886,0.39,-0.017,-4.06,2.59,9.45,-0.201,-0.27,-0.803
-0.884,0.42,-0.039,-20.51,10.78,8.68,-0.196,-0.272,-0.804
-0.877,0.452,-0.071,-26.25,13.44,6.51,-0.205,-0.267,-0.802
-0.88,0.454,-0.079,-29.82,13.79,4.06,-0.204,-0.267,-0.807
-0.887,0.457,-0.088,-33.39,12.53,0.77,-0.206,-0.264,-0.809
-0.9,0.47,-0.093,-35.77,10.22,-1.96,-0.21,-0.262,-0.811
-0.904,0.479,-0.093,-33.81,7.56,-3.43,-0.201,-0.259,-0.804
-0.887,0.476,-0.076,-25.34,3.15,-3.29,-0.205,-0.259,-0.804
-0.877,0.451,-0.064,-21.91,1.75,-2.94,-0.206,-0.263,-0.804
-0.87,0.446,-0.048,-23.38,2.1,-1.96,-0.204,-0.259,-0.807
-0.865,0.451,-0.03,-26.74,3.57,-1.47,-0.207,-0.257,-0.805
-0.867,0.466,-0.03,-27.58,5.53,-0.42,-0.203,-0.252,-0.809
-0.875,0.465,-0.035,-26.04,6.72,1.54,-0.209,-0.252,-0.81
-0.897,0.466,-0.026,-27.51,7.91,3.08,-0.208,-0.248,-0.807
-0.905,0.47,-0.027,-31.78,9.45,3.85,-0.209,-0.248,-0.809
-0.903,0.486,-0.028,-35.49,10.29,4.55,-0.211,-0.243,-0.811
-0.902,0.506,-0.028,-36.54,10.78,4.83,-0.211,-0.238,-0.808
-0.896,0.519,-0.029,-32.41,10.92,6.09,-0.208,-0.238,-0.81
-0.901,0.51,-0.031,-23.52,10.08,8.05,-0.214,-0.235,-0.809
-0.904,0.461,-0.029,-23.73,10.64,10.08,-0.211,-0.232,-0.809
-0.893,0.451,-0.029,-28.42,11.13,11.69,-0.214,-0.223,-0.811
-0.905,0.461,-0.04,-32.06,10.85,13.72,-0.22,-0.227,-0.814
-0.903,0.458,-0.043,-31.57,10.08,17.29,-0.215,-0.22,-0.815
-0.891,0.446,-0.044,-28.98,8.89,24.99,-0.22,-0.21,-0.817
-0.88,0.406,-0.057,-23.66,8.54,29.61,-0.223,-0.206,-0.811
-0.904,0.333,-0.09,-21.21,7.56,34.02,-0.224,-0.202,-0.818
-1.038,0.292,-0.09,-24.36,6.58,41.51,-0.225,-0.195,-0.815
-1.1,0.292,-0.077,-28.56,8.19,50.19,-0.226,-0.185,-0.818
-0.963,0.29,-0.067,-31.36,10.5,59.29,-0.229,-0.179,-0.824
-0.758,0.289,-0.047,-30.03,6.37,56.77,-0.231,-0.164,-0.82
-0.714,0.289,-0.055,-24.5,2.03,50.19,-0.231,-0.158,-0.822
-0.698,0.274,-0.038,-16.73,-2.03,44.94,-0.231,-0.157,-0.817
-0.748,0.25,-0.005,-9.31,-4.2,41.3,-0.228,-0.151,-0.82
-0.841,0.209,0.023,-8.54,-3.85,38.22,-0.231,-0.144,-0.818
-0.859,0.168,-0.021,-14.56,-0.21,38.15,-0.232,-0.144,-0.819
-0.786,0.145,-0.061,-21.35,2.38,41.93,-0.234,-0.131,-0.814
-0.79,0.186,-0.065,-16.59,-0.91,43.19,-0.23,-0.123,-0.815
-0.925,0.2,-0.064,-2.87,-2.8,41.09,-0.232,-0.12,-0.817
-1.017,0.151,-0.095,13.58,-3.01,38.43,-0.229,-0.11,-0.819
-1.056,0.048,-0.114,22.47,-3.01,33.67,-0.231,-0.102,-0.816
-1.104,-0.05,-0.1,15.12,-3.08,26.39,-0.23,-0.106,-0.818
-1.072,-0.119,-0.073,-14.77,-0.7,16.17,-0.231,-0.102,-0.815
-0.978,-0.104,-0.067,-33.46,-0.07,10.64,-0.232,-0.101,-0.814
-0.887,-0.122,-0.063,-37.24,-1.12,8.68,-0.231,-0.098,-0.817
-0.833,-0.124,-0.06,-28.21,-3.15,11.69,-0.234,-0.094,-0.812
-0.835,-0.133,-0.031,-17.92,-4.97,13.3,-0.234,-0.086,-0.812
-0.886,-0.157,-0.032,-10.99,-4.83,17.15,-0.234,-0.084,-0.816
-0.956,-0.194,-0.058,-13.86,-2.87,18.55,-0.232,-0.084,-0.817
-0.964,-0.187,-0.073,-18.13,-0.91,22.61,-0.235,-0.083,-0.81
-0.961,-0.171,-0.081,-21.7,0.42,24.99,-0.234,-0.076,-0.813
-0.966,-0.135,-0.074,-23.8,0.91,27.44,-0.233,-0.072,-0.813
-1.004,-0.122,-0.076,-25.34,0.21,27.44,-0.23,-0.062,-0.815
-1.041,-0.134,-0.057,-25.06,-0.28,28.35,-0.233,-0.059,-0.818
-1.074,-0.12,-0.056,-28.77,0.28,28.56,-0.232,-0.058,-0.82
-1.096,-0.067,-0.087,-27.51,0.98,30.17,-0.231,-0.048,-0.819
-1.078,-0.038,-0.082,-18.69,-0.14,32.41,-0.228,-0.047,-0.823
-1.053,-0.02,-0.056,-7.21,-2.38,32.34,-0.225,-0.044,-0.823
-1.025,-0.036,-0.029,1.26,-4.97,29.12,-0.23,-0.039,-0.827
-1.019,-0.054,-0.019,5.53,-7.77,23.66,-0.229,-0.032,-0.824
-1.05,-0.055,-0.024,2.31,-7.77,19.88,-0.229,-0.029,-0.823
-1.047,-0.044,-0.024,0.28,-6.58,17.92,-0.228,-0.029,-0.82
-1.051,-0.021,-0.021,1.26,-5.95,16.17,-0.224,-0.026,-0.823
-1.072,-0.014,-0.014,4.83,-5.39,13.72,-0.221,-0.028,-0.819
-1.068,-0.053,-0.02,9.66,-4.83,11.48,-0.217,-0.026,-0.822
-1.036,-0.071,-0.038,8.47,-3.71,11.06,-0.22,-0.025,-0.82
-1.028,-0.054,-0.033,7.91,-3.92,10.01,-0.222,-0.022,-0.818
-1.041,-0.05,-0.042,12.53,-4.27,10.99,-0.217,-0.022,-0.82
-1.062,-0.06,-0.066,16.87,-3.85,10.57,-0.222,-0.023,-0.82
-1.09,-0.068,-0.07,18.69,-3.85,10.5,-0.219,-0.024,-0.823
