ax,ay,az,gx,gy,gz,mx,my,mz
-0.836,0.358,0.006,17.71,-13.79,0.49,-0.162,-0.342,-0.825
-0.861,0.335,0.007,18.55,-10.78,2.8,-0.163,-0.341,-0.819
-0.875,0.344,-0.003,14.91,-6.72,5.39,-0.161,-0.344,-0.831
-0.875,0.348,-0.017,10.64,-3.57,6.79,-0.166,-0.347,-0.827
-0.871,0.351,-0.027,6.72,-1.12,6.86,-0.163,-0.346,-0.83
-0.884,0.377,-0.03,3.22,1.75,4.62,-0.162,-0.343,-0.831
-0.916,0.379,-0.034,4.83,2.17,2.66,-0.161,-0.341,-0.834
-0.94,0.362,-0.033,3.64,2.73,0.07,-0.169,-0.337,-0.829
-0.948,0.355,-0.033,-1.68,3.92,-3.57,-0.165,-0.339,-0.829
-0.932,0.356,-0.041,-7.49,4.83,-6.09,-0.165,-0.341,-0.828
-0.912,0.349,-0.047,-11.83,4.9,-9.31,-0.166,-0.34,-0.834
-0.897,0.35,-0.039,-13.3,4.27,-10.92,-0.17,-0.339,-0.836
-0.866,0.339,-0.028,-11.41,2.94,-10.78,-0.166,-0.341,-0.836
-0.848,0.323,-0.012,-9.59,1.61,-10.15,-0.165,-0.344,-0.835
-0.833,0.322,0.005,-10.43,1.47,-9.66,-0.161,-0.346,-0.828
-0.812,0.317,0.006,-11.2,1.68,-10.15,-0.164,-0.347,-0.838
-0.801,0.318,0.034,-14.77,2.8,-9.73,-0.162,-0.348,-0.837
-0.821,0.352,0.058,-25.9,5.32,-11.62,-0.162,-0.343,-0.831
-0.874,0.408,0.057,-25.9,7.77,-11.55,-0.166,-0.339,-0.835
-0.92,0.413,0.036,-14.35,8.33,-9.1,-0.163,-0.345,-0.835
-0.947,0.37,0.027,-4.13,7.7,-5.04,-0.167,-0.348,-0.836
-0.965,0.327,0.014,-6.02,7.98,-4.83,-0.168,-0.343,-0.836
-0.958,0.353,-0.002,-14.98,8.75,-6.3,-0.172,-0.342,-0.832
-0.926,0.391,-0.011,-13.23,6.3,-6.44,-0.167,-0.345,-0.831
-0.95,0.389,0.003,-4.13,2.73,-5.53,-0.165,-0.346,-0.833
-0.978,0.373,0.013,4.06,0.98,-4.48,-0.167,-0.344,-0.831
-0.997,0.357,0.017,9.03,0.77,-2.8,-0.164,-0.345,-0.832
-1.008,0.334,0.021,7.07,2.1,-2.59,-0.161,-0.349,-0.829
-1.005,0.315,0.017,-4.76,6.09,-3.78,-0.162,-0.35,-0.835
-1.027,0.333,0.014,-13.37,7.77,-3.78,-0.164,-0.35,-0.835
-1.038,0.357,0.031,-16.66,9.52,-2.59,-0.163,-0.345,-0.833
-1.036,0.369,0.033,-13.86,10.29,-0.84,-0.165,-0.343,-0.829
-1.039,0.356,0.032,-9.45,10.29,0.14,-0.167,-0.343,-0.832
-1.054,0.35,0.028,-7.07,10.5,1.96,-0.168,-0.346,-0.831
-1.073,0.342,0.034,-5.53,10.78,5.11,-0.167,-0.35,-0.833
-1.072,0.335,0.05,-6.65,10.92,7.14,-0.167,-0.345,-0.834
-1.05,0.357,0.058,-7.14,11.06,8.54,-0.171,-0.341,-0.829
-1.011,0.383,0.058,-1.89,10.15,9.8,-0.173,-0.347,-0.828
-1.012,0.374,0.071,8.68,7.35,11.2,-0.177,-0.339,-0.833
-1.061,0.335,0.085,14.98,6.37,12.11,-0.177,-0.339,-0.84
-1.091,0.312,0.072,12.53,8.26,14.0,-0.182,-0.34,-0.846
-1.074,0.317,0.06,5.67,11.13,35.42,-0.178,-0.332,-0.846
-0.973,0.341,0.06,1.12,11.34,19.88,-0.182,-0.337,-0.845
-0.951,0.352,0.07,5.11,8.96,20.16,-0.18,-0.328,-0.85
-0.963,0.343,0.05,10.01,6.79,20.44,-0.183,-0.327,-0.851
-0.955,0.331,0.026,13.58,6.51,23.87,-0.185,-0.325,-0.849
-0.945,0.34,0.022,14.84,6.58,27.86,-0.19,-0.323,-0.848
-0.942,0.36,0.048,15.82,6.23,31.36,-0.193,-0.323,-0.852
-0.925,0.347,0.033,16.03,6.3,30.87,-0.194,-0.321,-0.859
-0.9,0.344,-0.005,10.78,6.72,28.42,-0.196,-0.318,-0.859
-0.877,0.355,-0.019,5.6,5.39,25.62,-0.195,-0.313,-0.868
-0.866,0.362,-0.013,4.83,2.59,22.61,-0.195,-0.311,-0.864
-0.86,0.363,-0.004,6.72,-0.7,18.9,-0.197,-0.305,-0.865
-0.888,0.355,0.007,11.06,-4.62,12.67,-0.196,-0.306,-0.86
-0.908,0.342,0.008,9.66,-5.18,8.82,-0.192,-0.31,-0.863
-0.917,0.333,0.001,4.34,-3.99,4.9,-0.197,-0.306,-0.866
-0.903,0.33,-0.004,-1.54,-2.31,1.33,-0.2,-0.304,-0.862
-0.9,0.324,-0.001,-7.28,-1.61,-3.01,-0.196,-0.307,-0.862
-0.92,0.316,0.008,-13.79,-1.75,-7.21,-0.195,-0.314,-0.863
-0.928,0.308,0.014,-22.26,-3.08,-13.37,-0.194,-0.309,-0.863
-0.951,0.327,0.025,-23.24,-5.18,-15.75,-0.191,-0.303,-0.855
-0.981,0.335,0.04,-17.99,-8.05,-16.73,-0.198,-0.305,-0.855
-0.992,0.331,0.06,-8.33,-10.64,-15.47,-0.193,-0.311,-0.852
-0.977,0.301,0.072,0.07,-12.46,-14.21,-0.194,-0.309,-0.857
-0.964,0.263,0.086,3.99,-14.35,-13.16,-0.185,-0.315,-0.85
-0.969,0.249,0.099,-0.07,-14.98,-10.36,-0.191,-0.314,-0.855
-0.984,0.283,0.111,-0.98,-15.54,-7.63,-0.188,-0.318,-0.857
-0.996,0.304,0.112,3.43,-15.82,-4.83,-0.189,-0.319,-0.847
-0.996,0.296,0.107,10.15,-15.96,-1.4,-0.19,-0.319,-0.849
-0.983,0.29,0.096,12.88,-15.12,1.96,-0.191,-0.316,-0.848
-0.958,0.288,0.098,12.67,-14.42,4.27,-0.185,-0.316,-0.845
-0.949,0.312,0.102,11.55,-13.44,5.11,-0.184,-0.317,-0.847
-0.963,0.33,0.094,12.6,-12.04,5.53,-0.188,-0.318,-0.842
-0.973,0.323,0.091,15.47,-10.71,5.88,-0.186,-0.316,-0.844
-0.978,0.3,0.085,13.3,-7.98,4.83,-0.18,-0.316,-0.843
-0.965,0.29,0.076,5.39,-5.53,1.47,-0.183,-0.316,-0.848
-0.961,0.307,0.078,-6.02,-3.36,-4.13,-0.183,-0.314,-0.841
-0.974,0.323,0.072,-9.24,-3.43,-7.21,-0.186,-0.316,-0.844
-0.969,0.308,0.063,-7.84,-4.13,-9.45,-0.177,-0.318,-0.841
-0.953,0.298,0.063,-6.16,-4.9,-10.08,-0.185,-0.322,-0.848
-0.933,0.28,0.067,-4.76,-6.09,-9.94,-0.181,-0.316,-0.84
-0.918,0.271,0.071,-3.64,-7.0,-7.98,-0.184,-0.321,-0.843
-0.915,0.281,0.065,-3.5,-6.86,-5.88,-0.183,-0.319,-0.846
-0.922,0.297,0.043,1.68,-7.07,-0.7,-0.182,-0.323,-0.845
-0.924,0.298,0.038,6.58,-6.58,3.57,-0.183,-0.321,-0.839
-0.94,0.307,0.038,8.89,-6.23,6.72,-0.183,-0.321,-0.844
-0.969,0.316,0.03,9.59,-5.74,8.05,-0.181,-0.321,-0.846
-0.995,0.331,0.021,9.1,-4.9,8.47,-0.183,-0.318,-0.847
-1.022,0.34,0.019,8.89,-4.48,7.14,-0.185,-0.322,-0.839
-1.011,0.325,0.018,7.14,-4.13,4.27,-0.184,-0.326,-0.839
-0.994,0.314,0.016,1.26,-4.48,-0.21,-0.182,-0.319,-0.839
-0.989,0.313,0.024,-5.18,-4.76,-4.62,-0.184,-0.32,-0.84
-0.985,0.32,0.028,-8.89,-5.18,-7.07,-0.18,-0.322,-0.836
-0.965,0.318,0.022,-7.77,-6.09,-7.63,-0.182,-0.32,-0.836
-0.945,0.306,0.023,-4.55,-6.16,-5.88,-0.18,-0.324,-0.844
-0.942,0.304,0.025,-3.43,-6.3,-4.48,-0.178,-0.322,-0.847
-0.943,0.315,0.023,-2.17,-6.09,-1.89,-0.178,-0.321,-0.842
-0.954,0.333,0.027,-0.28,-5.88,0.56,-0.181,-0.318,-0.843
-0.965,0.334,0.028,2.38,-5.32,1.61,-0.177,-0.32,-0.836
-0.975,0.324,0.026,2.17,-4.55,0.35,-0.18,-0.316,-0.833
-0.999,0.325,0.024,-0.63,-3.5,-0.91,-0.184,-0.324,-0.837
-0.993,0.315,0.023,-2.66,-2.94,-2.52,-0.184,-0.322,-0.837
-0.971,0.305,0.012,-5.6,-2.94,-4.48,-0.179,-0.325,-0.834
-0.95,0.297,0.008,-6.65,-4.13,-5.25,-0.181,-0.323,-0.834
-0.935,0.293,0.012,-4.27,-5.67,-5.39,-0.182,-0.324,-0.838
-0.93,0.273,0.018,-0.7,-7.98,-4.48,-0.183,-0.327,-0.834
-0.939,0.255,0.03,1.33,-8.12,-2.45,-0.18,-0.329,-0.831
-0.974,0.27,0.026,-0.28,-6.79,0.21,-0.182,-0.321,-0.831
-0.988,0.291,0.018,-0.42,-5.95,2.94,-0.179,-0.322,-0.83
-0.978,0.304,0.021,0.84,-5.74,4.76,-0.178,-0.32,-0.835
-0.964,0.313,0.026,2.24,-5.81,5.46,-0.177,-0.323,-0.838
-0.969,0.314,0.03,3.71,-5.88,4.2,-0.177,-0.324,-0.829
-0.983,0.307,0.027,2.24,-5.39,3.15,-0.181,-0.325,-0.832
-0.98,0.313,0.024,0.42,-3.64,2.1,-0.183,-0.325,-0.832
-0.981,0.323,0.015,-0.49,-2.8,0.91,-0.18,-0.323,-0.83
-0.982,0.313,0.001,-0.77,-2.03,-0.07,-0.177,-0.323,-0.832
-0.981,0.309,-0.005,-3.43,-1.33,-0.77,-0.18,-0.319,-0.829
-0.962,0.313,-0.013,-4.97,-1.05,-1.05,-0.178,-0.324,-0.825
-0.944,0.314,-0.015,-4.97,-1.75,-1.33,-0.179,-0.321,-0.826
-0.937,0.314,-0.005,-4.13,-2.24,-1.68,-0.179,-0.32,-0.828
-0.935,0.306,0.0,-2.66,-2.73,-1.75,-0.179,-0.319,-0.829
-0.95,0.298,0.001,-2.1,-2.94,-1.26,-0.178,-0.317,-0.835
-0.97,0.297,0.003,-3.5,-2.31,-0.28,-0.181,-0.316,-0.831
-0.972,0.316,0.009,-4.2,-1.4,1.75,-0.179,-0.318,-0.832
-0.963,0.321,0.01,-1.89,-1.4,2.8,-0.177,-0.32,-0.835
-0.96,0.322,0.012,-0.21,-1.4,3.22,-0.178,-0.316,-0.834
-0.957,0.307,0.012,-0.42,-1.19,2.59,-0.177,-0.316,-0.829
-0.949,0.304,0.002,-3.99,-0.42,1.26,-0.18,-0.322,-0.829
-0.941,0.314,-0.018,-8.61,0.14,-0.56,-0.183,-0.316,-0.829
-0.947,0.324,-0.026,-8.61,-1.68,-1.68,-0.183,-0.319,-0.833
-0.939,0.325,-0.028,-6.09,-2.87,-0.77,-0.18,-0.312,-0.829
-0.926,0.314,-0.026,-2.45,-4.41,0.56,-0.178,-0.312,-0.824
-0.919,0.302,-0.02,-0.77,-5.74,1.12,-0.179,-0.316,-0.827
-0.923,0.307,-0.014,-2.73,-6.23,0.84,-0.179,-0.311,-0.824
-0.944,0.332,-0.002,-3.01,-6.3,0.7,-0.18,-0.312,-0.828
-0.965,0.333,0.011,0.56,-5.53,1.19,-0.173,-0.315,-0.823
-0.998,0.317,0.023,1.05,-4.13,1.75,-0.177,-0.312,-0.827
-1.008,0.307,0.035,-2.1,-2.38,1.61,-0.177,-0.313,-0.821
-1.001,0.305,0.032,-6.09,-0.7,0.77,-0.177,-0.31,-0.825
-0.989,0.312,0.03,-8.47,-0.14,-0.49,-0.177,-0.308,-0.827
-0.981,0.307,0.03,-7.56,-1.05,-1.75,-0.177,-0.313,-0.827
-0.974,0.304,0.027,-4.83,-2.73,-1.96,-0.18,-0.313,-0.83
-0.964,0.291,0.022,1.12,-3.71,-0.77,-0.178,-0.313,-0.828
-0.952,0.272,0.017,2.52,-4.13,0.14,-0.177,-0.313,-0.825
-0.943,0.289,0.013,-0.28,-3.57,0.91,-0.179,-0.312,-0.828
-0.935,0.322,0.008,-0.77,-3.22,1.61,-0.179,-0.313,-0.824
-0.929,0.333,0.0,3.01,-3.64,2.45,-0.183,-0.313,-0.834
-0.938,0.321,-0.003,6.37,-3.57,2.66,-0.176,-0.312,-0.83
-0.934,0.324,-0.01,4.76,-2.59,2.17,-0.178,-0.314,-0.826
-0.932,0.317,-0.026,2.45,-2.31,1.19,-0.179,-0.315,-0.827
-0.948,0.314,-0.041,0.14,-2.59,0.21,-0.179,-0.313,-0.826
-0.972,0.322,-0.036,-0.98,-2.8,0.07,-0.179,-0.313,-0.823
