ax,ay,az,gx,gy,gz,mx,my,mz
0.138,1.278,0.249,-2.66,8.54,-16.87,0.235,-0.557,-0.94
0.065,1.262,0.302,48.58,4.48,-13.02,0.242,-0.562,-0.95
0.028,1.107,0.36,69.86,5.67,-12.95,0.247,-0.559,-0.949
-0.021,1.001,0.352,60.129,9.59,-14.42,0.252,-0.559,-0.957
-0.041,0.997,0.309,39.97,14.35,-14.91,0.258,-0.566,-0.96
-0.031,0.995,0.269,28.35,14.84,-14.42,0.258,-0.564,-0.964
-0.024,0.945,0.228,21.56,14.7,-13.93,0.265,-0.566,-0.97
-0.037,0.977,0.213,20.93,16.17,-12.95,0.269,-0.563,-0.969
-0.043,1.008,0.213,28.77,14.7,-12.04,0.27,-0.564,-0.965
-0.034,0.959,0.214,40.18,11.27,-10.15,0.278,-0.557,-0.976
-0.017,0.879,0.247,44.24,7.91,-8.33,0.279,-0.566,-0.977
-0.033,0.814,0.273,26.18,7.14,-8.33,0.279,-0.561,-0.973
-0.036,0.784,0.291,7.98,9.24,-7.21,0.282,-0.559,-0.972
-0.017,0.801,0.28,-3.5,10.85,-5.25,0.285,-0.559,-0.98
-0.005,0.848,0.244,-6.51,11.34,-3.78,0.288,-0.559,-0.981
0.016,0.874,0.23,-2.8,9.38,-2.52,0.286,-0.562,-0.982
0.01,0.877,0.251,2.45,5.74,-2.24,0.293,-0.563,-0.974
-0.048,0.847,0.277,2.03,6.58,-4.27,0.287,-0.562,-0.975
-0.006,0.816,0.257,0.77,7.84,-4.55,0.291,-0.564,-0.975
0.025,0.837,0.244,0.21,7.56,-3.64,0.294,-0.559,-0.973
0.029,0.85,0.251,2.66,6.02,-3.99,0.29,-0.564,-0.97
0.027,0.858,0.283,7.49,4.97,-4.06,0.295,-0.564,-0.972
-0.006,0.834,0.298,13.79,4.69,-6.02,0.293,-0.566,-0.978
-0.011,0.785,0.302,13.37,3.71,-6.58,0.291,-0.567,-0.977
-0.039,0.794,0.299,6.16,4.34,-5.25,0.293,-0.563,-0.981
-0.089,0.819,0.285,1.47,5.25,-5.25,0.295,-0.561,-0.976
-0.1,0.859,0.298,3.71,5.18,-3.15,0.296,-0.564,-0.974
-0.125,0.932,0.326,11.41,4.97,5.81,0.296,-0.562,-0.979
-0.172,0.924,0.351,23.59,6.72,8.75,0.299,-0.563,-0.979
-0.189,0.898,0.322,22.19,10.29,7.91,0.303,-0.561,-0.982
-0.218,0.929,0.266,14.21,12.67,5.67,0.298,-0.563,-0.983
-0.199,0.969,0.252,10.99,12.32,5.67,0.296,-0.564,-0.983
-0.18,0.959,0.263,10.64,9.59,6.09,0.296,-0.566,-0.985
-0.174,0.952,0.313,6.37,7.35,6.16,0.298,-0.568,-0.978
-0.194,0.965,0.32,-1.68,7.98,2.38,0.301,-0.565,-0.978
-0.175,1.006,0.319,-3.08,8.75,2.52,0.301,-0.563,-0.982
-0.164,1.012,0.309,-3.36,7.98,1.75,0.297,-0.57,-0.982
-0.128,1.007,0.29,-3.78,7.14,1.96,0.294,-0.566,-0.981
-0.084,1.023,0.304,-1.05,5.6,2.38,0.298,-0.565,-0.981
-0.102,1.072,0.332,10.15,2.73,0.14,0.299,-0.566,-0.983
-0.117,0.981,0.331,17.15,1.47,0.35,0.3,-0.565,-0.99
-0.12,0.952,0.293,12.04,2.24,0.84,0.3,-0.561,-0.989
-0.115,1.003,0.266,5.81,3.43,-0.14,0.295,-0.569,-0.987
