ax,ay,az,gx,gy,gz,mx,my,mz
-0.911,0.43,0.111,-2.31,1.12,-2.87,-0.138,-0.403,-0.876
-0.875,0.42,0.104,-23.52,5.74,-8.4,-0.14,-0.4,-0.875
-0.895,0.504,0.106,-51.94,10.57,-11.9,-0.142,-0.397,-0.874
-0.866,0.633,0.076,-45.99,10.43,-12.53,-0.136,-0.399,-0.877
-0.886,0.699,0.082,-24.22,7.0,-10.57,-0.139,-0.4,-0.867
-0.844,0.686,0.072,0.49,4.55,-10.5,-0.135,-0.404,-0.868
-0.81,0.627,0.069,17.36,1.96,-13.79,-0.136,-0.401,-0.871
-0.789,0.565,0.081,21.49,0.21,-18.83,-0.13,-0.406,-0.87
-0.766,0.546,0.087,8.75,0.77,-28.42,-0.136,-0.409,-0.873
-0.752,0.586,0.071,0.14,1.33,-34.93,-0.131,-0.411,-0.871
-0.746,0.601,0.047,-3.43,0.91,-40.18,-0.13,-0.414,-0.87
-0.735,0.61,0.028,-6.09,0.07,-44.66,-0.122,-0.419,-0.873
-0.736,0.63,0.015,-10.22,-1.26,-50.05,-0.116,-0.418,-0.869
-0.731,0.636,0.014,-12.25,-2.38,-56.28,-0.113,-0.424,-0.871
-0.737,0.637,0.004,-11.97,-3.43,-61.39,-0.108,-0.439,-0.879
-0.772,0.665,0.005,-11.55,-4.69,-66.92,-0.103,-0.435,-0.871
-0.765,0.673,0.01,-11.97,-3.92,-70.0,-0.099,-0.446,-0.872
-0.714,0.655,0.0,-14.98,-3.08,-74.55,-0.089,-0.456,-0.868
-0.676,0.656,-0.02,-22.82,-3.57,-81.13,-0.084,-0.456,-0.871
-0.661,0.681,-0.034,-30.1,-5.67,-88.76,-0.067,-0.466,-0.866
-0.639,0.703,-0.033,-31.15,-8.19,-95.27,-0.063,-0.468,-0.858
-0.623,0.736,-0.055,-17.01,-13.37,-102.34,-0.046,-0.476,-0.85
-0.661,0.765,-0.034,-3.57,-15.96,-103.95,-0.037,-0.483,-0.853
-0.694,0.739,-0.033,5.25,-15.47,-104.3,-0.023,-0.496,-0.858
-0.688,0.702,-0.068,4.48,-13.16,-102.83,-0.013,-0.502,-0.856
-0.653,0.678,-0.084,-3.08,-11.34,-100.94,-0.011,-0.512,-0.853
-0.611,0.681,-0.074,-18.76,-11.83,-100.17,0.012,-0.515,-0.85
-0.587,0.742,-0.022,-26.39,-12.67,-98.98,0.021,-0.518,-0.847
-0.593,0.796,-0.009,-24.71,-13.51,-97.02,0.039,-0.527,-0.839
-0.603,0.836,-0.019,-16.66,-13.65,-94.29,0.048,-0.525,-0.84
-0.605,0.835,-0.045,-8.75,-13.02,-92.54,0.065,-0.531,-0.838
-0.59,0.804,-0.066,-4.9,-12.39,-90.72,0.074,-0.537,-0.838
-0.521,0.798,-0.052,-9.45,-12.18,-88.69,0.089,-0.541,-0.832
-0.503,0.843,0.006,-14.07,-10.92,-87.92,0.094,-0.547,-0.835
-0.517,0.889,0.029,-14.07,-8.96,-86.24,0.106,-0.544,-0.833
-0.513,0.91,0.002,-9.94,-6.37,-84.28,0.124,-0.546,-0.827
-0.485,0.907,-0.035,-4.69,-5.04,-79.59,0.132,-0.553,-0.829
-0.46,0.891,-0.024,1.4,-5.25,-76.65,0.147,-0.549,-0.827
-0.445,0.904,0.005,0.49,-4.62,-76.09,0.152,-0.548,-0.831
-0.422,0.92,-0.008,0.77,-3.85,-75.32,0.163,-0.552,-0.82
-0.408,0.949,-0.03,5.74,-3.5,-72.87,0.173,-0.556,-0.826
-0.398,0.956,-0.033,10.99,-3.22,-71.82,0.178,-0.556,-0.825
-0.396,0.945,-0.057,12.81,-3.01,-70.28,0.191,-0.553,-0.83
-0.371,0.946,-0.083,10.01,-1.47,-69.65,0.198,-0.557,-0.83
-0.328,0.952,-0.097,7.77,-2.24,-67.55,0.212,-0.555,-0.831
-0.275,0.972,-0.063,9.59,-3.5,-66.08,0.217,-0.558,-0.834
-0.263,0.965,-0.058,12.04,-4.55,-64.96,0.223,-0.559,-0.839
-0.251,0.953,-0.072,9.73,-5.11,-63.56,0.238,-0.559,-0.837
