ax,ay,az,gx,gy,gz,mx,my,mz
0.32,1.682,-0.617,-47.6,-90.44,23.24,0.23,-0.488,-0.716
0.147,1.372,-0.5,9.73,-88.2,34.93,0.235,-0.49,-0.718
0.042,1.065,-0.382,59.36,-84.91,45.78,0.237,-0.491,-0.724
-0.062,0.768,-0.277,82.6,-80.08,46.9,0.242,-0.504,-0.74
-0.199,0.492,-0.19,71.26,-69.72,42.07,0.238,-0.506,-0.744
-0.358,0.214,-0.082,45.5,-59.5,33.53,0.24,-0.51,-0.75
-0.35,0.13,-0.05,20.09,-45.01,18.83,0.241,-0.511,-0.752
-0.259,0.043,-0.05,8.12,-35.0,3.5,0.238,-0.514,-0.75
-0.211,-0.048,-0.02,12.67,-31.57,-4.9,0.243,-0.514,-0.758
-0.278,-0.152,0.07,21.42,-24.99,-11.97,0.244,-0.515,-0.757
-0.346,-0.151,0.095,17.01,-13.51,-12.25,0.243,-0.515,-0.763
-0.384,-0.044,0.079,10.99,2.59,-9.45,0.243,-0.519,-0.763
-0.409,0.168,0.024,7.07,19.11,-9.24,0.244,-0.517,-0.763
-0.44,0.339,-0.007,9.45,31.57,-16.73,0.245,-0.52,-0.76
-0.395,0.441,0.077,-3.08,57.61,-24.08,0.243,-0.513,-0.763
0.054,0.646,-0.088,-60.76,85.679,-2.94,0.239,-0.513,-0.761
0.357,1.394,-0.565,-152.46,105.35,48.159,0.231,-0.509,-0.748
0.185,2.557,-0.997,-238.91,115.08,61.179,0.22,-0.483,-0.707
-0.126,3.073,-1.04,-182.7,100.45,-5.81,0.2,-0.47,-0.701
-0.158,3.172,-0.927,-6.93,79.8,-25.9,0.198,-0.469,-0.692
0.055,2.637,-0.749,137.76,72.94,-12.53,0.191,-0.479,-0.714
0.186,1.652,-0.491,154.07,81.2,-15.61,0.19,-0.488,-0.723
0.157,1.12,-0.313,105.07,96.81,-13.09,0.184,-0.504,-0.747
0.202,0.697,-0.223,41.86,114.24,-5.18,0.177,-0.507,-0.751
0.313,0.519,-0.214,-9.87,131.88,0.84,0.164,-0.501,-0.746
0.442,0.579,-0.215,-33.95,143.92,6.65,0.157,-0.501,-0.744
0.484,0.724,-0.194,-6.09,145.74,15.05,0.148,-0.501,-0.745
0.383,0.597,-0.126,31.92,135.1,15.4,0.131,-0.5,-0.749
0.294,0.351,-0.105,47.32,119.14,12.88,0.129,-0.503,-0.755
0.263,0.155,-0.059,46.62,99.68,9.45,0.112,-0.508,-0.763
0.232,0.061,0.016,27.3,80.78,3.57,0.109,-0.503,-0.77
0.213,0.088,0.088,-7.49,55.72,-21.07,0.104,-0.506,-0.77
0.209,0.127,0.072,-5.81,29.05,-40.6,0.108,-0.504,-0.767
0.175,0.017,0.031,15.47,-3.71,-45.64,0.111,-0.508,-0.775
0.122,-0.128,0.027,28.7,-36.75,-43.47,0.112,-0.511,-0.78
0.04,-0.182,0.032,8.47,-58.8,-41.02,0.121,-0.514,-0.777
0.002,-0.095,-0.004,-53.13,-67.48,-41.72,0.131,-0.507,-0.77
0.309,0.421,-0.276,-159.25,-50.96,-34.58,0.139,-0.502,-0.753
0.826,1.229,-0.727,-191.87,-41.23,-5.04,0.147,-0.482,-0.721
0.956,2.611,-1.138,-176.33,-51.66,44.66,0.145,-0.47,-0.713
0.409,3.204,-1.292,-111.23,-65.59,41.37,0.146,-0.466,-0.697
0.099,2.927,-1.205,17.5,-83.37,25.9,0.152,-0.464,-0.699
0.199,2.582,-1.051,83.159,-82.18,33.81,0.155,-0.469,-0.706
0.465,1.994,-0.741,40.6,-73.01,18.97,0.16,-0.472,-0.717
0.401,1.785,-0.587,-5.74,-67.62,10.99,0.163,-0.47,-0.712
0.255,1.705,-0.479,-23.73,-60.55,1.33,0.169,-0.472,-0.712
0.152,1.539,-0.4,4.83,-55.3,-4.83,0.169,-0.467,-0.715
0.086,1.258,-0.344,59.5,-52.64,-5.18,0.172,-0.473,-0.708
-0.033,0.748,-0.246,115.5,-45.29,-5.11,0.18,-0.482,-0.731
-0.135,0.482,-0.209,119.42,-35.35,-1.61,0.188,-0.483,-0.742
-0.262,0.309,-0.163,105.7,-22.47,2.94,0.188,-0.494,-0.757
-0.37,0.208,-0.156,90.44,-7.63,3.71,0.189,-0.498,-0.766
-0.415,0.093,-0.14,86.1,1.68,3.36,0.194,-0.504,-0.777
-0.423,-0.058,-0.115,93.169,6.51,4.06,0.191,-0.506,-0.788
-0.424,-0.207,-0.049,81.62,13.58,1.89,0.189,-0.507,-0.797
-0.445,-0.289,0.012,49.49,27.02,-1.89,0.192,-0.512,-0.805
-0.444,-0.216,0.032,10.43,42.7,-3.92,0.19,-0.513,-0.809
-0.46,-0.028,0.016,-21.98,59.5,-2.94,0.188,-0.509,-0.808
-0.498,0.15,0.01,-37.03,73.01,-3.15,0.182,-0.506,-0.801
-0.504,0.333,0.027,-44.1,87.85,-2.8,0.177,-0.51,-0.804
-0.413,0.711,-0.103,-82.95,122.08,5.53,0.168,-0.499,-0.792
-0.024,1.225,-0.419,-144.48,154.21,18.62,0.17,-0.492,-0.778
0.113,2.142,-0.835,-212.73,169.26,25.48,0.144,-0.472,-0.756
0.099,2.901,-0.998,-215.11,157.92,-16.52,0.141,-0.459,-0.747
0.094,3.005,-0.86,-103.74,120.54,-63.07,0.133,-0.446,-0.735
0.098,2.67,-0.724,14.07,86.379,-54.88,0.132,-0.444,-0.739
0.122,1.917,-0.476,50.33,84.77,-69.72,0.133,-0.45,-0.746
0.203,1.661,-0.411,33.6,96.81,-75.67,0.131,-0.453,-0.751
0.33,1.483,-0.346,29.89,109.2,-79.03,0.133,-0.454,-0.757
0.417,1.203,-0.279,47.18,113.12,-78.26,0.132,-0.463,-0.763
0.417,0.884,-0.221,83.44,109.83,-64.4,0.133,-0.464,-0.781
0.374,0.54,-0.186,134.54,99.4,-33.32,0.13,-0.472,-0.795
0.343,0.1,-0.027,136.08,99.54,-11.9,0.129,-0.479,-0.804
0.328,-0.074,0.019,92.679,105.14,0.42,0.126,-0.481,-0.852
0.275,-0.046,0.032,37.87,110.67,4.69,0.114,-0.483,-0.827
0.239,0.057,-0.046,-1.26,108.22,0.77,0.112,-0.48,-0.833
0.22,0.146,-0.006,-6.37,82.81,-7.28,0.105,-0.48,-0.842
0.133,0.251,0.051,-1.05,61.04,-22.26,0.103,-0.478,-0.839
0.078,0.325,0.08,2.66,39.55,-44.31,0.106,-0.48,-0.845
0.054,0.335,0.074,7.0,19.81,-62.65,0.107,-0.481,-0.846
0.024,0.365,0.024,10.01,5.32,-71.33,0.115,-0.484,-0.854
-0.018,0.434,-0.037,-5.95,0.28,-83.02,0.115,-0.485,-0.857
0.04,0.655,-0.089,-40.39,3.78,-92.47,0.124,-0.489,-0.85
0.299,0.757,-0.223,-64.12,9.66,-94.92,0.134,-0.498,-0.837
0.733,1.005,-0.413,-84.56,10.57,-72.17,0.138,-0.498,-0.826
1.033,1.56,-0.692,-111.37,8.89,-30.52,0.138,-0.492,-0.799
0.81,2.182,-0.957,-118.16,0.42,-8.89,0.141,-0.481,-0.789
