ax,ay,az,gx,gy,gz,mx,my,mz
0.197,0.701,0.669,2.31,-3.36,-0.49,0.265,-0.343,-0.865
0.195,0.682,0.681,3.01,-3.64,-0.42,0.264,-0.345,-0.866
0.189,0.677,0.687,1.54,-3.36,0.14,0.262,-0.343,-0.867
0.191,0.685,0.683,0.35,-2.87,0.14,0.265,-0.344,-0.868
0.193,0.694,0.676,0.35,-2.8,-0.07,0.262,-0.341,-0.869
0.193,0.692,0.677,1.26,-3.29,-0.49,0.261,-0.341,-0.873
0.19,0.681,0.682,0.91,-3.43,-0.77,0.265,-0.343,-0.869
0.19,0.688,0.681,0.35,-3.29,-0.77,0.267,-0.343,-0.869
0.19,0.689,0.68,0.7,-3.22,-0.21,0.265,-0.345,-0.869
0.193,0.684,0.683,0.98,-2.94,0.28,0.263,-0.344,-0.871
0.193,0.684,0.683,1.12,-2.8,0.35,0.262,-0.34,-0.867
0.191,0.686,0.681,0.77,-2.8,0.14,0.264,-0.341,-0.867
0.186,0.684,0.684,0.63,-3.08,-0.42,0.263,-0.342,-0.869
0.186,0.679,0.686,-0.14,-3.01,-0.77,0.26,-0.346,-0.87
0.192,0.684,0.681,-1.47,-2.73,-0.77,0.265,-0.345,-0.867
0.196,0.694,0.675,-1.61,-2.66,-0.35,0.262,-0.345,-0.865
0.198,0.696,0.671,0.98,-3.01,0.21,0.263,-0.345,-0.868
0.191,0.691,0.676,2.03,-3.43,0.14,0.265,-0.345,-0.872
0.187,0.691,0.683,2.45,-3.85,-0.14,0.266,-0.345,-0.869
0.185,0.682,0.688,2.66,-3.64,-0.28,0.264,-0.343,-0.877
0.184,0.673,0.69,1.47,-3.15,-0.35,0.266,-0.342,-0.868
0.189,0.676,0.69,-0.21,-2.73,-0.42,0.264,-0.34,-0.871
0.193,0.687,0.681,-1.4,-2.31,-0.21,0.267,-0.339,-0.876
0.188,0.69,0.68,-1.05,-2.24,-0.21,0.264,-0.34,-0.866
0.188,0.689,0.681,-0.84,-2.52,-0.14,0.267,-0.344,-0.866
0.189,0.688,0.68,-0.49,-2.52,-0.35,0.264,-0.337,-0.868
0.193,0.689,0.681,-0.49,-2.52,-0.35,0.262,-0.34,-0.867
0.19,0.68,0.681,0.0,-2.73,-0.49,0.262,-0.344,-0.866
0.191,0.683,0.682,-0.56,-2.66,-0.56,0.267,-0.343,-0.872
0.189,0.69,0.681,-0.84,-2.87,-0.42,0.268,-0.341,-0.871
0.187,0.692,0.679,-0.35,-2.94,-0.56,0.267,-0.343,-0.87
