ax,ay,az,gx,gy,gz,mx,my,mz
-0.91,0.426,0.066,-7.98,-0.7,-2.8,-0.142,-0.415,-0.911
-0.904,0.425,0.062,-8.05,-1.61,-3.22,-0.138,-0.409,-0.913
-0.9,0.428,0.062,-8.05,-2.45,-2.66,-0.137,-0.412,-0.904
-0.889,0.428,0.066,-7.63,-3.29,-1.75,-0.138,-0.411,-0.904
-0.891,0.43,0.073,-7.35,-4.13,-0.98,-0.143,-0.409,-0.905
-0.896,0.435,0.079,-7.42,-4.27,0.21,-0.144,-0.413,-0.902
-0.891,0.443,0.076,-6.72,-3.85,1.05,-0.142,-0.411,-0.906
-0.89,0.452,0.088,-4.69,-4.13,2.03,-0.143,-0.411,-0.903
-0.923,0.447,0.141,-4.9,-3.43,0.63,-0.14,-0.41,-0.902
-0.949,0.428,0.179,-9.87,0.35,-3.36,-0.14,-0.407,-0.894
-0.941,0.41,0.166,-19.81,7.84,-7.21,-0.139,-0.41,-0.898
-0.922,0.406,0.126,-31.29,14.98,-10.71,-0.143,-0.41,-0.904
-0.906,0.423,0.095,-40.39,20.23,-12.53,-0.141,-0.412,-0.903
-0.9,0.443,0.083,-38.64,20.3,-12.81,-0.141,-0.411,-0.894
-0.895,0.449,0.113,-31.92,22.54,-13.72,-0.135,-0.408,-0.898
-0.88,0.46,0.101,-22.75,25.34,-16.17,-0.136,-0.413,-0.895
-0.84,0.457,0.068,-10.99,22.75,-18.48,-0.135,-0.411,-0.899
-0.813,0.429,0.08,1.05,17.01,-19.74,-0.137,-0.416,-0.907
-0.783,0.4,0.097,9.1,14.14,-27.23,-0.135,-0.416,-0.903
-0.696,0.455,0.071,19.32,21.49,-34.02,-0.131,-0.423,-0.901
-0.595,0.483,0.015,42.56,17.29,-43.19,-0.128,-0.425,-0.907
-0.569,0.438,0.038,76.159,5.04,-45.85,-0.124,-0.434,-0.923
-0.616,0.336,0.057,91.49,-5.04,-50.19,-0.119,-0.441,-0.931
-0.645,0.248,0.07,62.929,-7.63,-51.73,-0.11,-0.45,-0.94
-0.665,0.264,0.105,25.34,-3.01,-55.44,-0.107,-0.449,-0.944
-0.69,0.37,0.132,-6.93,3.78,-59.01,-0.104,-0.456,-0.943
-0.695,0.509,0.106,-19.18,10.64,-62.16,-0.095,-0.464,-0.94
-0.681,0.586,0.084,-7.14,11.2,-62.93,-0.094,-0.466,-0.937
-0.687,0.578,0.116,14.91,9.66,-63.21,-0.081,-0.471,-0.939
-0.703,0.495,0.109,19.53,13.37,-66.57,-0.073,-0.481,-0.943
-0.698,0.417,0.028,2.66,18.55,-69.58,-0.064,-0.486,-0.948
-0.689,0.471,-0.026,-12.53,21.84,-72.24,-0.061,-0.485,-0.951
-0.713,0.622,0.092,-14.49,22.12,-68.53,-0.057,-0.488,-0.946
-0.781,0.73,0.188,-6.02,24.36,-68.39,-0.047,-0.497,-0.946
-0.826,0.674,0.204,6.02,31.01,-64.82,-0.044,-0.497,-0.95
-0.817,0.599,0.223,-10.43,41.65,-62.51,-0.036,-0.502,-0.956
-0.813,0.641,0.235,-41.09,51.94,-62.86,-0.033,-0.504,-0.953
-0.811,0.709,0.257,-57.47,57.82,-63.91,-0.024,-0.508,-0.947
-0.775,0.739,0.274,-47.67,59.71,-63.14,-0.021,-0.511,-0.952
-0.73,0.762,0.316,-26.18,58.31,-61.11,-0.011,-0.515,-0.951
-0.721,0.786,0.375,0.77,54.32,-59.71,-0.004,-0.515,-0.949
-0.735,0.838,0.383,6.93,54.32,-59.29,0.003,-0.518,-0.951
-0.717,0.796,0.362,10.78,52.78,-54.32,0.01,-0.523,-0.955
-0.687,0.81,0.376,14.98,51.659,-47.81,0.017,-0.521,-0.958
-0.672,0.876,0.422,19.32,50.33,-45.71,0.021,-0.526,-0.962
-0.646,0.919,0.449,26.46,49.84,-41.51,0.029,-0.525,-0.969
-0.603,0.904,0.433,32.69,46.27,-32.9,0.033,-0.525,-0.97
-0.555,0.834,0.366,32.76,42.28,-29.68,0.037,-0.527,-0.976
-0.549,0.893,0.343,29.61,38.92,-25.34,0.035,-0.527,-0.979
-0.586,0.944,0.34,29.26,34.65,-22.05,0.035,-0.53,-0.992
-0.614,0.963,0.334,35.42,31.71,-20.23,0.043,-0.531,-0.99
-0.61,0.95,0.342,43.68,30.1,-19.11,0.042,-0.531,-1.003
-0.578,0.917,0.358,56.84,28.07,-19.95,0.047,-0.534,-1.008
-0.56,0.865,0.376,57.61,27.37,-19.88,0.038,-0.531,-1.014
-0.537,0.883,0.416,46.13,29.68,-21.56,0.052,-0.531,-1.021
