ax,ay,az,gx,gy,gz,mx,my,mz
0.079,0.625,0.773,3.57,-3.99,0.49,0.132,-0.439,-1.016
0.075,0.599,0.783,6.02,-4.83,0.35,0.129,-0.445,-1.015
0.071,0.579,0.789,4.62,-4.27,0.07,0.131,-0.446,-1.014
0.069,0.57,0.789,0.35,-4.13,-0.07,0.132,-0.445,-1.015
0.069,0.573,0.789,-2.73,-3.85,0.07,0.136,-0.447,-1.018
0.078,0.584,0.769,-4.9,-3.78,-0.07,0.136,-0.446,-1.018
0.082,0.599,0.759,-3.08,-4.9,0.56,0.131,-0.45,-1.02
0.082,0.615,0.763,0.77,-6.93,1.75,0.128,-0.445,-1.017
0.08,0.57,0.777,3.64,-9.17,2.66,0.128,-0.444,-1.019
0.078,0.574,0.787,2.66,-9.66,2.59,0.126,-0.442,-1.017
0.075,0.562,0.795,0.98,-9.59,3.01,0.125,-0.445,-1.015
0.064,0.579,0.795,-2.31,-9.38,3.08,0.124,-0.444,-1.009
0.066,0.591,0.778,-5.39,-9.31,2.03,0.124,-0.447,-1.007
0.07,0.594,0.766,-6.93,-10.92,2.17,0.12,-0.45,-1.009
0.068,0.629,0.768,-3.92,-13.37,4.27,0.123,-0.448,-1.007
0.049,0.639,0.773,3.36,-18.2,7.14,0.118,-0.446,-1.014
0.031,0.601,0.751,5.04,-20.58,7.28,0.115,-0.445,-1.005
-0.018,0.573,0.761,3.5,-26.04,10.43,0.114,-0.443,-1.005
0.021,0.605,0.762,5.67,-24.71,14.98,0.109,-0.447,-1.006
-0.016,0.617,0.828,4.13,-29.89,22.19,0.106,-0.444,-1.01
-0.096,0.646,0.81,0.63,-35.21,42.14,0.102,-0.44,-1.004
-0.007,0.742,0.745,13.02,-31.99,53.06,0.088,-0.435,-0.996
-0.018,0.69,0.84,22.61,-46.13,59.71,0.084,-0.436,-0.997
-0.003,0.742,0.931,22.82,-51.03,69.02,0.076,-0.43,-0.989
0.097,0.852,0.824,51.169,-46.13,60.409,0.07,-0.421,-0.98
0.119,0.336,0.769,51.31,-64.47,70.49,0.065,-0.419,-0.991
-0.083,0.286,0.876,21.98,-70.42,73.99,0.049,-0.407,-0.992
-0.03,0.324,0.966,-21.98,-70.28,73.29,0.043,-0.404,-0.988
0.039,0.302,0.862,-56.7,-63.98,63.84,0.037,-0.402,-0.974
-0.072,0.273,0.814,-84.07,-72.24,72.379,0.027,-0.4,-0.968
-0.235,0.391,0.918,-115.71,-63.21,112.28,0.009,-0.407,-0.959
-0.212,0.664,0.854,-128.73,-40.25,121.03,0.008,-0.411,-0.961
-0.016,0.788,0.75,-140.14,-32.76,135.87,0.001,-0.413,-0.953
0.106,0.974,0.633,-124.53,-35.91,126.0,-0.019,-0.413,-0.951
-0.072,0.989,0.722,-72.1,-53.41,121.24,-0.028,-0.412,-0.954
-0.316,0.758,0.781,-18.27,-67.06,120.89,-0.045,-0.41,-0.961
-0.571,0.745,0.796,-24.36,-48.44,145.81,-0.046,-0.412,-0.968
-0.337,0.846,0.571,-10.08,-39.69,137.62,-0.062,-0.409,-0.986
-0.217,0.681,0.397,11.48,-50.33,117.88,-0.065,-0.407,-0.991
-0.304,0.535,0.351,27.86,-67.76,105.0,-0.072,-0.407,-0.999
-0.418,0.43,0.399,20.51,-78.89,87.78,-0.085,-0.401,-1.008
-0.469,0.438,0.453,-3.5,-78.82,71.54,-0.095,-0.396,-1.011
-0.485,0.553,0.41,-40.81,-73.78,47.95,-0.101,-0.4,-1.003
-0.494,0.517,0.351,-48.58,-73.57,37.24,-0.104,-0.401,-0.999
-0.547,0.486,0.285,-55.58,-77.0,33.6,-0.114,-0.404,-0.989
-0.632,0.511,0.299,-62.93,-80.29,33.95,-0.112,-0.401,-0.987
-0.74,0.667,0.322,-70.63,-75.95,29.4,-0.115,-0.399,-0.986
-0.834,0.649,0.36,-67.41,-77.28,19.95,-0.119,-0.406,-0.971
-0.907,0.594,0.331,-43.26,-75.6,29.75,-0.118,-0.404,-0.965
-0.956,0.421,0.242,-35.0,-77.42,38.99,-0.119,-0.404,-0.949
-1.043,0.301,0.224,-45.64,-83.23,53.83,-0.128,-0.403,-0.953
-1.16,0.349,0.251,-77.21,-78.54,64.47,-0.132,-0.395,-0.946
-1.22,0.605,0.345,-115.85,-60.48,63.629,-0.139,-0.393,-0.925
-1.216,0.812,0.29,-140.49,-41.79,52.919,-0.146,-0.384,-0.915
-1.208,0.873,0.242,-110.46,-41.93,59.99,-0.145,-0.376,-0.905
-1.157,0.802,0.192,-33.32,-45.08,65.03,-0.151,-0.369,-0.898
-1.109,0.566,0.158,-5.88,-47.25,67.27,-0.149,-0.363,-0.889
-1.125,0.529,0.161,-5.32,-44.52,71.47,-0.154,-0.357,-0.888
-1.098,0.525,0.171,-24.5,-35.56,65.87,-0.159,-0.354,-0.891
-1.018,0.501,0.166,-41.44,-26.88,54.879,-0.158,-0.343,-0.876
-1.032,0.487,0.116,-45.29,-30.17,55.649,-0.163,-0.341,-0.874
-1.098,0.441,0.062,-42.14,-27.23,56.84,-0.166,-0.332,-0.869
-1.034,0.361,-0.011,-47.53,-21.77,54.53,-0.171,-0.329,-0.867
-0.964,0.292,-0.093,-54.25,-23.1,56.49,-0.176,-0.323,-0.86
-0.973,0.309,-0.097,-58.1,-31.92,58.8,-0.169,-0.317,-0.857
-1.132,0.385,0.101,-55.02,-39.06,48.44,-0.177,-0.31,-0.851
-1.202,0.463,0.185,-39.69,-30.8,41.93,-0.176,-0.3,-0.847
-1.15,0.466,0.2,-9.94,-19.11,37.31,-0.176,-0.303,-0.842
-1.054,0.402,0.158,17.57,-12.81,32.55,-0.176,-0.301,-0.841
-1.002,0.286,0.138,34.79,-8.68,27.09,-0.176,-0.303,-0.848
-1.063,0.154,0.15,41.16,-8.96,24.78,-0.178,-0.302,-0.845
-1.099,0.084,0.1,0.56,1.61,14.56,-0.181,-0.299,-0.847
-0.971,0.149,0.05,-31.22,10.22,7.63,-0.181,-0.302,-0.841
-0.863,0.24,0.012,-45.99,10.15,0.56,-0.181,-0.298,-0.847
-0.824,0.329,0.035,-36.12,3.99,-3.85,-0.183,-0.302,-0.848
-0.836,0.345,0.015,-5.11,-3.99,-5.32,-0.179,-0.307,-0.844
-0.852,0.246,0.056,54.879,-12.39,-0.56,-0.178,-0.305,-0.846
-0.861,0.211,0.061,74.06,-14.14,1.82,-0.182,-0.308,-0.855
-0.804,0.164,0.036,76.58,-11.9,0.63,-0.179,-0.312,-0.858
-0.749,0.138,0.044,70.28,-11.34,0.98,-0.178,-0.318,-0.86
-0.755,0.149,0.068,53.62,-11.76,-0.49,-0.18,-0.321,-0.856
-0.789,0.182,0.061,38.36,-10.22,-2.52,-0.18,-0.327,-0.85
-0.823,0.192,0.081,24.78,-6.51,-0.63,-0.182,-0.324,-0.861
-0.857,0.208,0.047,16.52,-3.85,-0.28,-0.182,-0.324,-0.859
