ax,ay,az,gx,gy,gz,mx,my,mz
0.036,0.149,0.98,-1.4,-3.22,-0.56,0.36,-0.202,-1.337
0.034,0.142,0.981,-2.8,-3.22,-0.63,0.361,-0.206,-1.336
0.032,0.154,0.985,-4.48,-2.73,-1.19,0.363,-0.208,-1.339
0.036,0.166,0.979,-4.27,-2.59,-1.75,0.359,-0.209,-1.333
0.044,0.16,0.978,-0.63,-3.15,-1.4,0.359,-0.21,-1.334
0.043,0.146,0.988,2.87,-3.78,0.14,0.364,-0.209,-1.335
0.038,0.139,0.995,1.33,-3.5,-0.21,0.358,-0.209,-1.341
0.039,0.156,0.993,0.7,-2.94,-0.7,0.351,-0.208,-1.336
0.04,0.164,0.988,2.38,-2.66,-0.77,0.358,-0.203,-1.343
0.042,0.153,0.991,5.6,-3.01,-0.21,0.359,-0.205,-1.339
0.04,0.138,0.999,5.81,-3.08,0.14,0.363,-0.209,-1.341
0.044,0.156,0.999,1.82,-1.89,-1.19,0.358,-0.206,-1.335
0.043,0.165,0.99,2.66,-1.47,-1.89,0.358,-0.202,-1.341
0.04,0.135,0.991,6.09,-1.82,-0.84,0.358,-0.202,-1.334
0.032,0.069,0.97,3.71,-1.68,1.4,0.36,-0.202,-1.335
0.028,-0.098,0.972,-16.87,-3.36,5.46,0.36,-0.204,-1.341
0.04,-0.384,0.909,-80.15,-6.51,15.61,0.356,-0.213,-1.34
0.039,-0.833,0.616,-306.39,-28.07,48.02,0.351,-0.262,-1.33
-0.078,-0.977,0.63,-552.86,-17.01,81.83,0.344,-0.302,-1.31
-0.186,-0.859,-0.399,-903.14,-9.66,76.37,0.338,-0.366,-1.284
-0.124,-0.456,-1.428,-1158.85,-4.97,-5.74,0.335,-0.497,-1.129
-0.042,0.044,-2.206,-1309.49,-3.85,-104.02,0.338,-0.537,-1.014
-0.174,1.392,-2.776,-1297.45,27.86,-93.73,0.344,-0.519,-0.792
-0.128,3.744,-2.474,-805.14,114.45,-53.62,0.338,-0.476,-0.719
0.558,2.87,-0.996,-151.13,-12.11,3.29,0.331,-0.447,-0.692
0.2,1.026,-0.463,167.93,-46.13,-34.72,0.338,-0.452,-0.703
-0.247,0.36,-0.457,210.35,-9.73,-18.69,0.343,-0.462,-0.721
-0.351,0.112,-0.629,77.77,14.42,-21.63,0.346,-0.473,-0.733
-0.127,0.864,-0.741,-117.32,5.88,-5.04,0.346,-0.471,-0.722
0.088,1.512,-0.814,-89.88,15.4,-3.29,0.346,-0.457,-0.708
0.201,1.818,-0.996,81.83,12.46,5.04,0.342,-0.461,-0.713
0.122,1.615,-0.95,289.8,-10.92,18.2,0.342,-0.471,-0.731
-0.042,1.433,-0.776,456.54,-16.73,19.53,0.344,-0.514,-0.798
-0.126,1.56,-0.62,599.55,-9.03,9.73,0.346,-0.53,-0.842
-0.063,1.698,-0.765,800.73,-15.54,-38.01,0.355,-0.549,-0.981
0.025,1.358,-0.727,923.72,-22.68,-67.27,0.364,-0.536,-1.058
0.157,0.732,-0.827,1000.93,-48.58,-93.38,0.381,-0.45,-1.212
0.153,-0.007,-0.652,959.84,-109.27,-90.79,0.382,-0.387,-1.27
0.087,-0.777,-0.018,811.51,-145.46,-47.46,0.376,-0.32,-1.309
-0.071,-1.321,0.705,601.23,-129.71,44.59,0.355,-0.213,-1.343
-0.113,-1.475,1.035,287.28,-53.97,159.6,0.35,-0.183,-1.35
-0.192,-0.465,1.337,-81.41,6.09,29.61,0.344,-0.191,-1.355
-0.146,0.004,1.098,-267.47,46.55,-74.2,0.348,-0.214,-1.341
0.107,0.731,0.809,-257.53,59.85,-85.54,0.364,-0.248,-1.331
0.237,1.009,0.715,-111.51,29.19,-53.48,0.366,-0.26,-1.326
0.1,0.711,0.805,70.49,-11.62,10.64,0.366,-0.255,-1.335
0.024,0.055,1.011,162.75,-28.07,42.42,0.36,-0.233,-1.335
0.052,-0.117,1.057,109.83,-16.87,19.53,0.356,-0.221,-1.339
0.056,-0.112,1.032,23.24,-2.45,-9.59,0.355,-0.212,-1.341
0.057,0.06,0.956,-35.49,6.37,-19.25,0.356,-0.219,-1.341
0.071,0.222,0.934,-45.43,5.81,-17.36,0.362,-0.221,-1.344
0.055,0.298,0.934,-27.3,0.7,-11.97,0.359,-0.22,-1.337
0.041,0.257,0.924,15.68,-6.58,-4.55,0.359,-0.227,-1.34
0.049,0.151,0.947,31.85,-9.66,-2.87,0.361,-0.222,-1.346
0.042,0.07,0.973,26.74,-9.24,-1.96,0.359,-0.213,-1.345
0.03,0.057,0.994,8.89,-6.79,-2.73,0.357,-0.212,-1.344
0.024,0.118,0.991,-8.68,-3.71,-4.41,0.354,-0.217,-1.341
0.029,0.182,0.963,-13.86,-1.96,-4.9,0.357,-0.215,-1.343
0.041,0.187,0.955,0.7,-3.5,-3.08,0.359,-0.217,-1.346
0.035,0.151,0.971,9.17,-5.18,0.21,0.359,-0.217,-1.343
0.034,0.125,0.988,9.1,-5.46,1.4,0.359,-0.214,-1.342
0.036,0.126,0.998,2.38,-4.48,0.49,0.359,-0.209,-1.344
0.032,0.149,0.999,-5.04,-3.08,-0.91,0.357,-0.211,-1.339
0.036,0.211,0.976,-6.58,-2.87,-2.8,0.355,-0.214,-1.342
0.04,0.209,0.974,0.77,-3.5,-3.01,0.363,-0.214,-1.344
0.034,0.189,0.984,9.87,-5.18,-1.89,0.36,-0.212,-1.341
0.031,0.14,1.0,15.68,-6.16,-0.77,0.357,-0.212,-1.341
0.03,0.104,1.004,11.27,-5.18,-0.14,0.357,-0.208,-1.336
0.033,0.112,0.999,1.96,-3.43,-1.47,0.357,-0.208,-1.345
0.035,0.134,0.991,-3.99,-2.38,-2.1,0.357,-0.209,-1.338
0.037,0.136,0.985,-2.17,-2.8,0.28,0.358,-0.21,-1.343
0.031,0.134,0.992,-1.96,-2.73,1.19,0.357,-0.208,-1.335
0.03,0.145,0.991,-4.34,-2.1,0.42,0.357,-0.208,-1.344
0.032,0.169,0.988,-4.97,-1.26,0.0,0.356,-0.212,-1.344
0.037,0.177,0.979,-2.73,-1.33,0.0,0.354,-0.211,-1.344
0.04,0.186,0.984,3.08,-1.82,0.07,0.355,-0.211,-1.339
0.038,0.165,0.981,5.81,-2.66,-0.35,0.357,-0.21,-1.338
0.041,0.155,0.981,5.81,-2.8,-0.42,0.354,-0.209,-1.34
0.039,0.163,0.977,3.57,-2.59,-2.24,0.359,-0.211,-1.339
0.041,0.165,0.97,3.36,-2.52,-3.01,0.36,-0.213,-1.337
0.047,0.152,0.972,5.32,-3.43,-1.68,0.357,-0.211,-1.338
0.044,0.124,0.981,2.03,-3.92,-1.33,0.361,-0.207,-1.34
0.041,0.148,0.984,-3.57,-2.94,-2.45,0.359,-0.207,-1.339
0.041,0.169,0.981,-4.97,-2.38,-3.85,0.355,-0.206,-1.342
0.043,0.163,0.979,-0.77,-2.73,-2.94,0.355,-0.212,-1.344
0.042,0.136,0.985,3.08,-3.92,-1.33,0.351,-0.208,-1.339
0.034,0.119,0.99,1.33,-2.94,-0.91,0.354,-0.208,-1.341
0.033,0.152,0.999,-5.6,-1.61,-1.89,0.355,-0.212,-1.341
0.035,0.173,0.988,-5.95,-0.35,-2.8,0.355,-0.21,-1.337
0.039,0.171,0.976,-1.12,-0.77,-2.03,0.356,-0.212,-1.333
0.044,0.15,0.979,3.43,-1.54,-0.35,0.36,-0.211,-1.34
0.043,0.138,0.989,3.15,-1.96,0.56,0.362,-0.208,-1.337
0.039,0.133,0.987,-0.77,-1.82,-0.56,0.357,-0.215,-1.339
0.043,0.139,0.989,-5.88,-0.98,-1.26,0.358,-0.213,-1.338
0.041,0.175,0.983,-6.37,-1.05,-2.17,0.356,-0.208,-1.34
0.043,0.186,0.973,-2.24,-1.47,-2.73,0.356,-0.205,-1.34
0.047,0.157,0.976,4.48,-3.08,-0.98,0.354,-0.21,-1.337
0.04,0.122,0.989,5.88,-3.29,0.77,0.359,-0.209,-1.334
0.038,0.124,0.994,-0.35,-2.38,-0.35,0.359,-0.211,-1.336
0.041,0.152,0.981,-6.23,-0.98,-2.1,0.359,-0.21,-1.337
0.041,0.18,0.967,-2.03,-1.61,-1.26,0.355,-0.211,-1.344
0.04,0.167,0.974,3.36,-2.45,-0.35,0.36,-0.215,-1.338
0.041,0.146,0.979,4.9,-2.8,0.14,0.361,-0.212,-1.341
0.046,0.134,0.981,1.89,-2.87,-0.35,0.358,-0.211,-1.336
0.043,0.149,0.983,-2.17,-2.59,-0.98,0.36,-0.216,-1.34
0.039,0.16,0.978,-2.45,-2.73,-1.54,0.361,-0.212,-1.342
0.033,0.158,0.976,0.91,-3.15,-0.7,0.357,-0.217,-1.34
0.036,0.147,0.985,3.08,-3.64,0.14,0.363,-0.213,-1.341
0.037,0.144,0.992,2.38,-3.29,-0.35,0.355,-0.21,-1.342
0.04,0.139,0.986,0.63,-2.94,-0.7,0.355,-0.215,-1.344
0.043,0.135,0.985,-1.26,-2.8,0.49,0.358,-0.212,-1.333
0.039,0.149,0.986,-2.24,-2.66,0.35,0.359,-0.214,-1.338
0.041,0.165,0.984,-1.26,-2.59,-0.07,0.36,-0.213,-1.338
