ax,ay,az,gx,gy,gz,mx,my,mz
-0.745,0.327,-0.06,14.42,-15.47,-29.12,-0.154,-0.39,-1.107
-0.783,0.316,-0.043,19.74,-17.29,-22.26,-0.154,-0.394,-1.107
-0.87,0.31,-0.033,22.75,-16.94,-13.51,-0.145,-0.392,-1.109
-1.002,0.329,-0.028,22.54,-14.7,-2.38,-0.146,-0.385,-1.113
-1.128,0.353,-0.034,20.3,-9.59,11.48,-0.149,-0.382,-1.121
-1.159,0.363,-0.044,12.6,-1.12,30.31,-0.153,-0.378,-1.127
-1.149,0.348,-0.053,7.98,0.63,40.04,-0.154,-0.378,-1.119
-1.258,0.409,-0.02,4.06,-2.59,49.909,-0.156,-0.369,-1.129
-1.291,0.458,0.031,5.6,-1.54,57.05,-0.165,-0.368,-1.129
-1.19,0.461,0.071,12.81,1.75,62.09,-0.166,-0.357,-1.129
-1.136,0.45,0.109,18.48,1.75,58.659,-0.169,-0.352,-1.131
-1.115,0.423,0.094,18.27,2.87,51.52,-0.169,-0.346,-1.141
-1.067,0.369,0.088,20.23,3.71,42.07,-0.172,-0.341,-1.137
-1.004,0.298,0.074,20.16,3.57,30.03,-0.177,-0.331,-1.135
-0.982,0.248,0.067,12.88,3.01,16.66,-0.178,-0.325,-1.146
-1.044,0.23,0.089,0.7,2.66,-2.17,-0.174,-0.328,-1.141
-1.155,0.174,0.113,-19.88,6.79,-5.81,-0.177,-0.324,-1.143
-1.147,0.176,0.098,-39.06,14.7,-5.39,-0.176,-0.33,-1.138
-1.053,0.198,0.078,-56.7,21.84,-3.5,-0.174,-0.329,-1.136
-0.916,0.245,0.056,-66.08,25.83,1.33,-0.175,-0.33,-1.14
-0.785,0.27,0.047,-64.4,26.11,4.2,-0.171,-0.336,-1.135
-0.695,0.275,0.05,-45.85,21.42,8.4,-0.174,-0.337,-1.139
-0.646,0.25,0.054,-31.71,17.78,11.62,-0.167,-0.338,-1.138
-0.643,0.242,0.028,-23.24,15.4,14.84,-0.172,-0.339,-1.135
-0.674,0.249,0.019,-18.48,13.09,18.34,-0.172,-0.339,-1.139
-0.717,0.269,0.025,-15.4,11.9,22.33,-0.173,-0.334,-1.14
-0.767,0.297,0.046,-13.16,10.99,25.69,-0.171,-0.334,-1.133
-0.803,0.32,0.04,-13.93,10.78,27.58,-0.168,-0.328,-1.133
-0.801,0.34,0.036,-15.68,10.92,29.05,-0.177,-0.325,-1.145
-0.787,0.385,0.046,-17.71,9.03,29.82,-0.177,-0.322,-1.147
-0.798,0.411,0.08,-16.87,7.49,28.35,-0.175,-0.321,-1.137
-0.785,0.413,0.09,-14.0,6.37,26.95,-0.171,-0.322,-1.141
-0.78,0.421,0.087,-14.42,5.95,24.99,-0.177,-0.318,-1.139
-0.793,0.426,0.082,-17.57,5.32,22.19,-0.181,-0.316,-1.139
-0.823,0.433,0.072,-21.14,2.87,19.39,-0.186,-0.314,-1.147
-0.937,0.466,0.067,-25.41,0.42,17.85,-0.182,-0.315,-1.139
-1.03,0.507,0.072,-25.06,-0.91,17.92,-0.181,-0.312,-1.134
-1.11,0.551,0.085,-20.37,-1.47,19.46,-0.184,-0.311,-1.135
-1.151,0.565,0.09,-12.81,-1.05,21.35,-0.184,-0.31,-1.133
-1.161,0.542,0.068,-7.56,-1.82,21.28,-0.181,-0.305,-1.143
-1.287,0.565,0.082,-9.8,-2.31,18.97,-0.194,-0.303,-1.138
-1.299,0.588,0.088,-11.83,1.26,15.68,-0.19,-0.302,-1.136
-1.16,0.555,0.05,-13.3,5.53,9.94,-0.19,-0.3,-1.134
-1.028,0.514,0.001,-17.92,3.5,-0.49,-0.188,-0.299,-1.135
-0.973,0.499,-0.01,-21.77,-2.52,-12.11,-0.19,-0.299,-1.136
-0.964,0.514,0.025,-17.64,-9.24,-22.96,-0.19,-0.308,-1.134
-1.061,0.583,0.048,2.52,-17.57,-35.35,-0.19,-0.309,-1.131
-1.163,0.543,0.017,22.4,-21.49,-40.74,-0.182,-0.313,-1.127
-1.188,0.461,-0.037,34.09,-20.58,-42.91,-0.183,-0.317,-1.13
-1.127,0.385,-0.061,32.06,-17.36,-45.36,-0.186,-0.322,-1.129
-1.024,0.354,-0.051,21.56,-15.75,-47.74,-0.184,-0.322,-1.133
-0.919,0.363,-0.049,10.22,-19.32,-52.64,-0.181,-0.332,-1.126
-0.782,0.427,-0.039,12.95,-24.15,-55.09,-0.176,-0.336,-1.124
-0.738,0.455,-0.036,27.02,-31.64,-57.33,-0.173,-0.336,-1.117
-0.77,0.427,-0.03,45.64,-39.34,-60.76,-0.177,-0.343,-1.12
-0.81,0.361,-0.039,58.169,-42.98,-63.84,-0.172,-0.348,-1.119
-0.819,0.315,-0.053,59.57,-41.93,-65.8,-0.169,-0.353,-1.116
-0.823,0.303,-0.055,50.61,-38.57,-66.01,-0.166,-0.357,-1.116
-0.817,0.32,-0.046,45.08,-36.47,-64.4,-0.16,-0.362,-1.116
-0.81,0.319,-0.034,42.0,-34.37,-62.37,-0.156,-0.365,-1.11
-0.784,0.308,-0.033,38.22,-31.99,-59.15,-0.153,-0.377,-1.112
-0.756,0.308,-0.03,34.3,-29.96,-55.58,-0.15,-0.379,-1.116
-0.743,0.316,-0.021,31.92,-28.35,-51.17,-0.146,-0.383,-1.116
-0.726,0.323,-0.011,31.15,-24.36,-42.14,-0.146,-0.387,-1.111
-0.698,0.33,0.0,31.22,-21.35,-35.35,-0.146,-0.392,-1.117
-0.721,0.365,0.018,33.95,-19.81,-27.93,-0.14,-0.398,-1.112
-0.782,0.375,0.035,38.36,-17.71,-21.07,-0.134,-0.395,-1.116
-0.827,0.369,0.034,41.09,-13.44,-13.37,-0.137,-0.398,-1.118
-0.906,0.362,0.031,39.62,-9.45,-6.16,-0.136,-0.397,-1.12
-1.034,0.352,0.035,29.33,-4.06,6.23,-0.14,-0.399,-1.125
-1.219,0.348,0.035,16.17,1.61,15.47,-0.135,-0.398,-1.126
-1.214,0.326,0.034,-2.1,10.5,23.52,-0.136,-0.39,-1.127
-1.133,0.317,0.011,-22.61,17.15,29.26,-0.136,-0.391,-1.125
-1.205,0.368,0.006,-40.04,14.91,35.98,-0.137,-0.391,-1.121
-1.33,0.451,0.056,-46.27,14.56,45.71,-0.14,-0.388,-1.12
-1.211,0.454,0.066,-35.0,22.47,60.76,-0.138,-0.386,-1.124
-1.146,0.422,0.078,-25.06,21.84,64.12,-0.149,-0.383,-1.124
-1.135,0.418,0.081,-21.28,21.35,63.07,-0.15,-0.375,-1.131
-1.018,0.386,0.073,-18.55,23.52,58.52,-0.148,-0.37,-1.124
-0.865,0.332,0.067,-14.42,22.75,50.889,-0.152,-0.37,-1.127
-0.789,0.3,0.061,-11.76,14.35,35.14,-0.152,-0.361,-1.136
-0.943,0.307,0.079,-10.5,8.33,24.5,-0.158,-0.361,-1.126
-1.11,0.278,0.098,-9.8,8.12,19.25,-0.157,-0.354,-1.128
-1.228,0.262,0.09,-15.33,12.81,20.09,-0.155,-0.352,-1.131
-1.232,0.261,0.063,-29.54,22.05,21.28,-0.155,-0.355,-1.126
-1.092,0.263,0.028,-50.82,33.32,23.8,-0.159,-0.356,-1.129
-0.841,0.262,0.012,-59.22,32.48,22.89,-0.153,-0.357,-1.131
-0.754,0.279,0.019,-63.35,28.14,19.04,-0.154,-0.36,-1.126
-0.738,0.317,0.035,-61.95,23.45,15.54,-0.153,-0.356,-1.13
-0.758,0.337,0.037,-54.18,19.04,12.88,-0.151,-0.361,-1.126
-0.778,0.333,0.023,-45.5,16.87,12.6,-0.149,-0.361,-1.124
-0.788,0.338,0.021,-38.5,15.82,15.75,-0.15,-0.36,-1.127
-0.763,0.343,0.027,-36.33,16.24,18.2,-0.151,-0.365,-1.127
-0.748,0.357,0.045,-36.19,15.47,19.67,-0.149,-0.36,-1.128
