ax,ay,az,gx,gy,gz,mx,my,mz
-0.974,0.18,0.171,5.88,-7.28,13.93,-0.235,-0.257,-0.894
-0.973,0.182,0.171,6.37,-7.7,14.0,-0.239,-0.254,-0.89
-0.979,0.186,0.17,6.72,-8.12,14.0,-0.242,-0.252,-0.885
-0.982,0.187,0.171,7.28,-8.12,13.65,-0.24,-0.254,-0.896
-0.987,0.185,0.173,7.63,-8.26,12.88,-0.238,-0.247,-0.896
-0.989,0.186,0.177,7.42,-8.26,12.04,-0.239,-0.25,-0.898
-0.986,0.186,0.177,7.28,-8.47,11.2,-0.243,-0.246,-0.899
-0.983,0.185,0.181,7.28,-8.33,10.36,-0.239,-0.245,-0.893
-0.982,0.185,0.187,7.0,-8.47,9.17,-0.241,-0.246,-0.888
-0.979,0.184,0.193,6.44,-7.14,7.07,-0.24,-0.244,-0.884
-0.958,0.179,0.197,6.23,-5.95,5.39,-0.245,-0.244,-0.886
-0.946,0.176,0.195,5.95,-4.2,3.36,-0.244,-0.245,-0.888
-0.939,0.173,0.19,5.32,-2.38,1.54,-0.244,-0.242,-0.887
-0.943,0.171,0.184,4.62,-0.91,-0.21,-0.245,-0.241,-0.887
-0.964,0.17,0.185,4.34,0.21,-1.33,-0.241,-0.245,-0.888
-0.992,0.165,0.193,4.2,1.61,-2.31,-0.246,-0.246,-0.887
-0.986,0.148,0.189,1.96,4.55,-3.85,-0.242,-0.238,-0.893
-0.966,0.139,0.183,-0.91,5.39,-4.48,-0.241,-0.245,-0.887
-0.945,0.135,0.177,-4.69,6.93,-5.32,-0.246,-0.244,-0.899
-0.922,0.127,0.165,-10.22,9.1,-7.7,-0.241,-0.246,-0.899
-0.906,0.124,0.156,-16.8,10.08,-10.78,-0.246,-0.244,-0.902
-0.904,0.131,0.153,-23.03,10.01,-15.4,-0.243,-0.243,-0.899
-0.93,0.078,0.18,-29.26,9.59,-16.45,-0.243,-0.246,-0.902
-0.938,0.083,0.182,-36.4,9.94,-14.56,-0.24,-0.249,-0.899
-0.918,0.132,0.193,-41.09,8.82,-15.82,-0.246,-0.259,-0.902
-0.884,0.127,0.209,-38.15,6.23,-15.19,-0.243,-0.254,-0.902
-0.855,0.117,0.227,-31.15,2.52,-8.4,-0.241,-0.254,-0.898
-0.833,0.127,0.246,-23.45,-3.01,-4.13,-0.245,-0.251,-0.9
-0.823,0.142,0.254,-18.27,-4.62,-1.54,-0.247,-0.253,-0.895
-0.815,0.162,0.245,-11.48,-5.53,0.7,-0.244,-0.255,-0.898
-0.816,0.168,0.232,-3.36,-6.37,2.66,-0.246,-0.254,-0.891
-0.831,0.161,0.247,2.94,-7.91,4.48,-0.247,-0.253,-0.889
-0.853,0.109,0.279,-1.82,-7.07,6.58,-0.249,-0.248,-0.892
-0.85,0.207,0.268,-9.31,-7.42,2.31,-0.246,-0.249,-0.89
-0.839,0.233,0.259,-8.96,-8.54,-2.45,-0.243,-0.25,-0.892
-0.854,0.244,0.253,-2.87,-11.97,-1.47,-0.244,-0.252,-0.885
-0.885,0.215,0.267,2.45,-13.3,-0.42,-0.242,-0.248,-0.888
-0.912,0.191,0.272,1.26,-12.18,0.0,-0.241,-0.248,-0.883
-0.946,0.187,0.278,-10.71,-9.17,-3.08,-0.24,-0.252,-0.878
-0.958,0.198,0.283,-21.49,-6.86,-5.53,-0.241,-0.254,-0.88
-0.959,0.221,0.288,-29.61,-5.46,-8.12,-0.241,-0.25,-0.875
-0.948,0.242,0.294,-33.11,-3.99,-9.73,-0.241,-0.253,-0.875
-0.923,0.254,0.298,-32.55,-2.87,-9.38,-0.242,-0.251,-0.882
-0.883,0.259,0.296,-26.81,-1.61,-9.45,-0.239,-0.249,-0.873
-0.802,0.254,0.292,-21.14,0.35,-9.24,-0.236,-0.251,-0.883
-0.761,0.244,0.282,-15.89,-0.07,-9.52,-0.238,-0.248,-0.885
-0.76,0.216,0.238,-12.18,-3.22,-9.03,-0.244,-0.246,-0.88
-0.83,0.179,0.185,-12.6,-6.51,-8.26,-0.236,-0.248,-0.886
-0.969,0.167,0.22,-16.73,-12.04,-4.55,-0.238,-0.245,-0.876
-1.081,0.181,0.205,-22.47,-0.28,-3.57,-0.24,-0.246,-0.872
-1.013,0.177,0.156,-24.22,9.94,-3.43,-0.243,-0.244,-0.876
-0.927,0.189,0.094,-23.73,14.35,-1.12,-0.243,-0.243,-0.881
-0.887,0.193,0.045,-20.51,14.7,0.77,-0.239,-0.245,-0.881
-0.889,0.197,0.021,-17.71,10.78,1.19,-0.243,-0.241,-0.883
-0.923,0.181,0.005,-16.24,7.98,-1.33,-0.24,-0.246,-0.88
-0.913,0.156,-0.017,-16.45,6.44,-3.57,-0.239,-0.242,-0.887
-0.923,0.134,-0.064,-18.41,3.29,-3.29,-0.24,-0.241,-0.876
-0.988,0.129,-0.074,-20.51,-1.89,-0.14,-0.246,-0.24,-0.884
-1.052,0.14,-0.065,-20.93,-1.89,3.5,-0.241,-0.242,-0.887
-1.067,0.161,-0.053,-18.9,-1.61,7.63,-0.246,-0.242,-0.883
-1.041,0.177,-0.097,-14.0,-3.71,10.43,-0.244,-0.238,-0.877
-1.089,0.19,-0.108,-6.51,-7.7,14.35,-0.243,-0.235,-0.875
