ax,ay,az,gx,gy,gz,mx,my,mz
-0.976,0.162,0.18,0.91,-9.1,12.81,-0.233,-0.271,-0.922
-0.979,0.165,0.184,0.98,-9.31,13.44,-0.233,-0.268,-0.922
-0.979,0.168,0.217,1.19,-8.61,13.93,-0.234,-0.272,-0.92
-0.983,0.173,0.189,1.33,-8.33,13.72,-0.239,-0.273,-0.919
-0.985,0.175,0.191,1.54,-8.05,13.44,-0.236,-0.268,-0.921
-0.989,0.175,0.192,1.61,-8.05,12.95,-0.237,-0.268,-0.921
-0.993,0.178,0.194,1.54,-7.98,12.25,-0.236,-0.267,-0.922
-0.994,0.176,0.196,1.47,-7.28,10.99,-0.235,-0.265,-0.919
-0.996,0.175,0.195,0.63,-6.09,9.17,-0.234,-0.261,-0.922
-0.999,0.176,0.197,-0.07,-5.32,8.12,-0.236,-0.259,-0.919
-1.0,0.176,0.197,-0.56,-3.99,6.72,-0.233,-0.256,-0.919
-1.005,0.174,0.195,-1.47,-2.52,5.32,-0.234,-0.264,-0.922
-1.011,0.169,0.19,-2.66,-1.05,3.15,-0.233,-0.263,-0.918
-1.012,0.168,0.189,-4.55,1.12,2.1,-0.229,-0.259,-0.921
-1.002,0.165,0.185,-5.6,1.89,0.98,-0.233,-0.266,-0.925
-1.001,0.163,0.182,-6.58,2.8,0.35,-0.231,-0.254,-0.923
-0.997,0.161,0.178,-7.0,3.78,-0.42,-0.232,-0.258,-0.923
-0.981,0.154,0.177,-6.86,5.6,-0.77,-0.232,-0.257,-0.92
-0.961,0.146,0.175,-7.49,7.14,-2.52,-0.233,-0.258,-0.92
-0.942,0.124,0.177,-10.57,9.8,-3.29,-0.234,-0.257,-0.922
-0.943,0.062,0.196,-18.13,12.74,-3.36,-0.234,-0.256,-0.923
-0.954,0.038,0.215,-29.33,16.31,-4.76,-0.236,-0.259,-0.923
-0.944,0.031,0.223,-42.35,20.72,-6.79,-0.234,-0.26,-0.925
-0.926,0.018,0.251,-52.64,23.8,-7.21,-0.239,-0.258,-0.933
-0.936,-0.042,0.269,-61.46,25.62,-5.32,-0.239,-0.261,-0.927
-0.979,-0.089,0.265,-83.65,33.25,0.77,-0.24,-0.258,-0.924
-0.99,-0.085,0.248,-104.79,43.12,4.34,-0.237,-0.253,-0.927
-0.922,-0.014,0.214,-123.62,43.68,5.18,-0.235,-0.249,-0.929
-0.854,0.1,0.162,-127.96,37.94,8.47,-0.237,-0.246,-0.928
-0.778,0.206,0.126,-116.41,26.39,12.32,-0.24,-0.243,-0.923
-0.737,0.251,0.101,-92.54,12.6,16.1,-0.242,-0.234,-0.921
-0.743,0.276,0.094,-52.01,-4.55,22.47,-0.239,-0.234,-0.922
-0.808,0.277,0.103,-27.86,-12.53,22.96,-0.239,-0.232,-0.922
-0.867,0.256,0.131,-4.48,-17.01,25.34,-0.241,-0.227,-0.917
-0.916,0.225,0.149,14.0,-18.34,28.42,-0.242,-0.222,-0.925
-0.964,0.196,0.165,24.64,-18.48,29.82,-0.24,-0.218,-0.922
-0.982,0.177,0.178,30.03,-15.54,30.24,-0.245,-0.22,-0.926
-0.947,0.154,0.185,30.8,-10.43,26.74,-0.248,-0.207,-0.92
-0.899,0.129,0.185,20.86,-9.94,22.26,-0.247,-0.209,-0.912
-0.907,0.132,0.213,11.9,-10.64,18.06,-0.248,-0.207,-0.921
-0.879,0.129,0.236,3.36,-9.94,13.09,-0.256,-0.207,-0.913
-0.809,0.118,0.25,-3.92,-8.4,6.72,-0.254,-0.211,-0.914
-0.751,0.12,0.23,-10.5,-6.79,0.14,-0.252,-0.209,-0.91
-0.765,0.145,0.194,-14.63,-7.84,-4.9,-0.249,-0.207,-0.913
-0.926,0.19,0.247,-6.58,-11.34,-5.25,-0.248,-0.209,-0.91
-0.972,0.205,0.28,7.63,-6.79,-3.85,-0.247,-0.205,-0.915
-0.902,0.175,0.221,23.66,-2.66,-3.5,-0.249,-0.206,-0.91
-0.922,0.141,0.152,34.79,-3.36,-0.84,-0.25,-0.208,-0.911
-1.088,0.153,0.174,41.51,-6.58,4.69,-0.251,-0.21,-0.911
-1.22,0.165,0.205,49.909,-5.67,10.08,-0.246,-0.208,-0.913
-1.111,0.121,0.224,52.08,-9.87,7.56,-0.249,-0.203,-0.916
-1.064,0.106,0.198,47.39,-16.87,4.41,-0.249,-0.21,-0.913
