ax,ay,az,gx,gy,gz,mx,my,mz
-0.166,0.154,0.984,4.34,-1.4,-5.67,0.11,-0.32,-1.289
-0.182,0.163,0.995,3.5,-1.96,-5.88,0.114,-0.315,-1.292
-0.194,0.168,0.993,2.31,-1.61,-6.51,0.112,-0.312,-1.3
-0.2,0.174,1.001,0.98,-0.7,-7.98,0.114,-0.315,-1.298
-0.209,0.182,1.01,-0.21,1.33,-9.17,0.112,-0.313,-1.295
-0.214,0.201,1.042,-1.05,3.01,-10.08,0.115,-0.313,-1.289
-0.223,0.221,1.053,-3.5,4.9,-15.47,0.116,-0.315,-1.292
-0.22,0.247,1.071,-9.24,10.29,-20.02,0.116,-0.313,-1.297
-0.205,0.3,1.117,-13.72,15.05,-27.37,0.124,-0.316,-1.287
-0.203,0.368,1.138,-18.48,17.92,-36.68,0.13,-0.317,-1.287
-0.209,0.373,1.158,-22.61,19.39,-47.39,0.134,-0.321,-1.288
-0.198,0.306,1.161,-48.02,32.83,-64.89,0.143,-0.324,-1.287
-0.11,0.239,1.111,-81.2,47.81,-77.77,0.158,-0.335,-1.282
-0.026,0.296,1.063,-116.34,61.32,-91.77,0.166,-0.344,-1.273
0.038,0.364,1.015,-144.41,69.159,-104.58,0.17,-0.358,-1.268
0.094,0.366,0.965,-162.821,69.51,-112.84,0.2,-0.377,-1.25
0.147,0.366,0.927,-179.62,69.3,-117.67,0.209,-0.385,-1.233
0.234,0.367,0.898,-197.26,66.01,-124.81,0.236,-0.402,-1.219
0.36,0.385,0.824,-214.41,64.47,-131.11,0.248,-0.413,-1.199
0.506,0.469,0.683,-226.24,46.69,-129.71,0.26,-0.426,-1.189
0.528,0.54,0.702,-216.3,23.66,-127.12,0.28,-0.445,-1.155
0.533,0.59,0.747,-193.69,11.48,-124.18,0.294,-0.453,-1.145
0.546,0.605,0.713,-162.68,4.13,-115.64,0.312,-0.461,-1.13
0.529,0.566,0.791,-123.9,-7.21,-106.47,0.325,-0.461,-1.115
0.487,0.455,0.859,-78.47,-12.18,-94.36,0.335,-0.464,-1.106
0.459,0.462,0.964,-67.62,-2.59,-85.54,0.346,-0.467,-1.11
