ax,ay,az,gx,gy,gz,mx,my,mz
-0.983,0.184,0.202,-5.11,-4.06,1.82,-0.191,-0.33,-1.01
-0.996,0.176,0.203,-6.79,-3.08,0.77,-0.192,-0.335,-1.015
-1.0,0.172,0.195,-10.22,-0.84,-1.47,-0.189,-0.328,-1.007
-0.983,0.168,0.184,-12.74,0.91,-2.8,-0.194,-0.331,-1.001
-0.975,0.169,0.179,-14.35,0.91,-3.36,-0.191,-0.328,-1.012
-0.98,0.171,0.174,-14.98,0.07,-3.22,-0.19,-0.328,-1.004
-0.982,0.164,0.168,-14.77,-0.84,-3.01,-0.192,-0.332,-1.004
-0.982,0.153,0.164,-15.4,-0.77,-2.59,-0.192,-0.331,-1.005
-0.996,0.148,0.158,-18.76,-0.42,-1.47,-0.191,-0.332,-1.008
-0.988,0.146,0.152,-21.07,0.35,-0.63,-0.196,-0.331,-1.003
-0.97,0.149,0.139,-23.24,1.33,-0.07,-0.194,-0.331,-1.003
-0.96,0.155,0.133,-24.85,0.35,0.77,-0.192,-0.334,-1.001
-0.961,0.155,0.128,-25.76,-1.47,1.68,-0.195,-0.334,-0.998
-0.966,0.149,0.125,-27.16,-3.36,3.85,-0.196,-0.335,-0.993
-0.958,0.147,0.125,-28.91,-4.97,4.83,-0.192,-0.333,-0.994
-0.954,0.149,0.127,-30.73,-6.23,6.23,-0.194,-0.329,-0.995
-0.953,0.151,0.135,-32.48,-7.77,7.63,-0.192,-0.333,-0.984
-0.954,0.155,0.147,-34.58,-9.38,9.03,-0.195,-0.327,-0.988
-0.964,0.167,0.164,-38.29,-12.6,11.2,-0.193,-0.326,-0.981
-0.983,0.199,0.19,-39.9,-14.14,12.74,-0.196,-0.327,-0.978
-0.99,0.229,0.21,-40.81,-15.47,13.93,-0.195,-0.32,-0.977
-0.99,0.271,0.231,-40.04,-15.89,14.07,-0.2,-0.319,-0.97
-0.99,0.305,0.238,-36.75,-16.52,12.81,-0.193,-0.313,-0.968
-0.983,0.308,0.231,-25.34,-12.25,10.01,-0.2,-0.313,-0.956
-0.945,0.304,0.24,-18.9,-7.07,7.7,-0.207,-0.31,-0.96
-0.908,0.302,0.258,-14.0,-2.8,5.81,-0.199,-0.316,-0.955
-0.869,0.31,0.263,-10.08,-0.35,4.27,-0.196,-0.315,-0.954
-0.828,0.302,0.255,-9.87,2.66,1.68,-0.197,-0.318,-0.955
-0.777,0.314,0.274,-17.99,5.88,-2.59,-0.203,-0.318,-0.948
-0.726,0.348,0.314,-34.3,8.4,-11.27,-0.198,-0.317,-0.948
-0.662,0.417,0.347,-55.3,14.42,-32.13,-0.193,-0.317,-0.953
-0.612,0.495,0.361,-59.71,22.96,-45.29,-0.193,-0.321,-0.949
