ax,ay,az,gx,gy,gz,mx,my,mz
-0.631,0.424,-0.018,33.46,-116.27,-45.43,0.064,-0.515,-1.184
-0.61,0.191,-0.011,55.44,-112.35,-16.59,0.056,-0.507,-1.191
-0.592,-0.065,-0.038,75.25,-98.56,10.15,0.05,-0.506,-1.193
-0.558,-0.279,-0.097,87.29,-75.32,37.59,0.041,-0.489,-1.207
-0.512,-0.439,-0.128,77.28,-45.85,65.169,0.037,-0.481,-1.204
-0.47,-0.523,-0.113,29.89,-4.76,70.28,0.033,-0.475,-1.208
-0.404,-0.535,-0.075,-2.73,11.27,67.62,0.026,-0.473,-1.21
-0.351,-0.511,-0.08,-33.39,31.71,63.139,0.027,-0.471,-1.214
-0.333,-0.422,-0.055,-72.1,54.11,58.45,0.025,-0.473,-1.207
-0.351,-0.259,0.206,-114.52,73.5,48.3,0.026,-0.473,-1.198
-0.41,0.153,0.168,-177.8,103.25,34.16,0.035,-0.486,-1.18
-0.636,0.907,0.088,-275.31,153.79,8.4,0.038,-0.499,-1.159
-1.056,2.849,-0.248,-225.19,194.39,17.36,0.048,-0.508,-1.136
-1.163,3.7,-0.378,-118.37,209.09,60.27,0.058,-0.514,-1.123
-1.244,3.541,-0.2,-22.75,194.39,52.149,0.056,-0.519,-1.128
-0.985,2.995,0.023,22.26,147.21,20.09,0.071,-0.515,-1.133
-0.649,2.299,0.232,34.93,99.12,-1.89,0.076,-0.508,-1.139
-0.257,1.392,0.197,13.93,72.73,-24.01,0.088,-0.512,-1.143
-0.175,1.254,0.052,-19.18,73.57,-17.99,0.09,-0.512,-1.143
-0.118,1.11,-0.014,-25.27,87.919,-15.54,0.096,-0.512,-1.145
-0.029,0.865,-0.047,-8.26,118.79,-9.38,0.111,-0.516,-1.145
0.155,0.58,-0.018,4.34,147.49,-3.99,0.114,-0.514,-1.147
0.404,0.242,-0.133,-7.49,169.12,10.92,0.123,-0.515,-1.149
0.715,0.19,-0.239,-32.62,143.85,20.65,0.129,-0.519,-1.146
0.781,0.16,-0.244,-40.95,107.1,20.44,0.131,-0.518,-1.131
0.776,0.152,-0.221,-31.01,71.33,18.48,0.133,-0.516,-1.125
0.752,0.203,-0.163,-15.05,38.29,14.21,0.13,-0.516,-1.125
0.691,0.291,-0.12,0.77,5.11,1.26,0.129,-0.513,-1.126
0.472,0.43,-0.104,29.82,-46.41,-24.43,0.127,-0.511,-1.122
0.301,0.633,-0.141,49.909,-79.1,-41.51,0.124,-0.509,-1.128
0.18,0.946,-0.096,65.87,-107.1,-65.17,0.125,-0.507,-1.133
0.106,1.199,-0.063,65.45,-124.67,-100.87,0.126,-0.502,-1.145
0.13,1.172,0.03,58.379,-125.72,-151.41,0.135,-0.506,-1.143
0.389,1.377,0.03,-10.92,-112.7,-157.36,0.147,-0.508,-1.144
0.591,1.718,-0.257,-57.68,-122.64,-147.35,0.155,-0.506,-1.133
0.583,2.087,-0.401,-26.81,-168.98,-130.9,0.163,-0.511,-1.139
0.189,2.257,-0.245,21.49,-218.33,-101.64,0.164,-0.511,-1.131
-0.418,2.247,0.059,43.54,-188.65,-56.49,0.162,-0.515,-1.139
-0.748,1.98,-0.143,56.629,-145.04,-33.74,0.155,-0.511,-1.155
-0.671,1.668,-0.117,57.889,-140.7,-15.47,0.151,-0.504,-1.161
-0.544,1.308,-0.135,59.78,-123.69,-9.31,0.138,-0.506,-1.173
-0.513,0.976,-0.129,63.49,-116.41,-4.06,0.135,-0.504,-1.176
-0.538,0.687,-0.097,69.58,-114.17,7.35,0.127,-0.5,-1.19
-0.562,0.448,-0.102,72.379,-105.77,33.11,0.113,-0.49,-1.193
-0.58,0.093,-0.125,63.629,-93.03,48.86,0.108,-0.488,-1.207
-0.589,-0.068,-0.124,48.929,-76.09,65.45,0.094,-0.483,-1.208
-0.582,-0.157,-0.156,28.77,-56.28,78.96,0.084,-0.475,-1.211
-0.558,-0.216,-0.128,5.04,-32.13,85.19,0.06,-0.471,-1.211
-0.516,-0.255,-0.078,-24.15,-3.5,82.669,0.054,-0.471,-1.21
-0.442,-0.308,-0.036,-46.2,7.77,77.7,0.049,-0.469,-1.207
-0.419,-0.259,-0.034,-78.89,20.23,74.69,0.04,-0.475,-1.198
-0.43,-0.122,0.04,-114.59,31.85,71.96,0.032,-0.479,-1.192
-0.486,0.083,0.263,-150.571,46.83,70.0,0.029,-0.488,-1.174
-0.598,0.56,-0.025,-211.61,62.86,72.24,0.027,-0.491,-1.163
-0.91,1.616,-0.14,-244.44,107.73,73.99,0.012,-0.501,-1.127
-1.112,3.391,-0.506,-165.34,163.73,81.409,0.014,-0.508,-1.116
-0.976,3.776,-0.448,-113.54,163.52,81.34,0.012,-0.509,-1.076
-0.854,3.352,-0.289,-80.15,153.51,18.76,0.013,-0.513,-1.105
-0.647,2.536,0.033,-58.38,120.89,-31.36,0.023,-0.517,-1.105
-0.459,1.956,0.173,-60.48,86.169,-48.09,0.032,-0.522,-1.102
-0.288,1.265,0.056,-52.78,84.28,-53.48,0.044,-0.527,-1.095
-0.208,0.955,0.105,-37.45,82.32,-53.97,0.055,-0.533,-1.09
-0.129,0.7,0.151,-10.99,102.76,-43.05,0.068,-0.534,-1.097
-0.014,0.488,0.124,7.91,127.05,-27.37,0.069,-0.537,-1.092
0.139,0.265,0.044,11.83,147.14,-12.95,0.082,-0.543,-1.106
0.34,0.2,-0.065,9.38,151.48,11.13,0.087,-0.534,-1.108
0.757,0.163,-0.083,24.92,130.97,26.11,0.095,-0.534,-1.115
1.018,0.142,-0.192,34.58,103.67,26.04,0.094,-0.537,-1.117
1.081,0.117,-0.231,30.24,44.03,11.97,0.096,-0.534,-1.121
0.889,0.148,-0.164,24.85,-12.81,0.84,0.097,-0.529,-1.126
0.624,0.257,-0.142,17.78,-50.82,-8.82,0.092,-0.528,-1.126
0.473,0.4,-0.15,10.08,-75.04,-38.5,0.094,-0.529,-1.131
0.401,0.604,-0.164,-7.07,-100.94,-62.58,0.093,-0.532,-1.123
0.319,0.761,-0.2,-15.89,-122.22,-81.97,0.096,-0.531,-1.119
0.264,0.921,-0.249,-24.71,-145.74,-97.3,0.095,-0.536,-1.112
0.287,1.303,-0.198,-44.87,-157.99,-107.8,0.106,-0.536,-1.108
0.367,2.006,-0.325,-70.0,-147.21,-95.55,0.114,-0.541,-1.091
0.242,3.082,-0.743,-15.89,-158.9,-59.29,0.115,-0.543,-1.087
-0.189,3.368,-0.977,138.6,-274.26,-52.43,0.115,-0.541,-1.1
-0.815,2.728,-0.564,164.57,-302.75,-38.99,0.113,-0.534,-1.114
-1.574,2.404,-0.03,149.59,-224.28,-42.7,0.104,-0.53,-1.134
-1.475,1.718,-0.239,128.38,-80.92,-75.88,0.109,-0.525,-1.14
-0.829,1.17,-0.109,47.81,-36.82,-96.81,0.115,-0.526,-1.112
-0.421,0.987,-0.22,-46.69,-30.66,-80.57,0.133,-0.525,-1.139
-0.407,0.923,-0.183,-46.27,-70.84,-56.7,0.138,-0.527,-1.14
-0.511,0.767,-0.08,-14.77,-101.22,-36.26,0.136,-0.529,-1.135
-0.59,0.592,-0.014,16.31,-110.81,-20.93,0.139,-0.529,-1.132
-0.563,0.435,-0.041,45.71,-108.57,-9.24,0.131,-0.527,-1.138
-0.493,0.231,-0.098,79.1,-107.03,0.7,0.128,-0.525,-1.146
-0.483,-0.132,-0.153,127.96,-107.38,19.67,0.119,-0.518,-1.151
-0.537,-0.339,-0.072,142.94,-100.03,26.18,0.107,-0.499,-1.18
-0.549,-0.502,0.01,128.59,-74.97,23.8,0.101,-0.493,-1.192
-0.476,-0.618,0.041,88.06,-37.73,20.02,0.094,-0.481,-1.195
-0.377,-0.649,-0.018,34.3,1.05,22.68,0.093,-0.475,-1.206
-0.312,-0.484,-0.049,-54.25,50.12,34.65,0.09,-0.478,-1.202
-0.319,-0.295,0.194,-99.47,75.46,39.2,0.089,-0.481,-1.199
-0.389,0.066,0.152,-142.24,94.08,48.23,0.092,-0.487,-1.183
-0.58,0.901,-0.088,-183.75,105.35,58.59,0.093,-0.498,-1.156
-1.012,2.404,0.137,-111.51,138.39,75.11,0.089,-0.504,-1.16
-1.121,3.466,0.071,167.51,165.27,181.44,0.083,-0.484,-1.174
-0.905,3.431,0.556,191.73,128.52,163.59,0.079,-0.473,-1.186
-1.065,2.971,0.742,196.84,88.27,115.92,0.07,-0.446,-1.224
-1.17,2.053,1.015,178.57,94.5,79.24,0.07,-0.43,-1.24
-0.697,1.324,0.933,85.75,131.53,56.98,0.079,-0.423,-1.255
-0.271,1.124,0.744,-45.99,153.86,41.3,0.088,-0.423,-1.255
-0.069,0.835,0.586,-58.52,155.96,44.66,0.094,-0.424,-1.254
-0.036,0.726,0.452,-68.11,156.38,50.47,0.108,-0.435,-1.247
