ax,ay,az,gx,gy,gz,mx,my,mz
-0.169,0.021,0.989,0.49,-2.8,-0.07,0.139,-0.222,-1.329
-0.168,0.021,0.987,0.21,-2.59,-0.21,0.138,-0.223,-1.329
-0.166,0.02,0.987,0.21,-2.52,-0.21,0.136,-0.221,-1.327
-0.164,0.02,0.987,0.14,-2.52,-0.14,0.135,-0.218,-1.329
-0.167,0.019,0.988,0.35,-2.66,-0.07,0.138,-0.225,-1.327
-0.166,0.023,0.989,0.28,-2.38,-0.21,0.136,-0.227,-1.33
-0.163,0.018,0.987,0.42,-2.66,-0.14,0.138,-0.22,-1.324
-0.165,0.015,0.984,0.14,-2.73,-0.35,0.143,-0.222,-1.326
-0.163,0.02,0.986,-0.07,-2.94,-0.42,0.139,-0.223,-1.329
-0.165,0.022,0.988,0.28,-2.66,-0.21,0.14,-0.221,-1.329
-0.165,0.019,0.989,0.42,-2.73,-0.35,0.139,-0.227,-1.326
-0.167,0.019,0.989,0.35,-2.94,-0.14,0.14,-0.224,-1.331
-0.169,0.02,0.987,0.07,-2.87,-0.28,0.14,-0.22,-1.325
-0.166,0.022,0.984,-0.07,-2.94,-0.28,0.138,-0.226,-1.326
-0.167,0.021,0.991,0.28,-2.59,-0.21,0.138,-0.223,-1.329
-0.168,0.018,0.988,0.35,-3.01,-0.35,0.138,-0.224,-1.325
-0.169,0.021,0.988,0.21,-2.94,-0.35,0.138,-0.225,-1.325
-0.17,0.024,0.989,0.49,-2.52,-0.42,0.139,-0.225,-1.328
-0.166,0.021,0.986,0.7,-2.45,-0.21,0.134,-0.221,-1.332
-0.165,0.015,0.988,1.12,-2.8,-0.28,0.141,-0.224,-1.326
-0.166,0.013,0.989,1.05,-2.73,-0.14,0.139,-0.219,-1.333
-0.167,0.012,0.991,0.56,-2.73,0.14,0.133,-0.219,-1.336
-0.167,0.017,0.989,0.07,-2.59,-0.07,0.141,-0.217,-1.328
-0.167,0.02,0.985,-0.42,-2.52,-0.07,0.139,-0.22,-1.331
