ax,ay,az,gx,gy,gz,mx,my,mz
-1.014,0.2,0.136,-4.13,-2.45,4.41,-0.209,-0.298,-0.945
-0.997,0.198,0.128,-4.76,-1.19,1.05,-0.211,-0.293,-0.946
-0.995,0.193,0.124,-5.67,-1.05,-1.75,-0.208,-0.294,-0.946
-1.0,0.192,0.114,-7.07,-0.98,-4.06,-0.207,-0.295,-0.945
-1.008,0.189,0.11,-8.61,-0.56,-6.37,-0.21,-0.292,-0.94
-1.008,0.183,0.105,-9.87,0.7,-9.38,-0.207,-0.295,-0.942
-1.002,0.185,0.094,-13.86,0.7,-14.21,-0.205,-0.296,-0.945
-1.0,0.176,0.086,-17.22,-0.14,-17.22,-0.209,-0.299,-0.944
-1.0,0.178,0.08,-20.3,-0.91,-19.46,-0.211,-0.304,-0.948
-0.996,0.181,0.078,-23.24,-1.33,-22.75,-0.208,-0.306,-0.945
-0.983,0.189,0.078,-25.2,-1.05,-25.69,-0.204,-0.305,-0.946
-0.966,0.184,0.081,-26.11,-1.75,-29.68,-0.203,-0.316,-0.938
-0.924,0.186,0.081,-26.95,-1.33,-32.69,-0.201,-0.312,-0.942
-0.883,0.192,0.081,-26.46,-0.35,-36.47,-0.201,-0.313,-0.945
-0.839,0.211,0.09,-23.66,0.28,-39.83,-0.198,-0.321,-0.938
-0.789,0.208,0.09,-17.36,0.56,-43.19,-0.194,-0.325,-0.935
-0.741,0.193,0.082,-9.59,-0.14,-45.29,-0.191,-0.328,-0.935
-0.694,0.181,0.069,0.7,2.66,-49.98,-0.19,-0.331,-0.937
-0.641,0.137,0.068,7.91,2.24,-53.62,-0.186,-0.341,-0.943
-0.629,0.075,0.07,13.79,0.7,-54.53,-0.179,-0.345,-0.944
-0.643,-0.02,0.092,11.62,-0.7,-53.83,-0.173,-0.349,-0.943
-0.672,-0.1,0.148,-1.33,2.59,-54.11,-0.171,-0.358,-0.94
-0.678,-0.035,0.165,-22.4,7.84,-54.81,-0.166,-0.356,-0.943
-0.696,0.018,0.209,-17.92,14.49,-46.34,-0.164,-0.363,-0.941
-0.699,-0.022,0.204,-0.28,27.65,-23.03,-0.161,-0.367,-0.943
-0.773,-0.005,0.293,-0.84,36.82,-11.97,-0.16,-0.368,-0.948
-0.84,-0.018,0.347,-28.56,53.97,-12.32,-0.161,-0.368,-0.951
-0.822,0.09,0.354,-83.16,58.8,-9.38,-0.161,-0.367,-0.947
-0.855,0.382,0.363,-154.56,56.28,-27.23,-0.159,-0.365,-0.93
-0.959,0.77,0.295,-152.95,50.12,-42.84,-0.158,-0.364,-0.931
-0.991,0.862,0.244,-118.86,39.9,-48.72,-0.157,-0.366,-0.922
-0.985,0.865,0.175,-78.68,35.0,-49.07,-0.148,-0.37,-0.918
-0.958,0.835,0.111,-48.86,27.51,-57.96,-0.153,-0.371,-0.92
-0.953,0.764,0.071,-27.58,25.13,-70.42,-0.143,-0.381,-0.917
-0.965,0.686,0.056,-17.36,34.02,-79.17,-0.138,-0.384,-0.916
-0.94,0.68,0.084,-22.47,36.4,-85.68,-0.133,-0.395,-0.917
-0.894,0.674,0.082,-23.59,32.9,-89.32,-0.134,-0.397,-0.919
-0.867,0.692,0.072,-20.79,25.48,-86.94,-0.123,-0.413,-0.916
-0.852,0.695,0.082,-6.3,17.64,-83.51,-0.119,-0.416,-0.919
-0.834,0.682,0.108,13.3,9.73,-77.63,-0.113,-0.421,-0.931
-0.834,0.706,0.124,31.08,2.17,-68.88,-0.104,-0.427,-0.935
-0.977,0.66,0.274,25.13,6.72,-61.25,-0.106,-0.429,-0.936
-1.072,0.658,0.394,-12.04,29.26,-58.8,-0.093,-0.44,-0.938
-1.049,0.845,0.521,-33.18,45.78,-59.43,-0.089,-0.439,-0.937
-0.921,0.873,0.532,7.91,52.639,-62.23,-0.084,-0.45,-0.943
-0.817,0.824,0.457,56.629,44.17,-54.95,-0.078,-0.453,-0.953
-0.898,0.75,0.342,65.59,38.78,-48.72,-0.077,-0.459,-0.959
-0.897,0.764,0.275,42.07,39.06,-45.5,-0.067,-0.458,-0.965
-0.853,0.791,0.232,17.15,38.78,-46.97,-0.067,-0.46,-0.968
-0.807,0.832,0.196,5.6,33.46,-49.0,-0.055,-0.468,-0.967
-0.787,0.898,0.193,13.58,25.2,-49.35,-0.05,-0.468,-0.974
-0.767,0.927,0.218,35.42,19.46,-49.98,-0.05,-0.472,-0.977
-0.726,0.897,0.254,73.85,14.98,-46.55,-0.038,-0.479,-0.99
-0.656,0.813,0.321,88.55,12.74,-47.39,-0.035,-0.477,-0.997
-0.638,0.792,0.395,91.139,10.29,-51.1,-0.027,-0.48,-1.019
-0.606,0.769,0.461,96.53,9.1,-52.43,-0.025,-0.482,-1.025
-0.577,0.758,0.501,100.38,8.82,-51.1,-0.017,-0.482,-1.044
-0.559,0.754,0.532,99.54,12.46,-54.32,-0.013,-0.483,-1.051
-0.53,0.739,0.563,103.11,18.55,-56.35,-0.01,-0.481,-1.058
-0.494,0.714,0.576,112.56,22.82,-51.45,-0.002,-0.479,-1.081
-0.452,0.7,0.601,122.29,24.01,-41.09,0.006,-0.478,-1.086
-0.431,0.713,0.628,131.46,22.19,-30.87,0.012,-0.477,-1.108
-0.43,0.705,0.687,134.19,21.42,-24.64,0.016,-0.468,-1.118
-0.422,0.715,0.745,137.48,22.68,-18.62,0.02,-0.457,-1.135
-0.399,0.683,0.782,148.82,28.0,-13.23,0.025,-0.449,-1.153
-0.364,0.592,0.786,153.93,29.96,-9.66,0.027,-0.442,-1.166
