ax,ay,az,gx,gy,gz,mx,my,mz
-0.189,0.232,0.946,-30.31,5.11,-1.05,0.088,-0.352,-1.261
-0.182,0.243,0.949,-33.18,4.41,-0.56,0.088,-0.354,-1.263
-0.158,0.284,0.932,-38.64,8.82,-0.63,0.089,-0.356,-1.262
-0.083,0.343,0.888,-37.45,11.55,-0.42,0.089,-0.362,-1.256
-0.026,0.384,0.845,-34.86,12.25,0.07,0.092,-0.367,-1.256
0.002,0.455,0.838,-24.85,7.42,0.14,0.089,-0.371,-1.252
-0.026,0.508,0.852,-4.48,-2.52,-1.19,0.089,-0.371,-1.25
-0.088,0.493,0.901,21.91,-12.46,-2.94,0.091,-0.367,-1.251
-0.102,0.388,0.908,46.13,-5.53,-0.98,0.091,-0.369,-1.256
-0.041,0.323,0.88,52.429,2.66,-1.19,0.091,-0.363,-1.259
0.035,0.255,0.861,54.74,3.5,-0.14,0.094,-0.355,-1.267
0.088,0.197,0.83,50.399,-4.76,2.24,0.091,-0.35,-1.272
0.087,0.113,0.738,41.44,-22.96,5.88,0.094,-0.346,-1.272
0.037,0.009,0.71,30.31,-54.95,14.56,0.089,-0.339,-1.28
-0.085,-0.011,0.725,20.51,-70.14,18.13,0.09,-0.333,-1.278
-0.196,-0.027,0.798,15.54,-80.01,17.57,0.072,-0.333,-1.281
-0.33,-0.137,0.843,3.85,-91.21,17.78,0.066,-0.327,-1.28
-0.38,-0.124,0.957,-10.29,-93.52,29.82,0.053,-0.332,-1.278
-0.283,0.069,0.934,-34.3,-80.99,33.81,0.042,-0.333,-1.273
-0.245,0.046,0.926,-52.57,-98.77,29.26,0.029,-0.339,-1.262
-0.314,0.209,0.965,-74.41,-109.9,39.13,0.021,-0.345,-1.258
-0.446,0.418,1.107,-81.41,-105.21,42.77,0.01,-0.352,-1.253
-0.565,0.604,1.202,-70.91,-80.92,36.26,-0.002,-0.356,-1.249
-0.533,0.599,1.176,-58.1,-65.03,31.57,-0.009,-0.363,-1.235
-0.421,0.533,1.091,-40.18,-70.56,32.2,-0.017,-0.361,-1.232
-0.537,0.515,1.144,-42.91,-78.05,24.71,-0.026,-0.361,-1.226
-0.692,0.503,1.095,-46.06,-74.9,16.1,-0.037,-0.369,-1.213
-0.729,0.427,1.008,-35.7,-73.01,16.73,-0.038,-0.371,-1.213
-0.719,0.283,0.925,-22.89,-77.49,25.2,-0.042,-0.369,-1.207
-0.754,0.206,0.897,-22.19,-86.45,37.87,-0.054,-0.375,-1.204
-0.821,0.166,0.787,-47.6,-97.02,38.57,-0.056,-0.375,-1.191
-0.866,0.222,0.752,-68.39,-100.87,39.13,-0.071,-0.376,-1.182
-0.903,0.271,0.717,-88.48,-105.77,38.85,-0.072,-0.377,-1.168
-0.918,0.401,0.679,-92.05,-114.38,41.51,-0.087,-0.379,-1.146
-0.939,0.402,0.579,-84.35,-132.09,46.97,-0.097,-0.381,-1.136
-0.963,0.367,0.45,-63.21,-136.571,55.37,-0.106,-0.378,-1.123
-0.96,0.398,0.418,-59.78,-137.41,55.23,-0.117,-0.38,-1.102
-0.948,0.523,0.444,-57.82,-138.25,47.88,-0.128,-0.38,-1.092
-0.947,0.633,0.439,-46.69,-142.73,43.4,-0.14,-0.372,-1.067
-1.006,0.611,0.402,-21.7,-148.68,47.18,-0.148,-0.375,-1.061
-1.097,0.505,0.376,2.1,-149.03,53.409,-0.151,-0.369,-1.049
-1.146,0.336,0.365,2.87,-129.15,44.1,-0.163,-0.364,-1.032
-1.099,0.265,0.349,-12.95,-109.13,31.15,-0.163,-0.362,-1.022
-1.027,0.249,0.334,-28.98,-86.66,21.42,-0.165,-0.36,-1.012
-0.957,0.268,0.316,-36.96,-68.39,14.21,-0.166,-0.358,-0.999
-0.896,0.264,0.324,-34.72,-55.37,9.59,-0.166,-0.36,-0.994
-0.845,0.257,0.317,-25.76,-42.84,8.47,-0.168,-0.361,-0.997
-0.798,0.24,0.298,-7.98,-26.46,2.59,-0.167,-0.361,-0.99
-0.733,0.173,0.272,0.28,-15.54,0.7,-0.173,-0.36,-0.986
-0.694,0.143,0.241,4.76,-6.65,-0.49,-0.171,-0.362,-0.99
-0.668,0.117,0.211,3.85,0.35,-1.68,-0.168,-0.36,-0.987
-0.662,0.108,0.174,-2.24,5.32,-3.99,-0.167,-0.361,-0.988
-0.687,0.07,0.167,-11.13,10.29,-5.18,-0.166,-0.368,-0.996
-0.714,0.048,0.178,-20.58,18.13,-4.69,-0.165,-0.369,-0.989
-0.718,0.052,0.154,-34.58,28.0,-5.39,-0.172,-0.368,-0.998
-0.712,0.057,0.125,-49.56,33.95,-8.19,-0.171,-0.374,-0.991
-0.715,0.074,0.106,-64.19,34.3,-8.26,-0.17,-0.375,-0.987
-0.735,0.115,0.101,-75.18,32.97,-7.07,-0.164,-0.371,-0.986
-0.76,0.162,0.1,-78.68,30.38,-5.81,-0.168,-0.376,-0.984
-0.804,0.223,0.108,-68.95,22.61,-1.26,-0.167,-0.378,-0.975
-0.842,0.258,0.125,-53.2,14.35,7.0,-0.168,-0.379,-0.974
-0.885,0.284,0.159,-33.11,6.23,16.87,-0.167,-0.376,-0.97
-0.921,0.291,0.188,-11.69,-1.68,26.46,-0.174,-0.371,-0.973
-0.95,0.277,0.22,4.9,-8.4,35.14,-0.17,-0.368,-0.973
-0.978,0.252,0.242,15.05,-13.93,42.56,-0.175,-0.361,-0.975
-1.01,0.247,0.248,19.39,-16.24,47.25,-0.18,-0.36,-0.979
