ax,ay,az,gx,gy,gz,mx,my,mz
-0.419,-0.168,0.907,-0.63,-0.49,-3.71,0.061,-0.217,-1.357
-0.413,-0.154,0.902,0.21,0.77,-3.64,0.064,-0.21,-1.364
-0.405,-0.152,0.902,3.15,0.14,-3.08,0.062,-0.211,-1.364
-0.406,-0.159,0.899,6.09,-1.12,-1.96,0.064,-0.21,-1.365
-0.411,-0.167,0.896,6.16,-2.52,-1.12,0.065,-0.211,-1.359
-0.422,-0.169,0.892,4.2,-2.38,-1.19,0.063,-0.215,-1.367
-0.423,-0.165,0.894,1.82,-1.61,-2.24,0.061,-0.209,-1.366
-0.421,-0.16,0.895,0.7,-1.33,-4.06,0.062,-0.209,-1.366
-0.425,-0.16,0.895,1.26,-1.54,-4.69,0.057,-0.211,-1.364
-0.439,-0.163,0.884,3.5,-1.75,-4.76,0.063,-0.21,-1.359
-0.443,-0.165,0.875,8.96,-0.84,-4.83,0.065,-0.207,-1.359
-0.437,-0.168,0.878,13.44,-0.98,-4.69,0.067,-0.207,-1.355
-0.433,-0.181,0.879,17.43,-1.96,-3.71,0.071,-0.204,-1.361
-0.435,-0.195,0.884,19.46,-2.45,-3.22,0.071,-0.204,-1.364
-0.434,-0.211,0.894,19.39,-2.94,-3.43,0.071,-0.207,-1.359
-0.438,-0.227,0.91,14.91,-3.57,-1.4,0.068,-0.203,-1.363
-0.435,-0.235,0.902,9.87,-3.22,-1.12,0.067,-0.198,-1.357
-0.435,-0.228,0.898,4.9,-2.66,-1.47,0.065,-0.199,-1.362
-0.436,-0.206,0.895,2.52,-1.89,-0.84,0.066,-0.197,-1.353
-0.439,-0.195,0.889,3.15,-1.68,0.0,0.071,-0.197,-1.359
-0.434,-0.186,0.871,5.04,-1.19,0.14,0.072,-0.2,-1.357
-0.434,-0.184,0.863,10.71,-1.33,-0.35,0.066,-0.193,-1.355
-0.447,-0.187,0.852,13.72,-1.26,-0.14,0.066,-0.189,-1.36
-0.442,-0.188,0.84,16.73,0.49,-1.05,0.069,-0.19,-1.357
-0.433,-0.21,0.832,19.25,1.82,-2.52,0.067,-0.189,-1.362
-0.43,-0.247,0.842,19.18,3.01,-4.06,0.067,-0.187,-1.36
-0.442,-0.301,0.847,12.67,4.27,-5.67,0.07,-0.182,-1.359
-0.45,-0.344,0.848,-12.39,10.15,-11.06,0.07,-0.189,-1.363
-0.457,-0.383,0.832,-36.12,14.0,-15.68,0.071,-0.187,-1.357
-0.454,-0.376,0.798,-63.77,18.13,-20.44,0.076,-0.199,-1.357
-0.438,-0.325,0.749,-89.32,20.72,-24.85,0.08,-0.208,-1.36
-0.413,-0.269,0.72,-106.26,21.07,-27.65,0.084,-0.226,-1.355
-0.383,-0.255,0.735,-112.84,2.03,-23.45,0.087,-0.24,-1.355
-0.369,-0.459,0.852,-134.05,16.17,-15.4,0.087,-0.261,-1.35
-0.376,-0.65,0.981,-190.05,18.48,-11.41,0.095,-0.278,-1.344
-0.358,-0.811,0.961,-300.23,21.91,-12.25,0.095,-0.298,-1.337
-0.33,-0.854,0.787,-456.47,26.25,-15.12,0.099,-0.374,-1.3
-0.362,-0.846,0.424,-750.54,39.83,-41.09,0.105,-0.42,-1.262
-0.525,-0.645,-0.488,-977.83,65.73,-67.48,0.112,-0.519,-1.119
-0.564,-0.21,-1.363,-1186.15,100.59,-105.84,0.119,-0.556,-1.016
-0.58,0.502,-2.123,-1312.08,134.47,-182.071,0.13,-0.557,-0.891
-0.503,0.636,-2.674,-1308.23,196.63,-315.56,0.154,-0.463,-0.677
-0.259,0.663,-2.911,-1253.35,283.85,-372.4,0.155,-0.38,-0.612
0.198,0.74,-2.797,-1085.28,338.31,-311.92,0.111,-0.186,-0.556
0.969,1.38,-2.136,-709.8,80.36,-88.69,0.092,-0.101,-0.558
-0.204,1.949,-0.396,-449.26,2.45,-165.62,0.081,-0.008,-0.577
-0.498,0.367,-0.928,-164.5,112.28,-213.5,0.066,0.013,-0.581
-0.247,-0.068,-1.063,16.1,96.04,-85.68,0.055,0.011,-0.584
-0.082,-0.122,-1.243,69.02,68.53,-47.53,0.034,-0.001,-0.586
-0.204,-0.239,-1.342,99.61,38.5,-19.46,0.03,-0.011,-0.584
-0.346,-0.203,-1.323,65.379,10.15,12.46,0.026,-0.026,-0.579
-0.278,0.193,-1.282,41.09,-7.7,12.53,0.03,-0.027,-0.583
-0.232,0.259,-1.245,52.08,-23.73,6.51,0.029,-0.035,-0.578
-0.229,0.236,-1.247,71.889,-36.82,2.59,0.037,-0.045,-0.58
-0.216,0.262,-1.274,99.82,-46.83,2.24,0.035,-0.054,-0.574
-0.187,0.394,-1.336,187.11,-63.07,4.48,0.049,-0.083,-0.564
-0.174,0.686,-1.37,270.34,-82.25,3.43,0.056,-0.101,-0.565
-0.186,0.874,-1.468,380.38,-107.38,3.22,0.074,-0.167,-0.558
-0.219,1.2,-1.67,530.95,-136.08,-1.96,0.085,-0.214,-0.567
-0.228,1.623,-1.941,753.97,-174.65,-7.56,0.121,-0.352,-0.615
-0.242,1.76,-2.405,1226.47,-247.24,-31.01,0.14,-0.438,-0.681
-0.386,0.745,-2.222,1357.79,-289.66,-85.61,0.167,-0.516,-0.901
-0.354,0.107,-1.731,1306.55,-302.26,-115.78,0.212,-0.562,-1.039
-0.474,-0.524,-0.97,1182.79,-262.64,-127.12,0.219,-0.528,-1.145
-0.566,-0.731,-0.211,979.51,-185.5,-133.28,0.22,-0.41,-1.295
-0.552,-0.751,0.437,704.55,-130.83,-175.35,0.221,-0.346,-1.33
-0.501,-0.805,0.693,449.05,-87.57,-160.23,0.217,-0.274,-1.357
-0.342,-0.886,0.733,152.95,-31.15,-101.99,0.219,-0.252,-1.355
-0.261,-0.624,0.726,34.79,-13.09,-65.17,0.216,-0.241,-1.358
-0.189,-0.302,0.75,-7.28,-14.56,-45.15,0.214,-0.241,-1.362
-0.128,-0.104,0.775,17.57,-29.96,-35.56,0.208,-0.242,-1.362
-0.131,0.009,0.731,66.919,-35.56,-10.71,0.203,-0.221,-1.362
-0.146,-0.083,0.779,120.33,-48.51,-1.82,0.198,-0.21,-1.364
-0.181,-0.241,0.838,151.34,-68.53,9.31,0.192,-0.198,-1.369
-0.275,-0.49,0.833,146.3,-74.55,27.58,0.179,-0.169,-1.365
-0.333,-0.625,0.871,108.85,-66.57,34.3,0.172,-0.154,-1.369
