ax,ay,az,gx,gy,gz,mx,my,mz
-1.06,0.264,0.199,-20.44,-112.63,118.44,-0.153,-0.209,-1.254
-1.119,0.262,0.218,-5.11,-120.12,119.98,-0.175,-0.191,-1.232
-1.147,0.255,0.214,6.93,-122.78,116.41,-0.18,-0.182,-1.223
-1.155,0.252,0.203,18.2,-120.68,110.11,-0.19,-0.172,-1.214
-1.128,0.219,0.184,35.35,-107.52,98.63,-0.205,-0.15,-1.199
-1.043,0.223,0.172,45.57,-96.74,89.179,-0.214,-0.14,-1.194
-1.004,0.173,0.162,51.1,-87.5,79.659,-0.224,-0.125,-1.176
-0.996,0.107,0.169,48.02,-80.01,69.72,-0.222,-0.116,-1.171
-1.002,0.025,0.201,34.65,-70.35,60.129,-0.233,-0.112,-1.165
-0.994,-0.051,0.213,5.67,-59.01,53.34,-0.232,-0.094,-1.159
-0.999,0.036,0.189,-46.13,-49.91,39.2,-0.234,-0.092,-1.154
-1.004,0.029,0.257,-71.68,-45.85,39.9,-0.239,-0.093,-1.148
-0.987,0.082,0.275,-96.88,-47.88,41.72,-0.245,-0.09,-1.141
-0.981,0.113,0.263,-117.6,-54.32,41.58,-0.242,-0.093,-1.129
-1.001,0.193,0.218,-125.51,-57.68,47.81,-0.245,-0.092,-1.134
-1.011,0.268,0.159,-113.47,-54.88,54.53,-0.249,-0.086,-1.124
-1.008,0.322,0.147,-73.01,-47.46,64.679,-0.253,-0.085,-1.118
-1.079,0.328,0.241,-47.53,-52.36,73.57,-0.258,-0.08,-1.123
-1.152,0.324,0.301,-25.13,-58.1,78.75,-0.256,-0.069,-1.102
-1.169,0.292,0.342,-3.15,-60.13,80.29,-0.257,-0.064,-1.099
-1.146,0.246,0.349,9.52,-61.32,80.639,-0.258,-0.055,-1.093
-1.139,0.226,0.364,10.08,-63.98,75.46,-0.258,-0.036,-1.082
-1.165,0.233,0.372,6.79,-64.47,68.53,-0.26,-0.028,-1.081
-1.188,0.223,0.382,3.71,-54.18,51.94,-0.261,-0.019,-1.074
-1.145,0.19,0.365,-0.42,-37.73,36.61,-0.262,-0.015,-1.064
-1.084,0.172,0.31,-6.86,-19.32,20.58,-0.266,-0.01,-1.059
-1.1,0.179,0.167,-14.49,-8.33,6.65,-0.269,-0.011,-1.064
-1.22,0.207,0.203,-15.19,-22.96,-2.31,-0.268,-0.013,-1.068
-1.378,0.243,0.35,-12.39,-18.55,-9.59,-0.273,-0.016,-1.06
-1.359,0.255,0.275,-7.42,34.44,-25.9,-0.27,-0.02,-1.064
-1.22,0.277,0.3,1.33,50.679,-31.85,-0.27,-0.023,-1.07
-1.077,0.268,0.3,11.13,62.86,-40.18,-0.267,-0.029,-1.079
-0.962,0.237,0.229,15.33,70.98,-50.19,-0.264,-0.033,-1.093
-0.922,0.232,0.169,17.5,67.48,-58.38,-0.265,-0.043,-1.092
-0.974,0.231,0.154,21.91,60.62,-64.82,-0.264,-0.047,-1.098
-1.115,0.209,0.134,31.15,68.46,-74.76,-0.265,-0.063,-1.115
-1.198,0.213,0.1,36.33,80.639,-79.03,-0.265,-0.066,-1.123
-1.305,0.236,0.096,43.96,88.83,-80.15,-0.261,-0.078,-1.14
-1.426,0.243,0.095,53.76,98.49,-79.38,-0.255,-0.085,-1.151
-1.458,0.222,0.075,61.179,113.54,-80.5,-0.247,-0.101,-1.168
-1.352,0.192,0.031,61.32,127.61,-84.07,-0.239,-0.102,-1.185
-1.21,0.17,0.03,52.639,128.24,-90.86,-0.235,-0.112,-1.192
-1.153,0.153,0.033,42.21,123.83,-96.95,-0.223,-0.121,-1.221
-1.106,0.129,0.037,27.93,117.95,-105.28,-0.214,-0.128,-1.229
-1.064,0.099,0.041,10.36,110.74,-115.57,-0.196,-0.149,-1.238
-1.036,0.085,0.052,-7.0,100.8,-126.21,-0.189,-0.157,-1.247
-1.009,0.094,0.065,-23.52,92.05,-135.73,-0.182,-0.168,-1.256
-0.982,0.1,0.07,-38.01,84.21,-145.95,-0.163,-0.191,-1.267
-0.949,0.128,0.07,-49.0,73.57,-147.84,-0.156,-0.209,-1.271
-0.929,0.149,0.065,-46.97,67.55,-146.65,-0.137,-0.236,-1.279
-0.903,0.159,0.06,-38.78,63.56,-142.38,-0.124,-0.249,-1.279
-0.88,0.157,0.058,-26.95,59.85,-135.94,-0.118,-0.258,-1.285
-0.859,0.148,0.055,-13.58,57.26,-126.7,-0.101,-0.279,-1.289
-0.852,0.126,0.051,-1.4,52.99,-107.87,-0.096,-0.283,-1.294
-0.884,0.077,0.065,12.39,44.31,-91.49,-0.077,-0.3,-1.302
-0.908,0.052,0.089,16.1,37.31,-72.59,-0.07,-0.295,-1.3
-0.901,0.037,0.113,16.1,28.98,-52.85,-0.066,-0.301,-1.307
-0.871,0.021,0.133,13.44,18.2,-32.2,-0.059,-0.303,-1.31
-0.865,-0.011,0.103,7.42,5.88,-10.01,-0.052,-0.303,-1.308
-0.963,-0.041,0.106,-3.92,-7.07,14.35,-0.055,-0.302,-1.307
-1.048,-0.038,0.122,-32.76,-22.82,51.379,-0.058,-0.303,-1.303
-0.996,-0.023,0.134,-53.06,-33.39,71.61,-0.063,-0.306,-1.303
-1.002,0.0,0.132,-68.53,-46.69,92.05,-0.071,-0.307,-1.295
-1.07,0.049,0.159,-79.38,-59.92,113.05,-0.078,-0.303,-1.289
-1.067,0.096,0.208,-84.35,-72.1,131.74,-0.101,-0.304,-1.273
-1.02,0.121,0.247,-81.69,-83.44,146.93,-0.113,-0.297,-1.269
-1.059,0.164,0.327,-68.32,-99.33,166.32,-0.138,-0.287,-1.251
-1.13,0.203,0.374,-57.4,-106.75,175.07,-0.148,-0.278,-1.234
-1.198,0.238,0.397,-45.08,-109.83,181.65,-0.176,-0.261,-1.222
-1.25,0.248,0.373,-31.57,-105.35,183.68,-0.183,-0.25,-1.215
-1.269,0.231,0.318,-21.91,-91.42,180.67,-0.196,-0.233,-1.213
-1.246,0.212,0.237,-18.83,-60.41,167.93,-0.213,-0.209,-1.197
-1.166,0.201,0.21,-23.17,-37.8,154.56,-0.221,-0.196,-1.194
-1.089,0.186,0.189,-33.39,-19.53,140.35,-0.228,-0.174,-1.188
-1.032,0.19,0.181,-48.02,-9.52,125.93,-0.226,-0.163,-1.182
-0.999,0.215,0.168,-63.0,-4.76,111.09,-0.227,-0.153,-1.185
-0.986,0.24,0.157,-75.11,-3.01,96.46,-0.226,-0.149,-1.186
-0.971,0.256,0.156,-83.37,-5.11,76.23,-0.227,-0.147,-1.187
-0.941,0.279,0.148,-83.65,-8.61,65.31,-0.224,-0.144,-1.18
-0.938,0.291,0.148,-80.43,-13.3,56.77,-0.228,-0.14,-1.178
-0.95,0.298,0.147,-74.27,-16.59,52.08,-0.236,-0.138,-1.179
-0.954,0.304,0.153,-65.45,-17.92,50.61,-0.235,-0.14,-1.178
-0.949,0.314,0.166,-37.1,-19.39,51.169,-0.239,-0.132,-1.171
-0.931,0.347,0.189,-38.5,-21.35,52.01,-0.238,-0.131,-1.168
-0.928,0.359,0.194,-25.97,-24.29,52.149,-0.239,-0.127,-1.171
-0.952,0.362,0.201,-15.26,-28.14,50.399,-0.241,-0.121,-1.161
-1.009,0.363,0.22,-7.84,-33.46,46.27,-0.245,-0.118,-1.151
-1.066,0.368,0.231,-3.71,-36.4,39.83,-0.244,-0.113,-1.148
-1.1,0.364,0.232,-0.28,-34.86,26.11,-0.243,-0.11,-1.141
-1.129,0.355,0.236,-1.05,-34.02,15.12,-0.249,-0.107,-1.135
-1.135,0.347,0.231,-2.94,-31.15,2.1,-0.247,-0.109,-1.133
-1.155,0.332,0.161,-6.02,-27.44,-10.85,-0.248,-0.107,-1.132
-1.302,0.345,0.167,-6.72,-31.85,-21.98,-0.253,-0.112,-1.119
-1.46,0.374,0.249,-3.15,-29.61,-31.5,-0.254,-0.113,-1.117
-1.356,0.348,0.26,4.83,-10.85,-55.02,-0.25,-0.123,-1.107
-1.244,0.343,0.281,11.34,-9.59,-64.75,-0.248,-0.132,-1.109
-1.163,0.361,0.309,22.68,-9.24,-70.0,-0.248,-0.141,-1.099
-0.973,0.32,0.167,67.97,9.17,-89.32,-0.245,-0.172,-1.1
-1.062,0.272,0.105,94.08,21.21,-96.46,-0.241,-0.2,-1.104
-1.168,0.227,0.05,102.06,38.22,-99.47,-0.233,-0.208,-1.116
-1.208,0.198,0.012,107.94,55.02,-100.8,-0.222,-0.229,-1.135
-1.241,0.186,0.009,112.77,68.53,-99.47,-0.215,-0.231,-1.149
-1.23,0.183,0.015,116.06,79.8,-98.49,-0.202,-0.236,-1.179
-1.102,0.148,0.057,111.86,83.649,-99.68,-0.19,-0.235,-1.187
-1.021,0.114,0.07,100.66,73.01,-98.35,-0.185,-0.238,-1.195
