ax,ay,az,gx,gy,gz,mx,my,mz
-0.951,0.376,0.033,0.0,1.82,6.51,-0.187,-0.27,-0.801
-0.935,0.385,0.067,8.61,0.35,8.89,-0.191,-0.269,-0.809
-0.889,0.414,-0.009,17.08,-0.91,11.06,-0.191,-0.268,-0.799
-0.859,0.367,-0.064,28.14,-19.6,11.83,-0.188,-0.269,-0.804
-0.928,0.378,-0.062,33.46,-26.25,6.44,-0.19,-0.271,-0.803
-1.022,0.314,-0.062,30.38,-19.53,9.17,-0.185,-0.268,-0.803
-1.009,0.322,-0.069,23.03,-10.15,12.95,-0.19,-0.273,-0.801
-0.985,0.326,-0.065,17.08,-3.01,12.95,-0.194,-0.27,-0.796
-0.97,0.336,-0.051,10.92,-1.05,15.05,-0.188,-0.268,-0.801
-0.953,0.371,-0.053,4.48,-1.12,14.42,-0.191,-0.267,-0.801
-0.946,0.366,-0.062,3.15,-0.84,9.66,-0.193,-0.264,-0.807
-0.958,0.37,-0.061,2.87,-2.73,8.33,-0.19,-0.262,-0.801
-0.983,0.364,-0.05,2.03,-3.36,6.58,-0.189,-0.261,-0.799
-0.995,0.35,-0.046,0.42,-0.35,5.95,-0.189,-0.267,-0.792
-0.987,0.346,-0.053,-1.54,3.43,5.74,-0.188,-0.265,-0.793
-0.981,0.341,-0.023,-2.38,6.23,6.44,-0.194,-0.262,-0.796
-0.949,0.351,-0.013,-4.13,10.15,7.14,-0.192,-0.255,-0.802
-0.903,0.353,-0.01,-3.92,10.08,6.79,-0.199,-0.262,-0.803
-0.885,0.347,-0.015,-3.43,6.86,6.3,-0.196,-0.258,-0.806
-0.899,0.34,-0.014,-3.01,1.4,6.23,-0.196,-0.256,-0.81
-0.929,0.333,-0.021,-3.99,2.52,7.07,-0.194,-0.253,-0.806
-0.92,0.337,-0.028,-5.81,5.25,7.77,-0.195,-0.254,-0.799
-0.899,0.345,-0.025,-6.58,6.86,8.19,-0.197,-0.248,-0.797
-0.879,0.352,-0.02,-5.88,6.93,8.61,-0.2,-0.25,-0.802
-0.861,0.351,-0.014,-4.2,5.81,9.1,-0.205,-0.252,-0.8
-0.854,0.351,-0.005,-2.1,3.36,8.4,-0.201,-0.248,-0.798
-0.849,0.346,0.007,0.63,2.1,7.84,-0.202,-0.249,-0.797
-0.842,0.336,0.007,1.12,1.12,7.42,-0.2,-0.247,-0.802
-0.838,0.328,0.006,0.7,1.19,7.0,-0.198,-0.245,-0.8
-0.839,0.318,0.001,-1.61,1.61,5.88,-0.197,-0.248,-0.814
-0.848,0.315,-0.005,-4.55,2.52,5.53,-0.201,-0.249,-0.806
-0.864,0.318,-0.01,-7.7,4.06,4.83,-0.2,-0.245,-0.803
-0.88,0.325,-0.013,-10.36,5.39,4.97,-0.198,-0.241,-0.805
-0.891,0.334,-0.014,-11.9,6.23,6.51,-0.2,-0.235,-0.806
-0.895,0.337,-0.005,-11.76,6.37,7.7,-0.201,-0.242,-0.805
-0.885,0.337,0.007,-11.97,5.95,9.1,-0.201,-0.241,-0.808
-0.877,0.334,0.0,-13.02,3.5,9.66,-0.197,-0.237,-0.807
-0.9,0.336,0.001,-13.72,1.19,10.43,-0.203,-0.232,-0.803
-0.925,0.339,0.01,-13.79,1.26,11.55,-0.204,-0.227,-0.803
-0.93,0.34,0.014,-13.79,1.68,13.23,-0.201,-0.227,-0.799
-0.934,0.346,0.02,-13.44,0.42,15.19,-0.202,-0.223,-0.799
-0.934,0.324,0.056,-16.73,-2.1,19.11,-0.205,-0.219,-0.802
-0.88,0.305,0.16,-30.52,-5.53,17.85,-0.202,-0.217,-0.798
-0.886,0.292,0.194,-51.1,-9.31,13.86,-0.207,-0.216,-0.802
-0.934,0.351,0.239,-69.72,-7.7,10.22,-0.21,-0.21,-0.796
-0.936,0.398,0.205,-79.87,6.44,8.47,-0.208,-0.203,-0.794
-0.888,0.459,0.143,-76.3,21.07,13.3,-0.208,-0.196,-0.8
-0.857,0.535,0.098,-52.71,32.48,17.36,-0.208,-0.196,-0.802
-0.823,0.537,0.101,-12.95,38.29,18.97,-0.207,-0.188,-0.802
-0.768,0.447,0.097,19.46,38.64,28.98,-0.214,-0.191,-0.807
-0.671,0.271,0.093,32.97,30.8,32.62,-0.22,-0.186,-0.81
-0.652,0.223,0.09,17.29,24.99,28.35,-0.221,-0.182,-0.821
-0.661,0.206,0.012,-8.05,20.58,21.56,-0.224,-0.183,-0.826
-0.816,0.232,-0.027,-30.8,11.69,17.57,-0.225,-0.179,-0.821
-1.042,0.29,-0.02,-48.3,3.85,16.45,-0.225,-0.169,-0.823
-1.078,0.361,-0.037,-47.11,17.22,29.47,-0.227,-0.162,-0.819
-0.784,0.462,-0.068,-24.78,18.06,37.1,-0.231,-0.16,-0.817
-0.693,0.519,-0.061,8.61,1.4,36.96,-0.233,-0.152,-0.822
-0.809,0.547,-0.043,53.129,-22.82,29.05,-0.233,-0.153,-0.829
-1.059,0.518,0.0,97.58,-42.56,20.51,-0.224,-0.16,-0.816
-1.248,0.427,-0.048,126.35,-44.03,14.14,-0.225,-0.159,-0.808
-1.216,0.315,-0.083,136.57,-31.29,7.77,-0.222,-0.175,-0.805
-1.052,0.267,-0.076,127.33,-16.73,-15.75,-0.225,-0.178,-0.808
-0.865,0.164,-0.05,93.45,-3.64,-40.04,-0.22,-0.186,-0.802
-0.83,0.167,-0.031,59.29,0.35,-62.58,-0.217,-0.199,-0.802
-0.863,0.184,-0.044,34.72,2.17,-85.75,-0.213,-0.213,-0.803
-0.938,0.179,-0.068,18.97,5.32,-100.17,-0.205,-0.227,-0.797
-0.993,0.161,-0.081,10.5,13.16,-106.82,-0.2,-0.239,-0.801
-0.997,0.172,-0.082,5.18,21.84,-111.37,-0.201,-0.258,-0.8
-1.046,0.159,-0.085,-2.59,23.8,-110.53,-0.196,-0.265,-0.802
-1.144,0.16,-0.088,-10.29,20.79,-109.13,-0.195,-0.28,-0.804
-1.197,0.154,-0.121,-19.6,22.05,-111.02,-0.193,-0.293,-0.803
-1.227,0.162,-0.148,-27.09,26.11,-114.1,-0.187,-0.298,-0.807
-1.251,0.167,-0.162,-31.29,26.46,-117.11,-0.177,-0.312,-0.808
-1.241,0.177,-0.165,-28.35,26.11,-115.85,-0.176,-0.321,-0.807
-1.182,0.174,-0.129,-9.52,20.58,-104.58,-0.172,-0.33,-0.814
-1.069,0.159,-0.132,5.88,11.34,-91.49,-0.166,-0.343,-0.811
-1.018,0.135,-0.111,18.34,0.42,-77.28,-0.157,-0.355,-0.821
-0.976,0.11,-0.098,26.04,-8.19,-61.53,-0.153,-0.369,-0.817
-0.939,0.097,-0.081,29.82,-16.52,-45.43,-0.149,-0.372,-0.824
-0.926,0.092,-0.072,31.29,-22.61,-28.77,-0.149,-0.378,-0.826
-0.913,0.085,-0.07,29.75,-26.18,-5.04,-0.141,-0.381,-0.822
-0.88,0.075,-0.07,20.23,-24.85,8.89,-0.139,-0.381,-0.824
-0.87,0.076,-0.057,7.7,-22.47,21.14,-0.14,-0.38,-0.817
-0.914,0.11,-0.032,-6.58,-19.88,30.38,-0.141,-0.378,-0.814
-0.978,0.127,-0.025,-20.51,-19.95,39.62,-0.142,-0.371,-0.808
-1.035,0.18,-0.029,-31.15,-20.09,55.37,-0.146,-0.367,-0.804
-1.062,0.208,-0.04,-31.43,-18.41,75.389,-0.148,-0.361,-0.801
-1.108,0.232,-0.054,-29.12,-17.08,89.04,-0.159,-0.348,-0.799
-1.149,0.238,-0.046,-27.23,-15.54,98.63,-0.161,-0.342,-0.797
-1.187,0.249,-0.047,-29.12,-14.28,105.49,-0.169,-0.32,-0.788
-1.225,0.263,-0.051,-32.69,-13.58,110.53,-0.173,-0.311,-0.789
-1.257,0.279,-0.054,-35.49,-11.41,114.1,-0.178,-0.297,-0.786
-1.274,0.29,-0.057,-37.94,-8.96,115.57,-0.182,-0.277,-0.773
-1.289,0.305,-0.054,-40.67,-4.83,115.43,-0.188,-0.268,-0.776
-1.279,0.327,-0.054,-42.07,-3.22,113.12,-0.192,-0.243,-0.775
-1.252,0.341,-0.055,-41.3,-1.54,109.34,-0.197,-0.237,-0.771
-1.236,0.355,-0.054,-39.41,-1.4,103.74,-0.198,-0.227,-0.774
-1.231,0.369,-0.052,-36.47,-1.68,97.3,-0.204,-0.211,-0.771
-1.222,0.391,-0.039,-31.01,-1.75,89.46,-0.204,-0.199,-0.776
-1.197,0.415,-0.02,-15.68,-2.94,77.139,-0.204,-0.184,-0.775
-1.168,0.433,-0.008,-1.82,-4.41,69.02,-0.205,-0.176,-0.775
-1.129,0.406,-0.008,10.99,-4.69,60.83,-0.21,-0.168,-0.776
-1.11,0.377,-0.013,17.71,-3.15,50.82,-0.208,-0.161,-0.78
-1.1,0.352,-0.023,17.85,-0.49,38.36,-0.209,-0.158,-0.78
-1.095,0.341,-0.026,13.65,3.36,27.16,-0.209,-0.155,-0.777
-1.089,0.347,-0.016,9.87,7.56,16.87,-0.21,-0.155,-0.776
