ax,ay,az,gx,gy,gz,mx,my,mz
-0.943,0.311,0.067,1.68,-1.19,1.4,-0.165,-0.367,-0.855
-0.958,0.313,0.061,1.05,-1.75,0.98,-0.16,-0.369,-0.896
-0.975,0.316,0.057,0.28,-0.7,0.77,-0.163,-0.371,-0.859
-0.966,0.321,0.059,0.0,-0.14,1.61,-0.164,-0.367,-0.862
-0.96,0.326,0.06,1.4,-1.33,1.47,-0.166,-0.371,-0.863
-0.967,0.32,0.058,2.73,-2.52,1.89,-0.164,-0.369,-0.86
-0.969,0.316,0.058,3.01,-2.59,2.66,-0.166,-0.367,-0.859
-0.959,0.315,0.061,3.71,-1.54,3.29,-0.159,-0.371,-0.857
-0.953,0.316,0.064,3.64,-2.24,3.57,-0.161,-0.365,-0.857
-0.952,0.316,0.062,4.27,-3.5,4.41,-0.167,-0.367,-0.855
-0.957,0.318,0.063,5.95,-4.13,4.83,-0.165,-0.364,-0.856
-0.974,0.313,0.062,7.0,-3.99,5.18,-0.168,-0.365,-0.858
-0.989,0.308,0.059,6.79,-4.27,5.6,-0.168,-0.365,-0.851
-0.989,0.308,0.056,6.3,-3.01,5.95,-0.17,-0.362,-0.861
-0.973,0.307,0.061,6.79,-2.94,6.58,-0.169,-0.364,-0.862
-0.952,0.308,0.083,7.42,-5.32,7.56,-0.169,-0.361,-0.852
-0.939,0.303,0.064,10.22,-4.69,7.56,-0.17,-0.365,-0.862
-0.917,0.286,0.063,12.81,-4.83,9.31,-0.164,-0.368,-0.861
-0.918,0.278,0.079,11.69,-4.97,9.31,-0.166,-0.364,-0.857
-0.927,0.282,0.083,8.68,-4.97,9.1,-0.169,-0.363,-0.862
-0.949,0.309,0.079,6.72,-6.09,10.85,-0.168,-0.362,-0.863
-0.978,0.337,0.079,9.31,-8.33,14.91,-0.17,-0.356,-0.861
-1.001,0.377,0.095,13.93,-11.2,18.69,-0.168,-0.358,-0.867
-1.0,0.393,0.114,21.35,-12.53,21.07,-0.169,-0.359,-0.863
-0.977,0.383,0.16,29.82,-12.25,22.05,-0.173,-0.355,-0.869
-0.935,0.352,0.188,33.95,-9.03,20.02,-0.173,-0.353,-0.861
-0.879,0.337,0.161,31.08,-6.86,15.19,-0.175,-0.359,-0.861
-0.849,0.355,0.181,29.68,-2.38,9.31,-0.173,-0.36,-0.858
-0.808,0.34,0.204,32.41,7.28,0.98,-0.175,-0.356,-0.865
-0.788,0.317,0.206,31.01,8.61,-4.27,-0.178,-0.357,-0.868
-0.83,0.296,0.229,28.35,11.62,-10.36,-0.174,-0.358,-0.869
-0.842,0.28,0.216,22.05,16.87,-13.37,-0.175,-0.364,-0.872
-0.832,0.282,0.204,12.04,22.54,-14.98,-0.171,-0.366,-0.876
-0.819,0.309,0.209,1.68,27.23,-19.74,-0.145,-0.37,-0.878
-0.795,0.348,0.222,-4.69,31.29,-26.32,-0.172,-0.37,-0.881
-0.76,0.377,0.221,-4.2,34.3,-31.22,-0.175,-0.373,-0.887
-0.724,0.388,0.23,2.03,37.52,-37.38,-0.174,-0.384,-0.896
-0.659,0.394,0.218,11.13,40.67,-43.26,-0.172,-0.386,-0.898
-0.625,0.383,0.205,14.49,43.47,-50.89,-0.169,-0.386,-0.9
-0.61,0.38,0.197,18.41,43.26,-57.68,-0.162,-0.395,-0.9
-0.646,0.374,0.191,22.61,42.21,-62.86,-0.163,-0.401,-0.908
-0.718,0.38,0.175,25.34,39.48,-64.4,-0.159,-0.409,-0.92
-0.808,0.395,0.195,29.12,37.73,-59.85,-0.152,-0.415,-0.921
-0.87,0.406,0.238,34.09,39.2,-50.61,-0.148,-0.418,-0.93
-0.878,0.418,0.238,35.84,36.68,-40.39,-0.148,-0.43,-0.942
-0.889,0.448,0.217,33.18,34.09,-28.84,-0.149,-0.43,-0.94
-0.917,0.483,0.25,28.91,35.56,-25.27,-0.146,-0.436,-0.959
-0.916,0.504,0.303,24.15,36.26,-25.06,-0.139,-0.436,-0.957
-0.9,0.524,0.326,21.77,35.28,-26.6,-0.139,-0.439,-0.961
-0.9,0.542,0.334,24.92,33.04,-28.0,-0.132,-0.443,-0.974
-0.908,0.546,0.324,30.87,34.93,-29.75,-0.13,-0.444,-0.973
-0.906,0.517,0.303,33.04,37.8,-31.85,-0.124,-0.445,-0.979
-0.91,0.499,0.313,28.0,41.09,-36.4,-0.125,-0.451,-0.988
-0.882,0.506,0.31,12.32,43.26,-47.95,-0.119,-0.455,-0.995
-0.808,0.548,0.341,11.9,43.82,-53.13,-0.113,-0.464,-0.997
-0.741,0.537,0.38,20.23,43.4,-57.19,-0.107,-0.462,-1.01
-0.676,0.514,0.355,28.49,41.51,-60.13,-0.096,-0.475,-1.014
-0.673,0.468,0.327,33.74,37.03,-61.53,-0.094,-0.478,-1.019
-0.736,0.438,0.369,32.27,35.91,-60.41,-0.084,-0.487,-1.025
-0.717,0.471,0.404,20.79,39.62,-59.15,-0.075,-0.489,-1.036
-0.677,0.528,0.408,23.24,35.77,-53.83,-0.071,-0.496,-1.035
-0.657,0.553,0.395,33.18,32.69,-48.58,-0.059,-0.501,-1.053
-0.655,0.526,0.382,38.29,27.65,-45.36,-0.055,-0.504,-1.058
-0.685,0.523,0.382,36.47,22.4,-43.61,-0.052,-0.508,-1.066
-0.708,0.519,0.381,31.08,16.45,-43.82,-0.042,-0.509,-1.067
-0.71,0.533,0.392,28.14,12.39,-39.2,-0.041,-0.508,-1.067
-0.681,0.556,0.419,28.7,7.77,-34.58,-0.038,-0.506,-1.069
-0.681,0.575,0.398,32.27,-15.75,-31.01,-0.033,-0.514,-1.073
-0.81,0.546,0.386,36.75,-7.35,-28.0,-0.035,-0.513,-1.079
