ax,ay,az,gx,gy,gz,mx,my,mz
-0.003,0.496,0.839,-1.26,2.17,1.12,0.208,-0.439,-1.223
-0.004,0.498,0.871,-0.07,1.82,1.54,0.204,-0.442,-1.227
0.0,0.504,0.851,-0.14,1.33,1.54,0.205,-0.442,-1.224
0.0,0.51,0.851,0.28,0.84,1.61,0.206,-0.445,-1.226
-0.004,0.513,0.852,0.98,0.07,1.61,0.206,-0.443,-1.224
-0.005,0.508,0.844,1.54,0.42,1.19,0.205,-0.438,-1.223
-0.009,0.505,0.851,1.89,-0.21,0.98,0.209,-0.434,-1.219
-0.004,0.503,0.859,0.98,0.21,0.77,0.202,-0.434,-1.22
-0.006,0.502,0.866,0.0,0.07,0.63,0.205,-0.438,-1.222
-0.011,0.507,0.859,-1.54,-0.07,0.42,0.206,-0.437,-1.22
-0.01,0.508,0.854,-1.4,0.42,0.07,0.203,-0.438,-1.225
-0.006,0.505,0.853,0.14,0.0,0.14,0.206,-0.441,-1.225
-0.008,0.5,0.853,0.98,0.0,-0.42,0.205,-0.442,-1.221
-0.007,0.496,0.855,0.77,-0.7,-0.28,0.202,-0.441,-1.22
-0.006,0.501,0.856,0.49,-0.49,0.28,0.201,-0.441,-1.221
-0.001,0.499,0.857,0.28,-0.63,0.56,0.205,-0.441,-1.228
-0.003,0.5,0.86,0.49,-0.35,0.98,0.203,-0.446,-1.221
-0.003,0.498,0.856,0.35,0.21,1.26,0.207,-0.445,-1.221
-0.004,0.502,0.859,0.77,-0.21,1.33,0.202,-0.444,-1.222
-0.006,0.503,0.859,0.98,-0.35,1.33,0.206,-0.446,-1.22
-0.012,0.503,0.86,1.26,-0.14,1.26,0.205,-0.444,-1.222
-0.014,0.503,0.857,0.77,0.14,1.12,0.2,-0.445,-1.223
-0.008,0.507,0.856,0.35,0.49,0.98,0.203,-0.445,-1.222
-0.004,0.506,0.854,0.28,0.0,1.12,0.203,-0.443,-1.221
-0.003,0.503,0.853,0.28,0.0,1.05,0.205,-0.447,-1.221
-0.003,0.501,0.853,0.21,-0.14,0.91,0.203,-0.446,-1.224
-0.001,0.502,0.858,0.14,-0.49,0.63,0.203,-0.447,-1.225
-0.005,0.502,0.858,0.35,-0.28,0.77,0.201,-0.453,-1.223
-0.005,0.493,0.863,1.05,-0.21,1.19,0.202,-0.444,-1.226
-0.007,0.485,0.867,0.98,0.0,1.47,0.204,-0.447,-1.219
-0.007,0.484,0.879,0.0,0.84,2.1,0.205,-0.446,-1.223
-0.003,0.474,0.88,-0.56,1.89,3.08,0.206,-0.451,-1.222
0.006,0.437,0.904,-0.49,2.66,4.2,0.205,-0.446,-1.226
0.048,0.361,0.926,-1.19,4.62,6.37,0.205,-0.448,-1.225
0.098,0.33,1.008,-7.42,7.56,10.64,0.205,-0.452,-1.225
0.166,0.238,1.083,-48.3,9.8,14.7,0.203,-0.449,-1.218
0.3,0.137,1.065,-100.45,10.92,14.28,0.202,-0.455,-1.213
0.32,0.16,1.054,-162.33,11.06,14.07,0.21,-0.476,-1.188
0.296,0.366,1.035,-227.36,17.64,12.39,0.207,-0.49,-1.184
0.235,0.733,1.016,-279.51,30.59,-0.7,0.216,-0.518,-1.134
0.305,1.279,1.114,-301.84,75.32,-12.53,0.217,-0.528,-1.11
0.415,2.066,0.763,-199.85,65.94,-26.67,0.224,-0.54,-1.071
0.388,1.762,0.71,-52.15,43.68,-51.38,0.236,-0.542,-1.063
0.396,1.311,0.672,45.64,27.16,-63.91,0.244,-0.54,-1.069
0.379,0.973,0.718,68.25,19.18,-73.78,0.263,-0.54,-1.086
0.335,0.8,0.68,20.02,18.48,-85.12,0.274,-0.541,-1.084
0.32,0.854,0.61,-89.39,23.87,-97.09,0.301,-0.538,-1.065
0.382,1.139,0.519,-110.25,25.2,-102.13,0.311,-0.54,-1.052
0.42,1.118,0.403,-84.28,15.96,-104.72,0.329,-0.539,-1.043
0.372,0.99,0.406,-48.79,0.07,-91.42,0.336,-0.537,-1.034
0.305,0.878,0.402,-37.1,-7.14,-82.39,0.346,-0.536,-1.037
0.275,0.797,0.418,-41.3,-8.19,-76.09,0.365,-0.531,-1.029
0.277,0.999,0.491,-40.11,-7.35,-63.84,0.374,-0.528,-1.031
0.233,1.026,0.421,-39.69,-7.91,-66.78,0.383,-0.527,-1.023
0.175,0.954,0.341,-38.85,-9.87,-59.85,0.389,-0.525,-1.021
0.106,0.974,0.536,-36.82,-7.63,-51.87,0.4,-0.523,-1.016
0.082,1.02,0.599,-24.22,4.83,-51.52,0.406,-0.519,-1.012
0.215,1.08,0.458,7.63,15.75,-49.0,0.413,-0.518,-1.013
0.213,1.043,0.31,61.74,10.43,-48.09,0.421,-0.511,-1.017
0.164,0.829,0.389,74.76,5.74,-39.41,0.43,-0.509,-1.023
0.23,0.649,0.408,68.46,6.44,-32.9,0.431,-0.508,-1.029
0.293,0.589,0.377,33.67,5.6,-29.82,0.437,-0.498,-1.03
0.249,0.793,0.413,3.5,7.07,-28.07,0.441,-0.499,-1.029
0.288,0.901,0.458,12.67,7.21,-26.88,0.443,-0.494,-1.036
0.294,0.853,0.474,31.92,7.28,-28.42,0.452,-0.497,-1.035
0.262,0.835,0.497,33.67,7.98,-24.64,0.448,-0.492,-1.035
0.29,0.784,0.402,18.69,11.69,-28.07,0.455,-0.489,-1.037
0.3,0.969,0.269,3.08,11.06,-30.52,0.455,-0.484,-1.036
0.315,1.298,0.191,25.06,9.24,-39.97,0.462,-0.48,-1.043
0.399,0.816,0.262,91.139,2.03,-40.32,0.465,-0.479,-1.046
0.391,0.515,0.337,93.379,-1.26,-40.53,0.471,-0.473,-1.055
0.479,0.184,0.449,39.9,0.42,-38.92,0.479,-0.467,-1.059
0.473,-0.041,0.493,12.95,2.66,-7.0,0.483,-0.464,-1.056
0.373,0.565,0.417,-13.51,14.0,-2.45,0.484,-0.462,-1.048
0.238,0.266,0.824,-17.64,13.58,-14.56,0.484,-0.466,-1.044
0.228,0.54,0.78,-96.18,49.139,-7.14,0.481,-0.464,-1.036
0.485,0.442,0.467,-45.85,61.74,5.53,0.486,-0.469,-1.022
0.384,0.387,0.254,-35.91,64.96,13.44,0.481,-0.472,-1.014
0.413,0.457,0.241,-7.0,60.409,34.65,0.479,-0.476,-1.011
0.379,0.442,0.351,24.71,51.659,55.58,0.481,-0.479,-1.004
0.379,0.401,0.398,39.62,46.69,69.58,0.478,-0.483,-1.005
0.431,0.331,0.417,44.45,44.24,83.44,0.468,-0.492,-1.005
0.401,0.349,0.184,20.37,32.83,96.11,0.458,-0.493,-1.005
0.29,0.621,-0.029,-7.56,26.32,81.76,0.455,-0.5,-0.999
0.264,0.957,0.098,9.17,22.12,74.48,0.444,-0.509,-0.993
0.212,0.842,0.34,16.03,19.53,46.62,0.441,-0.51,-0.997
0.295,0.746,0.43,-10.22,35.98,24.15,0.437,-0.512,-0.995
0.38,0.732,0.432,-22.47,41.51,11.48,0.438,-0.512,-0.993
0.393,0.593,0.501,-4.83,36.33,14.21,0.435,-0.518,-0.983
0.341,0.479,0.67,-4.97,23.24,17.78,0.432,-0.522,-0.981
0.35,0.566,0.582,-25.97,22.4,4.9,0.43,-0.52,-0.973
0.463,0.687,0.537,-31.36,14.49,-2.24,0.436,-0.52,-0.97
0.576,0.765,0.494,-19.32,12.11,-5.88,0.435,-0.523,-0.969
0.665,0.842,0.381,-4.06,9.03,-1.96,0.434,-0.519,-0.969
0.708,0.826,0.311,8.75,8.4,-1.96,0.439,-0.524,-0.973
0.696,0.74,0.207,11.27,11.69,-3.92,0.439,-0.516,-0.966
0.678,0.686,0.312,7.91,8.12,-1.75,0.438,-0.516,-0.975
0.655,0.683,0.292,3.5,10.5,-1.26,0.437,-0.52,-0.971
0.592,0.685,0.424,14.14,5.11,-1.54,0.435,-0.519,-0.97
0.559,0.652,0.46,26.18,3.01,-2.73,0.442,-0.522,-0.971
0.527,0.552,0.413,33.04,1.61,-3.99,0.439,-0.519,-0.976
0.464,0.526,0.336,23.03,0.35,-2.38,0.441,-0.518,-0.978
0.454,0.563,0.296,8.68,0.21,2.45,0.443,-0.516,-0.982
0.496,0.588,0.231,1.26,1.19,5.95,0.44,-0.514,-0.982
0.44,0.694,0.288,-5.88,-2.17,11.48,0.438,-0.518,-0.98
