ax,ay,az,gx,gy,gz,mx,my,mz
-0.959,0.257,0.127,8.75,-3.64,1.89,-0.194,-0.34,-0.88
-0.959,0.249,0.125,9.38,-4.41,3.64,-0.193,-0.339,-0.88
-0.973,0.249,0.124,5.67,-5.04,6.02,-0.192,-0.336,-0.881
-0.973,0.262,0.118,3.36,-4.27,7.56,-0.195,-0.333,-0.884
-0.973,0.275,0.115,1.68,-3.57,8.96,-0.191,-0.336,-0.883
-0.969,0.281,0.114,1.47,-3.15,9.87,-0.195,-0.333,-0.882
-0.962,0.284,0.112,1.54,-2.94,10.15,-0.194,-0.332,-0.876
-0.956,0.291,0.114,0.7,-2.87,9.24,-0.198,-0.332,-0.881
-0.956,0.299,0.114,0.49,-2.52,7.14,-0.2,-0.333,-0.882
-0.962,0.302,0.115,0.63,-2.73,3.5,-0.196,-0.329,-0.879
-0.97,0.31,0.091,2.94,-3.01,1.19,-0.202,-0.329,-0.88
-0.968,0.312,0.078,5.81,-3.99,0.14,-0.199,-0.329,-0.883
-0.968,0.313,0.087,9.87,-5.32,-0.21,-0.199,-0.33,-0.883
-0.965,0.291,0.102,13.86,-5.46,0.21,-0.197,-0.325,-0.886
-0.96,0.268,0.12,14.0,-4.76,0.35,-0.197,-0.326,-0.884
-0.961,0.255,0.12,10.5,-4.41,-1.05,-0.198,-0.326,-0.889
-0.98,0.256,0.101,4.48,-3.71,-3.71,-0.193,-0.334,-0.887
-0.997,0.262,0.1,-17.64,0.98,-3.57,-0.198,-0.332,-0.884
-0.982,0.273,0.105,-0.84,4.13,-2.87,-0.197,-0.335,-0.882
-0.938,0.28,0.11,2.03,2.73,-1.61,-0.2,-0.333,-0.884
-0.943,0.268,0.116,5.95,-1.61,0.14,-0.198,-0.333,-0.879
-0.959,0.252,0.116,7.14,-3.57,1.89,-0.194,-0.329,-0.885
-0.967,0.246,0.113,5.04,-2.59,3.01,-0.194,-0.332,-0.889
-0.959,0.256,0.11,1.75,-0.07,3.78,-0.196,-0.33,-0.893
-0.951,0.271,0.11,0.28,1.12,3.85,-0.197,-0.33,-0.888
-0.952,0.28,0.111,0.56,1.12,4.69,-0.198,-0.325,-0.89
-0.959,0.281,0.11,1.33,0.0,4.55,-0.197,-0.325,-0.884
-0.967,0.279,0.106,1.96,-0.21,3.99,-0.201,-0.324,-0.883
-0.968,0.287,0.117,1.26,1.26,2.73,-0.198,-0.325,-0.885
-0.961,0.288,0.12,0.91,1.54,0.42,-0.197,-0.327,-0.884
-0.963,0.287,0.112,0.84,2.03,-1.82,-0.199,-0.326,-0.885
-0.957,0.279,0.096,1.47,1.33,-3.43,-0.203,-0.328,-0.886
-0.96,0.28,0.093,2.03,0.07,-2.94,-0.199,-0.326,-0.891
-0.961,0.278,0.092,1.96,-1.4,-3.15,-0.197,-0.326,-0.885
-0.957,0.274,0.086,0.98,-1.54,-3.29,-0.196,-0.326,-0.885
-0.958,0.275,0.103,-0.28,0.21,-3.57,-0.196,-0.33,-0.89
-0.952,0.275,0.114,-0.14,1.47,-3.71,-0.193,-0.333,-0.885
-0.941,0.271,0.115,0.35,0.77,-3.99,-0.195,-0.327,-0.888
-0.948,0.266,0.118,0.84,0.21,-4.62,-0.195,-0.332,-0.886
-0.961,0.26,0.12,0.77,0.49,-5.04,-0.195,-0.335,-0.886
-0.967,0.256,0.118,0.98,1.82,-4.97,-0.195,-0.334,-0.885
-0.963,0.258,0.119,2.17,3.64,-4.76,-0.195,-0.338,-0.884
-0.926,0.294,0.172,-2.94,8.75,-2.38,-0.195,-0.335,-0.887
-0.942,0.381,0.22,-21.21,9.52,-4.55,-0.195,-0.336,-0.888
-1.036,0.539,0.421,-47.32,7.49,-9.94,-0.192,-0.334,-0.889
-0.99,0.808,0.629,-35.07,6.02,-23.24,-0.193,-0.336,-0.888
-0.982,1.228,0.604,2.73,13.02,-46.34,-0.193,-0.338,-0.889
-1.018,1.398,0.405,56.49,25.41,-86.66,-0.187,-0.354,-0.894
-1.067,1.187,0.332,102.55,21.14,-95.83,-0.182,-0.364,-0.903
-1.093,1.02,0.467,108.43,11.2,-91.84,-0.174,-0.373,-0.909
-1.097,0.988,0.514,82.32,38.15,-117.95,-0.161,-0.396,-0.917
-0.996,1.001,0.422,36.89,84.139,-161.56,-0.151,-0.405,-0.935
-0.82,1.097,0.275,22.68,78.82,-182.77,-0.13,-0.437,-0.946
-0.801,1.097,0.188,29.12,59.85,-207.48,-0.12,-0.448,-0.947
-0.823,1.059,0.118,55.37,39.76,-222.81,-0.108,-0.465,-0.955
-0.864,0.959,0.145,76.23,28.42,-233.03,-0.07,-0.499,-0.974
-0.879,0.808,0.182,77.56,34.02,-244.93,-0.048,-0.509,-0.976
-0.832,0.72,0.18,60.899,48.09,-257.6,-0.002,-0.532,-0.988
-0.731,0.67,0.137,45.64,60.55,-269.08,0.021,-0.546,-1.002
-0.617,0.632,0.052,37.87,59.429,-285.46,0.046,-0.552,-1.009
-0.517,0.677,0.007,46.62,52.149,-292.88,0.104,-0.567,-1.019
-0.519,0.681,0.02,59.99,42.14,-298.69,0.13,-0.571,-1.019
-0.522,0.621,0.078,79.169,32.06,-299.53,0.156,-0.574,-1.032
-0.525,0.588,0.168,86.87,28.28,-301.071,0.213,-0.577,-1.052
-0.507,0.564,0.217,80.01,32.76,-305.2,0.242,-0.576,-1.057
-0.451,0.577,0.144,65.45,40.25,-304.15,0.304,-0.556,-1.065
-0.386,0.641,0.213,59.99,43.82,-297.71,0.328,-0.55,-1.064
-0.323,0.726,0.255,68.46,47.67,-284.76,0.353,-0.536,-1.068
-0.213,0.695,0.166,83.3,35.21,-271.67,0.403,-0.512,-1.08
-0.146,0.65,0.136,95.97,10.15,-256.2,0.419,-0.494,-1.088
-0.168,0.615,0.468,117.18,3.43,-229.53,0.439,-0.482,-1.104
