ax,ay,az,gx,gy,gz,mx,my,mz
0.662,0.72,-0.309,-53.9,165.83,13.93,-0.056,-0.419,-0.955
0.708,0.435,-0.331,-11.55,152.6,14.21,-0.057,-0.417,-0.969
0.715,0.141,-0.256,-1.82,138.95,23.8,-0.057,-0.413,-0.979
0.64,0.051,-0.139,-25.34,127.61,35.56,-0.054,-0.409,-0.998
0.502,0.24,0.015,-44.03,115.15,30.45,-0.056,-0.411,-1.007
0.393,0.314,-0.006,-29.26,119.56,5.6,-0.056,-0.408,-1.011
0.401,0.123,-0.014,22.82,114.24,-7.84,-0.063,-0.412,-1.03
0.413,-0.001,-0.045,43.68,106.61,-18.62,-0.063,-0.41,-1.041
0.419,-0.061,-0.069,52.71,98.07,-31.08,-0.073,-0.41,-1.063
0.424,-0.095,-0.078,65.169,90.58,-46.27,-0.073,-0.411,-1.063
0.445,-0.202,-0.141,74.06,80.5,-60.13,-0.075,-0.413,-1.065
0.513,-0.309,-0.076,53.69,42.91,-63.35,-0.07,-0.412,-1.062
0.563,0.065,-0.11,-72.31,24.71,-57.54,-0.062,-0.415,-1.059
0.733,1.019,0.392,-219.03,1.19,-44.1,-0.055,-0.422,-1.038
-0.056,3.997,0.632,-268.17,43.47,18.69,-0.066,-0.419,-1.014
-0.832,3.997,-0.306,-166.11,29.47,-91.14,-0.062,-0.424,-0.993
-1.27,3.997,-0.048,48.72,-44.73,-115.85,-0.056,-0.426,-0.995
-0.874,2.227,0.668,34.51,-45.78,-154.49,-0.034,-0.447,-1.003
-0.788,1.877,0.621,-91.42,-34.51,-130.48,-0.012,-0.464,-0.987
-0.653,1.62,0.411,-151.2,-16.24,-152.74,-0.002,-0.467,-0.976
-0.447,1.343,0.268,-127.61,-25.2,-140.42,0.007,-0.479,-0.954
-0.572,-0.788,0.101,142.45,4.83,30.73,0.058,-0.505,-1.02
-0.621,-0.882,0.0,148.12,8.26,63.0,0.043,-0.494,-1.043
-0.808,-1.125,0.017,127.19,46.97,79.169,0.045,-0.488,-1.055
-0.874,-1.105,-0.025,60.129,105.49,73.149,0.034,-0.482,-1.074
-0.817,-0.902,-0.097,-6.86,158.06,82.879,0.033,-0.481,-1.079
-0.829,-0.68,-0.222,-42.49,198.03,124.74,0.033,-0.478,-1.086
-0.916,-0.469,-0.368,-52.57,216.79,186.9,0.018,-0.478,-1.084
-0.96,-0.184,-0.617,-56.63,244.44,258.23,0.008,-0.465,-1.088
-1.27,0.341,-0.253,-139.23,305.27,332.15,-0.028,-0.45,-1.095
-1.783,3.957,0.167,-252.14,315.91,365.82,-0.045,-0.43,-1.089
-2.27,3.997,0.017,-239.821,170.59,197.61,-0.075,-0.414,-1.074
-2.478,3.997,-0.128,-99.4,137.97,93.73,-0.08,-0.411,-1.075
