ax,ay,az,gx,gy,gz,mx,my,mz
0.152,0.854,0.507,-0.28,-1.05,-0.07,0.322,-0.492,-0.838
0.134,0.823,0.511,0.21,-1.4,-0.21,0.321,-0.488,-0.838
0.125,0.85,0.491,-2.87,-0.21,-0.7,0.324,-0.488,-0.84
0.162,0.848,0.487,0.56,1.68,-3.01,0.323,-0.485,-0.839
0.18,0.831,0.497,2.66,1.19,-0.7,0.321,-0.487,-0.836
0.167,0.829,0.496,1.61,-1.26,1.19,0.319,-0.492,-0.835
0.158,0.835,0.495,0.98,-1.19,1.68,0.321,-0.491,-0.839
0.151,0.832,0.494,1.05,-1.26,1.12,0.323,-0.491,-0.836
0.142,0.834,0.493,0.63,-1.4,0.42,0.324,-0.49,-0.838
0.153,0.84,0.495,0.0,0.0,-0.28,0.32,-0.491,-0.841
0.157,0.846,0.512,1.12,-1.05,1.12,0.319,-0.49,-0.841
0.151,0.841,0.496,0.7,-1.12,0.28,0.322,-0.489,-0.844
0.139,0.818,0.5,1.26,-1.47,0.0,0.317,-0.493,-0.846
0.128,0.846,0.492,-1.12,-0.91,0.28,0.319,-0.491,-0.848
0.151,0.848,0.494,-0.49,0.56,-1.4,0.319,-0.489,-0.843
0.175,0.848,0.489,0.7,0.7,0.35,0.321,-0.493,-0.841
0.131,0.848,0.499,3.08,-2.03,1.33,0.322,-0.492,-0.847
0.146,0.829,0.495,3.64,-1.33,1.19,0.32,-0.494,-0.842
0.148,0.817,0.496,1.96,-0.91,0.0,0.324,-0.494,-0.849
0.148,0.823,0.503,0.21,-0.56,0.07,0.322,-0.497,-0.842
0.154,0.846,0.5,-1.12,-0.21,0.0,0.325,-0.494,-0.844
0.162,0.855,0.491,0.35,0.0,-0.14,0.32,-0.49,-0.841
0.159,0.838,0.498,2.45,-0.98,0.56,0.322,-0.494,-0.838
0.146,0.824,0.505,1.4,-1.33,0.77,0.32,-0.488,-0.839
0.142,0.823,0.505,-0.21,-1.26,0.35,0.325,-0.493,-0.839
0.141,0.849,0.495,-1.54,-0.77,0.84,0.323,-0.492,-0.838
0.149,0.855,0.493,0.21,0.0,-0.28,0.325,-0.489,-0.837
0.16,0.84,0.497,2.31,0.0,-0.21,0.322,-0.49,-0.839
0.158,0.823,0.5,2.1,-0.7,0.42,0.325,-0.487,-0.838
0.153,0.823,0.5,0.63,-0.56,0.63,0.32,-0.491,-0.841
0.154,0.84,0.495,-0.35,-0.63,0.49,0.326,-0.486,-0.84
0.15,0.843,0.497,0.7,-1.26,0.49,0.327,-0.489,-0.842
0.149,0.833,0.499,1.05,-0.91,0.28,0.322,-0.489,-0.836
0.151,0.833,0.5,0.56,-0.91,0.21,0.322,-0.494,-0.836
0.153,0.84,0.498,0.21,-0.84,0.28,0.327,-0.491,-0.836
0.152,0.843,0.497,0.49,-0.84,0.35,0.325,-0.49,-0.836
0.15,0.837,0.499,1.26,-0.77,0.42,0.322,-0.494,-0.835
0.148,0.833,0.501,1.26,-0.84,0.42,0.323,-0.492,-0.835
0.148,0.839,0.5,0.63,-0.28,0.28,0.322,-0.495,-0.834
0.155,0.838,0.499,0.98,-0.35,-0.14,0.324,-0.493,-0.83
0.156,0.831,0.499,1.26,-0.35,0.14,0.328,-0.49,-0.833
0.154,0.824,0.5,0.91,-0.77,0.0,0.323,-0.491,-0.836
0.156,0.835,0.495,-0.42,-0.91,0.49,0.325,-0.49,-0.835
0.153,0.848,0.502,0.21,-1.12,0.7,0.331,-0.489,-0.837
0.142,0.843,0.503,1.12,-1.47,1.26,0.323,-0.486,-0.834
0.145,0.824,0.492,0.56,-0.84,0.42,0.325,-0.486,-0.835
0.152,0.834,0.502,-0.7,-0.63,-0.21,0.323,-0.491,-0.839
0.145,0.857,0.5,-1.05,-1.26,0.49,0.323,-0.485,-0.838
0.152,0.851,0.489,0.21,-0.35,0.07,0.323,-0.488,-0.841
0.155,0.846,0.496,1.96,-0.56,0.28,0.322,-0.488,-0.834
0.145,0.843,0.5,2.94,-1.26,0.21,0.324,-0.49,-0.838
0.148,0.827,0.499,2.87,-0.21,-0.14,0.322,-0.487,-0.836
0.161,0.826,0.496,2.03,0.0,-0.35,0.324,-0.491,-0.842
0.157,0.839,0.504,1.26,-1.33,1.47,0.322,-0.484,-0.839
0.147,0.852,0.501,1.68,-1.33,1.4,0.324,-0.489,-0.836
0.147,0.842,0.499,3.43,-1.12,0.63,0.323,-0.489,-0.837
0.15,0.821,0.501,4.27,-0.49,0.28,0.328,-0.49,-0.834
0.156,0.805,0.505,2.38,0.07,-0.07,0.322,-0.489,-0.836
0.16,0.812,0.507,-0.49,-0.35,0.21,0.325,-0.486,-0.834
0.154,0.836,0.502,-2.52,-0.84,0.63,0.322,-0.488,-0.839
