ax,ay,az,gx,gy,gz,mx,my,mz
-0.967,0.275,0.161,0.14,-2.87,-0.07,-0.192,-0.335,-0.873
-0.965,0.283,0.157,-0.7,-2.03,0.56,-0.191,-0.338,-0.869
-0.959,0.293,0.143,0.21,-0.91,1.05,-0.191,-0.335,-0.869
-0.954,0.303,0.124,1.89,-0.49,1.68,-0.192,-0.336,-0.868
-0.954,0.317,0.115,3.22,-0.77,1.26,-0.191,-0.337,-0.866
-0.957,0.316,0.079,4.9,-1.47,0.49,-0.193,-0.338,-0.872
-0.964,0.313,0.064,5.32,-1.4,0.7,-0.196,-0.332,-0.865
-0.965,0.313,0.067,4.83,-0.21,1.19,-0.191,-0.332,-0.869
-0.949,0.314,0.064,3.64,1.05,1.68,-0.191,-0.337,-0.866
-0.94,0.312,0.06,1.82,0.63,1.05,-0.191,-0.333,-0.868
-0.946,0.315,0.053,-0.42,-0.07,-0.14,-0.192,-0.333,-0.875
-0.952,0.318,0.051,-1.33,0.7,-0.49,-0.193,-0.336,-0.869
-0.947,0.321,0.048,-1.4,1.82,-0.77,-0.192,-0.336,-0.871
-0.943,0.319,0.047,-1.4,0.42,-0.77,-0.194,-0.335,-0.869
-0.945,0.32,0.049,-1.05,-0.98,-0.84,-0.189,-0.337,-0.868
-0.945,0.319,0.042,-0.07,-1.33,-0.7,-0.19,-0.335,-0.869
-0.948,0.317,0.041,1.4,-2.45,-0.21,-0.193,-0.339,-0.864
-0.955,0.312,0.045,3.36,-3.85,0.28,-0.192,-0.338,-0.866
-0.964,0.304,0.046,4.9,-4.55,1.61,-0.187,-0.335,-0.875
-0.985,0.296,0.048,4.97,-7.56,3.5,-0.191,-0.336,-0.869
-1.037,0.299,0.061,3.92,-10.36,5.11,-0.191,-0.336,-0.864
-1.045,0.294,0.081,4.27,-10.5,6.93,-0.189,-0.336,-0.871
-1.025,0.28,0.115,5.39,-9.1,7.63,-0.187,-0.333,-0.862
-0.997,0.263,0.127,4.2,-7.84,5.81,-0.187,-0.333,-0.867
-0.98,0.248,0.111,0.07,-6.51,1.4,-0.189,-0.334,-0.86
-0.957,0.243,0.109,-3.57,-2.59,-2.1,-0.189,-0.332,-0.863
-0.912,0.234,0.106,-5.32,2.52,-4.62,-0.184,-0.338,-0.865
-0.874,0.219,0.109,-4.41,6.23,-6.65,-0.187,-0.335,-0.861
-0.87,0.207,0.132,-1.75,5.32,-7.91,-0.187,-0.336,-0.868
-0.883,0.181,0.134,0.35,5.39,-6.93,-0.183,-0.336,-0.861
-0.879,0.128,0.114,1.33,7.56,-4.13,-0.187,-0.338,-0.861
-0.843,0.09,0.104,-1.19,11.55,1.54,-0.181,-0.336,-0.858
-0.803,0.053,0.1,-7.07,15.96,6.72,-0.182,-0.334,-0.855
-0.765,0.008,0.088,-20.23,15.96,17.22,-0.195,-0.332,-0.855
-0.742,-0.01,0.028,-29.68,20.79,23.17,-0.19,-0.326,-0.858
-0.682,0.005,0.039,-34.93,27.37,26.46,-0.195,-0.324,-0.855
-0.647,0.052,0.05,-34.79,33.95,30.17,-0.199,-0.317,-0.86
-0.614,0.055,0.09,-25.41,34.44,34.51,-0.201,-0.312,-0.859
-0.615,0.01,0.091,-13.3,29.61,39.62,-0.207,-0.309,-0.859
-0.661,-0.008,0.069,-6.16,28.98,37.66,-0.208,-0.298,-0.867
-0.7,-0.057,0.091,4.06,41.16,33.25,-0.209,-0.296,-0.869
-0.72,-0.141,0.012,31.5,47.32,38.5,-0.213,-0.289,-0.884
-0.827,-0.245,-0.059,73.57,44.45,47.53,-0.217,-0.284,-0.886
-0.967,-0.497,-0.249,122.71,48.72,66.429,-0.222,-0.284,-0.893
-1.034,-0.681,-0.48,115.08,51.659,85.889,-0.226,-0.269,-0.913
-1.046,-0.678,-0.436,96.25,36.19,100.45,-0.232,-0.262,-0.92
-1.157,-0.54,-0.26,66.22,12.46,121.66,-0.232,-0.253,-0.92
-1.237,-0.235,-0.163,27.23,-13.93,132.86,-0.238,-0.226,-0.919
-1.28,0.101,-0.106,-4.48,-41.51,124.11,-0.241,-0.213,-0.915
-1.369,0.283,-0.016,-12.74,-66.22,115.71,-0.24,-0.2,-0.907
-1.43,0.347,0.032,-6.72,-82.74,105.91,-0.24,-0.179,-0.89
-1.481,0.454,0.161,-5.6,-88.97,93.73,-0.237,-0.162,-0.872
-1.475,0.627,0.317,-22.33,-69.16,60.2,-0.224,-0.145,-0.853
-1.439,0.528,0.357,-59.15,-64.33,46.62,-0.22,-0.138,-0.846
-1.409,0.332,0.317,-119.35,-50.61,32.55,-0.214,-0.13,-0.831
-1.22,0.356,0.165,-188.37,-32.69,7.21,-0.198,-0.115,-0.808
-1.08,0.424,0.077,-230.86,-17.01,-6.93,-0.192,-0.105,-0.805
-1.019,0.443,0.074,-233.59,-0.35,-14.77,-0.177,-0.089,-0.796
-0.983,0.429,0.049,-209.65,4.55,-21.49,-0.166,-0.082,-0.783
-0.987,0.356,0.059,-159.25,0.77,-22.61,-0.155,-0.07,-0.773
-1.039,0.251,0.067,-92.47,-2.45,-20.44,-0.121,-0.062,-0.754
-1.063,0.335,0.855,23.38,7.0,-23.45,-0.101,-0.058,-0.738
-2.165,1.248,2.119,8.96,173.18,-64.05,-0.084,-0.053,-0.731
-1.678,0.546,0.077,-19.67,59.71,-134.47,-0.088,-0.063,-0.728
-1.317,0.358,0.01,127.54,62.51,-79.45,-0.096,-0.087,-0.745
-0.724,-0.273,-0.247,218.89,103.39,-51.03,-0.102,-0.1,-0.758
-0.782,-0.761,-0.194,178.29,31.92,-36.47,-0.101,-0.111,-0.763
-0.346,-0.98,-0.043,-13.86,48.51,-92.82,-0.102,-0.129,-0.764
-0.736,-0.369,1.304,-194.321,55.159,-128.52,-0.096,-0.136,-0.753
-0.777,0.687,0.962,-317.03,46.62,-148.89,-0.077,-0.134,-0.732
-0.736,1.434,-0.01,-201.25,15.75,-150.22,-0.075,-0.14,-0.724
-1.126,1.003,-0.201,-23.24,14.35,-169.05,-0.076,-0.144,-0.72
-1.139,0.483,0.314,74.62,13.86,-174.79,-0.07,-0.173,-0.724
-1.004,0.113,0.581,121.31,41.72,-162.89,-0.068,-0.186,-0.723
-1.422,-0.084,-0.178,75.32,34.93,-185.571,-0.069,-0.215,-0.724
-0.926,0.126,0.457,-38.01,33.04,-167.44,-0.057,-0.225,-0.72
-0.536,0.723,0.43,-62.51,21.07,-161.63,-0.058,-0.229,-0.72
-0.713,0.835,0.696,-12.04,39.06,-172.76,-0.04,-0.245,-0.721
-0.87,0.612,0.355,38.36,41.65,-172.97,-0.033,-0.253,-0.719
-0.809,0.523,0.268,47.53,44.24,-150.29,-0.023,-0.274,-0.719
-0.676,0.548,0.353,29.47,28.49,-110.25,-0.02,-0.287,-0.72
-0.6,0.788,0.449,37.45,13.65,-118.58,-0.014,-0.286,-0.722
-0.475,0.722,0.451,65.169,1.68,-116.06,0.003,-0.308,-0.731
-0.501,0.838,0.558,92.399,-2.73,-111.3,0.006,-0.317,-0.729
-0.5,0.776,0.403,113.82,-13.44,-124.6,0.015,-0.335,-0.749
-0.608,0.852,0.419,155.61,-23.17,-121.52,0.022,-0.343,-0.755
-0.637,0.757,0.535,194.11,-13.51,-118.79,0.025,-0.352,-0.769
-0.647,0.762,0.699,210.0,1.12,-111.58,0.033,-0.368,-0.804
-0.665,0.586,0.537,205.94,16.94,-114.94,0.04,-0.378,-0.825
-0.609,0.42,0.517,192.78,25.27,-95.2,0.038,-0.38,-0.842
