ax,ay,az,gx,gy,gz,mx,my,mz
-0.237,0.66,0.705,1.96,-0.63,-0.07,0.108,-0.388,-0.873
-0.233,0.658,0.703,1.82,-0.84,0.0,0.103,-0.389,-0.878
-0.232,0.657,0.706,0.49,-0.63,0.56,0.105,-0.391,-0.874
-0.227,0.665,0.707,-0.35,-0.28,0.91,0.105,-0.391,-0.868
-0.226,0.676,0.704,-0.35,-0.49,0.77,0.106,-0.39,-0.871
-0.222,0.678,0.7,0.35,-0.28,0.56,0.103,-0.387,-0.87
-0.225,0.67,0.699,2.1,-1.47,0.7,0.104,-0.384,-0.873
-0.235,0.655,0.708,3.22,-2.52,0.56,0.107,-0.386,-0.877
-0.245,0.654,0.715,3.22,-2.45,0.28,0.104,-0.385,-0.874
-0.239,0.657,0.71,2.17,-0.21,-0.35,0.102,-0.385,-0.875
-0.223,0.661,0.708,1.19,-0.28,0.21,0.102,-0.389,-0.88
-0.23,0.669,0.705,0.49,-1.12,0.42,0.104,-0.387,-0.871
-0.236,0.671,0.695,1.12,-1.4,0.35,0.102,-0.39,-0.871
-0.24,0.67,0.698,3.36,-1.19,0.0,0.099,-0.385,-0.873
-0.25,0.658,0.708,4.62,-0.98,-1.47,0.102,-0.385,-0.876
-0.244,0.641,0.712,4.55,-0.42,-0.07,0.101,-0.39,-0.874
-0.228,0.635,0.715,2.73,-0.28,1.12,0.101,-0.386,-0.872
-0.229,0.659,0.706,-1.26,0.07,0.84,0.103,-0.387,-0.873
-0.237,0.683,0.708,-0.84,-0.63,0.84,0.103,-0.386,-0.877
-0.237,0.67,0.699,1.26,-1.82,0.7,0.102,-0.385,-0.871
-0.246,0.648,0.699,4.41,-4.69,2.66,0.104,-0.39,-0.873
-0.259,0.658,0.704,5.25,-7.07,4.62,0.102,-0.39,-0.87
-0.242,0.655,0.67,2.52,-12.32,5.74,0.103,-0.388,-0.87
-0.225,0.673,0.67,0.84,-26.32,10.92,0.105,-0.386,-0.872
-0.193,0.676,0.69,3.29,-37.24,11.97,0.107,-0.383,-0.869
-0.186,0.648,0.714,6.65,-49.07,12.67,0.105,-0.384,-0.866
-0.222,0.601,0.733,8.61,-60.83,13.79,0.11,-0.379,-0.86
-0.269,0.564,0.754,7.07,-70.63,16.52,0.106,-0.378,-0.856
-0.302,0.509,0.698,-7.14,-79.94,22.26,0.103,-0.378,-0.857
-0.326,0.502,0.679,-27.51,-89.53,34.65,0.107,-0.383,-0.852
-0.36,0.579,0.661,-47.32,-92.75,47.88,0.103,-0.379,-0.846
-0.375,0.581,0.614,-59.78,-96.88,57.26,0.099,-0.382,-0.822
