ax,ay,az,gx,gy,gz,mx,my,mz
0.095,0.048,1.0,0.07,1.33,1.05,0.361,-0.133,-1.323
0.093,0.054,1.002,0.28,1.05,0.14,0.357,-0.134,-1.317
0.095,0.047,0.987,0.98,0.7,-1.12,0.365,-0.128,-1.318
0.094,0.036,0.985,2.8,0.49,-0.56,0.362,-0.129,-1.317
0.095,0.025,0.988,3.5,0.07,-0.21,0.36,-0.129,-1.319
0.098,0.032,0.993,0.35,-0.77,-0.84,0.359,-0.131,-1.318
0.099,0.045,0.99,-0.21,-0.63,-0.49,0.36,-0.133,-1.326
0.095,0.045,0.99,2.1,-1.12,-0.63,0.361,-0.129,-1.319
0.091,0.038,0.999,4.06,-0.98,-0.7,0.36,-0.134,-1.323
0.094,0.038,0.996,5.11,-0.56,-0.84,0.363,-0.131,-1.32
0.097,0.026,0.981,5.53,-0.91,-1.12,0.365,-0.131,-1.319
0.095,0.019,0.989,1.75,-0.14,-0.98,0.358,-0.133,-1.319
0.101,0.032,0.994,0.0,-0.21,-0.98,0.362,-0.133,-1.324
0.097,0.033,0.993,0.63,-0.35,-0.35,0.357,-0.133,-1.319
0.099,0.03,0.998,1.96,0.14,-0.07,0.36,-0.128,-1.326
0.098,0.026,1.001,1.75,-0.07,-0.84,0.36,-0.13,-1.323
0.093,0.019,1.011,1.12,0.0,-1.05,0.359,-0.125,-1.323
0.094,0.025,1.011,0.63,1.12,-0.56,0.36,-0.127,-1.322
0.101,0.026,1.0,1.33,1.47,-0.28,0.362,-0.125,-1.325
0.112,0.021,0.991,2.24,1.47,0.14,0.361,-0.126,-1.32
0.113,0.015,0.997,2.45,0.98,-0.21,0.363,-0.129,-1.322
0.106,0.014,0.999,1.75,0.21,0.07,0.361,-0.123,-1.317
0.101,0.017,0.999,0.84,0.35,0.63,0.361,-0.128,-1.322
0.101,0.019,0.999,0.0,0.35,1.26,0.366,-0.126,-1.321
0.1,0.026,0.992,-1.4,0.14,1.19,0.363,-0.126,-1.326
0.094,0.068,0.988,-2.38,-0.63,0.21,0.364,-0.129,-1.32
0.09,0.163,0.964,2.8,-0.49,-5.04,0.363,-0.125,-1.318
0.091,0.405,1.0,25.27,2.38,-16.45,0.358,-0.116,-1.32
0.068,0.704,0.848,154.49,1.47,-31.92,0.361,-0.109,-1.316
0.122,0.235,0.717,281.4,-3.85,-31.57,0.36,-0.089,-1.314
0.085,-0.366,0.688,329.7,-21.91,-28.77,0.354,-0.031,-1.302
0.138,-1.072,0.487,329.63,-27.09,-21.42,0.355,-0.003,-1.299
0.356,-1.542,0.007,283.99,-38.92,52.71,0.347,0.036,-1.279
0.423,-1.797,0.161,181.79,-85.12,84.49,0.346,0.049,-1.278
0.316,-3.106,2.309,-56.0,-145.95,46.97,0.337,0.051,-1.283
-0.528,-3.998,0.632,-980.98,-13.65,133.63,0.341,-0.059,-1.332
-0.42,-2.155,-3.91,-1550.921,6.37,3.85,0.341,-0.189,-1.323
-0.26,1.037,-3.998,-1660.61,-24.71,-182.35,0.344,-0.432,-1.181
0.055,3.997,-3.998,-1928.85,-6.86,-268.45,0.36,-0.503,-1.041
-2.954,3.997,3.978,-1341.34,272.44,-74.06,0.365,-0.49,-0.817
