ax,ay,az,gx,gy,gz,mx,my,mz
-0.978,0.281,-0.098,111.65,29.68,-126.56,-0.184,-0.353,-1.109
-0.962,0.24,-0.101,115.36,32.97,-120.82,-0.172,-0.36,-1.12
-0.998,0.197,-0.081,112.35,36.47,-117.39,-0.161,-0.357,-1.135
-1.035,0.154,-0.061,104.23,41.37,-115.64,-0.151,-0.361,-1.146
-1.047,0.137,-0.039,92.05,47.39,-111.72,-0.144,-0.363,-1.154
-1.02,0.135,-0.029,70.0,53.2,-101.29,-0.127,-0.371,-1.167
-1.008,0.13,-0.032,55.929,54.04,-91.98,-0.119,-0.372,-1.176
-1.052,0.128,-0.018,43.19,52.08,-80.43,-0.108,-0.379,-1.182
-1.137,0.13,-0.006,31.78,49.419,-66.36,-0.1,-0.376,-1.186
-1.186,0.129,0.0,21.91,47.74,-48.16,-0.099,-0.38,-1.192
-1.163,0.139,-0.001,12.67,46.97,-27.09,-0.088,-0.377,-1.196
-1.075,0.151,0.007,3.29,43.96,-6.93,-0.089,-0.377,-1.205
-0.965,0.159,0.025,-8.19,36.89,17.92,-0.08,-0.379,-1.204
-0.915,0.166,0.019,-12.39,27.93,29.68,-0.084,-0.38,-1.211
-1.055,0.172,0.037,-14.56,16.59,40.88,-0.083,-0.375,-1.212
-1.179,0.17,0.035,-18.62,12.11,57.75,-0.088,-0.37,-1.207
-1.197,0.168,0.005,-25.69,14.49,80.01,-0.09,-0.367,-1.205
-1.157,0.149,-0.022,-41.23,11.55,99.89,-0.099,-0.365,-1.204
-1.177,0.167,-0.024,-63.63,6.09,113.82,-0.104,-0.358,-1.201
-1.191,0.22,0.006,-93.66,1.12,120.96,-0.11,-0.356,-1.196
-1.158,0.282,0.061,-99.75,-4.13,123.41,-0.124,-0.357,-1.179
-1.158,0.325,0.084,-96.46,-13.72,124.11,-0.128,-0.354,-1.174
-1.143,0.37,0.076,-86.45,-20.93,123.2,-0.144,-0.35,-1.167
-1.072,0.39,0.05,-70.42,-21.07,122.36,-0.15,-0.343,-1.169
-0.958,0.378,0.028,-52.92,-17.36,120.68,-0.155,-0.338,-1.163
-0.845,0.36,0.023,-38.29,-13.37,117.04,-0.172,-0.325,-1.16
-0.758,0.34,0.034,-28.49,-10.85,107.17,-0.173,-0.319,-1.161
-0.69,0.305,0.051,-26.74,-10.71,98.84,-0.189,-0.302,-1.152
-0.683,0.285,0.043,-35.35,-11.55,89.6,-0.192,-0.298,-1.154
-0.703,0.282,0.031,-49.49,-10.64,81.06,-0.196,-0.292,-1.158
-0.731,0.298,0.018,-64.61,-8.05,73.919,-0.2,-0.277,-1.143
-0.751,0.333,0.0,-76.3,-5.04,68.6,-0.207,-0.278,-1.145
-0.765,0.357,0.002,-81.97,-4.2,64.75,-0.211,-0.274,-1.134
-0.77,0.379,0.023,-81.27,-4.83,63.629,-0.213,-0.269,-1.134
-0.765,0.397,0.032,-71.89,-8.4,64.96,-0.215,-0.269,-1.128
-0.78,0.405,0.024,-63.14,-12.74,67.27,-0.221,-0.263,-1.121
-0.818,0.402,0.024,-53.48,-17.01,70.0,-0.224,-0.257,-1.117
-0.885,0.407,0.028,-45.71,-20.65,73.01,-0.229,-0.246,-1.11
-0.998,0.425,0.041,-40.95,-25.76,75.04,-0.231,-0.24,-1.107
-1.155,0.465,0.068,-37.31,-31.29,76.72,-0.235,-0.235,-1.104
-1.313,0.522,0.094,-30.52,-34.79,79.59,-0.241,-0.222,-1.096
-1.383,0.635,0.112,-25.55,-34.3,77.629,-0.245,-0.215,-1.094
-1.307,0.673,0.132,-18.83,-31.22,69.58,-0.249,-0.204,-1.09
-1.194,0.653,0.125,-13.16,-30.8,57.75,-0.25,-0.197,-1.079
-1.176,0.589,0.076,-5.11,-32.34,39.34,-0.254,-0.19,-1.072
-1.333,0.547,0.167,6.72,-40.67,18.83,-0.254,-0.19,-1.072
-1.402,0.582,0.251,16.94,-35.91,6.44,-0.255,-0.189,-1.065
-1.253,0.601,0.257,27.65,-11.2,-5.32,-0.255,-0.187,-1.063
-1.127,0.599,0.174,48.159,-9.94,-16.24,-0.256,-0.188,-1.064
-1.231,0.572,0.132,64.399,-11.13,-31.01,-0.259,-0.187,-1.063
-1.397,0.507,0.103,81.129,-4.34,-44.94,-0.257,-0.191,-1.068
-1.55,0.442,0.123,91.7,10.36,-57.75,-0.257,-0.194,-1.069
-1.581,0.373,0.146,89.179,28.49,-71.33,-0.251,-0.205,-1.07
-1.411,0.312,0.125,74.409,46.97,-84.49,-0.25,-0.214,-1.083
-1.182,0.292,0.096,58.45,59.29,-109.34,-0.245,-0.218,-1.087
-1.002,0.298,0.079,49.419,63.419,-127.33,-0.241,-0.239,-1.102
-0.892,0.299,0.052,51.52,63.0,-144.55,-0.234,-0.248,-1.109
-0.885,0.278,0.029,64.19,59.5,-158.97,-0.222,-0.276,-1.122
-0.98,0.253,0.024,77.7,55.44,-167.86,-0.212,-0.289,-1.127
-1.051,0.212,0.025,86.24,62.3,-169.05,-0.2,-0.298,-1.137
-1.047,0.17,0.014,86.73,76.44,-166.88,-0.175,-0.319,-1.145
-0.993,0.142,0.001,79.45,84.07,-163.45,-0.161,-0.328,-1.157
-0.952,0.13,0.0,68.179,87.71,-158.27,-0.138,-0.344,-1.174
-0.92,0.11,-0.004,49.77,90.79,-149.45,-0.126,-0.354,-1.185
-0.89,0.109,-0.006,39.62,91.49,-141.96,-0.112,-0.364,-1.191
-0.849,0.108,-0.006,31.78,89.95,-132.65,-0.09,-0.381,-1.206
-0.825,0.101,-0.006,26.67,88.62,-120.33,-0.072,-0.382,-1.214
-0.799,0.101,-0.004,22.75,86.31,-105.84,-0.062,-0.389,-1.223
-0.778,0.103,-0.006,20.93,82.74,-89.6,-0.042,-0.394,-1.227
-0.779,0.09,-0.006,19.11,77.139,-71.33,-0.03,-0.399,-1.235
-0.823,0.071,-0.002,15.26,64.96,-39.97,-0.01,-0.397,-1.247
-0.946,0.076,0.013,3.29,56.7,-15.89,-0.006,-0.4,-1.247
-1.008,0.098,0.017,-7.63,49.07,9.73,-0.002,-0.399,-1.246
-1.008,0.118,0.016,-22.82,40.53,36.47,0.003,-0.399,-1.245
-0.953,0.147,0.014,-38.43,31.01,59.78,-0.002,-0.398,-1.245
-0.91,0.168,0.001,-51.38,18.27,76.79,-0.005,-0.401,-1.243
-0.967,0.174,-0.003,-58.52,3.64,90.159,-0.01,-0.4,-1.233
-1.091,0.2,-0.006,-59.5,-18.06,113.4,-0.019,-0.394,-1.229
-1.199,0.252,0.013,-56.77,-29.26,134.82,-0.035,-0.396,-1.225
-1.139,0.267,0.033,-54.88,-39.13,151.83,-0.045,-0.39,-1.218
-1.121,0.269,0.056,-54.6,-53.76,159.95,-0.062,-0.385,-1.204
-1.212,0.295,0.115,-53.83,-70.56,160.02,-0.073,-0.378,-1.199
-1.364,0.323,0.182,-45.71,-84.0,155.68,-0.101,-0.365,-1.188
-1.505,0.338,0.215,-31.64,-94.99,150.5,-0.113,-0.357,-1.181
-1.546,0.354,0.202,-16.03,-99.12,147.35,-0.13,-0.348,-1.181
-1.316,0.336,0.126,-0.84,-89.95,143.64,-0.151,-0.327,-1.166
-1.095,0.309,0.101,1.12,-76.3,135.66,-0.16,-0.32,-1.167
-0.921,0.27,0.126,-1.19,-64.61,121.94,-0.178,-0.3,-1.153
-0.817,0.254,0.157,-4.13,-57.47,108.01,-0.182,-0.289,-1.147
-0.766,0.249,0.178,-5.39,-55.09,93.379,-0.192,-0.283,-1.136
-0.767,0.224,0.2,-11.97,-52.15,77.07,-0.201,-0.266,-1.131
-0.81,0.183,0.185,-27.86,-47.67,73.919,-0.205,-0.26,-1.124
-0.825,0.175,0.2,-51.94,-37.24,73.22,-0.209,-0.251,-1.119
-0.798,0.211,0.16,-82.67,-26.67,70.98,-0.214,-0.248,-1.113
-0.767,0.302,0.154,-98.84,-19.25,71.61,-0.217,-0.24,-1.107
-0.749,0.359,0.175,-103.81,-19.74,73.639,-0.225,-0.242,-1.099
-0.742,0.413,0.197,-101.85,-22.61,72.45,-0.22,-0.238,-1.093
-0.745,0.462,0.204,-90.44,-22.96,69.929,-0.227,-0.231,-1.079
-0.754,0.494,0.194,-71.68,-24.78,66.78,-0.23,-0.224,-1.083
-0.819,0.495,0.166,-40.67,-29.54,58.52,-0.233,-0.219,-1.081
-0.944,0.484,0.175,-23.8,-32.83,50.05,-0.235,-0.217,-1.067
-1.116,0.462,0.19,-14.84,-35.28,39.83,-0.234,-0.211,-1.062
-1.296,0.447,0.182,-16.24,-29.75,30.17,-0.235,-0.208,-1.058
-1.389,0.432,0.147,-27.3,-18.13,19.81,-0.235,-0.203,-1.058
-1.385,0.449,0.121,-48.23,0.35,3.99,-0.237,-0.205,-1.053
-1.23,0.467,0.086,-56.63,5.88,-5.25,-0.237,-0.207,-1.052
-1.238,0.458,0.044,-56.14,4.97,-18.97,-0.236,-0.207,-1.055
-1.422,0.501,0.174,-45.99,-5.67,-31.29,-0.235,-0.216,-1.049
-1.48,0.578,0.279,-27.93,-2.94,-35.56,-0.234,-0.218,-1.05
-1.277,0.583,0.274,1.82,8.47,-37.59,-0.226,-0.226,-1.048
-1.139,0.536,0.197,36.54,6.51,-44.73,-0.23,-0.232,-1.046
-1.228,0.478,0.153,81.2,-1.33,-74.13,-0.229,-0.236,-1.05
-1.519,0.313,0.147,97.58,8.4,-89.6,-0.223,-0.248,-1.06
