ax,ay,az,gx,gy,gz,mx,my,mz
-0.917,0.361,0.197,-0.84,-3.36,-0.35,-0.173,-0.375,-0.913
-0.92,0.362,0.192,-1.05,-3.15,0.14,-0.169,-0.377,-0.906
-0.927,0.361,0.192,-1.26,-3.15,0.35,-0.17,-0.374,-0.906
-0.927,0.367,0.19,-1.75,-3.15,0.56,-0.173,-0.377,-0.911
-0.922,0.371,0.188,-1.47,-3.15,0.7,-0.169,-0.377,-0.91
-0.921,0.369,0.185,-0.63,-3.71,0.56,-0.169,-0.377,-0.914
-0.922,0.365,0.188,0.07,-4.41,0.28,-0.172,-0.379,-0.914
-0.924,0.359,0.19,-0.63,-4.41,0.0,-0.173,-0.376,-0.913
-0.922,0.356,0.192,-1.47,-3.71,0.14,-0.173,-0.379,-0.913
-0.915,0.357,0.189,-2.45,-3.5,0.42,-0.174,-0.376,-0.911
-0.918,0.362,0.187,-2.52,-3.43,0.77,-0.17,-0.385,-0.913
-0.918,0.362,0.184,-2.1,-3.36,1.26,-0.172,-0.376,-0.908
-0.915,0.364,0.183,-1.89,-3.43,1.75,-0.175,-0.378,-0.915
-0.913,0.364,0.181,-1.47,-3.92,1.4,-0.176,-0.375,-0.908
-0.917,0.362,0.178,-1.54,-4.06,1.4,-0.176,-0.376,-0.909
-0.918,0.363,0.176,-1.82,-3.85,1.4,-0.176,-0.377,-0.912
-0.919,0.362,0.174,-2.17,-3.57,1.12,-0.174,-0.375,-0.908
-0.922,0.362,0.17,-2.52,-3.85,1.05,-0.175,-0.377,-0.909
-0.929,0.363,0.169,-3.29,-3.85,0.77,-0.177,-0.375,-0.909
-0.931,0.365,0.169,-4.06,-4.41,0.14,-0.177,-0.375,-0.911
-0.923,0.364,0.17,-4.48,-4.55,-0.28,-0.171,-0.377,-0.906
-0.916,0.361,0.172,-4.62,-5.11,-1.12,-0.176,-0.378,-0.91
-0.91,0.356,0.175,-4.48,-5.53,-1.75,-0.178,-0.379,-0.906
-0.909,0.349,0.173,-4.34,-6.02,-2.38,-0.173,-0.378,-0.902
-0.927,0.349,0.17,-4.41,-6.58,-2.03,-0.178,-0.374,-0.9
-0.94,0.351,0.175,-4.62,-5.88,-0.42,-0.176,-0.379,-0.901
-0.925,0.354,0.177,-4.83,-5.53,-0.21,-0.176,-0.376,-0.894
-0.926,0.354,0.18,-4.76,-6.02,-0.77,-0.174,-0.374,-0.902
-0.929,0.358,0.184,-4.9,-6.37,-1.54,-0.177,-0.376,-0.898
-0.912,0.355,0.188,-5.11,-5.46,-2.52,-0.174,-0.375,-0.904
-0.902,0.348,0.185,-4.69,-4.97,-3.85,-0.175,-0.382,-0.897
-0.91,0.34,0.186,-4.76,-4.62,-4.9,-0.174,-0.379,-0.899
-0.889,0.331,0.181,-6.23,-3.08,-5.53,-0.171,-0.375,-0.897
-0.867,0.331,0.177,-7.56,-2.87,-6.72,-0.17,-0.378,-0.899
-0.865,0.336,0.174,-7.77,-3.15,-7.28,-0.166,-0.377,-0.899
-0.879,0.346,0.18,-6.72,-3.64,-6.86,-0.165,-0.381,-0.896
-0.866,0.346,0.192,-6.23,-3.36,-8.26,-0.17,-0.381,-0.896
-0.811,0.334,0.2,-9.24,-2.24,-11.48,-0.169,-0.384,-0.904
-0.738,0.334,0.184,-15.54,-1.82,-15.82,-0.167,-0.386,-0.898
-0.763,0.371,0.175,-21.07,-3.08,-17.22,-0.169,-0.386,-0.893
-0.84,0.42,0.182,-20.58,-4.76,-11.13,-0.163,-0.387,-0.893
-0.927,0.446,0.223,-16.03,-6.86,0.07,-0.164,-0.384,-0.892
-1.013,0.466,0.241,-11.06,-5.88,19.74,-0.165,-0.388,-0.888
-1.067,0.489,0.235,-9.66,3.01,32.62,-0.167,-0.385,-0.89
-1.045,0.534,0.236,-11.41,10.43,41.65,-0.174,-0.376,-0.891
-0.976,0.555,0.231,-14.56,14.91,44.03,-0.176,-0.375,-0.889
-0.908,0.573,0.235,-20.58,14.63,36.61,-0.176,-0.365,-0.894
-0.858,0.582,0.245,-27.3,12.46,23.45,-0.18,-0.361,-0.889
-0.825,0.594,0.233,-27.65,9.45,6.23,-0.181,-0.359,-0.896
-0.788,0.625,0.235,-13.3,0.07,-3.57,-0.181,-0.36,-0.893
-0.772,0.599,0.244,1.96,-3.43,-10.43,-0.179,-0.359,-0.895
-0.759,0.53,0.246,17.85,-6.44,-13.3,-0.177,-0.36,-0.892
-0.77,0.471,0.255,25.9,-7.49,-13.37,-0.176,-0.359,-0.891
-0.788,0.435,0.257,24.92,-5.53,-11.13,-0.176,-0.367,-0.898
-0.785,0.418,0.252,13.93,-0.98,-5.32,-0.175,-0.363,-0.894
-0.761,0.443,0.254,6.23,2.24,-1.82,-0.172,-0.369,-0.903
-0.756,0.481,0.254,2.66,4.48,1.96,-0.175,-0.37,-0.9
-0.764,0.506,0.25,3.36,5.6,3.99,-0.174,-0.37,-0.898
-0.764,0.499,0.248,5.18,6.72,4.69,-0.173,-0.365,-0.902
-0.75,0.469,0.241,0.84,7.98,3.71,-0.176,-0.366,-0.902
-0.751,0.471,0.247,-5.88,8.68,1.82,-0.174,-0.366,-0.904
-0.763,0.498,0.248,-11.9,9.17,0.84,-0.18,-0.364,-0.911
-0.773,0.524,0.248,-13.09,7.21,1.4,-0.174,-0.361,-0.906
-0.757,0.524,0.249,-9.87,5.11,3.57,-0.177,-0.362,-0.907
-0.731,0.514,0.24,-4.62,1.47,6.79,-0.173,-0.364,-0.912
-0.701,0.498,0.24,-2.24,-1.61,7.98,-0.18,-0.361,-0.914
-0.698,0.494,0.244,-0.91,-3.92,8.47,-0.18,-0.362,-0.907
-0.707,0.482,0.244,0.84,-6.51,8.75,-0.179,-0.357,-0.909
-0.698,0.462,0.239,1.75,-7.98,9.59,-0.18,-0.357,-0.912
-0.666,0.445,0.237,2.03,-9.03,10.36,-0.179,-0.357,-0.904
-0.621,0.418,0.237,1.61,-10.29,9.38,-0.183,-0.353,-0.908
-0.633,0.391,0.202,-0.07,-10.85,8.19,-0.177,-0.352,-0.903
-0.766,0.38,0.125,-2.38,-12.74,11.69,-0.182,-0.351,-0.906
-1.0,0.389,0.101,-4.13,-18.9,22.19,-0.177,-0.352,-0.901
-1.092,0.386,0.13,-9.87,-20.3,32.13,-0.18,-0.346,-0.899
-0.956,0.359,0.162,-25.27,-9.66,32.48,-0.185,-0.341,-0.891
-0.944,0.432,0.109,-32.69,-11.97,32.48,-0.182,-0.34,-0.892
-1.2,0.65,0.148,-10.57,-22.75,33.6,-0.185,-0.333,-0.884
-1.174,0.661,0.104,28.63,-22.61,29.26,-0.189,-0.328,-0.886
-1.003,0.53,0.052,69.72,-28.0,16.45,-0.191,-0.331,-0.885
-0.9,0.382,0.017,99.26,-35.98,-2.17,-0.191,-0.337,-0.881
-0.886,0.239,0.027,107.66,-39.97,-21.14,-0.188,-0.342,-0.888
-0.934,0.116,0.047,102.13,-42.14,-32.62,-0.184,-0.342,-0.887
-1.035,0.055,0.127,75.179,-34.58,-30.66,-0.182,-0.349,-0.889
-1.163,0.08,0.109,46.62,-19.95,-25.83,-0.175,-0.358,-0.895
-1.13,0.14,0.051,23.03,-3.08,-22.33,-0.174,-0.361,-0.891
-1.046,0.197,-0.028,11.13,9.03,-21.42,-0.171,-0.371,-0.888
-1.017,0.235,-0.069,11.9,7.63,-24.08,-0.169,-0.372,-0.894
-1.105,0.231,-0.074,19.95,-16.38,-27.65,-0.171,-0.375,-0.897
-1.334,0.18,-0.086,29.68,-2.8,-26.11,-0.166,-0.374,-0.897
-1.37,0.123,-0.08,23.73,2.17,-26.67,-0.168,-0.378,-0.899
-1.285,0.087,-0.098,6.23,12.95,-29.61,-0.163,-0.385,-0.902
-1.203,0.117,-0.146,-9.17,16.45,-32.55,-0.159,-0.389,-0.9
-1.199,0.166,-0.164,-14.56,7.84,-35.56,-0.156,-0.394,-0.901
-1.229,0.176,-0.149,-9.45,-1.26,-36.26,-0.158,-0.395,-0.898
-1.212,0.168,-0.113,0.49,-4.62,-33.95,-0.156,-0.399,-0.9
-1.137,0.162,-0.107,5.39,-3.5,-31.85,-0.154,-0.408,-0.896
-1.056,0.173,-0.136,8.96,-3.85,-29.4,-0.152,-0.407,-0.9
-1.019,0.172,-0.158,12.88,-8.47,-26.81,-0.154,-0.414,-0.906
-1.037,0.173,-0.142,14.14,-15.47,-21.84,-0.146,-0.417,-0.9
-1.06,0.2,-0.101,9.45,-17.08,-10.5,-0.148,-0.421,-0.9
-1.044,0.239,-0.091,7.91,-15.96,-2.45,-0.148,-0.418,-0.904
-1.038,0.277,-0.085,10.22,-16.8,6.02,-0.142,-0.417,-0.897
-1.054,0.305,-0.07,15.4,-19.67,13.79,-0.139,-0.415,-0.903
-1.082,0.329,-0.05,20.44,-22.05,18.97,-0.143,-0.414,-0.896
-1.093,0.336,-0.018,26.81,-23.24,21.42,-0.144,-0.418,-0.904
-1.078,0.338,0.005,29.19,-23.59,20.58,-0.148,-0.415,-0.901
-1.048,0.332,0.033,29.82,-24.01,17.01,-0.148,-0.416,-0.9
-1.007,0.313,0.047,28.42,-24.92,12.39,-0.149,-0.41,-0.9
-0.975,0.288,0.061,24.36,-27.37,7.91,-0.149,-0.412,-0.902
-0.958,0.274,0.084,16.87,-29.54,4.83,-0.146,-0.411,-0.903
-0.947,0.273,0.1,8.26,-30.45,4.48,-0.148,-0.407,-0.897
-0.945,0.29,0.117,1.96,-30.59,6.3,-0.147,-0.41,-0.894
-0.946,0.332,0.131,1.4,-29.26,13.3,-0.151,-0.407,-0.896
-0.941,0.35,0.134,7.28,-28.56,20.09,-0.148,-0.406,-0.89
-0.927,0.356,0.139,15.61,-28.14,26.74,-0.155,-0.4,-0.888
-0.919,0.347,0.156,22.33,-28.14,32.06,-0.155,-0.402,-0.885
-0.928,0.354,0.177,26.25,-26.46,35.49,-0.158,-0.393,-0.88
-0.93,0.356,0.189,27.51,-23.45,36.75,-0.156,-0.391,-0.885
-0.921,0.356,0.189,28.49,-18.76,36.19,-0.161,-0.389,-0.879
-0.931,0.346,0.187,27.3,-16.94,34.58,-0.161,-0.386,-0.889
-0.954,0.333,0.188,23.45,-14.63,32.55,-0.165,-0.381,-0.888
-0.973,0.325,0.187,15.89,-11.13,30.45,-0.167,-0.38,-0.882
-0.983,0.334,0.192,6.72,-7.28,28.07,-0.173,-0.38,-0.89
-0.981,0.35,0.19,-3.99,-1.47,24.15,-0.174,-0.372,-0.891
-0.961,0.379,0.183,-7.35,1.89,20.79,-0.176,-0.371,-0.883
-0.95,0.388,0.168,-7.77,4.2,16.8,-0.174,-0.37,-0.884
-0.945,0.392,0.161,-6.72,5.81,12.6,-0.178,-0.365,-0.887
-0.933,0.383,0.144,-5.46,6.86,8.26,-0.179,-0.365,-0.885
-0.932,0.367,0.133,-4.62,7.63,3.99,-0.183,-0.362,-0.88
-0.942,0.352,0.124,-7.14,8.82,-0.91,-0.182,-0.367,-0.888
-0.939,0.346,0.112,-9.94,10.15,-3.15,-0.181,-0.364,-0.893
-0.926,0.35,0.101,-12.25,11.13,-4.83,-0.181,-0.363,-0.888
-0.907,0.357,0.09,-12.39,11.06,-6.16,-0.178,-0.365,-0.889
-0.9,0.362,0.08,-10.08,9.66,-7.98,-0.18,-0.366,-0.891
-0.902,0.362,0.078,-6.37,8.26,-9.73,-0.177,-0.365,-0.89
-0.909,0.357,0.073,-2.17,6.44,-10.85,-0.177,-0.368,-0.894
-0.922,0.337,0.067,2.8,4.48,-12.67,-0.174,-0.367,-0.891
-0.93,0.32,0.063,3.15,3.85,-13.65,-0.171,-0.375,-0.898
-0.939,0.314,0.062,1.33,3.22,-14.49,-0.17,-0.373,-0.896
-0.953,0.32,0.06,-1.05,2.94,-14.7,-0.17,-0.375,-0.893
-0.964,0.327,0.062,-1.82,2.38,-14.56,-0.171,-0.376,-0.894
-0.964,0.332,0.061,0.0,0.98,-13.93,-0.175,-0.376,-0.894
-0.976,0.335,0.057,2.8,-0.35,-14.0,-0.164,-0.383,-0.894
-0.985,0.325,0.057,5.53,-1.89,-14.63,-0.165,-0.387,-0.896
-0.99,0.309,0.062,6.44,-2.94,-15.75,-0.165,-0.385,-0.891
-0.983,0.293,0.07,5.25,-3.57,-16.94,-0.164,-0.389,-0.899
-0.977,0.284,0.074,2.87,-4.34,-18.48,-0.165,-0.388,-0.894
-0.965,0.289,0.077,0.49,-4.41,-19.18,-0.162,-0.387,-0.9
-0.96,0.291,0.076,1.54,-5.46,-18.76,-0.161,-0.394,-0.902
-0.961,0.283,0.078,4.13,-6.65,-17.57,-0.158,-0.398,-0.895
-0.965,0.275,0.087,6.02,-7.42,-15.26,-0.161,-0.397,-0.896
-0.958,0.266,0.095,6.93,-7.07,-13.09,-0.163,-0.397,-0.891
-0.945,0.26,0.097,6.23,-6.72,-9.52,-0.155,-0.397,-0.9
-0.941,0.26,0.094,5.6,-6.65,-6.86,-0.155,-0.399,-0.89
-0.951,0.266,0.099,4.9,-6.79,-4.62,-0.154,-0.405,-0.897
-0.957,0.274,0.1,4.76,-6.16,-2.17,-0.158,-0.4,-0.89
-0.955,0.279,0.101,5.18,-5.6,0.21,-0.155,-0.404,-0.891
-0.958,0.278,0.102,5.32,-5.46,2.24,-0.151,-0.4,-0.891
-0.962,0.279,0.103,4.62,-5.32,4.34,-0.154,-0.403,-0.891
-0.966,0.29,0.104,1.75,-4.48,6.37,-0.153,-0.399,-0.893
-0.966,0.307,0.104,1.12,-4.2,7.42,-0.155,-0.397,-0.891
-0.971,0.317,0.105,2.38,-4.06,8.19,-0.158,-0.399,-0.895
-0.981,0.318,0.102,3.71,-4.2,9.24,-0.164,-0.398,-0.889
-0.988,0.314,0.1,4.34,-3.99,10.08,-0.162,-0.398,-0.892
-0.982,0.308,0.104,2.73,-3.5,10.71,-0.161,-0.395,-0.898
-0.963,0.317,0.097,-1.75,-1.68,10.15,-0.162,-0.396,-0.891
-0.957,0.329,0.088,-3.22,-1.68,9.45,-0.159,-0.39,-0.892
-0.953,0.338,0.083,-3.08,-1.89,9.59,-0.159,-0.392,-0.895
-0.953,0.347,0.089,-1.12,-2.31,9.94,-0.166,-0.391,-0.895
-0.96,0.348,0.092,1.47,-2.87,10.43,-0.165,-0.389,-0.899
-0.966,0.342,0.092,3.71,-3.08,10.78,-0.169,-0.384,-0.897
-0.969,0.335,0.085,2.45,-2.38,10.36,-0.171,-0.388,-0.901
-0.965,0.335,0.08,-0.42,-1.4,8.96,-0.161,-0.39,-0.9
-0.961,0.345,0.078,-2.66,-0.7,7.21,-0.164,-0.385,-0.9
-0.963,0.352,0.073,-3.43,-0.77,5.67,-0.164,-0.384,-0.891
-0.965,0.35,0.07,-2.8,-1.4,3.78,-0.167,-0.388,-0.89
-0.962,0.346,0.067,-2.66,-1.47,2.1,-0.168,-0.39,-0.893
-0.955,0.343,0.067,-3.57,-1.54,-0.77,-0.168,-0.384,-0.901
-0.942,0.34,0.063,-3.71,-2.66,-2.73,-0.165,-0.385,-0.896
-0.946,0.34,0.063,-3.29,-3.22,-3.85,-0.168,-0.384,-0.897
-0.95,0.335,0.069,-2.45,-4.06,-4.27,-0.165,-0.386,-0.895
-0.941,0.332,0.073,-1.89,-3.78,-4.13,-0.163,-0.387,-0.898
-0.93,0.328,0.072,-1.4,-4.69,-4.41,-0.162,-0.385,-0.894
-0.943,0.328,0.075,-0.98,-5.32,-4.55,-0.164,-0.387,-0.902
-0.953,0.328,0.081,-0.91,-5.88,-4.48,-0.164,-0.386,-0.895
-0.953,0.329,0.088,-0.77,-5.53,-3.85,-0.164,-0.385,-0.895
-0.945,0.329,0.092,-0.21,-5.39,-3.64,-0.162,-0.384,-0.891
-0.942,0.328,0.096,0.28,-5.81,-4.27,-0.162,-0.39,-0.899
-0.949,0.328,0.103,0.56,-6.09,-4.55,-0.159,-0.386,-0.89
-0.958,0.328,0.104,0.56,-5.95,-4.69,-0.161,-0.388,-0.892
-0.96,0.325,0.106,0.84,-5.53,-4.62,-0.165,-0.385,-0.889
-0.949,0.325,0.112,1.26,-4.9,-4.06,-0.157,-0.39,-0.892
-0.939,0.323,0.112,1.47,-4.62,-4.27,-0.156,-0.389,-0.893
-0.944,0.318,0.112,1.4,-4.69,-4.13,-0.155,-0.39,-0.894
-0.949,0.318,0.113,1.26,-4.13,-3.36,-0.154,-0.393,-0.89
-0.951,0.324,0.116,1.47,-3.15,-2.03,-0.158,-0.393,-0.888
-0.951,0.327,0.111,2.31,-2.52,-0.56,-0.16,-0.394,-0.892
-0.954,0.326,0.108,3.43,-2.17,0.49,-0.162,-0.394,-0.896
-0.962,0.327,0.108,3.22,-1.68,0.98,-0.156,-0.393,-0.894
-0.964,0.329,0.106,2.31,-0.98,0.63,-0.157,-0.395,-0.891
-0.963,0.332,0.098,1.47,-0.63,0.35,-0.155,-0.393,-0.895
-0.957,0.328,0.095,0.98,-0.63,-0.14,-0.159,-0.392,-0.886
-0.943,0.323,0.09,0.49,-0.63,-0.49,-0.158,-0.391,-0.897
-0.935,0.32,0.084,-17.78,-1.19,-0.98,-0.163,-0.397,-0.895
-0.937,0.32,0.081,-0.14,-1.61,-0.14,-0.16,-0.391,-0.894
-0.941,0.326,0.082,0.91,-1.96,1.47,-0.161,-0.394,-0.897
-0.951,0.335,0.08,2.24,-1.96,2.8,-0.158,-0.386,-0.897
-0.962,0.337,0.082,4.06,-2.24,4.48,-0.16,-0.387,-0.893
-0.963,0.335,0.084,5.11,-1.89,4.97,-0.165,-0.387,-0.892
-0.962,0.327,0.076,2.94,-1.68,2.94,-0.163,-0.386,-0.885
-0.97,0.324,0.07,0.07,-1.68,0.98,-0.165,-0.39,-0.891
-0.969,0.325,0.069,-2.87,-1.47,-1.33,-0.159,-0.388,-0.896
-0.961,0.329,0.07,-3.99,-1.61,-2.52,-0.163,-0.388,-0.896
-0.951,0.33,0.068,-3.08,-2.17,-3.08,-0.162,-0.385,-0.893
-0.939,0.32,0.062,0.7,-2.8,-2.45,-0.164,-0.387,-0.891
-0.934,0.308,0.059,2.24,-3.22,-2.31,-0.168,-0.387,-0.894
-0.934,0.297,0.054,1.82,-3.08,-2.24,-0.164,-0.385,-0.896
-0.952,0.301,0.041,0.56,-3.29,-1.96,-0.167,-0.392,-0.895
-1.0,0.321,0.036,0.49,-2.66,-0.84,-0.17,-0.391,-0.894
-1.037,0.33,0.028,2.17,-1.68,0.56,-0.163,-0.388,-0.892
-1.037,0.304,0.011,2.87,0.63,-1.05,-0.163,-0.392,-0.899
-1.018,0.277,-0.001,-0.49,2.52,-4.48,-0.164,-0.389,-0.904
-1.019,0.273,-0.004,-4.69,4.48,-7.21,-0.16,-0.388,-0.902
-1.047,0.275,-0.006,-6.79,4.27,-9.66,-0.163,-0.39,-0.893
-1.082,0.253,-0.01,-6.23,4.76,-10.5,-0.159,-0.391,-0.892
-1.12,0.223,-0.016,-8.12,7.98,-9.8,-0.158,-0.393,-0.899
-1.154,0.191,-0.035,-13.79,13.3,-9.66,-0.16,-0.394,-0.893
-1.149,0.19,-0.049,-20.65,18.69,-9.31,-0.154,-0.394,-0.897
-1.177,0.198,-0.066,-25.34,21.21,-9.38,-0.158,-0.394,-0.895
-1.223,0.206,-0.065,-27.09,22.19,-8.4,-0.155,-0.394,-0.901
-1.247,0.209,-0.061,-27.65,25.83,-7.14,-0.162,-0.393,-0.901
-1.236,0.218,-0.067,-27.93,33.32,-8.96,-0.156,-0.396,-0.907
-1.203,0.224,-0.078,-23.94,35.91,-11.13,-0.155,-0.398,-0.9
-1.187,0.216,-0.076,-19.74,36.05,-13.86,-0.156,-0.396,-0.9
-1.175,0.182,-0.061,-17.43,36.75,-16.31,-0.158,-0.4,-0.908
-1.16,0.162,-0.055,-20.16,39.76,-17.5,-0.155,-0.406,-0.911
-1.156,0.159,-0.051,-25.48,42.77,-18.2,-0.158,-0.404,-0.921
-1.147,0.17,-0.052,-31.08,45.08,-18.13,-0.158,-0.405,-0.916
-1.122,0.181,-0.061,-39.13,47.88,-17.71,-0.158,-0.407,-0.917
-1.112,0.192,-0.055,-44.03,46.9,-16.94,-0.159,-0.405,-0.917
-1.121,0.219,-0.046,-48.44,45.57,-15.12,-0.15,-0.408,-0.925
-1.116,0.248,-0.032,-50.96,44.38,-12.6,-0.152,-0.406,-0.927
-1.084,0.272,-0.018,-50.82,42.0,-9.8,-0.152,-0.407,-0.93
-1.037,0.293,-0.008,-49.49,38.43,-7.77,-0.152,-0.4,-0.927
-1.032,0.342,0.018,-43.75,27.37,-4.9,-0.15,-0.402,-0.926
-1.082,0.392,0.058,-36.82,17.99,-1.75,-0.155,-0.403,-0.923
-1.1,0.427,0.119,-28.49,10.08,2.87,-0.156,-0.399,-0.92
-1.018,0.432,0.164,-21.0,5.46,6.86,-0.156,-0.402,-0.921
-0.853,0.415,0.183,-17.99,0.42,8.12,-0.154,-0.396,-0.925
-0.67,0.404,0.198,-18.48,-5.67,7.14,-0.155,-0.398,-0.922
-0.533,0.406,0.23,-18.27,-18.69,3.85,-0.158,-0.398,-0.926
-0.441,0.421,0.256,-15.68,-26.88,4.62,-0.153,-0.4,-0.919
-0.438,0.428,0.251,-11.13,-31.64,10.22,-0.149,-0.393,-0.919
-0.462,0.438,0.219,-6.16,-34.72,23.24,-0.154,-0.394,-0.914
-0.526,0.472,0.196,-0.28,-37.45,41.37,-0.158,-0.393,-0.909
-0.652,0.514,0.217,7.56,-41.3,59.639,-0.16,-0.385,-0.91
-0.794,0.554,0.265,15.05,-42.7,75.25,-0.168,-0.376,-0.905
-1.0,0.608,0.343,16.66,-39.76,89.04,-0.174,-0.367,-0.899
-1.08,0.636,0.362,13.58,-35.77,90.86,-0.181,-0.354,-0.903
-1.089,0.661,0.351,9.94,-30.45,87.57,-0.184,-0.35,-0.895
-1.069,0.683,0.32,9.52,-28.35,79.1,-0.192,-0.335,-0.894
-1.037,0.679,0.305,12.53,-30.38,57.54,-0.191,-0.329,-0.894
