ax,ay,az,gx,gy,gz,mx,my,mz
-0.909,0.386,0.15,0.56,-3.22,0.84,-0.114,-0.429,-0.958
-0.911,0.386,0.144,0.14,-3.01,1.05,-0.118,-0.427,-0.957
-0.912,0.39,0.139,-0.42,-2.59,1.54,-0.12,-0.428,-0.959
-0.921,0.402,0.138,-0.21,-2.17,2.8,-0.114,-0.433,-0.961
-0.92,0.4,0.14,-0.07,-1.96,2.94,-0.12,-0.428,-0.955
-0.92,0.398,0.137,-0.49,-1.96,2.94,-0.119,-0.428,-0.956
-0.924,0.4,0.137,-1.54,-1.68,2.73,-0.122,-0.429,-0.958
-0.919,0.4,0.137,-2.17,-0.98,2.66,-0.122,-0.43,-0.96
-0.925,0.4,0.138,-2.03,-0.49,2.45,-0.123,-0.433,-0.958
-0.933,0.391,0.129,-2.1,0.42,2.87,-0.121,-0.428,-0.959
-0.942,0.387,0.128,-3.43,1.4,3.64,-0.122,-0.428,-0.955
-0.937,0.383,0.136,-5.46,2.87,4.27,-0.124,-0.43,-0.96
-0.927,0.375,0.135,-8.68,3.85,3.85,-0.124,-0.429,-0.962
-0.926,0.377,0.134,-13.79,5.6,3.15,-0.126,-0.43,-0.96
-0.93,0.377,0.156,-15.05,7.0,3.71,-0.126,-0.426,-0.96
-0.939,0.369,0.165,-16.73,8.96,3.43,-0.127,-0.426,-0.951
-0.957,0.354,0.164,-20.51,11.83,2.31,-0.122,-0.425,-0.953
-0.97,0.357,0.18,-25.55,14.77,2.59,-0.127,-0.426,-0.955
-0.951,0.366,0.192,-29.89,18.69,2.24,-0.123,-0.427,-0.952
-0.941,0.36,0.188,-30.66,20.58,1.82,-0.127,-0.422,-0.945
-0.971,0.353,0.226,-30.17,24.15,2.1,-0.123,-0.422,-0.948
-1.003,0.289,0.233,-36.19,28.63,1.47,-0.124,-0.423,-0.947
-1.006,0.258,0.207,-48.65,34.16,0.84,-0.126,-0.418,-0.95
-0.975,0.252,0.19,-63.42,40.46,1.12,-0.124,-0.422,-0.955
-0.921,0.284,0.182,-74.41,44.31,1.19,-0.123,-0.422,-0.955
-0.895,0.326,0.167,-75.32,44.45,1.4,-0.128,-0.42,-0.952
-0.922,0.348,0.177,-60.55,38.5,4.9,-0.131,-0.42,-0.951
-0.958,0.323,0.147,-51.87,32.83,9.8,-0.132,-0.415,-0.953
-0.988,0.342,0.151,-47.39,28.0,14.42,-0.13,-0.413,-0.945
-0.978,0.365,0.158,-43.54,24.22,17.22,-0.13,-0.41,-0.95
-0.925,0.398,0.198,-39.9,19.39,19.95,-0.136,-0.412,-0.945
-0.875,0.414,0.201,-33.25,14.91,19.39,-0.136,-0.408,-0.945
-0.839,0.406,0.209,-24.5,8.4,18.76,-0.136,-0.405,-0.946
-0.802,0.348,0.202,-10.36,1.47,20.93,-0.14,-0.403,-0.942
-0.798,0.385,0.182,-5.39,-2.52,22.68,-0.142,-0.4,-0.942
-0.799,0.389,0.177,0.0,-4.27,24.5,-0.142,-0.392,-0.943
-0.817,0.4,0.202,5.95,-6.23,28.35,-0.142,-0.39,-0.94
-0.854,0.4,0.242,10.85,-6.65,30.24,-0.147,-0.389,-0.938
-0.883,0.368,0.272,8.68,-3.64,28.35,-0.147,-0.388,-0.938
-0.891,0.362,0.277,-0.14,-0.63,25.83,-0.152,-0.381,-0.939
-0.9,0.383,0.282,-9.24,3.29,22.54,-0.154,-0.383,-0.945
-0.894,0.409,0.272,-16.8,5.32,19.25,-0.152,-0.38,-0.945
-0.883,0.428,0.268,-19.11,5.11,13.93,-0.162,-0.378,-0.943
-0.868,0.446,0.294,-16.03,3.78,10.78,-0.161,-0.375,-0.941
-0.827,0.438,0.291,-12.53,3.01,6.37,-0.164,-0.375,-0.935
-0.786,0.425,0.279,-8.47,1.19,0.77,-0.16,-0.371,-0.937
-0.773,0.425,0.274,-3.71,0.35,-2.8,-0.158,-0.373,-0.936
-0.777,0.421,0.264,3.15,-0.7,-4.55,-0.16,-0.374,-0.939
-0.79,0.411,0.248,14.56,-1.96,-5.39,-0.16,-0.377,-0.939
-0.797,0.372,0.231,19.32,-2.87,-6.93,-0.154,-0.381,-0.95
-0.782,0.347,0.228,18.76,-3.01,-10.08,-0.159,-0.379,-0.944
-0.774,0.341,0.217,14.77,-2.73,-14.14,-0.157,-0.383,-0.945
-0.792,0.356,0.2,12.18,-3.15,-17.78,-0.158,-0.386,-0.947
-0.835,0.374,0.186,14.35,-3.43,-18.13,-0.155,-0.385,-0.946
-0.892,0.375,0.173,23.24,-5.04,-16.31,-0.152,-0.388,-0.948
-0.943,0.332,0.183,25.48,-4.2,-16.45,-0.15,-0.387,-0.949
-0.927,0.297,0.177,19.67,-2.31,-18.97,-0.148,-0.385,-0.946
-0.932,0.296,0.162,9.24,0.14,-22.47,-0.147,-0.39,-0.949
-0.961,0.326,0.154,1.4,0.42,-23.87,-0.148,-0.394,-0.949
-0.97,0.353,0.159,0.07,-0.21,-22.89,-0.144,-0.399,-0.944
-0.973,0.353,0.167,6.93,-3.15,-22.4,-0.141,-0.398,-0.949
-0.977,0.341,0.178,11.27,-4.9,-22.33,-0.142,-0.401,-0.949
-0.982,0.33,0.187,13.37,-5.88,-22.68,-0.138,-0.399,-0.951
-0.993,0.332,0.185,14.14,-6.44,-22.75,-0.139,-0.403,-0.96
-1.001,0.33,0.182,15.54,-7.56,-20.86,-0.136,-0.405,-0.958
-1.002,0.324,0.195,17.64,-8.61,-17.36,-0.138,-0.41,-0.954
-1.0,0.325,0.216,20.79,-9.94,-12.53,-0.133,-0.414,-0.956
-0.981,0.321,0.221,22.4,-10.22,-11.41,-0.132,-0.412,-0.963
-0.958,0.295,0.224,20.23,-13.72,-9.87,-0.131,-0.415,-0.958
-0.962,0.298,0.23,16.8,-16.1,-7.21,-0.13,-0.415,-0.959
-0.965,0.314,0.243,15.19,-18.41,-3.92,-0.127,-0.413,-0.96
-0.95,0.331,0.26,16.45,-20.72,0.35,-0.126,-0.415,-0.956
-0.922,0.338,0.273,20.51,-22.26,4.34,-0.127,-0.416,-0.965
-0.908,0.34,0.269,26.74,-23.38,7.49,-0.129,-0.417,-0.966
-0.888,0.323,0.251,28.35,-23.45,8.33,-0.129,-0.415,-0.966
-0.889,0.318,0.244,27.37,-23.38,9.94,-0.129,-0.415,-0.959
-0.919,0.325,0.254,25.62,-22.96,11.9,-0.132,-0.413,-0.959
-0.948,0.326,0.247,23.1,-21.21,12.95,-0.139,-0.409,-0.965
-0.973,0.331,0.245,19.53,-18.69,13.65,-0.131,-0.414,-0.962
-0.976,0.333,0.236,14.84,-15.4,13.72,-0.138,-0.406,-0.957
-0.959,0.344,0.21,7.21,-12.25,12.11,-0.134,-0.406,-0.957
-0.961,0.357,0.209,3.99,-11.48,10.64,-0.138,-0.407,-0.957
-0.972,0.371,0.211,2.17,-10.99,9.03,-0.137,-0.408,-0.954
-0.982,0.377,0.207,1.54,-10.01,6.58,-0.139,-0.407,-0.952
-0.998,0.378,0.191,1.82,-9.8,4.9,-0.14,-0.401,-0.957
-1.015,0.382,0.184,2.52,-9.59,4.06,-0.141,-0.404,-0.955
-1.018,0.38,0.191,2.52,-8.68,2.66,-0.14,-0.403,-0.952
-1.003,0.369,0.192,1.19,-7.0,-0.77,-0.14,-0.4,-0.955
-0.994,0.357,0.192,-0.98,-6.16,-4.06,-0.142,-0.402,-0.96
-0.973,0.348,0.194,-4.69,-4.62,-6.16,-0.139,-0.404,-0.956
-0.951,0.351,0.204,-7.91,-3.29,-8.47,-0.139,-0.404,-0.956
-0.947,0.364,0.212,-8.54,-3.01,-10.64,-0.138,-0.404,-0.951
-0.959,0.357,0.205,-6.72,-3.08,-13.09,-0.142,-0.406,-0.953
-0.97,0.341,0.2,-5.88,-2.45,-13.3,-0.135,-0.412,-0.952
-0.942,0.312,0.199,-7.91,-1.33,-12.18,-0.134,-0.413,-0.957
-0.925,0.316,0.206,-10.71,-0.35,-10.29,-0.14,-0.416,-0.953
-0.894,0.337,0.234,-12.25,1.12,-9.03,-0.134,-0.416,-0.949
-0.86,0.359,0.25,-10.5,0.14,-7.98,-0.131,-0.413,-0.945
-0.868,0.38,0.25,-4.06,-2.03,-6.37,-0.131,-0.414,-0.953
-0.931,0.368,0.233,8.61,-3.78,-3.29,-0.132,-0.418,-0.951
-0.938,0.339,0.224,12.46,-3.15,1.05,-0.135,-0.418,-0.945
-0.913,0.313,0.225,10.92,-1.33,4.62,-0.135,-0.422,-0.955
-0.89,0.313,0.226,4.2,1.47,6.58,-0.137,-0.412,-0.957
-0.879,0.334,0.199,-3.01,3.71,6.51,-0.133,-0.419,-0.955
-0.889,0.368,0.17,-6.51,3.29,8.89,-0.135,-0.416,-0.957
-0.91,0.404,0.159,-2.8,0.35,10.64,-0.134,-0.421,-0.959
-0.941,0.411,0.152,3.64,-2.31,12.95,-0.138,-0.413,-0.958
-0.981,0.409,0.144,9.94,-3.64,15.05,-0.137,-0.408,-0.959
-0.994,0.396,0.147,12.6,-4.55,16.24,-0.143,-0.409,-0.96
-0.969,0.38,0.147,11.48,-3.85,15.89,-0.142,-0.406,-0.961
-0.955,0.376,0.13,8.33,-3.78,13.72,-0.142,-0.407,-0.959
-0.982,0.383,0.126,2.17,-4.34,8.96,-0.139,-0.404,-0.961
-0.984,0.396,0.147,-0.84,-3.57,6.16,-0.14,-0.407,-0.961
-0.961,0.394,0.138,-1.82,-3.64,2.66,-0.142,-0.406,-0.959
-0.968,0.382,0.137,-1.96,-4.9,-1.26,-0.143,-0.406,-0.958
-0.966,0.364,0.157,-3.43,-5.11,-4.41,-0.142,-0.404,-0.962
-0.954,0.347,0.167,-6.93,-3.71,-7.07,-0.141,-0.407,-0.958
-0.953,0.342,0.171,-10.29,-3.36,-9.45,-0.141,-0.406,-0.955
-0.942,0.35,0.176,-12.95,-1.68,-9.8,-0.135,-0.408,-0.949
-0.931,0.352,0.18,-11.62,-1.54,-9.38,-0.135,-0.41,-0.955
-0.922,0.348,0.183,-8.96,-1.33,-8.82,-0.141,-0.416,-0.948
-0.911,0.331,0.18,-7.07,-1.75,-8.96,-0.134,-0.414,-0.946
-0.91,0.318,0.184,-6.93,-2.24,-8.33,-0.135,-0.415,-0.952
-0.901,0.314,0.193,-8.75,-2.8,-7.42,-0.139,-0.419,-0.948
-0.876,0.325,0.207,-8.47,-3.01,-6.16,-0.137,-0.415,-0.945
-0.879,0.341,0.213,-5.25,-3.85,-4.9,-0.139,-0.417,-0.943
-0.892,0.34,0.214,-0.77,-5.04,-3.36,-0.138,-0.416,-0.943
-0.906,0.332,0.213,3.36,-4.9,-0.35,-0.135,-0.418,-0.945
-0.928,0.331,0.214,5.46,-4.62,3.43,-0.133,-0.418,-0.944
-0.946,0.332,0.209,5.53,-2.94,7.21,-0.136,-0.416,-0.943
-0.946,0.332,0.211,3.36,-2.45,8.47,-0.136,-0.419,-0.947
-0.944,0.338,0.207,-0.42,-0.7,8.4,-0.14,-0.413,-0.95
-0.931,0.35,0.199,-3.5,0.0,7.77,-0.137,-0.414,-0.946
-0.916,0.367,0.197,-4.34,0.28,7.42,-0.142,-0.413,-0.952
-0.903,0.376,0.177,-1.05,-0.77,5.25,-0.138,-0.414,-0.948
-0.914,0.368,0.17,2.31,-1.75,4.27,-0.145,-0.411,-0.952
-0.919,0.353,0.17,3.57,-2.17,3.57,-0.143,-0.405,-0.948
-0.918,0.344,0.168,2.66,-1.82,3.15,-0.143,-0.405,-0.945
-0.932,0.354,0.174,1.33,-1.82,3.78,-0.146,-0.409,-0.947
-0.937,0.363,0.176,1.05,-1.33,5.18,-0.144,-0.404,-0.948
-0.941,0.366,0.173,1.47,-1.4,5.46,-0.144,-0.405,-0.948
-0.946,0.363,0.173,1.54,-1.4,4.9,-0.143,-0.407,-0.948
-0.94,0.36,0.181,0.56,-1.19,3.36,-0.139,-0.412,-0.952
-0.934,0.351,0.191,-1.05,-0.7,1.12,-0.143,-0.406,-0.948
-0.935,0.343,0.188,-5.46,-0.42,-1.82,-0.141,-0.41,-0.95
-0.933,0.35,0.183,-7.21,-0.07,-1.89,-0.139,-0.409,-0.949
-0.934,0.366,0.185,-6.02,-0.63,-0.42,-0.139,-0.404,-0.948
-0.934,0.37,0.192,-2.73,-2.17,0.49,-0.137,-0.405,-0.949
-0.916,0.356,0.191,0.14,-2.94,0.77,-0.141,-0.404,-0.948
-0.894,0.344,0.19,1.47,-4.41,1.33,-0.14,-0.406,-0.944
-0.892,0.348,0.192,2.03,-5.53,1.12,-0.142,-0.407,-0.949
-0.896,0.358,0.195,4.06,-6.3,1.26,-0.14,-0.407,-0.943
-0.895,0.353,0.201,7.35,-6.79,2.03,-0.145,-0.404,-0.945
-0.902,0.343,0.201,9.8,-7.14,2.8,-0.14,-0.405,-0.947
-0.92,0.34,0.205,9.94,-6.86,3.36,-0.139,-0.406,-0.946
-0.926,0.345,0.211,8.26,-5.6,3.85,-0.14,-0.401,-0.942
-0.921,0.352,0.217,6.72,-4.41,1.75,-0.143,-0.398,-0.95
-0.933,0.352,0.208,5.53,-3.64,-0.42,-0.142,-0.404,-0.948
-0.951,0.353,0.193,4.97,-3.01,-1.12,-0.138,-0.403,-0.945
-0.983,0.361,0.189,5.81,-2.52,-0.56,-0.142,-0.401,-0.947
-1.008,0.361,0.202,7.98,-2.45,0.42,-0.139,-0.402,-0.947
-1.027,0.352,0.212,8.54,-1.68,0.63,-0.135,-0.406,-0.952
-1.086,0.352,0.248,6.02,-0.98,0.63,-0.14,-0.402,-0.954
-1.209,0.38,0.219,3.29,0.21,2.45,-0.145,-0.403,-0.953
-1.26,0.393,0.216,2.17,1.96,5.88,-0.143,-0.401,-0.954
-1.285,0.4,0.239,2.1,2.8,9.66,-0.146,-0.401,-0.951
-1.287,0.402,0.265,1.61,4.9,11.48,-0.143,-0.4,-0.954
-1.272,0.4,0.262,-0.49,6.79,9.1,-0.149,-0.401,-0.954
-1.241,0.385,0.263,-4.69,7.56,4.13,-0.15,-0.403,-0.96
-1.178,0.356,0.281,-7.56,6.86,1.68,-0.15,-0.402,-0.957
-1.129,0.344,0.295,-10.71,7.21,0.28,-0.145,-0.398,-0.96
-1.072,0.339,0.286,-12.25,8.33,-0.35,-0.152,-0.4,-0.957
-1.013,0.334,0.271,-10.99,8.4,-0.28,-0.15,-0.399,-0.963
-0.949,0.323,0.279,-6.44,8.12,-0.91,-0.147,-0.397,-0.961
-0.857,0.307,0.289,-4.06,7.77,-2.45,-0.145,-0.399,-0.962
-0.798,0.294,0.278,-2.1,7.21,-4.41,-0.143,-0.397,-0.955
-0.742,0.276,0.265,0.56,7.35,-4.83,-0.143,-0.393,-0.96
-0.709,0.27,0.259,3.78,7.21,-4.83,-0.148,-0.403,-0.965
-0.659,0.264,0.245,8.26,9.24,-5.25,-0.147,-0.399,-0.965
-0.655,0.259,0.237,10.08,11.13,-6.51,-0.149,-0.405,-0.971
-0.658,0.259,0.227,12.32,12.81,-6.51,-0.145,-0.405,-0.967
-0.677,0.256,0.213,13.16,15.19,-5.18,-0.146,-0.403,-0.979
-0.702,0.247,0.196,12.67,17.08,-3.78,-0.141,-0.407,-0.981
-0.723,0.241,0.185,9.24,18.55,-1.47,-0.144,-0.408,-0.982
-0.748,0.252,0.181,-0.42,19.04,1.82,-0.146,-0.407,-0.987
-0.779,0.288,0.19,-6.44,18.48,3.15,-0.139,-0.408,-0.989
-0.792,0.308,0.194,-10.36,15.61,4.41,-0.14,-0.408,-0.994
-0.807,0.335,0.195,-11.34,11.62,5.95,-0.141,-0.407,-0.99
-0.833,0.366,0.2,-9.03,7.14,7.07,-0.146,-0.403,-0.993
-0.844,0.388,0.219,-4.41,1.96,6.72,-0.138,-0.397,-0.991
-0.84,0.394,0.235,2.45,-3.15,5.39,-0.145,-0.4,-0.992
-0.826,0.38,0.256,11.34,-10.57,0.0,-0.137,-0.399,-0.988
-0.828,0.368,0.256,14.91,-14.7,-3.99,-0.142,-0.403,-0.994
-0.843,0.366,0.253,17.57,-18.62,-6.37,-0.14,-0.401,-0.987
-0.85,0.361,0.249,19.95,-21.28,-8.68,-0.138,-0.399,-0.992
-0.833,0.348,0.249,22.05,-23.73,-11.13,-0.143,-0.407,-0.991
-0.8,0.326,0.253,23.45,-26.32,-13.72,-0.143,-0.405,-0.988
-0.796,0.313,0.248,21.42,-27.23,-16.59,-0.137,-0.408,-0.988
-0.809,0.315,0.238,18.13,-28.0,-18.41,-0.137,-0.41,-0.993
-0.815,0.32,0.24,15.82,-28.35,-19.25,-0.132,-0.417,-0.989
-0.818,0.324,0.242,16.1,-28.07,-19.53,-0.129,-0.411,-0.986
-0.839,0.325,0.239,16.73,-28.21,-20.72,-0.13,-0.417,-0.985
-0.867,0.311,0.241,14.42,-27.09,-21.28,-0.129,-0.417,-0.981
-0.882,0.314,0.244,10.92,-25.48,-21.49,-0.129,-0.421,-0.98
-0.906,0.332,0.237,7.21,-24.08,-21.56,-0.13,-0.424,-0.982
-0.937,0.349,0.221,4.97,-22.96,-20.93,-0.121,-0.429,-0.974
-0.99,0.366,0.212,4.9,-22.47,-17.36,-0.124,-0.424,-0.976
-1.053,0.386,0.214,7.42,-21.63,-9.1,-0.121,-0.429,-0.98
-1.054,0.377,0.224,7.07,-20.16,-5.18,-0.122,-0.431,-0.972
-0.98,0.362,0.221,2.31,-17.43,-5.04,-0.121,-0.433,-0.973
-0.91,0.371,0.208,-3.5,-15.96,-7.49,-0.122,-0.433,-0.968
-0.866,0.385,0.191,-6.72,-16.45,-11.9,-0.122,-0.431,-0.967
-0.866,0.393,0.169,-5.18,-18.06,-14.77,-0.119,-0.433,-0.961
-0.907,0.39,0.174,2.38,-19.95,-11.13,-0.12,-0.433,-0.955
-0.986,0.394,0.187,7.84,-17.57,-5.88,-0.116,-0.443,-0.953
-1.005,0.384,0.185,11.69,-13.51,-1.33,-0.117,-0.437,-0.954
-0.996,0.371,0.185,11.41,-10.15,3.5,-0.118,-0.44,-0.96
-0.981,0.364,0.166,7.0,-6.72,4.83,-0.12,-0.444,-0.965
-0.962,0.359,0.152,-0.42,-4.13,1.89,-0.117,-0.44,-0.963
-0.947,0.384,0.157,-10.57,-3.22,-0.91,-0.117,-0.439,-0.962
-0.959,0.41,0.153,-12.46,-3.43,-3.43,-0.122,-0.44,-0.96
-0.957,0.413,0.147,-9.94,-4.27,-3.92,-0.12,-0.439,-0.958
-0.947,0.408,0.145,-5.95,-5.25,-2.52,-0.119,-0.439,-0.962
-0.935,0.406,0.148,-1.4,-5.95,-0.21,-0.119,-0.44,-0.956
-0.916,0.387,0.152,4.27,-6.02,2.24,-0.115,-0.437,-0.959
-0.91,0.375,0.149,5.04,-6.23,3.5,-0.117,-0.439,-0.957
-0.926,0.376,0.149,3.22,-5.53,4.62,-0.121,-0.435,-0.957
-0.933,0.393,0.157,0.91,-4.41,5.6,-0.12,-0.436,-0.959
-0.936,0.409,0.157,0.77,-3.5,5.95,-0.117,-0.436,-0.955
-0.947,0.408,0.154,2.73,-3.64,5.88,-0.123,-0.434,-0.957
-0.947,0.396,0.155,3.85,-2.8,5.11,-0.118,-0.431,-0.958
-0.927,0.382,0.158,0.63,-1.75,4.27,-0.122,-0.434,-0.956
-0.91,0.383,0.156,-2.38,-1.26,2.73,-0.123,-0.433,-0.962
-0.911,0.389,0.15,-4.41,-0.91,1.89,-0.12,-0.433,-0.953
-0.91,0.401,0.151,-5.04,-0.98,2.45,-0.123,-0.429,-0.954
-0.905,0.409,0.149,-3.43,-1.47,2.94,-0.125,-0.464,-0.959
-0.903,0.411,0.15,-0.7,-2.1,3.57,-0.123,-0.43,-0.953
-0.912,0.399,0.149,2.24,-3.15,4.06,-0.124,-0.433,-0.953
