ax,ay,az,gx,gy,gz,mx,my,mz
-0.661,0.754,0.035,-3.71,-3.08,-0.63,-0.011,-0.491,-0.881
-0.66,0.769,0.029,-4.13,-2.94,-1.12,-0.014,-0.497,-0.877
-0.659,0.768,0.035,-3.36,-2.94,-1.75,-0.008,-0.49,-0.876
-0.659,0.764,0.037,-3.01,-2.8,-2.8,-0.009,-0.492,-0.876
-0.66,0.77,0.033,-3.99,-3.01,-4.13,-0.011,-0.492,-0.878
-0.657,0.779,0.03,-3.5,-3.57,-4.9,-0.011,-0.492,-0.882
-0.654,0.778,0.031,-1.96,-3.43,-6.16,-0.009,-0.495,-0.88
-0.642,0.745,0.046,-0.56,-3.22,-7.0,-0.013,-0.491,-0.879
-0.643,0.754,0.048,-3.01,-3.22,-6.93,-0.007,-0.498,-0.876
-0.656,0.805,0.034,-4.9,-3.5,-6.79,-0.007,-0.495,-0.884
-0.678,0.832,0.03,-3.78,-3.15,-8.68,-0.015,-0.495,-0.884
-0.688,0.829,0.031,-1.4,-0.49,-13.72,-0.009,-0.497,-0.882
-0.671,0.839,0.004,3.64,5.88,-20.86,-0.003,-0.497,-0.879
-0.664,0.872,0.02,7.56,8.33,-25.76,-0.006,-0.498,-0.877
-0.685,0.917,0.072,8.19,10.15,-32.48,-0.002,-0.495,-0.885
-0.682,1.006,0.067,1.47,16.52,-46.48,0.002,-0.505,-0.883
-0.665,1.024,0.033,-5.04,21.35,-68.88,0.01,-0.508,-0.887
-0.548,1.043,0.084,-26.46,35.42,-111.3,0.016,-0.516,-0.885
-0.404,0.874,0.118,-65.94,36.75,-132.02,0.032,-0.526,-0.883
-0.312,0.894,0.195,-112.28,38.01,-139.23,0.043,-0.522,-0.878
-0.228,1.049,0.279,-145.95,37.94,-130.34,0.065,-0.526,-0.857
-0.153,1.232,0.374,-148.821,36.12,-112.28,0.074,-0.525,-0.843
-0.035,1.417,0.456,-127.54,39.9,-100.66,0.079,-0.523,-0.826
0.12,1.347,0.498,-86.1,41.44,-117.39,0.103,-0.522,-0.814
0.176,1.328,0.528,-46.76,35.98,-122.36,0.109,-0.532,-0.813
0.046,1.391,0.669,8.12,39.41,-122.85,0.132,-0.543,-0.815
-0.005,1.278,0.672,25.9,48.02,-128.94,0.148,-0.544,-0.817
0.009,1.267,0.569,25.76,57.26,-131.11,0.155,-0.549,-0.816
0.073,1.307,0.423,25.27,60.2,-129.85,0.176,-0.552,-0.825
0.152,1.345,0.28,25.83,56.49,-125.93,0.187,-0.555,-0.826
0.177,1.476,0.214,26.18,47.74,-121.38,0.211,-0.56,-0.819
0.1,1.609,0.224,47.53,37.31,-114.17,0.227,-0.562,-0.824
-0.031,1.524,0.116,68.389,37.87,-107.87,0.249,-0.564,-0.834
-0.037,1.413,0.007,71.75,39.97,-101.36,0.261,-0.571,-0.837
-0.027,1.374,-0.092,64.82,37.66,-91.91,0.267,-0.565,-0.843
-0.017,1.387,-0.118,56.28,29.75,-80.99,0.284,-0.571,-0.849
-0.043,1.347,-0.081,48.929,19.18,-66.57,0.288,-0.571,-0.852
-0.102,1.253,-0.1,42.35,18.9,-55.79,0.307,-0.57,-0.865
-0.127,1.177,-0.112,37.66,18.83,-42.0,0.313,-0.571,-0.869
-0.137,1.114,-0.106,35.0,19.32,-26.88,0.322,-0.573,-0.868
-0.176,1.098,-0.073,38.99,19.39,-10.43,0.321,-0.574,-0.872
-0.221,1.111,-0.019,64.05,24.92,14.21,0.323,-0.573,-0.874
-0.299,1.098,0.009,93.31,31.78,31.64,0.319,-0.574,-0.886
-0.343,1.048,0.004,122.01,38.71,45.57,0.315,-0.575,-0.896
-0.359,1.018,0.004,144.76,46.34,53.55,0.312,-0.582,-0.92
-0.344,0.933,-0.051,146.09,51.169,52.639,0.304,-0.586,-0.933
-0.36,1.011,-0.049,156.73,48.02,74.55,0.292,-0.587,-0.957
-0.391,1.008,-0.017,155.47,48.37,64.19,0.286,-0.591,-0.974
-0.372,0.908,-0.004,150.15,47.6,54.32,0.283,-0.588,-0.983
-0.3,0.83,0.028,137.83,44.31,44.38,0.278,-0.591,-1.018
-0.224,0.807,0.074,120.19,38.64,34.09,0.278,-0.587,-1.025
-0.151,0.785,0.152,102.06,30.59,22.4,0.282,-0.581,-1.041
-0.09,0.71,0.252,89.669,23.31,9.38,0.276,-0.583,-1.045
-0.054,0.549,0.326,77.84,19.04,7.0,0.276,-0.581,-1.059
-0.051,0.528,0.354,62.23,17.36,9.03,0.28,-0.582,-1.061
-0.036,0.528,0.381,51.52,15.82,9.8,0.279,-0.576,-1.067
-0.025,0.527,0.394,45.99,14.14,13.93,0.279,-0.579,-1.074
-0.045,0.552,0.397,49.77,14.07,28.63,0.271,-0.576,-1.075
-0.05,0.558,0.35,55.649,14.56,29.4,0.272,-0.576,-1.086
-0.049,0.536,0.375,51.379,10.92,24.92,0.271,-0.573,-1.091
-0.069,0.528,0.423,36.4,7.49,19.53,0.269,-0.57,-1.095
-0.056,0.488,0.439,24.15,5.74,11.62,0.269,-0.574,-1.099
-0.061,0.446,0.476,6.79,0.42,2.24,0.265,-0.57,-1.102
-0.079,0.495,0.557,-16.45,-3.15,-5.53,0.271,-0.568,-1.096
-0.025,0.61,0.609,-20.09,-3.92,-8.54,0.27,-0.572,-1.097
-0.006,0.595,0.583,-5.6,-5.04,-9.59,0.27,-0.571,-1.096
-0.018,0.609,0.609,1.26,-7.21,-9.66,0.269,-0.566,-1.096
-0.035,0.644,0.617,4.27,-6.86,-10.15,0.271,-0.572,-1.096
-0.033,0.617,0.572,6.93,-5.25,-12.53,0.278,-0.571,-1.099
-0.022,0.627,0.593,3.22,-6.3,-12.25,0.277,-0.571,-1.101
0.008,0.761,0.619,-0.42,-4.69,-8.54,0.277,-0.57,-1.098
0.053,0.769,0.546,11.48,-2.94,-6.51,0.277,-0.574,-1.095
0.027,0.656,0.525,16.59,-4.34,-9.59,0.277,-0.57,-1.1
-0.022,0.608,0.581,9.73,-6.3,-7.84,0.279,-0.565,-1.099
-0.023,0.64,0.6,-1.33,-3.57,-6.16,0.278,-0.57,-1.098
0.002,0.685,0.594,-3.5,-1.82,-4.69,0.281,-0.57,-1.099
0.024,0.701,0.599,-2.31,-2.52,-4.69,0.28,-0.569,-1.1
0.015,0.638,0.594,0.07,-3.43,-4.83,0.282,-0.569,-1.097
0.008,0.621,0.628,-3.57,-4.41,-4.34,0.279,-0.57,-1.098
0.016,0.705,0.663,-9.31,-4.9,-2.52,0.282,-0.57,-1.095
0.033,0.758,0.635,-4.2,-3.22,-0.98,0.282,-0.571,-1.098
0.031,0.674,0.635,6.3,-4.55,-1.47,0.289,-0.567,-1.099
0.026,0.737,0.663,0.42,-4.69,0.35,0.285,-0.569,-1.099
0.031,0.755,0.644,1.61,-3.71,0.91,0.285,-0.568,-1.096
0.031,0.711,0.62,5.11,-2.94,1.4,0.287,-0.568,-1.103
0.027,0.725,0.627,2.45,-3.43,2.24,0.277,-0.57,-1.096
0.047,0.759,0.64,-0.28,-3.92,1.4,0.281,-0.57,-1.1
0.041,0.707,0.646,2.73,-4.76,-0.14,0.281,-0.568,-1.096
0.021,0.713,0.638,3.22,-4.69,2.03,0.283,-0.565,-1.098
0.047,0.761,0.642,0.63,-4.83,2.52,0.283,-0.567,-1.102
0.049,0.752,0.663,3.01,-5.67,2.31,0.283,-0.566,-1.102
0.031,0.735,0.652,3.85,-4.83,2.38,0.279,-0.566,-1.101
0.02,0.724,0.647,0.35,-4.83,1.26,0.282,-0.568,-1.103
0.03,0.746,0.687,-4.06,-4.69,1.19,0.279,-0.567,-1.102
0.036,0.753,0.66,-1.89,-3.5,1.96,0.283,-0.564,-1.1
0.037,0.782,0.637,-1.68,-3.43,2.03,0.283,-0.564,-1.1
0.031,0.772,0.647,-0.7,-4.41,0.21,0.287,-0.568,-1.101
0.026,0.745,0.66,-0.28,-4.27,-1.54,0.284,-0.565,-1.103
0.033,0.727,0.664,-1.33,-4.83,-2.52,0.279,-0.568,-1.098
0.019,0.724,0.684,-0.63,-4.55,0.07,0.282,-0.569,-1.104
0.022,0.764,0.677,-0.91,-3.36,1.61,0.277,-0.566,-1.1
0.035,0.76,0.667,1.54,-3.01,0.7,0.279,-0.566,-1.105
0.029,0.732,0.667,1.33,-3.36,-0.14,0.274,-0.569,-1.102
0.023,0.743,0.652,-0.98,-3.22,0.35,0.281,-0.563,-1.104
0.026,0.765,0.632,-2.45,-3.15,-0.84,0.278,-0.567,-1.101
0.019,0.746,0.647,1.19,-3.78,-0.21,0.278,-0.567,-1.105
0.019,0.72,0.681,3.01,-3.36,0.56,0.275,-0.569,-1.104
0.013,0.717,0.671,0.98,-2.66,0.98,0.276,-0.566,-1.103
0.023,0.75,0.659,-3.22,-2.59,0.91,0.279,-0.566,-1.107
0.035,0.746,0.65,-1.61,-2.66,0.49,0.28,-0.561,-1.101
0.038,0.73,0.653,2.1,-3.01,1.89,0.279,-0.563,-1.107
0.035,0.731,0.662,2.17,-3.08,0.98,0.28,-0.563,-1.102
0.025,0.719,0.674,0.91,-3.43,0.28,0.278,-0.56,-1.113
0.025,0.73,0.651,-1.54,-2.87,-0.07,0.278,-0.561,-1.107
