ax,ay,az,gx,gy,gz,mx,my,mz
0.944,0.109,0.094,-25.2,-21.7,6.93,-0.046,-0.5,-0.867
0.865,0.198,0.035,-33.67,-39.41,-21.0,-0.039,-0.497,-0.854
0.744,0.307,-0.022,-32.55,-60.48,-43.96,-0.036,-0.499,-0.848
0.618,0.564,-0.094,-6.02,-90.23,-59.22,-0.032,-0.501,-0.847
0.492,0.967,-0.191,5.32,-99.54,-69.16,-0.017,-0.505,-0.833
0.5,1.953,-0.424,-12.11,-99.54,-80.5,-0.006,-0.507,-0.827
0.108,3.649,-0.687,-17.15,-99.61,-73.08,0.01,-0.513,-0.817
-1.027,3.997,-0.921,36.33,-86.87,-86.73,0.02,-0.514,-0.815
-1.627,3.997,-0.859,114.1,-98.84,-167.86,0.032,-0.523,-0.83
-1.317,3.561,-0.282,146.58,-107.31,-202.58,0.07,-0.543,-0.84
-1.207,2.182,-0.118,91.77,-88.62,-232.54,0.091,-0.555,-0.855
-1.18,1.424,-0.196,66.29,-95.48,-249.9,0.136,-0.568,-0.853
-1.075,0.83,-0.144,59.149,-107.94,-216.09,0.163,-0.572,-0.863
-0.946,0.419,-0.08,53.34,-113.54,-170.24,0.198,-0.571,-0.874
-0.853,0.127,0.059,55.159,-119.35,-132.3,0.212,-0.574,-0.88
-0.761,-0.053,0.187,81.76,-111.16,-65.1,0.227,-0.58,-0.889
-0.572,-0.244,0.12,99.47,-84.7,-30.52,0.237,-0.582,-0.904
-0.488,-0.41,-0.118,108.29,-59.36,-9.73,0.242,-0.582,-0.921
-0.518,-0.593,-0.263,103.53,-52.85,13.3,0.238,-0.588,-0.936
-0.604,-0.69,-0.251,86.03,-45.29,42.56,0.23,-0.587,-0.944
-0.614,-0.717,-0.223,54.81,-16.31,53.27,0.228,-0.592,-0.951
-0.421,-0.752,-0.234,-9.31,35.42,44.17,0.22,-0.593,-0.948
-0.342,-0.676,-0.142,-49.0,51.94,52.22,0.214,-0.587,-0.958
-0.417,-0.533,0.081,-72.87,63.84,80.639,0.203,-0.589,-0.937
-0.653,-0.342,0.139,-89.11,85.47,123.13,0.194,-0.586,-0.931
-0.994,0.06,0.112,-107.66,106.61,175.35,0.158,-0.583,-0.908
-1.598,1.323,-0.151,-142.1,146.65,222.74,0.134,-0.572,-0.896
-2.27,3.313,-0.907,-103.74,252.0,270.13,0.106,-0.553,-0.879
-1.176,3.803,-0.16,-89.18,123.48,304.43,0.049,-0.543,-0.877
-1.191,3.854,0.368,-170.8,32.48,189.42,0.017,-0.531,-0.873
-0.875,2.818,0.168,-243.18,47.53,58.52,0.002,-0.512,-0.838
-0.359,2.082,0.119,-222.25,34.72,49.7,-0.006,-0.505,-0.824
0.095,1.823,0.126,-146.23,42.14,55.929,-0.018,-0.494,-0.799
0.48,1.542,0.002,-26.88,75.81,34.23,-0.02,-0.485,-0.806
0.792,0.949,0.014,25.69,73.85,24.01,-0.024,-0.485,-0.81
0.864,0.73,0.029,50.889,76.159,23.24,-0.029,-0.482,-0.821
0.934,0.43,-0.015,67.06,73.99,22.05,-0.038,-0.489,-0.832
0.994,0.086,-0.011,68.6,59.78,20.02,-0.045,-0.485,-0.849
0.986,-0.112,0.009,46.41,41.79,17.57,-0.046,-0.487,-0.852
0.909,-0.133,0.025,12.18,22.47,14.42,-0.05,-0.489,-0.858
0.79,-0.011,0.08,-34.65,-5.46,-8.05,-0.046,-0.488,-0.856
0.597,0.264,0.092,-49.91,-20.79,-32.97,-0.043,-0.485,-0.852
0.486,0.443,0.057,-37.52,-37.94,-49.98,-0.039,-0.489,-0.841
