ax,ay,az,gx,gy,gz,mx,my,mz
-0.435,0.678,0.595,-0.42,-3.01,0.07,-0.026,-0.463,-1.068
-0.433,0.679,0.597,0.14,-3.22,0.07,-0.033,-0.461,-1.068
-0.434,0.676,0.598,0.49,-3.22,-0.07,-0.031,-0.469,-1.071
-0.436,0.673,0.592,-0.21,-2.94,0.21,-0.033,-0.469,-1.069
-0.434,0.679,0.59,-0.56,-3.08,0.07,-0.033,-0.466,-1.069
-0.432,0.682,0.598,0.0,-3.22,0.0,-0.032,-0.463,-1.071
-0.432,0.677,0.603,0.7,-3.29,0.21,-0.03,-0.463,-1.068
-0.439,0.672,0.602,0.35,-2.73,-0.07,-0.027,-0.463,-1.073
-0.435,0.675,0.594,-0.63,-2.73,-0.35,-0.03,-0.464,-1.073
-0.433,0.677,0.59,-0.98,-2.73,-0.28,-0.033,-0.462,-1.07
-0.438,0.677,0.586,-0.63,-2.59,-0.07,-0.029,-0.467,-1.079
-0.44,0.675,0.589,-0.07,-2.52,-0.14,-0.026,-0.465,-1.073
-0.438,0.677,0.592,-0.07,-2.45,-0.14,-0.026,-0.462,-1.076
-0.434,0.679,0.598,-0.07,-2.31,-0.35,-0.025,-0.469,-1.074
-0.432,0.676,0.597,0.42,-2.45,-0.42,-0.032,-0.46,-1.074
-0.434,0.674,0.596,0.42,-2.66,-0.35,-0.03,-0.46,-1.076
-0.434,0.675,0.598,0.14,-2.73,-0.35,-0.03,-0.462,-1.07
-0.434,0.676,0.597,0.14,-2.73,-0.49,-0.025,-0.463,-1.073
-0.436,0.675,0.594,0.28,-2.59,-0.35,-0.028,-0.465,-1.067
-0.435,0.675,0.593,0.14,-2.8,-0.56,-0.023,-0.463,-1.068
-0.434,0.676,0.594,0.0,-2.94,-0.63,-0.03,-0.462,-1.067
-0.435,0.677,0.595,0.0,-2.73,-0.56,-0.031,-0.462,-1.073
-0.435,0.677,0.596,0.14,-2.73,-0.63,-0.03,-0.461,-1.07
-0.437,0.676,0.596,0.28,-2.8,-0.42,-0.03,-0.462,-1.069
-0.434,0.676,0.596,0.07,-2.66,-0.63,-0.025,-0.463,-1.067
-0.434,0.676,0.594,-0.07,-2.66,-0.77,-0.028,-0.462,-1.071
-0.434,0.676,0.593,0.0,-2.52,-0.49,-0.03,-0.466,-1.065
-0.435,0.676,0.594,0.07,-2.38,-0.56,-0.027,-0.466,-1.066
-0.435,0.676,0.594,-0.07,-2.45,-0.49,-0.028,-0.463,-1.07
-0.434,0.677,0.594,0.0,-2.38,-0.56,-0.032,-0.465,-1.073
-0.433,0.678,0.596,0.07,-2.59,-0.7,-0.029,-0.461,-1.073
-0.433,0.678,0.599,0.28,-2.8,-0.42,-0.026,-0.459,-1.074
-0.434,0.675,0.597,0.35,-2.31,-0.56,-0.03,-0.462,-1.07
-0.434,0.674,0.592,-0.07,-2.38,-0.56,-0.031,-0.461,-1.073
-0.433,0.68,0.593,-0.28,-2.38,-0.42,-0.026,-0.462,-1.072
-0.43,0.677,0.602,0.49,-2.87,-0.63,-0.024,-0.463,-1.073
-0.435,0.675,0.604,0.7,-2.8,-0.63,-0.033,-0.459,-1.076
-0.438,0.674,0.599,0.14,-2.52,-0.7,-0.03,-0.461,-1.075
-0.434,0.676,0.596,-0.56,-2.17,-0.84,-0.023,-0.46,-1.067
-0.431,0.678,0.591,-0.7,-2.31,-0.84,-0.026,-0.459,-1.072
-0.435,0.677,0.624,0.07,-2.45,-0.49,-0.023,-0.463,-1.07
-0.436,0.675,0.594,0.14,-2.45,-0.7,-0.027,-0.465,-1.074
-0.433,0.677,0.595,-0.21,-2.38,-0.49,-0.03,-0.466,-1.071
-0.428,0.68,0.598,-0.28,-2.52,-0.56,-0.034,-0.468,-1.073
-0.428,0.678,0.599,0.35,-2.59,-0.49,-0.033,-0.467,-1.072
-0.431,0.676,0.598,0.28,-2.52,-0.35,-0.034,-0.465,-1.076
-0.43,0.676,0.598,-0.07,-2.73,-0.42,-0.033,-0.466,-1.069
-0.432,0.677,0.597,-0.14,-2.8,-0.63,-0.028,-0.47,-1.077
-0.433,0.676,0.595,0.0,-2.87,-0.42,-0.028,-0.469,-1.076
-0.433,0.677,0.594,0.07,-2.8,-0.49,-0.031,-0.465,-1.076
-0.432,0.677,0.596,0.07,-2.73,-0.56,-0.036,-0.467,-1.069
-0.432,0.677,0.596,0.07,-2.73,-0.7,-0.036,-0.468,-1.075
-0.433,0.678,0.597,0.14,-2.73,-0.63,-0.028,-0.463,-1.08
-0.433,0.677,0.599,0.63,-2.8,-0.49,-0.033,-0.463,-1.077
-0.43,0.675,0.597,0.49,-2.59,-0.49,-0.033,-0.459,-1.076
-0.431,0.675,0.598,0.28,-2.59,-0.35,-0.03,-0.463,-1.076
-0.431,0.676,0.597,0.07,-2.66,-0.28,-0.031,-0.46,-1.078
-0.431,0.678,0.597,-0.14,-2.52,-0.49,-0.033,-0.465,-1.074
-0.432,0.678,0.595,0.21,-2.73,-0.07,-0.028,-0.464,-1.077
-0.431,0.677,0.594,0.35,-2.45,-0.28,-0.034,-0.466,-1.071
-0.429,0.677,0.596,0.21,-2.73,-0.49,-0.032,-0.464,-1.079
-0.431,0.677,0.602,0.21,-2.8,-0.42,-0.033,-0.465,-1.071
-0.432,0.675,0.6,0.42,-2.38,-0.35,-0.028,-0.465,-1.075
-0.431,0.675,0.59,-0.42,-2.38,-0.49,-0.029,-0.461,-1.071
-0.426,0.682,0.596,-0.21,-2.66,-0.35,-0.031,-0.465,-1.075
-0.427,0.678,0.603,0.56,-2.87,-0.42,-0.033,-0.462,-1.071
-0.434,0.674,0.602,0.63,-2.73,-0.35,-0.033,-0.462,-1.071
-0.434,0.675,0.598,-0.21,-2.31,-0.63,-0.03,-0.461,-1.072
-0.43,0.677,0.597,-0.7,-2.1,-0.63,-0.031,-0.463,-1.074
