ax,ay,az,gx,gy,gz,mx,my,mz
-0.8,0.346,0.128,1.61,-14.14,-0.42,-0.143,-0.413,-0.952
-0.816,0.34,0.126,7.49,-16.03,0.98,-0.141,-0.41,-0.955
-0.859,0.334,0.13,10.01,-16.59,3.15,-0.137,-0.412,-0.956
-0.881,0.319,0.116,11.48,-15.61,5.74,-0.145,-0.411,-0.946
-0.892,0.296,0.111,9.38,-14.98,7.56,-0.139,-0.406,-0.954
-0.884,0.277,0.105,2.45,-12.53,7.84,-0.142,-0.41,-0.954
-0.859,0.276,0.1,-6.37,-10.29,7.42,-0.143,-0.409,-0.95
-0.841,0.298,0.08,-18.06,-8.61,4.62,-0.141,-0.408,-0.948
-0.87,0.308,0.04,-20.79,-8.82,2.94,-0.139,-0.406,-0.942
-0.909,0.287,0.0,-22.47,-9.17,0.56,-0.142,-0.407,-0.938
-0.897,0.258,-0.032,-26.81,-7.42,-1.61,-0.141,-0.409,-0.942
-0.868,0.238,-0.073,-30.8,-7.63,-2.52,-0.141,-0.411,-0.937
-0.892,0.22,-0.065,-30.66,-17.5,1.82,-0.141,-0.404,-0.93
-0.876,0.218,-0.02,-28.84,-20.51,7.0,-0.145,-0.405,-0.93
-0.82,0.222,0.037,-26.95,-21.35,11.41,-0.143,-0.398,-0.926
-0.777,0.214,0.055,-26.32,-22.05,14.07,-0.144,-0.395,-0.919
-0.77,0.222,0.071,-24.57,-22.68,18.48,-0.148,-0.394,-0.913
-0.787,0.249,0.091,-16.03,-22.96,24.71,-0.149,-0.39,-0.91
-0.766,0.241,0.101,4.62,-22.12,30.24,-0.15,-0.387,-0.915
-0.698,0.259,0.139,19.11,-22.68,33.74,-0.153,-0.379,-0.903
-0.709,0.289,0.224,35.77,-21.21,35.07,-0.157,-0.383,-0.908
-0.742,0.293,0.284,52.429,-15.96,31.29,-0.156,-0.373,-0.912
-0.761,0.254,0.295,65.45,-9.1,24.22,-0.16,-0.375,-0.911
-0.728,0.152,0.247,67.48,-3.5,13.23,-0.162,-0.371,-0.915
-0.722,0.062,0.207,55.58,1.19,2.17,-0.16,-0.372,-0.923
-0.76,0.116,0.203,29.26,9.45,-16.52,-0.159,-0.368,-0.922
-0.821,0.335,0.213,-4.55,20.16,-32.55,-0.16,-0.374,-0.927
-0.841,0.378,0.219,-0.21,24.99,-43.05,-0.159,-0.373,-0.927
-0.881,0.279,0.195,17.64,29.68,-48.86,-0.156,-0.377,-0.927
-0.977,0.261,0.23,16.17,36.47,-50.33,-0.149,-0.384,-0.936
-1.069,0.322,0.22,-8.12,49.77,-60.06,-0.147,-0.39,-0.94
-1.099,0.421,0.142,-40.04,61.95,-73.43,-0.143,-0.397,-0.941
-1.084,0.529,0.015,-63.21,64.54,-74.41,-0.135,-0.399,-0.944
-1.07,0.59,-0.058,-52.36,59.429,-67.13,-0.133,-0.405,-0.947
-1.068,0.612,-0.081,-36.26,54.95,-65.45,-0.129,-0.41,-0.944
-1.095,0.65,0.006,-38.92,49.98,-74.76,-0.121,-0.413,-0.945
-1.074,0.684,0.068,-50.4,53.62,-85.12,-0.119,-0.427,-0.946
-1.05,0.72,0.119,-52.01,54.81,-89.04,-0.115,-0.433,-0.942
-0.993,0.782,0.078,-31.01,54.95,-85.61,-0.111,-0.44,-0.95
-0.977,0.928,0.199,22.89,54.53,-77.84,-0.099,-0.446,-0.956
-0.866,0.857,0.338,49.84,59.01,-84.42,-0.097,-0.451,-0.967
-0.792,0.721,0.373,51.87,59.36,-89.46,-0.083,-0.46,-0.973
-0.948,0.805,0.597,49.35,70.49,-95.83,-0.074,-0.465,-0.989
-1.295,1.253,1.114,58.03,102.13,-102.69,-0.062,-0.471,-1.007
-1.055,0.963,0.793,89.81,118.02,-107.94,-0.049,-0.479,-1.02
-0.673,0.316,0.454,126.98,115.08,-70.28,-0.041,-0.483,-1.071
-0.735,0.186,0.481,80.85,120.96,-63.28,-0.027,-0.483,-1.056
-0.902,0.299,0.523,-2.17,118.58,-64.4,-0.02,-0.487,-1.063
-0.935,0.694,0.478,-68.11,110.67,-43.68,-0.009,-0.492,-1.064
-0.719,0.993,0.46,-86.17,96.46,-7.35,-0.007,-0.494,-1.058
-0.567,1.04,0.43,-55.58,57.61,46.62,-0.013,-0.497,-1.056
-0.467,1.017,0.459,-40.32,38.36,54.25,-0.011,-0.49,-1.054
-0.247,0.871,0.528,-19.25,19.11,48.3,-0.018,-0.487,-1.055
-0.134,0.742,0.61,12.95,1.61,39.83,-0.027,-0.48,-1.05
-0.105,0.696,0.574,37.52,-10.57,26.25,-0.026,-0.481,-1.057
-0.285,0.701,0.708,38.85,-24.99,-2.94,-0.03,-0.476,-1.06
-0.522,0.737,0.658,36.33,-24.36,-16.94,-0.032,-0.476,-1.066
-0.512,0.667,0.59,44.31,-24.78,-26.46,-0.029,-0.473,-1.069
-0.525,0.579,0.502,53.48,-23.17,-27.58,-0.027,-0.477,-1.063
-0.492,0.514,0.434,52.429,-21.35,-22.47,-0.025,-0.476,-1.076
-0.428,0.493,0.432,35.7,-20.37,-12.11,-0.022,-0.473,-1.076
-0.418,0.511,0.481,20.37,-19.46,-5.53,-0.026,-0.469,-1.08
-0.419,0.538,0.576,7.21,-17.85,1.26,-0.025,-0.476,-1.076
-0.453,0.581,0.678,-0.84,-13.09,8.89,-0.029,-0.474,-1.076
-0.504,0.701,0.729,-2.31,-5.18,14.63,-0.028,-0.47,-1.075
-0.536,0.75,0.671,11.41,1.12,16.52,-0.024,-0.467,-1.078
-0.566,0.625,0.639,22.89,3.01,17.22,-0.027,-0.465,-1.087
-0.585,0.512,0.6,22.54,4.69,16.45,-0.03,-0.464,-1.079
-0.608,0.442,0.579,11.76,5.46,15.4,-0.031,-0.464,-1.087
-0.621,0.441,0.586,0.49,7.14,15.75,-0.034,-0.466,-1.086
-0.618,0.469,0.619,-6.58,8.12,16.94,-0.034,-0.461,-1.082
-0.593,0.519,0.611,-8.61,6.93,16.94,-0.036,-0.462,-1.082
-0.574,0.551,0.595,-14.35,5.88,15.61,-0.037,-0.464,-1.086
-0.565,0.6,0.587,-19.32,3.43,14.91,-0.039,-0.457,-1.082
