ax,ay,az,gx,gy,gz,mx,my,mz
-0.614,0.644,0.477,-0.56,-4.27,-2.38,-0.055,-0.471,-1.025
-0.626,0.667,0.463,-1.4,-3.43,-3.57,-0.056,-0.469,-1.028
-0.622,0.664,0.462,-2.03,-4.34,-4.76,-0.053,-0.472,-1.015
-0.633,0.678,0.463,-6.72,-5.18,-7.84,-0.056,-0.474,-1.025
-0.631,0.663,0.462,-14.49,-5.95,-14.14,-0.046,-0.478,-1.02
-0.616,0.641,0.456,-20.16,-7.77,-19.88,-0.049,-0.478,-1.019
-0.604,0.646,0.442,-20.72,-9.73,-23.52,-0.047,-0.474,-1.017
-0.611,0.706,0.426,-10.08,-10.01,-25.13,-0.042,-0.481,-1.015
-0.593,0.673,0.417,1.54,-11.41,-26.6,-0.041,-0.484,-1.012
-0.576,0.626,0.431,11.48,-12.6,-25.13,-0.039,-0.484,-1.015
-0.589,0.625,0.442,12.04,-10.85,-24.57,-0.037,-0.486,-1.012
-0.616,0.654,0.451,6.51,-6.58,-27.72,-0.035,-0.485,-1.011
-0.603,0.699,0.444,1.12,-4.76,-30.24,-0.035,-0.492,-1.013
-0.568,0.668,0.439,3.15,-4.76,-31.22,-0.031,-0.493,-1.013
-0.566,0.669,0.438,4.69,-5.04,-31.22,-0.027,-0.495,-1.016
-0.55,0.676,0.431,3.64,-4.2,-32.2,-0.027,-0.499,-1.018
-0.508,0.678,0.411,3.08,-5.18,-31.43,-0.019,-0.5,-1.015
-0.478,0.647,0.415,5.11,-8.89,-28.28,-0.021,-0.501,-1.015
-0.459,0.635,0.481,2.59,-12.81,-22.68,-0.015,-0.506,-1.019
-0.423,0.632,0.52,-5.04,-13.93,-20.37,-0.011,-0.499,-1.011
-0.402,0.657,0.541,-15.61,-14.0,-17.43,-0.011,-0.508,-1.008
-0.384,0.698,0.545,-26.53,-13.93,-14.91,-0.008,-0.508,-1.007
-0.368,0.741,0.543,-35.07,-14.07,-12.32,-0.009,-0.51,-1.004
-0.367,0.798,0.517,-41.23,-14.7,-8.19,-0.006,-0.51,-0.996
-0.391,0.848,0.492,-41.16,-15.96,-5.25,-0.003,-0.516,-0.991
-0.415,0.863,0.465,-35.21,-18.48,-1.47,-0.002,-0.51,-0.991
-0.461,0.878,0.483,-25.34,-19.39,7.49,0.0,-0.511,-0.987
-0.477,0.861,0.452,-23.1,-19.6,15.54,-0.005,-0.516,-0.978
-0.475,0.795,0.399,-33.74,-20.02,34.09,-0.009,-0.515,-0.973
-0.458,0.758,0.297,-48.65,-21.0,50.679,-0.011,-0.513,-0.973
-0.523,0.904,0.347,-52.01,-19.81,66.639,-0.022,-0.504,-0.959
-0.595,0.995,0.315,-45.22,-23.45,76.58,-0.024,-0.504,-0.957
-0.646,0.973,0.257,-23.73,-30.52,92.05,-0.036,-0.498,-0.95
-0.68,0.831,0.259,3.78,-44.38,108.57,-0.043,-0.495,-0.952
-0.797,0.648,0.289,24.43,-61.74,126.35,-0.063,-0.479,-0.952
-0.915,0.592,0.314,16.8,-70.35,134.05,-0.072,-0.472,-0.951
-1.074,0.576,0.317,4.83,-76.65,142.38,-0.083,-0.462,-0.945
-1.282,0.595,0.337,0.49,-81.13,155.4,-0.102,-0.443,-0.938
-1.433,0.596,0.331,7.0,-80.85,168.63,-0.113,-0.433,-0.928
-1.557,0.693,0.136,7.49,-84.28,177.24,-0.127,-0.41,-0.913
-1.773,0.731,0.081,-17.85,-90.37,163.03,-0.14,-0.398,-0.91
-1.767,0.742,0.01,-60.2,-71.19,134.61,-0.15,-0.39,-0.899
-1.682,0.878,0.003,-74.76,-62.93,95.69,-0.161,-0.37,-0.878
-1.533,0.835,0.013,-60.13,-52.15,61.81,-0.164,-0.361,-0.881
-1.364,0.769,0.028,-31.01,-47.53,36.96,-0.162,-0.355,-0.873
-1.245,0.615,0.109,2.03,-47.53,12.81,-0.161,-0.353,-0.871
-1.095,0.447,0.132,34.93,-47.6,0.49,-0.16,-0.36,-0.865
-1.006,0.324,0.179,68.74,-50.54,-14.77,-0.156,-0.369,-0.865
-0.926,0.248,0.18,59.57,-47.95,-20.23,-0.153,-0.372,-0.869
-0.853,0.308,0.179,58.169,-41.44,-24.78,-0.143,-0.38,-0.867
-0.782,0.402,0.169,62.37,-32.97,-31.57,-0.141,-0.38,-0.863
