ax,ay,az,gx,gy,gz,mx,my,mz
0.078,0.19,0.975,0.28,-2.73,0.63,0.362,-0.329,-1.321
0.076,0.194,0.973,0.49,-2.8,0.84,0.362,-0.332,-1.32
0.077,0.195,0.972,0.21,-2.73,0.7,0.367,-0.329,-1.314
0.081,0.193,0.971,-0.63,-2.87,0.35,0.362,-0.327,-1.316
0.081,0.2,0.974,-1.19,-3.01,0.07,0.366,-0.327,-1.32
0.076,0.204,0.968,0.07,-2.66,-0.35,0.361,-0.331,-1.316
0.079,0.188,0.969,1.05,-2.66,0.07,0.366,-0.331,-1.313
0.08,0.192,0.971,0.42,-2.31,0.0,0.367,-0.329,-1.318
0.08,0.194,0.967,0.21,-1.89,-0.28,0.365,-0.331,-1.321
0.079,0.188,0.965,0.21,-2.24,-0.35,0.356,-0.33,-1.318
0.08,0.194,0.971,0.14,-2.38,0.35,0.357,-0.332,-1.317
0.085,0.194,0.974,0.42,-2.38,0.28,0.359,-0.332,-1.317
0.078,0.198,0.977,0.21,-2.31,0.35,0.364,-0.329,-1.314
0.074,0.204,0.98,0.21,-2.03,-0.07,0.364,-0.329,-1.321
0.079,0.198,0.982,0.63,-2.1,-0.63,0.363,-0.331,-1.317
0.081,0.191,0.982,1.19,-1.96,-0.49,0.365,-0.33,-1.315
0.078,0.189,0.978,1.05,-2.03,-0.7,0.368,-0.331,-1.316
0.077,0.187,0.981,1.4,-2.1,-0.91,0.368,-0.332,-1.312
0.077,0.181,0.981,2.17,-2.17,-0.49,0.366,-0.334,-1.311
0.074,0.175,0.982,2.52,-2.03,-0.14,0.359,-0.333,-1.317
0.071,0.171,0.98,1.19,-1.61,0.42,0.363,-0.331,-1.317
0.071,0.164,0.97,-0.35,-1.19,0.91,0.362,-0.336,-1.315
0.072,0.151,0.958,-2.94,-0.7,1.4,0.361,-0.332,-1.318
0.073,0.1,0.939,-17.71,-1.75,0.7,0.358,-0.333,-1.319
0.05,-0.078,0.905,-54.74,-2.59,-3.71,0.36,-0.343,-1.317
0.025,-0.107,0.95,-126.7,-0.63,-7.42,0.363,-0.35,-1.31
0.015,0.046,0.92,-206.78,10.36,-9.52,0.364,-0.383,-1.293
0.043,0.253,0.813,-261.94,19.6,-13.37,0.37,-0.402,-1.281
0.104,0.354,0.681,-282.31,20.16,-13.65,0.369,-0.438,-1.244
0.12,0.147,0.649,-297.08,8.82,-3.5,0.372,-0.459,-1.222
0.064,-0.122,0.603,-349.44,10.22,7.56,0.375,-0.476,-1.213
-0.056,-0.383,0.449,-458.29,25.62,7.49,0.374,-0.519,-1.14
-0.166,-0.234,-0.162,-599.2,63.7,-1.75,0.374,-0.54,-1.09
-0.167,0.143,-0.734,-756.77,91.07,-29.47,0.375,-0.566,-0.952
-0.061,0.755,-1.423,-867.79,118.86,-123.2,0.378,-0.562,-0.881
0.52,1.562,-1.671,-840.91,117.53,-70.63,0.385,-0.497,-0.741
0.663,2.836,-1.319,-649.46,31.64,-34.16,0.378,-0.461,-0.692
0.331,2.742,-0.578,-353.43,17.22,-97.16,0.372,-0.406,-0.652
0.254,1.411,-0.537,8.54,50.05,-81.62,0.375,-0.405,-0.651
0.197,0.06,-0.538,116.62,32.55,-37.03,0.378,-0.414,-0.659
0.033,0.394,-0.702,-9.1,28.07,-5.11,0.374,-0.417,-0.665
0.264,0.886,-0.835,-90.86,18.69,-4.13,0.373,-0.413,-0.662
0.379,1.271,-0.784,-66.85,5.81,13.16,0.37,-0.402,-0.65
0.312,1.282,-0.651,14.0,-4.41,26.95,0.371,-0.402,-0.647
0.209,0.983,-0.572,74.83,-8.19,32.41,0.372,-0.419,-0.659
0.172,0.885,-0.515,66.22,-8.33,30.94,0.37,-0.425,-0.665
0.196,1.067,-0.521,54.179,-6.86,26.25,0.368,-0.426,-0.669
0.19,1.2,-0.498,75.46,-4.76,22.12,0.374,-0.435,-0.679
0.187,1.306,-0.523,126.21,-2.8,19.95,0.366,-0.444,-0.69
0.19,1.371,-0.596,195.3,-3.64,16.66,0.366,-0.469,-0.714
0.221,1.462,-0.72,333.2,-17.57,22.96,0.364,-0.481,-0.742
0.248,1.524,-0.679,450.45,-39.06,33.88,0.366,-0.526,-0.807
0.176,1.458,-0.555,597.17,-63.63,50.12,0.365,-0.546,-0.856
0.045,1.332,-0.447,756.35,-66.92,59.85,0.367,-0.56,-0.998
0.032,1.112,-0.537,862.82,-54.25,36.61,0.365,-0.56,-1.071
0.226,0.399,-0.255,848.82,-71.4,4.06,0.365,-0.526,-1.148
0.264,-0.166,0.034,731.359,-99.47,-22.82,0.359,-0.446,-1.257
0.121,-0.781,0.441,534.45,-104.02,-26.32,0.357,-0.401,-1.296
-0.058,-1.122,0.745,273.63,-78.82,40.11,0.339,-0.357,-1.317
-0.16,-0.544,1.027,60.06,-51.03,70.0,0.329,-0.353,-1.324
-0.199,0.022,1.026,-177.31,16.1,-59.29,0.333,-0.378,-1.311
0.091,0.909,0.839,-125.65,9.1,-44.87,0.337,-0.387,-1.301
0.137,0.708,0.89,10.22,-18.41,-27.51,0.339,-0.384,-1.296
0.023,0.231,1.012,90.37,-28.56,-17.29,0.343,-0.37,-1.306
-0.047,-0.039,1.09,84.21,-18.55,-17.85,0.337,-0.363,-1.315
0.005,-0.075,1.033,33.53,-1.61,-15.12,0.343,-0.359,-1.317
0.059,0.093,0.961,-18.62,7.07,-8.96,0.34,-0.356,-1.319
0.046,0.225,0.96,-18.48,6.02,-9.03,0.346,-0.361,-1.321
0.044,0.244,0.963,-10.29,5.25,-5.95,0.349,-0.358,-1.319
0.051,0.257,0.952,-1.54,3.99,-3.92,0.343,-0.365,-1.318
0.05,0.237,0.936,6.51,1.26,-2.73,0.349,-0.356,-1.321
0.044,0.205,0.957,7.98,-1.12,-2.38,0.345,-0.359,-1.316
0.035,0.244,0.949,-0.98,-1.12,-2.52,0.346,-0.356,-1.318
0.036,0.281,0.951,-1.26,-2.24,-2.94,0.347,-0.355,-1.314
0.04,0.269,0.941,2.8,-3.36,-4.13,0.343,-0.357,-1.315
0.042,0.245,0.948,5.95,-4.55,-4.34,0.348,-0.359,-1.31
0.035,0.227,0.958,4.97,-4.76,-4.41,0.345,-0.353,-1.309
0.033,0.229,0.957,0.84,-3.15,-4.27,0.346,-0.356,-1.317
0.045,0.262,0.944,-1.26,-2.66,-3.57,0.345,-0.357,-1.311
0.055,0.249,0.947,1.68,-3.29,-3.57,0.347,-0.352,-1.313
0.054,0.233,0.961,2.17,-3.71,-2.73,0.344,-0.349,-1.31
0.046,0.246,0.961,-0.07,-2.66,-2.52,0.35,-0.352,-1.304
0.054,0.245,0.954,-0.35,-2.24,-2.38,0.349,-0.35,-1.314
0.053,0.242,0.952,-1.26,-2.24,-2.31,0.345,-0.355,-1.307
0.053,0.246,0.942,-2.24,-1.89,-2.17,0.348,-0.355,-1.305
0.052,0.233,0.935,-2.24,-2.52,-2.03,0.347,-0.354,-1.314
0.047,0.219,0.942,-3.71,-2.8,-1.05,0.344,-0.354,-1.313
0.042,0.233,0.949,-6.93,-2.17,0.14,0.349,-0.357,-1.309
0.043,0.254,0.945,-8.05,-1.82,0.91,0.348,-0.359,-1.312
0.045,0.261,0.942,-5.81,-1.75,2.03,0.343,-0.357,-1.306
0.051,0.249,0.936,-2.94,-2.66,2.45,0.347,-0.353,-1.31
0.049,0.249,0.95,-4.13,-2.94,1.54,0.35,-0.357,-1.31
0.048,0.267,0.966,-5.88,-2.94,0.28,0.349,-0.354,-1.309
0.046,0.283,0.973,-4.62,-3.29,-0.14,0.342,-0.358,-1.309
0.044,0.273,0.973,-2.03,-3.57,-0.49,0.345,-0.357,-1.306
0.045,0.255,0.976,-0.49,-3.85,-0.35,0.346,-0.363,-1.305
0.042,0.252,0.98,-1.26,-3.08,0.14,0.346,-0.366,-1.304
0.04,0.258,0.98,-2.24,-2.45,-17.92,0.347,-0.363,-1.307
0.045,0.259,0.975,-2.38,-1.54,-0.07,0.347,-0.365,-1.311
0.051,0.262,0.969,-1.19,-1.68,-0.35,0.348,-0.363,-1.309
0.049,0.254,0.955,0.7,-1.26,0.14,0.346,-0.365,-1.309
0.051,0.244,0.955,0.91,-1.54,0.7,0.346,-0.362,-1.308
0.047,0.243,0.955,-0.91,-1.4,0.91,0.346,-0.363,-1.308
0.049,0.253,0.95,-2.94,-0.7,0.84,0.348,-0.363,-1.307
0.051,0.263,0.934,-2.94,-1.47,1.68,0.348,-0.365,-1.301
0.05,0.258,0.944,-2.03,-2.17,2.45,0.355,-0.364,-1.31
