ax,ay,az,gx,gy,gz,mx,my,mz
-1.547,0.429,0.221,48.649,49.98,-126.91,-0.144,-0.349,-0.987
-1.481,0.416,0.219,47.81,60.27,-119.35,-0.139,-0.353,-0.99
-1.344,0.391,0.192,44.1,70.139,-114.38,-0.121,-0.37,-1.005
-1.212,0.355,0.175,39.83,75.53,-113.05,-0.118,-0.381,-1.017
-1.105,0.315,0.154,30.24,77.629,-117.53,-0.111,-0.39,-1.028
-0.997,0.258,0.114,22.47,76.58,-124.74,-0.093,-0.41,-1.038
-0.946,0.225,0.077,13.51,72.8,-131.67,-0.082,-0.422,-1.042
-0.913,0.228,0.043,4.2,66.919,-136.5,-0.064,-0.435,-1.052
-0.892,0.242,0.03,-2.66,60.129,-138.81,-0.053,-0.449,-1.056
-0.882,0.269,0.029,-1.82,52.36,-135.59,-0.046,-0.459,-1.06
-0.873,0.286,0.03,6.3,42.84,-123.55,-0.022,-0.474,-1.059
-0.851,0.285,0.047,26.6,39.34,-113.19,-0.004,-0.478,-1.065
-0.833,0.254,0.051,39.62,37.94,-102.13,0.009,-0.49,-1.069
-0.808,0.206,0.052,45.99,37.38,-91.35,0.018,-0.493,-1.073
-0.78,0.162,0.042,44.8,37.45,-80.85,0.038,-0.502,-1.091
-0.774,0.131,0.031,37.1,18.69,-62.3,0.047,-0.502,-1.1
-0.807,0.118,0.031,19.11,30.66,-48.09,0.052,-0.505,-1.095
-0.817,0.122,0.036,5.32,27.3,-33.25,0.059,-0.509,-1.096
-0.826,0.124,0.049,-6.79,22.96,-18.13,0.064,-0.508,-1.093
-0.861,0.119,0.057,-18.55,17.64,-3.78,0.067,-0.514,-1.098
-0.951,0.106,0.037,-31.15,10.43,12.67,0.069,-0.511,-1.093
-1.12,0.133,0.042,-54.32,-3.29,46.13,0.065,-0.512,-1.083
-1.169,0.185,0.055,-69.86,-8.26,70.84,0.059,-0.513,-1.08
-1.167,0.263,0.113,-78.19,-14.42,95.409,0.051,-0.515,-1.065
-1.084,0.334,0.204,-76.23,-19.39,114.31,0.035,-0.511,-1.051
-0.951,0.369,0.252,-68.04,-21.91,122.78,0.03,-0.508,-1.046
-0.84,0.379,0.265,-55.02,-28.14,121.24,0.007,-0.498,-1.041
-0.874,0.334,0.215,-29.82,-41.16,114.38,-0.006,-0.492,-1.034
-1.008,0.304,0.173,-15.05,-50.96,115.85,-0.022,-0.483,-1.026
-1.142,0.306,0.165,-6.93,-59.01,120.96,-0.033,-0.477,-1.026
-1.221,0.309,0.172,-3.15,-62.51,125.93,-0.041,-0.474,-1.026
-1.228,0.285,0.199,-4.2,-62.44,131.6,-0.061,-0.459,-1.014
-1.165,0.262,0.24,-12.74,-57.82,136.01,-0.07,-0.451,-1.01
-1.036,0.268,0.282,-39.83,-47.67,134.82,-0.09,-0.433,-0.993
-0.965,0.31,0.301,-58.1,-42.63,131.04,-0.1,-0.426,-0.99
-0.907,0.339,0.303,-72.03,-39.55,123.97,-0.116,-0.411,-0.98
-0.884,0.344,0.309,-80.5,-38.57,116.06,-0.12,-0.399,-0.968
-0.891,0.341,0.315,-91.35,-33.74,106.82,-0.135,-0.382,-0.957
-0.897,0.361,0.285,-100.52,-28.49,102.55,-0.138,-0.373,-0.946
-0.899,0.403,0.27,-107.52,-23.59,98.91,-0.142,-0.367,-0.943
-0.9,0.448,0.264,-108.64,-18.97,95.48,-0.158,-0.349,-0.926
-0.888,0.475,0.272,-105.21,-16.1,91.21,-0.162,-0.342,-0.923
-0.879,0.489,0.287,-100.45,-14.14,85.54,-0.166,-0.321,-0.913
-0.875,0.5,0.296,-96.88,-12.81,73.5,-0.171,-0.314,-0.902
-0.866,0.538,0.315,-91.84,-12.67,63.629,-0.171,-0.309,-0.902
-0.842,0.557,0.332,-86.17,-13.93,52.22,-0.179,-0.294,-0.893
-0.834,0.567,0.352,-77.98,-15.89,40.6,-0.184,-0.286,-0.888
-0.867,0.583,0.38,-67.55,-18.27,29.75,-0.186,-0.282,-0.88
-0.904,0.601,0.404,-56.98,-19.46,19.67,-0.182,-0.28,-0.881
-0.919,0.626,0.417,-38.85,-18.9,5.46,-0.185,-0.272,-0.873
-0.98,0.624,0.428,-24.01,-19.88,-2.94,-0.183,-0.272,-0.876
-1.088,0.608,0.43,-9.66,-18.41,-10.15,-0.185,-0.274,-0.873
-1.291,0.626,0.451,4.06,-15.33,-16.17,-0.184,-0.28,-0.864
-1.45,0.647,0.482,15.33,-8.54,-21.91,-0.181,-0.281,-0.86
-1.495,0.656,0.527,22.47,1.47,-29.47,-0.181,-0.289,-0.858
-1.426,0.64,0.556,31.29,24.01,-51.45,-0.18,-0.297,-0.859
-1.102,0.462,0.486,27.3,34.79,-75.11,-0.183,-0.313,-0.863
-1.027,0.377,0.444,21.07,41.65,-103.88,-0.176,-0.329,-0.863
-1.088,0.286,0.379,12.39,47.11,-134.61,-0.175,-0.341,-0.86
-1.216,0.244,0.353,-0.21,50.33,-156.38,-0.162,-0.372,-0.868
-1.374,0.277,0.376,-9.17,54.179,-170.1,-0.15,-0.391,-0.863
-1.497,0.28,0.381,-12.04,61.879,-172.55,-0.123,-0.432,-0.864
-1.541,0.284,0.379,-14.0,68.11,-161.91,-0.105,-0.455,-0.865
-1.475,0.311,0.361,-16.59,79.59,-150.43,-0.089,-0.477,-0.867
-1.339,0.328,0.345,-17.08,91.77,-141.19,-0.055,-0.522,-0.888
-1.193,0.311,0.333,-13.44,99.61,-134.12,-0.04,-0.536,-0.901
-1.076,0.271,0.284,-7.63,100.52,-130.41,-0.002,-0.556,-0.93
-0.961,0.205,0.278,-4.83,97.93,-131.04,0.011,-0.563,-0.943
-0.906,0.159,0.231,-4.27,95.06,-129.5,0.04,-0.567,-0.97
-0.863,0.141,0.193,-7.28,89.669,-125.02,0.046,-0.569,-0.969
-0.827,0.142,0.16,-11.48,84.7,-117.53,0.062,-0.57,-0.977
-0.788,0.147,0.156,-14.28,79.59,-105.98,0.078,-0.572,-0.987
-0.742,0.159,0.146,-11.41,72.659,-85.54,0.086,-0.573,-0.99
-0.677,0.164,0.132,-5.74,67.27,-70.0,0.098,-0.569,-0.997
-0.64,0.154,0.132,0.77,62.51,-53.69,0.104,-0.567,-1.002
-0.613,0.137,0.121,5.88,58.03,-36.68,0.108,-0.562,-1.012
-0.606,0.12,0.105,8.26,52.149,-18.13,0.109,-0.566,-1.015
-0.63,0.115,0.098,8.4,45.08,2.03,0.111,-0.564,-1.01
-0.696,0.129,0.111,4.27,35.7,33.88,0.104,-0.56,-1.017
-0.736,0.134,0.118,-1.05,30.1,54.25,0.102,-0.553,-1.02
-0.761,0.132,0.121,-9.45,25.06,73.99,0.087,-0.551,-1.022
-0.773,0.13,0.117,-21.14,20.72,91.56,0.075,-0.549,-1.019
-0.814,0.134,0.073,-34.02,15.54,109.2,0.065,-0.54,-1.014
-0.914,0.147,0.031,-53.34,1.05,140.63,0.048,-0.535,-1.009
-1.109,0.176,0.009,-66.64,-6.86,164.29,0.037,-0.53,-1.011
-1.214,0.22,0.046,-81.2,-14.0,187.39,0.009,-0.518,-1.001
-1.283,0.308,0.132,-91.91,-15.26,207.55,-0.005,-0.51,-0.987
-1.241,0.41,0.228,-95.62,-9.87,218.96,-0.042,-0.486,-0.982
-1.109,0.468,0.263,-92.4,-3.64,218.19,-0.053,-0.473,-0.973
-1.002,0.467,0.23,-77.7,-5.53,203.14,-0.084,-0.453,-0.956
-1.162,0.429,0.107,-61.88,-13.79,194.95,-0.097,-0.44,-0.956
-1.377,0.447,0.107,-49.0,-24.15,189.35,-0.112,-0.425,-0.954
-1.492,0.479,0.158,-42.42,-27.65,179.69,-0.13,-0.397,-0.942
-1.483,0.477,0.221,-41.86,-25.97,166.25,-0.137,-0.382,-0.938
-1.377,0.434,0.247,-51.73,-22.47,131.39,-0.151,-0.363,-0.929
-1.203,0.382,0.216,-89.32,-14.84,119.91,-0.154,-0.35,-0.931
-0.99,0.37,0.173,-115.29,-13.51,98.77,-0.16,-0.339,-0.912
-0.92,0.39,0.182,-131.95,-14.14,80.78,-0.164,-0.331,-0.91
-0.873,0.401,0.185,-140.63,-15.05,65.379,-0.165,-0.325,-0.901
-0.859,0.394,0.19,-147.49,-15.82,52.78,-0.171,-0.31,-0.895
-0.861,0.387,0.179,-154.56,-13.65,44.59,-0.17,-0.301,-0.881
-0.845,0.404,0.161,-161.14,-8.96,41.79,-0.168,-0.295,-0.874
-0.816,0.443,0.147,-145.25,-3.5,43.19,-0.171,-0.288,-0.86
-0.785,0.492,0.151,-152.74,-2.66,46.2,-0.173,-0.275,-0.854
-0.771,0.511,0.181,-140.49,-2.66,51.03,-0.178,-0.257,-0.851
-0.774,0.538,0.219,-126.14,-2.52,55.58,-0.178,-0.245,-0.846
-0.78,0.55,0.261,-110.53,-3.71,58.379,-0.181,-0.233,-0.843
-0.8,0.561,0.302,-95.13,-6.3,61.25,-0.18,-0.224,-0.838
-0.864,0.604,0.357,-73.43,-11.34,63.35,-0.183,-0.209,-0.836
