ax,ay,az,gx,gy,gz,mx,my,mz
-1.024,0.377,0.117,-31.22,-0.56,10.85,-0.219,-0.32,-0.886
-0.913,0.418,0.096,-37.24,6.02,10.22,-0.218,-0.313,-0.884
-0.807,0.451,0.1,-33.11,2.87,8.4,-0.221,-0.307,-0.882
-0.766,0.473,0.115,-20.09,-6.79,5.25,-0.219,-0.307,-0.882
-0.79,0.485,0.12,-3.36,-18.62,3.01,-0.218,-0.306,-0.872
-0.837,0.476,0.126,25.83,-26.67,3.36,-0.219,-0.308,-0.875
-0.866,0.42,0.135,42.49,-24.85,4.13,-0.221,-0.31,-0.875
-0.889,0.373,0.135,51.87,-24.29,3.08,-0.218,-0.31,-0.87
-0.941,0.316,0.158,52.919,-24.15,1.61,-0.217,-0.31,-0.869
-0.996,0.279,0.183,43.05,-19.88,0.0,-0.223,-0.314,-0.874
-1.023,0.276,0.179,25.62,-11.69,-3.5,-0.22,-0.312,-0.879
-1.029,0.287,0.154,7.07,-4.2,-5.95,-0.217,-0.315,-0.874
-1.034,0.296,0.132,-13.09,4.62,-9.59,-0.218,-0.319,-0.871
-1.03,0.304,0.128,-24.78,11.27,-12.67,-0.218,-0.317,-0.871
-0.98,0.308,0.119,-34.3,17.57,-14.91,-0.215,-0.317,-0.866
-0.943,0.319,0.101,-41.58,18.83,-16.87,-0.214,-0.317,-0.873
-0.935,0.337,0.095,-44.31,16.31,-17.92,-0.212,-0.321,-0.873
-0.946,0.361,0.103,-41.44,12.53,-16.87,-0.211,-0.318,-0.869
-0.956,0.387,0.111,-33.46,9.24,-15.47,-0.216,-0.32,-0.874
-0.972,0.405,0.118,-19.74,4.76,-13.58,-0.213,-0.323,-0.869
-0.989,0.411,0.143,15.19,-2.38,-9.03,-0.207,-0.323,-0.873
-0.988,0.349,0.155,21.21,-3.22,-7.21,-0.206,-0.325,-0.871
-0.988,0.296,0.181,29.82,-4.9,-5.11,-0.212,-0.328,-0.871
-1.0,0.256,0.237,31.08,-4.83,-3.43,-0.21,-0.322,-0.872
-1.009,0.214,0.281,25.69,-1.05,-1.89,-0.211,-0.329,-0.875
-0.99,0.183,0.266,11.9,7.21,-0.7,-0.209,-0.33,-0.881
-0.944,0.165,0.226,-4.48,19.11,0.98,-0.211,-0.334,-0.884
-0.896,0.161,0.208,-19.6,27.72,3.78,-0.21,-0.324,-0.889
-0.865,0.218,0.237,-35.63,32.34,8.33,-0.21,-0.323,-0.891
-0.86,0.247,0.246,-39.34,32.06,10.57,-0.214,-0.321,-0.888
-0.875,0.271,0.249,-37.73,30.87,14.42,-0.217,-0.317,-0.888
-0.913,0.285,0.246,-34.3,28.91,19.11,-0.214,-0.317,-0.894
-0.977,0.3,0.241,-29.96,26.88,24.92,-0.216,-0.313,-0.896
-1.032,0.301,0.233,-27.37,28.42,30.66,-0.218,-0.303,-0.899
-1.033,0.3,0.197,-29.96,37.94,33.88,-0.223,-0.3,-0.904
-0.995,0.309,0.164,-36.12,43.75,31.36,-0.225,-0.293,-0.898
-0.955,0.315,0.14,-42.91,45.64,25.48,-0.231,-0.289,-0.903
-0.912,0.315,0.119,-49.42,46.34,17.5,-0.23,-0.287,-0.906
-0.862,0.308,0.104,-54.81,45.36,9.1,-0.226,-0.29,-0.904
-0.811,0.297,0.094,-59.78,41.72,2.1,-0.23,-0.284,-0.916
-0.782,0.296,0.092,-62.79,34.72,-1.89,-0.231,-0.276,-0.916
-0.764,0.297,0.109,-63.42,24.15,-1.12,-0.234,-0.279,-0.912
-0.726,0.287,0.111,-62.16,19.25,3.29,-0.231,-0.281,-0.916
-0.695,0.282,0.099,-61.6,14.28,10.43,-0.234,-0.279,-0.918
-0.675,0.287,0.089,-61.04,8.12,19.67,-0.237,-0.27,-0.916
-0.657,0.294,0.103,-58.45,1.89,30.52,-0.238,-0.271,-0.917
-0.642,0.31,0.121,-54.39,-3.99,43.05,-0.239,-0.266,-0.913
-0.653,0.329,0.154,-49.7,-12.67,55.649,-0.244,-0.253,-0.909
-0.693,0.347,0.2,-44.03,-27.02,75.81,-0.246,-0.244,-0.902
-0.829,0.355,0.371,-34.09,-33.39,87.85,-0.246,-0.231,-0.892
-0.965,0.352,0.417,-38.57,-36.12,97.86,-0.25,-0.224,-0.888
-1.087,0.348,0.41,-52.99,-30.1,103.6,-0.248,-0.2,-0.881
-1.176,0.429,0.475,-72.03,-17.36,103.46,-0.252,-0.189,-0.886
-1.202,0.582,0.515,-92.26,-1.4,95.83,-0.262,-0.172,-0.884
-1.172,0.747,0.668,-96.46,12.74,79.8,-0.255,-0.159,-0.885
-1.129,0.868,0.831,-56.84,38.92,51.1,-0.258,-0.146,-0.882
-0.831,0.734,0.747,-17.5,41.16,29.82,-0.258,-0.14,-0.897
-0.677,0.556,0.63,14.28,23.45,15.12,-0.259,-0.14,-0.897
-0.647,0.454,0.531,30.59,2.31,4.27,-0.259,-0.137,-0.905
-0.662,0.4,0.442,33.88,-2.73,-3.78,-0.257,-0.138,-0.903
-0.637,0.393,0.395,31.22,6.79,-5.11,-0.255,-0.138,-0.902
-0.57,0.419,0.375,30.94,23.8,-1.47,-0.26,-0.142,-0.911
-0.493,0.409,0.387,34.09,27.72,2.59,-0.263,-0.139,-0.91
-0.47,0.382,0.356,31.64,29.26,5.32,-0.263,-0.136,-0.918
-0.462,0.367,0.289,23.73,32.2,5.25,-0.255,-0.133,-0.917
-0.51,0.388,0.37,17.99,32.34,5.04,-0.258,-0.131,-0.925
-0.622,0.411,0.417,9.87,27.51,5.32,-0.257,-0.131,-0.932
-0.743,0.359,0.298,-25.76,31.01,-6.16,-0.255,-0.13,-0.935
-1.025,0.386,0.107,-62.09,28.84,-18.69,-0.26,-0.126,-0.939
-1.251,0.503,-0.093,-102.48,27.51,-37.73,-0.259,-0.129,-0.934
-1.481,0.602,-0.108,-133.35,50.33,-66.71,-0.261,-0.135,-0.938
-1.558,0.637,-0.249,-145.321,110.04,-101.01,-0.265,-0.149,-0.953
-1.383,0.584,-0.333,-133.42,125.51,-129.36,-0.264,-0.159,-0.965
-1.265,0.549,-0.214,-98.07,94.149,-151.13,-0.262,-0.17,-0.974
-1.245,0.435,0.007,-52.64,52.01,-175.42,-0.257,-0.205,-0.983
-1.185,0.308,0.098,-22.33,12.53,-206.64,-0.254,-0.22,-0.979
-1.174,0.188,0.122,-7.7,-11.83,-217.7,-0.245,-0.262,-0.982
-1.113,0.142,0.035,-12.95,-25.69,-222.74,-0.238,-0.284,-0.985
-1.032,0.057,-0.046,-13.72,-40.04,-218.68,-0.226,-0.3,-0.979
-0.958,0.006,-0.092,-13.93,-47.32,-199.85,-0.208,-0.34,-0.968
-0.986,0.02,-0.084,-16.1,-55.58,-171.08,-0.2,-0.352,-0.966
-1.051,0.018,0.055,-18.97,-61.25,-144.62,-0.187,-0.38,-0.956
-1.004,0.015,0.138,-12.46,-59.99,-101.01,-0.184,-0.387,-0.948
-0.921,0.01,0.144,-2.31,-57.61,-73.57,-0.175,-0.394,-0.941
-0.85,0.049,0.106,8.61,-57.61,-49.63,-0.164,-0.404,-0.935
-0.797,0.073,0.091,16.24,-59.29,-26.67,-0.158,-0.406,-0.933
-0.795,0.085,0.113,25.76,-63.14,-3.71,-0.156,-0.407,-0.922
-0.817,0.079,0.166,33.53,-67.97,20.58,-0.165,-0.406,-0.923
-0.861,0.091,0.217,36.12,-74.62,44.45,-0.164,-0.405,-0.923
-0.913,0.133,0.244,33.81,-81.97,66.08,-0.165,-0.396,-0.917
-0.962,0.168,0.228,28.28,-85.47,85.96,-0.171,-0.394,-0.906
-1.022,0.203,0.198,20.02,-87.43,104.58,-0.174,-0.383,-0.89
-1.13,0.247,0.184,8.61,-87.71,139.65,-0.18,-0.374,-0.884
-1.301,0.218,0.187,-11.2,-86.1,139.65,-0.191,-0.363,-0.881
-1.494,0.445,0.062,-48.65,-80.99,136.36,-0.205,-0.336,-0.864
-1.533,0.715,0.219,-102.13,-50.82,109.55,-0.21,-0.322,-0.86
-1.433,0.927,0.093,-98.42,-19.95,93.94,-0.21,-0.312,-0.853
-1.312,1.161,0.092,-20.44,-17.64,94.919,-0.217,-0.294,-0.847
-1.194,1.085,0.018,97.3,-24.57,86.24,-0.22,-0.289,-0.84
-1.17,0.762,-0.046,218.47,-64.26,60.97,-0.221,-0.283,-0.853
-1.256,0.337,-0.012,228.62,-71.54,42.42,-0.221,-0.287,-0.854
-1.235,0.174,-0.013,195.37,-56.84,23.94,-0.228,-0.29,-0.852
-1.192,0.12,-0.018,139.16,-43.12,7.07,-0.225,-0.296,-0.854
-1.199,0.13,0.023,81.83,-39.13,-1.12,-0.222,-0.301,-0.859
-1.216,0.188,0.098,29.82,-34.58,-1.19,-0.221,-0.303,-0.86
-1.176,0.252,0.152,-17.29,-25.27,-0.28,-0.221,-0.301,-0.86
-1.05,0.373,0.148,-78.33,-15.12,-1.47,-0.218,-0.298,-0.853
-0.983,0.455,0.117,-98.56,-13.44,-2.1,-0.219,-0.293,-0.842
-0.932,0.511,0.074,-94.99,-12.74,0.63,-0.22,-0.289,-0.837
-0.899,0.535,0.047,-72.66,-14.21,7.14,-0.225,-0.286,-0.834
-0.87,0.532,0.05,-43.89,-15.61,14.0,-0.225,-0.283,-0.834
-0.845,0.52,0.064,-5.88,-17.15,20.3,-0.222,-0.281,-0.821
-0.84,0.502,0.077,12.18,-19.74,22.89,-0.221,-0.277,-0.826
-0.867,0.457,0.093,23.8,-21.7,24.08,-0.222,-0.274,-0.823
-0.893,0.43,0.087,28.63,-20.93,24.36,-0.221,-0.269,-0.822
-0.933,0.417,0.092,27.79,-20.09,23.94,-0.218,-0.274,-0.822
-0.975,0.417,0.105,21.7,-17.08,22.4,-0.22,-0.269,-0.821
-1.01,0.421,0.098,12.18,-11.97,19.95,-0.22,-0.269,-0.819
-1.042,0.431,0.084,-16.31,-4.62,15.75,-0.222,-0.262,-0.821
-1.064,0.444,0.065,-12.81,0.28,11.83,-0.222,-0.258,-0.821
-1.052,0.455,0.054,-21.63,5.95,8.12,-0.225,-0.258,-0.819
-1.036,0.473,0.054,-27.65,8.82,3.64,-0.226,-0.255,-0.822
-1.028,0.492,0.069,-30.24,9.03,-0.7,-0.227,-0.252,-0.816
-1.016,0.491,0.072,-30.24,9.24,-4.97,-0.229,-0.251,-0.812
-0.997,0.48,0.054,-29.54,9.87,-9.24,-0.23,-0.253,-0.813
-0.998,0.459,0.038,-27.16,8.75,-14.84,-0.228,-0.255,-0.816
-1.017,0.458,0.05,-24.43,9.03,-16.45,-0.228,-0.255,-0.823
-1.003,0.455,0.048,-21.0,11.2,-17.5,-0.225,-0.257,-0.824
-0.978,0.445,0.042,-17.22,11.2,-18.06,-0.227,-0.259,-0.824
-0.947,0.437,0.042,-12.81,11.2,-18.97,-0.227,-0.255,-0.826
-0.917,0.424,0.033,-8.26,10.08,-20.37,-0.225,-0.258,-0.823
-0.914,0.406,0.022,-4.13,7.42,-20.72,-0.226,-0.262,-0.823
-0.934,0.382,0.021,0.98,3.57,-18.34,-0.226,-0.264,-0.827
-0.929,0.367,0.02,2.1,2.66,-15.68,-0.222,-0.265,-0.828
-0.917,0.366,0.021,1.75,0.98,-12.04,-0.225,-0.268,-0.828
-0.914,0.376,0.027,1.68,-2.31,-8.05,-0.224,-0.273,-0.828
-0.921,0.392,0.041,3.43,-5.67,-4.27,-0.222,-0.274,-0.826
-0.921,0.409,0.055,7.49,-8.75,-0.28,-0.221,-0.276,-0.825
-0.91,0.423,0.056,13.02,-11.48,3.08,-0.224,-0.275,-0.821
-0.915,0.427,0.055,20.44,-15.19,5.25,-0.222,-0.271,-0.824
-0.929,0.421,0.06,29.54,-18.48,7.21,-0.221,-0.274,-0.823
-0.936,0.411,0.069,39.13,-17.64,7.28,-0.224,-0.277,-0.823
-0.923,0.386,0.079,41.02,-15.61,5.11,-0.223,-0.275,-0.824
-0.917,0.362,0.083,38.99,-13.93,2.03,-0.223,-0.275,-0.83
-0.914,0.336,0.084,34.02,-11.48,-2.17,-0.225,-0.28,-0.823
-0.905,0.313,0.084,26.53,-7.63,-5.46,-0.223,-0.283,-0.825
-0.886,0.301,0.081,16.24,-3.99,-9.24,-0.226,-0.289,-0.826
-0.864,0.308,0.08,4.83,-0.7,-12.53,-0.22,-0.292,-0.824
-0.844,0.325,0.077,-3.01,1.75,-14.56,-0.217,-0.288,-0.822
-0.827,0.338,0.066,-6.51,3.99,-15.05,-0.217,-0.293,-0.826
-0.835,0.353,0.066,-6.02,2.94,-13.93,-0.217,-0.291,-0.831
-0.856,0.363,0.08,-3.99,1.61,-11.48,-0.217,-0.293,-0.833
-0.874,0.364,0.071,-2.45,2.87,-8.61,-0.222,-0.296,-0.829
-0.881,0.367,0.059,-2.87,3.64,-5.88,-0.223,-0.295,-0.83
-0.879,0.364,0.042,-3.08,5.53,-4.48,-0.215,-0.294,-0.828
-0.892,0.367,0.034,-3.29,5.32,-2.52,-0.221,-0.294,-0.828
-0.928,0.37,0.035,-6.44,4.34,-0.91,-0.221,-0.298,-0.836
-0.95,0.371,0.026,-10.85,6.51,-0.42,-0.222,-0.299,-0.835
-0.941,0.384,0.01,-16.17,8.19,-0.49,-0.224,-0.298,-0.831
-0.934,0.401,-0.001,-20.44,7.7,-1.4,-0.222,-0.295,-0.833
-0.931,0.413,-0.01,-21.42,6.51,-2.38,-0.222,-0.297,-0.833
-0.926,0.418,-0.014,-19.18,2.94,-3.5,-0.222,-0.293,-0.837
-0.914,0.422,-0.011,-16.38,0.21,-3.78,-0.225,-0.299,-0.835
-0.897,0.42,-0.01,-13.09,-2.66,-4.41,-0.225,-0.296,-0.833
-0.872,0.41,-0.019,-9.24,-5.18,-4.55,-0.221,-0.293,-0.837
-0.86,0.396,-0.026,-5.39,-8.75,-4.06,-0.22,-0.292,-0.834
-0.871,0.391,-0.015,-1.61,-13.44,-1.47,-0.217,-0.293,-0.832
-0.886,0.4,0.005,2.52,-17.36,2.59,-0.219,-0.292,-0.835
-0.888,0.415,0.019,8.82,-20.02,8.89,-0.221,-0.294,-0.83
-0.899,0.434,0.022,14.0,-22.47,12.6,-0.222,-0.294,-0.829
-0.922,0.442,0.027,20.09,-24.22,16.8,-0.219,-0.293,-0.822
-0.952,0.441,0.039,25.2,-24.64,19.53,-0.22,-0.285,-0.823
-0.981,0.432,0.047,27.23,-23.73,21.21,-0.224,-0.284,-0.821
-1.011,0.428,0.047,24.43,-21.21,21.0,-0.223,-0.288,-0.825
-1.047,0.418,0.036,16.8,-17.71,18.9,-0.228,-0.283,-0.821
-1.081,0.416,0.04,6.44,-13.65,15.82,-0.226,-0.281,-0.825
-1.088,0.425,0.05,-4.48,-8.54,11.41,-0.223,-0.278,-0.82
-1.058,0.44,0.048,-15.61,-3.71,5.74,-0.223,-0.278,-0.814
-0.972,0.457,0.028,-25.34,0.42,-4.62,-0.221,-0.28,-0.812
-0.932,0.464,0.018,-24.92,0.0,-10.85,-0.225,-0.278,-0.815
-0.922,0.464,0.028,-20.16,-2.52,-16.52,-0.222,-0.278,-0.812
-0.92,0.451,0.046,-12.32,-3.57,-20.02,-0.219,-0.28,-0.812
-0.908,0.431,0.064,-4.83,-3.5,-21.07,-0.217,-0.281,-0.817
-0.887,0.414,0.066,0.42,-3.29,-21.56,-0.218,-0.282,-0.809
-0.873,0.396,0.058,4.2,-3.15,-21.07,-0.212,-0.292,-0.814
-0.872,0.377,0.059,7.28,-3.36,-19.11,-0.212,-0.29,-0.814
-0.872,0.36,0.061,8.47,-2.8,-15.75,-0.211,-0.293,-0.813
-0.869,0.339,0.057,5.67,-1.82,-10.22,-0.21,-0.297,-0.815
-0.876,0.339,0.055,1.89,-1.26,-6.09,-0.207,-0.295,-0.815
-0.886,0.355,0.059,-2.1,-0.91,-2.59,-0.209,-0.293,-0.811
-0.885,0.378,0.057,-4.69,0.0,1.26,-0.213,-0.295,-0.815
-0.875,0.395,0.048,-4.55,0.91,4.48,-0.209,-0.298,-0.814
-0.871,0.415,0.041,-2.38,0.07,6.79,-0.21,-0.29,-0.811
-0.876,0.427,0.042,2.1,-1.75,8.89,-0.215,-0.293,-0.815
-0.898,0.434,0.045,10.36,-3.01,9.73,-0.211,-0.294,-0.818
-0.928,0.449,0.053,12.95,-3.71,9.52,-0.212,-0.292,-0.819
-0.949,0.456,0.057,14.42,-2.38,8.75,-0.214,-0.291,-0.818
-0.955,0.459,0.055,15.68,0.56,7.63,-0.216,-0.292,-0.817
-0.951,0.445,0.039,15.26,4.27,4.55,-0.215,-0.296,-0.82
-0.951,0.42,0.013,11.9,7.91,0.28,-0.217,-0.294,-0.823
-0.961,0.393,-0.006,4.97,10.43,-3.71,-0.215,-0.294,-0.825
-0.975,0.38,-0.002,-4.13,11.76,-7.7,-0.214,-0.296,-0.823
-0.972,0.389,0.0,-32.97,14.07,-9.73,-0.217,-0.293,-0.821
-0.948,0.409,-0.001,-27.02,13.23,-10.71,-0.214,-0.292,-0.82
-0.909,0.456,0.001,-27.86,10.43,-10.64,-0.215,-0.296,-0.826
-0.889,0.482,0.002,-21.98,6.79,-10.43,-0.217,-0.296,-0.833
-0.862,0.481,-0.012,-11.27,4.41,-9.59,-0.215,-0.294,-0.827
-0.854,0.462,-0.025,0.63,1.12,-7.84,-0.22,-0.295,-0.826
-0.879,0.437,-0.012,9.59,-3.36,-5.6,-0.223,-0.296,-0.829
-0.907,0.415,0.009,13.58,-5.18,-4.41,-0.219,-0.297,-0.82
-0.905,0.402,0.017,11.62,-4.41,-3.08,-0.221,-0.3,-0.831
-0.879,0.404,-0.002,3.15,-3.71,-2.17,-0.219,-0.299,-0.828
-0.874,0.419,-0.013,-0.7,-3.99,-1.75,-0.214,-0.301,-0.825
-0.873,0.436,-0.005,-1.61,-4.62,-0.91,-0.223,-0.297,-0.826
-0.872,0.448,0.0,-0.84,-5.18,0.21,-0.217,-0.3,-0.828
-0.883,0.456,0.0,0.84,-6.93,1.33,-0.209,-0.3,-0.827
-0.906,0.461,0.009,2.38,-9.1,2.17,-0.216,-0.3,-0.822
-0.921,0.465,0.018,3.64,-8.75,2.87,-0.214,-0.299,-0.823
-0.929,0.472,0.025,4.13,-8.19,2.45,-0.213,-0.301,-0.824
-0.955,0.482,0.04,5.04,-7.14,1.19,-0.214,-0.299,-0.823
-0.974,0.477,0.043,4.97,-5.04,-0.84,-0.213,-0.302,-0.827
-0.998,0.461,0.031,2.45,-2.45,-3.64,-0.213,-0.299,-0.829
-1.04,0.444,0.023,-2.24,0.7,-6.23,-0.212,-0.297,-0.823
-1.085,0.439,0.035,-9.17,3.99,-8.75,-0.215,-0.3,-0.819
-1.088,0.434,0.04,-18.55,10.22,-11.97,-0.214,-0.301,-0.82
-1.036,0.428,0.015,-27.51,15.82,-15.82,-0.215,-0.301,-0.833
-1.0,0.43,-0.007,-34.65,16.8,-19.6,-0.21,-0.304,-0.827
-0.997,0.435,-0.011,-37.52,14.91,-22.19,-0.217,-0.303,-0.828
-1.005,0.438,-0.011,-34.02,12.18,-21.42,-0.213,-0.308,-0.827
-1.008,0.443,-0.008,-29.4,10.57,-18.69,-0.21,-0.303,-0.826
-0.996,0.447,-0.011,-23.59,8.33,-15.05,-0.21,-0.3,-0.827
-0.994,0.447,-0.016,-16.94,4.97,-10.22,-0.213,-0.3,-0.829
-1.029,0.445,-0.022,-9.87,0.21,-4.83,-0.21,-0.303,-0.832
-1.086,0.45,-0.021,-4.76,-2.87,1.68,-0.207,-0.303,-0.829
-1.148,0.455,-0.028,-2.1,-3.99,11.83,-0.212,-0.301,-0.827
-1.242,0.472,-0.028,-4.27,-4.48,17.15,-0.217,-0.3,-0.824
-1.265,0.486,-0.034,-9.73,-1.61,19.6,-0.216,-0.298,-0.824
-1.237,0.494,-0.045,-17.29,3.22,17.99,-0.213,-0.292,-0.827
-1.201,0.497,-0.058,-25.2,7.49,12.6,-0.21,-0.292,-0.832
-1.169,0.484,-0.069,-32.06,11.27,4.06,-0.218,-0.289,-0.824
-1.119,0.455,-0.083,-39.9,17.36,-8.33,-0.215,-0.286,-0.826
-1.046,0.43,-0.082,-44.1,17.85,-16.31,-0.216,-0.284,-0.826
-1.012,0.423,-0.073,-47.67,17.08,-22.26,-0.218,-0.287,-0.824
-0.981,0.419,-0.075,-48.3,15.96,-25.27,-0.217,-0.282,-0.828
-0.951,0.42,-0.087,-46.06,13.72,-25.34,-0.212,-0.285,-0.822
-0.937,0.398,-0.099,-42.84,10.64,-22.96,-0.208,-0.285,-0.821
-0.924,0.38,-0.108,-36.33,5.95,-12.53,-0.212,-0.286,-0.823
-0.912,0.389,-0.09,-29.61,2.03,-4.2,-0.213,-0.288,-0.827
-0.912,0.411,-0.069,-21.42,-1.75,4.13,-0.213,-0.285,-0.826
-0.887,0.42,-0.082,-13.3,-1.47,10.92,-0.215,-0.281,-0.818
-0.862,0.422,-0.139,-5.18,-1.26,16.24,-0.215,-0.281,-0.822
-0.879,0.422,-0.205,0.56,-2.03,18.97,-0.213,-0.276,-0.827
-0.918,0.401,-0.27,6.09,-1.89,19.04,-0.214,-0.279,-0.825
-0.945,0.364,-0.328,10.22,-2.38,16.59,-0.214,-0.273,-0.831
-0.957,0.316,-0.348,11.13,-5.25,9.59,-0.212,-0.273,-0.825
-0.955,0.256,-0.312,1.26,-14.42,6.02,-0.21,-0.275,-0.826
-0.951,0.252,-0.263,-9.73,-23.24,5.18,-0.21,-0.277,-0.823
-1.014,0.286,-0.196,-20.58,-36.12,7.07,-0.209,-0.272,-0.816
-1.083,0.357,-0.139,-29.12,-47.46,11.76,-0.208,-0.273,-0.81
-1.073,0.449,-0.122,-32.97,-56.35,16.66,-0.21,-0.265,-0.798
-1.059,0.504,-0.03,-19.81,-65.24,22.75,-0.21,-0.266,-0.799
-1.298,-0.408,1.015,7.14,-12.6,60.2,-0.212,-0.263,-0.794
-1.004,-0.81,0.458,-49.98,58.94,144.9,-0.215,-0.246,-0.797
-1.467,0.186,0.208,-153.93,3.57,109.13,-0.215,-0.224,-0.798
-1.515,0.673,0.03,-156.45,18.2,9.8,-0.224,-0.208,-0.789
