ax,ay,az,gx,gy,gz,mx,my,mz
-0.935,0.266,0.261,0.49,-2.59,-0.63,-0.174,-0.384,-0.992
-0.935,0.27,0.258,0.56,-2.59,-0.28,-0.175,-0.386,-1.0
-0.936,0.272,0.254,0.98,-2.45,-0.14,-0.174,-0.398,-0.992
-0.935,0.273,0.254,0.84,-2.73,0.07,-0.175,-0.392,-0.998
-0.939,0.278,0.253,0.56,-2.73,-0.21,-0.179,-0.395,-1.0
-0.941,0.281,0.255,0.7,-2.87,-0.56,-0.172,-0.397,-1.005
-0.942,0.281,0.256,1.12,-2.73,-0.49,-0.171,-0.394,-1.002
-0.939,0.275,0.255,1.33,-2.66,-0.63,-0.173,-0.391,-1.0
-0.933,0.271,0.253,0.84,-2.17,-0.7,-0.173,-0.393,-1.001
-0.93,0.27,0.254,0.35,-2.31,-0.7,-0.175,-0.392,-1.006
-0.934,0.271,0.249,-0.49,-2.52,-0.63,-0.169,-0.389,-1.0
-0.937,0.275,0.279,-0.07,-2.59,-0.56,-0.173,-0.391,-1.004
-0.941,0.278,0.255,0.28,-2.8,-0.63,-0.17,-0.392,-1.001
-0.942,0.275,0.249,0.0,-2.66,-0.77,-0.171,-0.391,-1.002
-0.943,0.272,0.245,-0.07,-2.66,-0.77,-0.174,-0.392,-0.995
-0.944,0.272,0.255,-0.28,-2.87,-0.7,-0.174,-0.394,-0.996
-0.938,0.27,0.256,-0.14,-2.8,-0.84,-0.171,-0.396,-0.995
-0.932,0.263,0.25,0.07,-2.8,-0.84,-0.174,-0.393,-0.989
-0.934,0.255,0.25,-0.49,-2.8,-0.35,-0.171,-0.391,-0.995
-0.934,0.265,0.255,-1.05,-2.73,0.0,-0.179,-0.394,-0.994
-0.941,0.272,0.254,-0.77,-2.94,0.49,-0.177,-0.394,-0.996
-0.948,0.272,0.255,-0.56,-3.08,0.56,-0.175,-0.395,-0.999
-0.947,0.273,0.251,-1.12,-2.66,0.42,-0.169,-0.393,-0.994
-0.944,0.279,0.25,-1.96,-2.31,0.0,-0.171,-0.392,-0.997
-0.939,0.283,0.251,-1.19,-2.45,-0.14,-0.169,-0.392,-0.997
-0.933,0.273,0.248,-0.14,-2.73,0.07,-0.169,-0.392,-0.999
-0.937,0.271,0.251,0.0,-3.29,0.28,-0.172,-0.391,-0.994
-0.939,0.273,0.255,-0.49,-3.57,0.42,-0.175,-0.393,-0.999
-0.938,0.276,0.256,-0.35,-3.29,0.42,-0.176,-0.388,-1.005
-0.938,0.275,0.257,-0.07,-3.22,0.35,-0.174,-0.39,-0.999
-0.941,0.273,0.26,-0.07,-3.22,0.35,-0.17,-0.396,-1.0
-0.94,0.273,0.26,0.07,-2.8,0.42,-0.17,-0.389,-0.999
-0.941,0.274,0.26,0.21,-3.01,0.63,-0.174,-0.394,-0.992
-0.941,0.277,0.259,0.14,-2.94,0.63,-0.175,-0.395,-0.991
-0.939,0.279,0.259,0.28,-2.87,0.49,-0.173,-0.392,-0.996
-0.94,0.281,0.26,0.56,-2.94,0.42,-0.172,-0.396,-1.002
-0.942,0.277,0.262,1.05,-2.87,0.21,-0.174,-0.394,-0.998
-0.939,0.274,0.256,1.26,-2.73,0.14,-0.177,-0.392,-1.001
-0.934,0.27,0.256,1.54,-2.87,0.07,-0.173,-0.389,-0.996
-0.932,0.269,0.259,1.54,-2.73,0.21,-0.176,-0.392,-1.0
-0.935,0.269,0.259,1.33,-2.8,0.35,-0.174,-0.386,-1.002
-0.94,0.275,0.253,1.26,-2.8,0.35,-0.174,-0.385,-1.001
-0.946,0.28,0.26,2.03,-2.94,0.63,-0.167,-0.388,-0.997
-0.947,0.277,0.26,2.24,-2.8,0.42,-0.171,-0.387,-0.998
-0.938,0.272,0.252,1.89,-2.45,0.14,-0.17,-0.393,-0.994
-0.94,0.272,0.249,1.05,-2.59,-0.14,-0.17,-0.386,-0.998
-0.943,0.276,0.258,1.54,-2.59,-0.35,-0.172,-0.386,-0.992
-0.926,0.267,0.251,2.24,-2.38,-0.56,-0.17,-0.393,-1.001
-0.933,0.262,0.25,2.03,-2.8,-0.28,-0.172,-0.389,-0.994
-0.941,0.265,0.254,1.68,-2.73,0.21,-0.168,-0.389,-1.001
-0.933,0.283,0.244,1.26,-1.96,0.84,-0.171,-0.386,-1.002
-0.925,0.311,0.254,2.38,-3.22,1.61,-0.17,-0.385,-0.998
-0.926,0.356,0.277,7.91,-6.02,2.1,-0.17,-0.385,-0.997
-0.94,0.335,0.287,11.48,-7.63,1.82,-0.172,-0.389,-0.999
-0.938,0.36,0.306,11.62,-7.63,3.29,-0.173,-0.388,-1.005
-0.905,0.372,0.374,9.66,-7.77,3.01,-0.172,-0.387,-1.0
-0.872,0.363,0.55,8.75,-7.84,6.51,-0.171,-0.382,-0.999
-0.866,0.383,0.791,7.77,-2.8,7.14,-0.174,-0.386,-1.003
-0.852,0.385,0.916,-1.82,19.04,0.21,-0.172,-0.384,-1.006
-0.868,0.495,0.871,4.97,26.04,-1.12,-0.174,-0.388,-1.009
-0.995,0.555,0.94,28.42,18.83,-3.71,-0.177,-0.384,-1.012
-1.085,0.545,0.988,65.03,22.33,-2.87,-0.176,-0.388,-1.017
-1.144,0.39,0.975,95.55,32.41,-0.7,-0.172,-0.388,-1.039
-1.197,0.234,0.952,102.41,45.08,3.71,-0.172,-0.385,-1.051
-1.212,0.177,0.854,86.03,65.169,7.77,-0.164,-0.382,-1.056
-1.181,0.227,0.706,59.08,87.57,7.91,-0.167,-0.383,-1.077
-1.169,0.291,0.589,36.12,100.52,4.41,-0.166,-0.379,-1.084
-1.191,0.315,0.476,10.92,111.09,-5.25,-0.167,-0.379,-1.102
-1.16,0.31,0.429,-4.97,122.71,-14.21,-0.155,-0.375,-1.113
-1.097,0.351,0.379,-16.87,134.05,-27.44,-0.152,-0.378,-1.122
-1.005,0.343,0.328,-21.42,145.6,-42.49,-0.143,-0.386,-1.142
-0.943,0.287,0.183,-24.08,151.62,-53.83,-0.133,-0.395,-1.15
-0.971,0.228,0.101,-31.78,147.98,-61.74,-0.109,-0.407,-1.165
-1.043,0.147,0.194,-42.77,147.84,-64.4,-0.103,-0.414,-1.167
-1.011,0.13,0.181,-64.75,156.38,-64.12,-0.089,-0.42,-1.173
-0.849,0.082,0.27,-74.97,155.54,-63.0,-0.064,-0.437,-1.186
-0.834,0.114,0.239,-77.21,151.48,-57.75,-0.051,-0.442,-1.187
-0.833,0.219,0.15,-80.15,145.81,-52.36,-0.026,-0.456,-1.194
-0.816,0.282,0.137,-70.84,133.77,-45.43,-0.021,-0.462,-1.195
-0.794,0.303,0.198,-47.11,118.86,-33.25,-0.009,-0.47,-1.195
-0.775,0.263,0.42,-21.28,103.18,-21.28,0.004,-0.473,-1.197
-0.747,0.301,0.603,-10.5,88.899,-14.7,0.014,-0.476,-1.198
-0.726,0.395,0.717,-10.01,75.95,-18.34,0.014,-0.482,-1.203
-0.679,0.378,0.819,15.12,66.5,-18.13,0.022,-0.483,-1.207
-0.502,0.281,0.74,45.64,74.55,-12.25,0.03,-0.478,-1.211
-0.331,0.172,0.664,68.32,73.36,-7.56,0.038,-0.471,-1.224
-0.227,0.155,0.649,74.409,65.94,-0.14,0.041,-0.472,-1.23
-0.227,0.16,0.711,67.62,56.139,7.28,0.049,-0.461,-1.234
-0.287,0.17,0.79,61.53,48.72,18.34,0.058,-0.457,-1.247
-0.287,0.192,0.803,57.26,51.45,29.96,0.057,-0.449,-1.254
-0.205,0.181,0.747,48.649,56.77,38.85,0.061,-0.441,-1.261
-0.101,0.191,0.655,33.39,51.94,44.17,0.057,-0.44,-1.27
-0.108,0.221,0.633,23.73,44.59,49.07,0.065,-0.437,-1.269
-0.145,0.297,0.671,11.06,36.4,52.29,0.062,-0.433,-1.274
-0.17,0.381,0.689,-1.05,32.34,49.77,0.058,-0.429,-1.273
-0.159,0.397,0.685,-5.6,28.56,43.89,0.058,-0.432,-1.267
-0.142,0.331,0.712,-3.85,22.68,40.88,0.055,-0.431,-1.278
-0.153,0.271,0.754,-10.22,12.95,39.06,0.055,-0.432,-1.269
-0.177,0.288,0.755,-22.19,9.52,37.73,0.052,-0.428,-1.273
-0.16,0.312,0.719,-32.97,5.39,37.87,0.055,-0.425,-1.27
