ax,ay,az,gx,gy,gz,mx,my,mz
-0.27,0.599,0.752,-0.77,-3.36,-0.77,0.066,-0.463,-1.16
-0.271,0.6,0.75,-0.7,-3.43,-0.84,0.072,-0.464,-1.16
-0.275,0.601,0.746,-0.77,-3.57,-0.56,0.068,-0.46,-1.163
-0.275,0.605,0.743,-1.26,-3.15,-0.35,0.072,-0.467,-1.169
-0.266,0.612,0.744,-0.7,-3.36,-0.84,0.068,-0.466,-1.169
-0.267,0.605,0.745,0.42,-4.06,-0.98,0.075,-0.501,-1.163
-0.273,0.598,0.75,1.26,-4.34,-1.19,0.07,-0.466,-1.166
-0.27,0.594,0.756,0.84,-4.06,-1.54,0.072,-0.465,-1.167
-0.266,0.595,0.752,0.28,-3.43,-1.75,0.076,-0.465,-1.163
-0.273,0.592,0.759,1.26,-3.36,-1.54,0.077,-0.465,-1.163
-0.279,0.588,0.756,0.77,-2.8,-1.68,0.071,-0.466,-1.165
-0.282,0.591,0.752,-0.35,-2.24,-1.82,0.074,-0.469,-1.159
-0.281,0.6,0.75,-1.33,-2.03,-1.96,0.066,-0.469,-1.155
-0.274,0.608,0.747,-1.26,-1.68,-1.96,0.072,-0.467,-1.168
-0.269,0.602,0.741,0.07,-2.45,-1.89,0.074,-0.466,-1.156
-0.268,0.59,0.747,1.19,-3.43,-1.54,0.07,-0.465,-1.165
-0.269,0.579,0.759,1.05,-5.18,-1.05,0.071,-0.466,-1.168
-0.245,0.554,0.79,-6.3,-7.07,-0.28,0.073,-0.467,-1.164
-0.198,0.549,0.864,-14.84,-9.31,0.28,0.075,-0.469,-1.159
-0.169,0.595,1.047,-14.07,-9.73,0.42,0.071,-0.47,-1.161
-0.169,0.644,1.078,-7.21,-2.45,-0.98,0.064,-0.472,-1.16
-0.087,0.594,1.013,-9.17,7.07,-2.17,0.071,-0.473,-1.162
0.03,0.522,0.949,-39.55,15.26,-6.44,0.074,-0.474,-1.16
0.07,0.612,0.834,-67.69,22.12,-19.88,0.079,-0.484,-1.163
-0.031,0.573,0.814,-92.54,22.47,-42.7,0.085,-0.487,-1.142
0.191,0.886,0.636,-105.28,52.919,-2.8,0.092,-0.494,-1.127
0.115,1.046,0.694,-54.25,17.99,7.42,0.091,-0.498,-1.127
-0.03,0.838,0.711,-12.67,4.76,-15.82,0.095,-0.502,-1.124
-0.071,0.687,0.68,8.26,0.7,-9.52,0.1,-0.504,-1.125
-0.09,0.66,0.647,8.68,0.07,-1.19,0.102,-0.501,-1.127
-0.092,0.662,0.556,-0.7,3.29,-4.83,0.105,-0.503,-1.128
-0.08,0.675,0.514,-7.49,-0.49,-9.24,0.113,-0.504,-1.134
