ax,ay,az,gx,gy,gz,mx,my,mz
-0.906,0.396,0.224,0.0,-3.29,0.63,-0.161,-0.399,-0.95
-0.905,0.391,0.223,0.21,-3.64,0.42,-0.163,-0.4,-0.954
-0.902,0.389,0.222,0.0,-3.78,0.21,-0.162,-0.398,-0.95
-0.898,0.387,0.221,-0.77,-3.85,0.07,-0.161,-0.397,-0.958
-0.895,0.386,0.217,-0.7,-4.2,-0.21,-0.159,-0.398,-0.954
-0.903,0.403,0.218,-1.19,-4.69,-0.49,-0.164,-0.398,-0.958
-0.921,0.411,0.243,-2.66,-6.72,-1.05,-0.164,-0.395,-0.95
-0.936,0.432,0.267,-4.13,-8.4,-1.54,-0.164,-0.396,-0.955
-0.936,0.444,0.276,-5.11,-7.91,-3.29,-0.164,-0.397,-0.952
-0.93,0.449,0.278,-4.62,-7.42,-4.13,-0.164,-0.398,-0.949
-0.911,0.449,0.285,-1.68,-5.53,-4.69,-0.167,-0.398,-0.949
-0.872,0.415,0.269,2.45,-2.87,-6.44,-0.16,-0.399,-0.953
-0.868,0.395,0.315,3.92,-3.15,-7.14,-0.162,-0.4,-0.949
-0.878,0.382,0.365,-1.47,-1.68,-8.4,-0.161,-0.402,-0.953
-0.879,0.388,0.37,-14.21,1.12,-10.78,-0.163,-0.402,-0.946
-0.866,0.415,0.369,-29.68,3.92,-13.09,-0.163,-0.399,-0.941
-0.855,0.468,0.403,-50.61,4.97,-15.47,-0.161,-0.402,-0.943
-0.853,0.585,0.453,-85.75,11.9,-27.23,-0.153,-0.4,-0.933
-0.8,0.802,0.439,-71.19,20.65,-36.47,-0.154,-0.406,-0.935
-0.725,0.863,0.363,-58.24,25.83,-44.8,-0.15,-0.409,-0.927
-0.666,0.897,0.306,-39.69,22.05,-54.04,-0.15,-0.411,-0.926
-0.654,0.924,0.326,-20.93,15.96,-62.93,-0.141,-0.415,-0.926
-0.648,0.92,0.335,-5.53,15.4,-72.03,-0.138,-0.429,-0.928
-0.619,0.887,0.329,3.85,17.43,-81.34,-0.13,-0.435,-0.934
-0.584,0.875,0.314,3.85,19.67,-90.3,-0.124,-0.445,-0.935
-0.569,0.903,0.329,-5.46,22.54,-112.56,-0.109,-0.455,-0.949
-0.544,0.938,0.298,-7.0,27.23,-129.71,-0.107,-0.466,-0.943
-0.515,0.909,0.269,-2.24,29.75,-144.34,-0.078,-0.483,-0.945
-0.487,0.874,0.21,1.12,29.96,-155.47,-0.075,-0.495,-0.939
-0.482,0.875,0.186,0.91,27.16,-165.06,-0.059,-0.505,-0.948
-0.52,0.971,0.21,-2.45,24.15,-175.14,-0.027,-0.524,-0.951
-0.576,1.067,0.268,6.44,27.51,-186.27,-0.008,-0.529,-0.95
-0.592,0.98,0.178,30.59,34.79,-196.42,0.024,-0.553,-0.958
-0.535,0.865,0.098,36.68,37.24,-202.79,0.042,-0.552,-0.963
-0.524,0.759,0.076,29.33,35.42,-207.41,0.059,-0.562,-0.961
-0.537,0.75,0.119,13.16,33.04,-206.78,0.1,-0.573,-0.967
-0.554,0.831,0.143,-5.53,33.04,-208.18,0.12,-0.574,-0.963
-0.544,0.855,0.166,-12.39,33.53,-210.91,0.161,-0.579,-0.969
-0.506,0.867,0.164,-13.93,32.48,-209.37,0.177,-0.579,-0.965
-0.487,0.865,0.137,-16.52,24.85,-207.2,0.2,-0.582,-0.965
-0.443,0.836,0.135,-14.0,22.26,-201.81,0.239,-0.578,-0.967
-0.412,0.904,0.1,-12.25,18.76,-194.321,0.258,-0.575,-0.96
-0.411,0.92,0.113,-9.38,10.01,-187.11,0.293,-0.571,-0.957
-0.39,0.875,0.193,-2.66,7.35,-176.47,0.31,-0.564,-0.961
-0.338,0.822,0.243,1.05,8.47,-166.67,0.326,-0.567,-0.962
-0.273,0.848,0.232,1.61,8.61,-157.71,0.35,-0.551,-0.961
-0.219,0.9,0.17,-1.12,6.86,-150.36,0.369,-0.551,-0.962
-0.158,0.863,0.157,3.57,-0.84,-136.29,0.379,-0.543,-0.96
-0.011,0.762,0.204,5.32,-1.12,-124.95,0.394,-0.536,-0.957
0.105,0.709,0.252,0.56,-2.87,-111.58,0.41,-0.529,-0.96
0.193,0.717,0.299,-7.91,-5.67,-99.26,0.424,-0.516,-0.955
0.233,0.761,0.304,-20.44,-7.35,-90.65,0.434,-0.517,-0.958
0.25,0.792,0.306,-29.96,-10.5,-83.93,0.441,-0.504,-0.953
0.278,0.848,0.291,-33.46,-13.16,-78.05,0.451,-0.5,-0.953
0.321,0.83,0.203,-26.25,-20.58,-72.03,0.456,-0.494,-0.952
0.416,0.749,0.118,-30.66,-30.38,-66.08,0.462,-0.485,-0.949
